record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,747.2,,,,747.2,Collecting baseline... RawAvg=747.20
baseline,747.8,,,,747.8,Collecting baseline... RawAvg=747.80
baseline,748.0,,,,748.0,Collecting baseline... RawAvg=748.00
baseline,748.2,,,,748.2,Collecting baseline... RawAvg=748.20
baseline,748.2,,,,748.2,Collecting baseline... RawAvg=748.20
baseline,747.4,,,,747.4,Collecting baseline... RawAvg=747.40
baseline,747.2,,,,747.2,Collecting baseline... RawAvg=747.20
baseline,747.2,,,,747.2,Collecting baseline... RawAvg=747.20
baseline,747.6,,,,747.6,Collecting baseline... RawAvg=747.60
baseline,748.2,,,,748.2,Collecting baseline... RawAvg=748.20
baseline,748.8,,,,748.8,Collecting baseline... RawAvg=748.80
baseline,749.4,,,,749.4,Collecting baseline... RawAvg=749.40
baseline,750.0,,,,750.0,Collecting baseline... RawAvg=750.00
baseline,750.4,,,,750.4,Collecting baseline... RawAvg=750.40
baseline,750.8,,,,750.8,Collecting baseline... RawAvg=750.80
baseline,751.0,,,,751.0,Collecting baseline... RawAvg=751.00
baseline,750.6,,,,750.6,Collecting baseline... RawAvg=750.60
baseline,750.2,,,,750.2,Collecting baseline... RawAvg=750.20
baseline,749.8,,,,749.8,Collecting baseline... RawAvg=749.80
baseline,749.0,,,,749.0,Collecting baseline... RawAvg=749.00
baseline,748.0,,,,748.0,Collecting baseline... RawAvg=748.00
baseline,747.4,,,,747.4,Collecting baseline... RawAvg=747.40
baseline,747.0,,,,747.0,Collecting baseline... RawAvg=747.00
baseline,746.6,,,,746.6,Collecting baseline... RawAvg=746.60
baseline,746.8,,,,746.8,Collecting baseline... RawAvg=746.80
baseline,747.2,,,,747.2,Collecting baseline... RawAvg=747.20
baseline,747.6,,,,747.6,Collecting baseline... RawAvg=747.60
baseline,748.2,,,,748.2,Collecting baseline... RawAvg=748.20
baseline,749.0,,,,749.0,Collecting baseline... RawAvg=749.00
baseline,749.6,,,,749.6,Collecting baseline... RawAvg=749.60
baseline,750.2,,,,750.2,Collecting baseline... RawAvg=750.20
baseline,750.8,,,,750.8,Collecting baseline... RawAvg=750.80
baseline,750.8,,,,750.8,Collecting baseline... RawAvg=750.80
baseline,750.2,,,,750.2,Collecting baseline... RawAvg=750.20
baseline,749.6,,,,749.6,Collecting baseline... RawAvg=749.60
baseline,749.0,,,,749.0,Collecting baseline... RawAvg=749.00
baseline,748.2,,,,748.2,Collecting baseline... RawAvg=748.20
baseline,747.4,,,,747.4,Collecting baseline... RawAvg=747.40
baseline,746.8,,,,746.8,Collecting baseline... RawAvg=746.80
baseline,746.4,,,,746.4,Collecting baseline... RawAvg=746.40
baseline,746.2,,,,746.2,Collecting baseline... RawAvg=746.20
baseline,746.2,,,,746.2,Collecting baseline... RawAvg=746.20
baseline,746.6,,,,746.6,Collecting baseline... RawAvg=746.60
baseline,747.2,,,,747.2,Collecting baseline... RawAvg=747.20
baseline,748.0,,,,748.0,Collecting baseline... RawAvg=748.00
baseline,748.8,,,,748.8,Collecting baseline... RawAvg=748.80
baseline,749.6,,,,749.6,Collecting baseline... RawAvg=749.60
baseline,749.8,,,,749.8,Collecting baseline... RawAvg=749.80
baseline,750.2,,,,750.2,Collecting baseline... RawAvg=750.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,748.5,,,748.5,Final Base Raw Average = 748.50
info,,,,,,--------------------------------------------------------------------------
data,,748.5,748.2,0.3,748.2,Time=5.0s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.4,0.1,748.4,Time=5.1s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.6,0.1,748.6,Time=5.2s | BaseRaw=748.5 | CurrentRaw=748.6 | Change=0.1 => Floor
data,,748.5,748.6,0.1,748.6,Time=5.3s | BaseRaw=748.5 | CurrentRaw=748.6 | Change=0.1 => Floor
data,,748.5,748.2,0.3,748.2,Time=5.4s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.0,0.5,748.0,Time=5.5s | BaseRaw=748.5 | CurrentRaw=748.0 | Change=0.5 => Floor
data,,748.5,748.6,0.1,748.6,Time=5.6s | BaseRaw=748.5 | CurrentRaw=748.6 | Change=0.1 => Floor
data,,748.5,748.4,0.1,748.4,Time=5.7s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,747.0,1.5,747.0,Time=5.8s | BaseRaw=748.5 | CurrentRaw=747.0 | Change=1.5 => Floor
data,,748.5,744.6,3.9,744.6,Time=5.9s | BaseRaw=748.5 | CurrentRaw=744.6 | Change=3.9 => Floor
data,,748.5,741.2,7.3,741.2,Time=6.0s | BaseRaw=748.5 | CurrentRaw=741.2 | Change=7.3 => Floor
data,,748.5,735.0,13.5,735.0,Time=6.1s | BaseRaw=748.5 | CurrentRaw=735.0 | Change=13.5 => Liquid
data,,748.5,729.0,19.5,729.0,Time=6.2s | BaseRaw=748.5 | CurrentRaw=729.0 | Change=19.5 => Liquid
data,,748.5,723.6,24.9,723.6,Time=6.3s | BaseRaw=748.5 | CurrentRaw=723.6 | Change=24.9 => Liquid
data,,748.5,720.6,27.9,720.6,Time=6.4s | BaseRaw=748.5 | CurrentRaw=720.6 | Change=27.9 => Liquid
data,,748.5,719.6,28.9,719.6,Time=6.5s | BaseRaw=748.5 | CurrentRaw=719.6 | Change=28.9 => Liquid
data,,748.5,719.2,29.3,719.2,Time=6.6s | BaseRaw=748.5 | CurrentRaw=719.2 | Change=29.3 => Liquid
