record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,679.00,,,,679.00,Collecting baseline... RawAvg=679.00
baseline,679.00,,,,679.00,Collecting baseline... RawAvg=679.00
baseline,679.00,,,,679.00,Collecting baseline... RawAvg=679.00
baseline,678.80,,,,678.80,Collecting baseline... RawAvg=678.80
baseline,679.20,,,,679.20,Collecting baseline... RawAvg=679.20
baseline,680.00,,,,680.00,Collecting baseline... RawAvg=680.00
baseline,680.00,,,,680.00,Collecting baseline... RawAvg=680.00
baseline,680.40,,,,680.40,Collecting baseline... RawAvg=680.40
baseline,680.60,,,,680.60,Collecting baseline... RawAvg=680.60
baseline,679.80,,,,679.80,Collecting baseline... RawAvg=679.80
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,679.00,,,,679.00,Collecting baseline... RawAvg=679.00
baseline,678.40,,,,678.40,Collecting baseline... RawAvg=678.40
baseline,678.60,,,,678.60,Collecting baseline... RawAvg=678.60
baseline,679.20,,,,679.20,Collecting baseline... RawAvg=679.20
baseline,679.60,,,,679.60,Collecting baseline... RawAvg=679.60
baseline,679.60,,,,679.60,Collecting baseline... RawAvg=679.60
baseline,680.00,,,,680.00,Collecting baseline... RawAvg=680.00
baseline,679.80,,,,679.80,Collecting baseline... RawAvg=679.80
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,679.80,,,,679.80,Collecting baseline... RawAvg=679.80
baseline,680.20,,,,680.20,Collecting baseline... RawAvg=680.20
baseline,680.20,,,,680.20,Collecting baseline... RawAvg=680.20
baseline,680.80,,,,680.80,Collecting baseline... RawAvg=680.80
baseline,680.60,,,,680.60,Collecting baseline... RawAvg=680.60
baseline,681.60,,,,681.60,Collecting baseline... RawAvg=681.60
baseline,681.40,,,,681.40,Collecting baseline... RawAvg=681.40
baseline,681.20,,,,681.20,Collecting baseline... RawAvg=681.20
baseline,680.80,,,,680.80,Collecting baseline... RawAvg=680.80
baseline,681.00,,,,681.00,Collecting baseline... RawAvg=681.00
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,679.00,,,,679.00,Collecting baseline... RawAvg=679.00
baseline,679.20,,,,679.20,Collecting baseline... RawAvg=679.20
baseline,679.60,,,,679.60,Collecting baseline... RawAvg=679.60
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,680.00,,,,680.00,Collecting baseline... RawAvg=680.00
baseline,680.20,,,,680.20,Collecting baseline... RawAvg=680.20
baseline,680.60,,,,680.60,Collecting baseline... RawAvg=680.60
baseline,680.60,,,,680.60,Collecting baseline... RawAvg=680.60
baseline,681.00,,,,681.00,Collecting baseline... RawAvg=681.00
baseline,681.00,,,,681.00,Collecting baseline... RawAvg=681.00
baseline,681.00,,,,681.00,Collecting baseline... RawAvg=681.00
baseline,682.00,,,,682.00,Collecting baseline... RawAvg=682.00
baseline,681.80,,,,681.80,Collecting baseline... RawAvg=681.80
baseline,681.00,,,,681.00,Collecting baseline... RawAvg=681.00
baseline,680.40,,,,680.40,Collecting baseline... RawAvg=680.40
baseline,680.00,,,,680.00,Collecting baseline... RawAvg=680.00
baseline,678.60,,,,678.60,Collecting baseline... RawAvg=678.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,680.01,,,680.01,Final Base Raw Average = 680.01
info,,,,,,--------------------------------------------------------------------------
data,,680.0,679.0,1.0,679.0,Time=0.1s | BaseRaw=680.0 | CurrentRaw=679.0 | Change=1.0 => Floor
data,,680.0,679.6,0.4,679.6,Time=0.2s | BaseRaw=680.0 | CurrentRaw=679.6 | Change=0.4 => Floor
data,,680.0,680.4,0.4,680.4,Time=0.3s | BaseRaw=680.0 | CurrentRaw=680.4 | Change=0.4 => Floor
data,,680.0,680.6,0.6,680.6,Time=0.4s | BaseRaw=680.0 | CurrentRaw=680.6 | Change=0.6 => Floor
data,,680.0,680.4,0.4,680.4,Time=0.5s | BaseRaw=680.0 | CurrentRaw=680.4 | Change=0.4 => Floor
data,,680.0,680.6,0.6,680.6,Time=0.6s | BaseRaw=680.0 | CurrentRaw=680.6 | Change=0.6 => Floor
data,,680.0,680.6,0.6,680.6,Time=0.7s | BaseRaw=680.0 | CurrentRaw=680.6 | Change=0.6 => Floor
data,,680.0,680.4,0.4,680.4,Time=0.8s | BaseRaw=680.0 | CurrentRaw=680.4 | Change=0.4 => Floor
data,,680.0,679.0,1.0,679.0,Time=0.9s | BaseRaw=680.0 | CurrentRaw=679.0 | Change=1.0 => Floor
data,,680.0,679.2,0.8,679.2,Time=1.0s | BaseRaw=680.0 | CurrentRaw=679.2 | Change=0.8 => Floor
data,,680.0,679.6,0.4,679.6,Time=1.1s | BaseRaw=680.0 | CurrentRaw=679.6 | Change=0.4 => Floor
data,,680.0,679.4,0.6,679.4,Time=1.2s | BaseRaw=680.0 | CurrentRaw=679.4 | Change=0.6 => Floor
data,,680.0,679.4,0.6,679.4,Time=1.3s | BaseRaw=680.0 | CurrentRaw=679.4 | Change=0.6 => Floor
data,,680.0,680.4,0.4,680.4,Time=1.4s | BaseRaw=680.0 | CurrentRaw=680.4 | Change=0.4 => Floor
data,,680.0,680.6,0.6,680.6,Time=1.5s | BaseRaw=680.0 | CurrentRaw=680.6 | Change=0.6 => Floor
data,,680.0,679.8,0.2,679.8,Time=1.6s | BaseRaw=680.0 | CurrentRaw=679.8 | Change=0.2 => Floor
data,,680.0,679.6,0.4,679.6,Time=1.7s | BaseRaw=680.0 | CurrentRaw=679.6 | Change=0.4 => Floor
data,,680.0,679.6,0.4,679.6,Time=1.8s | BaseRaw=680.0 | CurrentRaw=679.6 | Change=0.4 => Floor
data,,680.0,679.8,0.2,679.8,Time=1.9s | BaseRaw=680.0 | CurrentRaw=679.8 | Change=0.2 => Floor
data,,680.0,679.8,0.2,679.8,Time=2.0s | BaseRaw=680.0 | CurrentRaw=679.8 | Change=0.2 => Floor
data,,680.0,680.4,0.4,680.4,Time=2.1s | BaseRaw=680.0 | CurrentRaw=680.4 | Change=0.4 => Floor
data,,680.0,680.8,0.8,680.8,Time=2.2s | BaseRaw=680.0 | CurrentRaw=680.8 | Change=0.8 => Floor
data,,680.0,680.4,0.4,680.4,Time=2.3s | BaseRaw=680.0 | CurrentRaw=680.4 | Change=0.4 => Floor
data,,680.0,680.4,0.4,680.4,Time=2.4s | BaseRaw=680.0 | CurrentRaw=680.4 | Change=0.4 => Floor
data,,680.0,680.6,0.6,680.6,Time=2.5s | BaseRaw=680.0 | CurrentRaw=680.6 | Change=0.6 => Floor
data,,680.0,680.8,0.8,680.8,Time=2.6s | BaseRaw=680.0 | CurrentRaw=680.8 | Change=0.8 => Floor
data,,680.0,680.8,0.8,680.8,Time=2.7s | BaseRaw=680.0 | CurrentRaw=680.8 | Change=0.8 => Floor
data,,680.0,681.0,1.0,681.0,Time=2.8s | BaseRaw=680.0 | CurrentRaw=681.0 | Change=1.0 => Floor
data,,680.0,680.8,0.8,680.8,Time=2.9s | BaseRaw=680.0 | CurrentRaw=680.8 | Change=0.8 => Floor
data,,680.0,681.0,1.0,681.0,Time=3.0s | BaseRaw=680.0 | CurrentRaw=681.0 | Change=1.0 => Floor
data,,680.0,680.8,0.8,680.8,Time=3.1s | BaseRaw=680.0 | CurrentRaw=680.8 | Change=0.8 => Floor
data,,680.0,680.8,0.8,680.8,Time=3.2s | BaseRaw=680.0 | CurrentRaw=680.8 | Change=0.8 => Floor
data,,680.0,680.8,0.8,680.8,Time=3.3s | BaseRaw=680.0 | CurrentRaw=680.8 | Change=0.8 => Floor
data,,680.0,681.0,1.0,681.0,Time=3.4s | BaseRaw=680.0 | CurrentRaw=681.0 | Change=1.0 => Floor
data,,680.0,680.6,0.6,680.6,Time=3.5s | BaseRaw=680.0 | CurrentRaw=680.6 | Change=0.6 => Floor
data,,680.0,680.0,0.0,680.0,Time=3.6s | BaseRaw=680.0 | CurrentRaw=680.0 | Change=0.0 => Floor
data,,680.0,680.0,0.0,680.0,Time=3.7s | BaseRaw=680.0 | CurrentRaw=680.0 | Change=0.0 => Floor
data,,680.0,680.2,0.2,680.2,Time=3.8s | BaseRaw=680.0 | CurrentRaw=680.2 | Change=0.2 => Floor
data,,680.0,680.4,0.4,680.4,Time=3.9s | BaseRaw=680.0 | CurrentRaw=680.4 | Change=0.4 => Floor
data,,680.0,680.2,0.2,680.2,Time=4.0s | BaseRaw=680.0 | CurrentRaw=680.2 | Change=0.2 => Floor
data,,680.0,680.8,0.8,680.8,Time=4.1s | BaseRaw=680.0 | CurrentRaw=680.8 | Change=0.8 => Floor
data,,680.0,680.0,0.0,680.0,Time=4.2s | BaseRaw=680.0 | CurrentRaw=680.0 | Change=0.0 => Floor
data,,680.0,679.6,0.4,679.6,Time=4.3s | BaseRaw=680.0 | CurrentRaw=679.6 | Change=0.4 => Floor
data,,680.0,679.4,0.6,679.4,Time=4.4s | BaseRaw=680.0 | CurrentRaw=679.4 | Change=0.6 => Floor
data,,680.0,680.0,0.0,680.0,Time=4.5s | BaseRaw=680.0 | CurrentRaw=680.0 | Change=0.0 => Floor
data,,680.0,680.4,0.4,680.4,Time=4.6s | BaseRaw=680.0 | CurrentRaw=680.4 | Change=0.4 => Floor
data,,680.0,680.4,0.4,680.4,Time=4.7s | BaseRaw=680.0 | CurrentRaw=680.4 | Change=0.4 => Floor
data,,680.0,680.2,0.2,680.2,Time=4.8s | BaseRaw=680.0 | CurrentRaw=680.2 | Change=0.2 => Floor
data,,680.0,680.4,0.4,680.4,Time=4.9s | BaseRaw=680.0 | CurrentRaw=680.4 | Change=0.4 => Floor
data,,680.0,679.8,0.2,679.8,Time=5.0s | BaseRaw=680.0 | CurrentRaw=679.8 | Change=0.2 => Floor
data,,680.0,679.6,0.4,679.6,Time=5.1s | BaseRaw=680.0 | CurrentRaw=679.6 | Change=0.4 => Floor
data,,680.0,680.6,0.6,680.6,Time=5.2s | BaseRaw=680.0 | CurrentRaw=680.6 | Change=0.6 => Floor
data,,680.0,681.4,1.4,681.4,Time=5.3s | BaseRaw=680.0 | CurrentRaw=681.4 | Change=1.4 => Floor
data,,680.0,681.2,1.2,681.2,Time=5.4s | BaseRaw=680.0 | CurrentRaw=681.2 | Change=1.2 => Floor
data,,680.0,681.2,1.2,681.2,Time=5.5s | BaseRaw=680.0 | CurrentRaw=681.2 | Change=1.2 => Floor
data,,680.0,681.0,1.0,681.0,Time=5.6s | BaseRaw=680.0 | CurrentRaw=681.0 | Change=1.0 => Floor
data,,680.0,680.6,0.6,680.6,Time=5.7s | BaseRaw=680.0 | CurrentRaw=680.6 | Change=0.6 => Floor
data,,680.0,680.0,0.0,680.0,Time=5.8s | BaseRaw=680.0 | CurrentRaw=680.0 | Change=0.0 => Floor
data,,680.0,680.6,0.6,680.6,Time=5.9s | BaseRaw=680.0 | CurrentRaw=680.6 | Change=0.6 => Floor
data,,680.0,681.4,1.4,681.4,Time=6.0s | BaseRaw=680.0 | CurrentRaw=681.4 | Change=1.4 => Floor
data,,680.0,682.8,2.8,682.8,Time=6.1s | BaseRaw=680.0 | CurrentRaw=682.8 | Change=2.8 => Floor
data,,680.0,685.0,5.0,685.0,Time=6.2s | BaseRaw=680.0 | CurrentRaw=685.0 | Change=5.0 => Floor
data,,680.0,688.2,8.2,688.2,Time=6.3s | BaseRaw=680.0 | CurrentRaw=688.2 | Change=8.2 => Floor
data,,680.0,691.2,11.2,691.2,Time=6.4s | BaseRaw=680.0 | CurrentRaw=691.2 | Change=11.2 => Liquid
data,,680.0,694.4,14.4,694.4,Time=6.5s | BaseRaw=680.0 | CurrentRaw=694.4 | Change=14.4 => Liquid
