record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,712.20,,,,712.20,Collecting baseline... RawAvg=712.20
baseline,712.20,,,,712.20,Collecting baseline... RawAvg=712.20
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,712.20,,,,712.20,Collecting baseline... RawAvg=712.20
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,712.20,,,,712.20,Collecting baseline... RawAvg=712.20
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.60,,,,713.60,Collecting baseline... RawAvg=713.60
baseline,713.60,,,,713.60,Collecting baseline... RawAvg=713.60
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
baseline,712.80,,,,712.80,Collecting baseline... RawAvg=712.80
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,712.86,,,712.86,Final Base Raw Average = 712.86
info,,,,,,--------------------------------------------------------------------------
data,,712.9,713.2,0.3,713.2,Time=0.1s | BaseRaw=712.9 | CurrentRaw=713.2 | Change=0.3 => Floor
data,,712.9,712.8,0.1,712.8,Time=0.2s | BaseRaw=712.9 | CurrentRaw=712.8 | Change=0.1 => Floor
data,,712.9,712.6,0.3,712.6,Time=0.3s | BaseRaw=712.9 | CurrentRaw=712.6 | Change=0.3 => Floor
data,,712.9,712.2,0.7,712.2,Time=0.4s | BaseRaw=712.9 | CurrentRaw=712.2 | Change=0.7 => Floor
data,,712.9,712.2,0.7,712.2,Time=0.5s | BaseRaw=712.9 | CurrentRaw=712.2 | Change=0.7 => Floor
data,,712.9,712.2,0.7,712.2,Time=0.6s | BaseRaw=712.9 | CurrentRaw=712.2 | Change=0.7 => Floor
data,,712.9,712.2,0.7,712.2,Time=0.7s | BaseRaw=712.9 | CurrentRaw=712.2 | Change=0.7 => Floor
data,,712.9,712.0,0.9,712.0,Time=0.8s | BaseRaw=712.9 | CurrentRaw=712.0 | Change=0.9 => Floor
data,,712.9,712.2,0.7,712.2,Time=0.9s | BaseRaw=712.9 | CurrentRaw=712.2 | Change=0.7 => Floor
data,,712.9,712.2,0.7,712.2,Time=1.0s | BaseRaw=712.9 | CurrentRaw=712.2 | Change=0.7 => Floor
data,,712.9,712.0,0.9,712.0,Time=1.1s | BaseRaw=712.9 | CurrentRaw=712.0 | Change=0.9 => Floor
data,,712.9,712.2,0.7,712.2,Time=1.2s | BaseRaw=712.9 | CurrentRaw=712.2 | Change=0.7 => Floor
data,,712.9,712.6,0.3,712.6,Time=1.3s | BaseRaw=712.9 | CurrentRaw=712.6 | Change=0.3 => Floor
data,,712.9,712.6,0.3,712.6,Time=1.4s | BaseRaw=712.9 | CurrentRaw=712.6 | Change=0.3 => Floor
data,,712.9,712.6,0.3,712.6,Time=1.5s | BaseRaw=712.9 | CurrentRaw=712.6 | Change=0.3 => Floor
data,,712.9,712.8,0.1,712.8,Time=1.6s | BaseRaw=712.9 | CurrentRaw=712.8 | Change=0.1 => Floor
data,,712.9,712.8,0.1,712.8,Time=1.7s | BaseRaw=712.9 | CurrentRaw=712.8 | Change=0.1 => Floor
data,,712.9,713.0,0.1,713.0,Time=1.8s | BaseRaw=712.9 | CurrentRaw=713.0 | Change=0.1 => Floor
data,,712.9,713.2,0.3,713.2,Time=1.9s | BaseRaw=712.9 | CurrentRaw=713.2 | Change=0.3 => Floor
data,,712.9,713.4,0.5,713.4,Time=2.0s | BaseRaw=712.9 | CurrentRaw=713.4 | Change=0.5 => Floor
data,,712.9,713.6,0.7,713.6,Time=2.1s | BaseRaw=712.9 | CurrentRaw=713.6 | Change=0.7 => Floor
data,,712.9,713.6,0.7,713.6,Time=2.2s | BaseRaw=712.9 | CurrentRaw=713.6 | Change=0.7 => Floor
data,,712.9,713.4,0.5,713.4,Time=2.3s | BaseRaw=712.9 | CurrentRaw=713.4 | Change=0.5 => Floor
data,,712.9,713.2,0.3,713.2,Time=2.4s | BaseRaw=712.9 | CurrentRaw=713.2 | Change=0.3 => Floor
data,,712.9,713.0,0.1,713.0,Time=2.5s | BaseRaw=712.9 | CurrentRaw=713.0 | Change=0.1 => Floor
data,,712.9,712.8,0.1,712.8,Time=2.6s | BaseRaw=712.9 | CurrentRaw=712.8 | Change=0.1 => Floor
data,,712.9,712.8,0.1,712.8,Time=2.7s | BaseRaw=712.9 | CurrentRaw=712.8 | Change=0.1 => Floor
data,,712.9,712.4,0.5,712.4,Time=2.8s | BaseRaw=712.9 | CurrentRaw=712.4 | Change=0.5 => Floor
data,,712.9,712.4,0.5,712.4,Time=2.9s | BaseRaw=712.9 | CurrentRaw=712.4 | Change=0.5 => Floor
data,,712.9,712.4,0.5,712.4,Time=3.0s | BaseRaw=712.9 | CurrentRaw=712.4 | Change=0.5 => Floor
data,,712.9,712.4,0.5,712.4,Time=3.1s | BaseRaw=712.9 | CurrentRaw=712.4 | Change=0.5 => Floor
data,,712.9,712.4,0.5,712.4,Time=3.2s | BaseRaw=712.9 | CurrentRaw=712.4 | Change=0.5 => Floor
data,,712.9,712.2,0.7,712.2,Time=3.3s | BaseRaw=712.9 | CurrentRaw=712.2 | Change=0.7 => Floor
data,,712.9,712.2,0.7,712.2,Time=3.4s | BaseRaw=712.9 | CurrentRaw=712.2 | Change=0.7 => Floor
data,,712.9,712.0,0.9,712.0,Time=3.5s | BaseRaw=712.9 | CurrentRaw=712.0 | Change=0.9 => Floor
data,,712.9,712.0,0.9,712.0,Time=3.6s | BaseRaw=712.9 | CurrentRaw=712.0 | Change=0.9 => Floor
data,,712.9,711.8,1.1,711.8,Time=3.7s | BaseRaw=712.9 | CurrentRaw=711.8 | Change=1.1 => Floor
data,,712.9,712.4,0.5,712.4,Time=3.8s | BaseRaw=712.9 | CurrentRaw=712.4 | Change=0.5 => Floor
data,,712.9,712.2,0.7,712.2,Time=3.9s | BaseRaw=712.9 | CurrentRaw=712.2 | Change=0.7 => Floor
data,,712.9,712.2,0.7,712.2,Time=4.0s | BaseRaw=712.9 | CurrentRaw=712.2 | Change=0.7 => Floor
data,,712.9,712.2,0.7,712.2,Time=4.1s | BaseRaw=712.9 | CurrentRaw=712.2 | Change=0.7 => Floor
data,,712.9,712.8,0.1,712.8,Time=4.2s | BaseRaw=712.9 | CurrentRaw=712.8 | Change=0.1 => Floor
data,,712.9,712.6,0.3,712.6,Time=4.3s | BaseRaw=712.9 | CurrentRaw=712.6 | Change=0.3 => Floor
data,,712.9,713.0,0.1,713.0,Time=4.4s | BaseRaw=712.9 | CurrentRaw=713.0 | Change=0.1 => Floor
data,,712.9,712.8,0.1,712.8,Time=4.5s | BaseRaw=712.9 | CurrentRaw=712.8 | Change=0.1 => Floor
data,,712.9,712.6,0.3,712.6,Time=4.6s | BaseRaw=712.9 | CurrentRaw=712.6 | Change=0.3 => Floor
data,,712.9,712.2,0.7,712.2,Time=4.7s | BaseRaw=712.9 | CurrentRaw=712.2 | Change=0.7 => Floor
data,,712.9,712.2,0.7,712.2,Time=4.8s | BaseRaw=712.9 | CurrentRaw=712.2 | Change=0.7 => Floor
data,,712.9,711.8,1.1,711.8,Time=4.9s | BaseRaw=712.9 | CurrentRaw=711.8 | Change=1.1 => Floor
data,,712.9,711.6,1.3,711.6,Time=5.0s | BaseRaw=712.9 | CurrentRaw=711.6 | Change=1.3 => Floor
data,,712.9,711.8,1.1,711.8,Time=5.1s | BaseRaw=712.9 | CurrentRaw=711.8 | Change=1.1 => Floor
data,,712.9,712.0,0.9,712.0,Time=5.2s | BaseRaw=712.9 | CurrentRaw=712.0 | Change=0.9 => Floor
data,,712.9,712.0,0.9,712.0,Time=5.3s | BaseRaw=712.9 | CurrentRaw=712.0 | Change=0.9 => Floor
data,,712.9,711.6,1.3,711.6,Time=5.4s | BaseRaw=712.9 | CurrentRaw=711.6 | Change=1.3 => Floor
data,,712.9,711.4,1.5,711.4,Time=5.5s | BaseRaw=712.9 | CurrentRaw=711.4 | Change=1.5 => Floor
data,,712.9,711.2,1.7,711.2,Time=5.6s | BaseRaw=712.9 | CurrentRaw=711.2 | Change=1.7 => Floor
data,,712.9,710.0,2.9,710.0,Time=5.7s | BaseRaw=712.9 | CurrentRaw=710.0 | Change=2.9 => Floor
data,,712.9,709.0,3.9,709.0,Time=5.8s | BaseRaw=712.9 | CurrentRaw=709.0 | Change=3.9 => Floor
data,,712.9,708.6,4.3,708.6,Time=5.9s | BaseRaw=712.9 | CurrentRaw=708.6 | Change=4.3 => Floor
data,,712.9,709.4,3.5,709.4,Time=6.0s | BaseRaw=712.9 | CurrentRaw=709.4 | Change=3.5 => Floor
data,,712.9,711.0,1.9,711.0,Time=6.1s | BaseRaw=712.9 | CurrentRaw=711.0 | Change=1.9 => Floor
data,,712.9,715.2,2.3,715.2,Time=6.2s | BaseRaw=712.9 | CurrentRaw=715.2 | Change=2.3 => Floor
data,,712.9,719.8,6.9,719.8,Time=6.3s | BaseRaw=712.9 | CurrentRaw=719.8 | Change=6.9 => Floor
data,,712.9,724.6,11.7,724.6,Time=6.4s | BaseRaw=712.9 | CurrentRaw=724.6 | Change=11.7 => Liquid
data,,712.9,728.4,15.5,728.4,Time=6.5s | BaseRaw=712.9 | CurrentRaw=728.4 | Change=15.5 => Liquid
