record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,678.40,,,,678.40,Collecting baseline... RawAvg=678.40
baseline,678.60,,,,678.60,Collecting baseline... RawAvg=678.60
baseline,678.00,,,,678.00,Collecting baseline... RawAvg=678.00
baseline,678.20,,,,678.20,Collecting baseline... RawAvg=678.20
baseline,678.40,,,,678.40,Collecting baseline... RawAvg=678.40
baseline,678.60,,,,678.60,Collecting baseline... RawAvg=678.60
baseline,678.20,,,,678.20,Collecting baseline... RawAvg=678.20
baseline,679.00,,,,679.00,Collecting baseline... RawAvg=679.00
baseline,678.80,,,,678.80,Collecting baseline... RawAvg=678.80
baseline,678.80,,,,678.80,Collecting baseline... RawAvg=678.80
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,678.80,,,,678.80,Collecting baseline... RawAvg=678.80
baseline,678.40,,,,678.40,Collecting baseline... RawAvg=678.40
baseline,678.40,,,,678.40,Collecting baseline... RawAvg=678.40
baseline,678.00,,,,678.00,Collecting baseline... RawAvg=678.00
baseline,678.20,,,,678.20,Collecting baseline... RawAvg=678.20
baseline,678.60,,,,678.60,Collecting baseline... RawAvg=678.60
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,679.20,,,,679.20,Collecting baseline... RawAvg=679.20
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,679.60,,,,679.60,Collecting baseline... RawAvg=679.60
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,679.00,,,,679.00,Collecting baseline... RawAvg=679.00
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,679.20,,,,679.20,Collecting baseline... RawAvg=679.20
baseline,680.20,,,,680.20,Collecting baseline... RawAvg=680.20
baseline,680.00,,,,680.00,Collecting baseline... RawAvg=680.00
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,679.00,,,,679.00,Collecting baseline... RawAvg=679.00
baseline,678.60,,,,678.60,Collecting baseline... RawAvg=678.60
baseline,677.60,,,,677.60,Collecting baseline... RawAvg=677.60
baseline,677.60,,,,677.60,Collecting baseline... RawAvg=677.60
baseline,678.00,,,,678.00,Collecting baseline... RawAvg=678.00
baseline,678.20,,,,678.20,Collecting baseline... RawAvg=678.20
baseline,678.80,,,,678.80,Collecting baseline... RawAvg=678.80
baseline,679.00,,,,679.00,Collecting baseline... RawAvg=679.00
baseline,679.00,,,,679.00,Collecting baseline... RawAvg=679.00
baseline,678.80,,,,678.80,Collecting baseline... RawAvg=678.80
baseline,679.00,,,,679.00,Collecting baseline... RawAvg=679.00
baseline,679.00,,,,679.00,Collecting baseline... RawAvg=679.00
baseline,679.20,,,,679.20,Collecting baseline... RawAvg=679.20
baseline,679.60,,,,679.60,Collecting baseline... RawAvg=679.60
baseline,680.40,,,,680.40,Collecting baseline... RawAvg=680.40
baseline,679.80,,,,679.80,Collecting baseline... RawAvg=679.80
baseline,679.60,,,,679.60,Collecting baseline... RawAvg=679.60
baseline,679.20,,,,679.20,Collecting baseline... RawAvg=679.20
baseline,678.80,,,,678.80,Collecting baseline... RawAvg=678.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,678.92,,,678.92,Final Base Raw Average = 678.92
info,,,,,,--------------------------------------------------------------------------
data,,678.9,678.8,0.1,678.8,Time=0.1s | BaseRaw=678.9 | CurrentRaw=678.8 | Change=0.1 => Floor
data,,678.9,678.8,0.1,678.8,Time=0.2s | BaseRaw=678.9 | CurrentRaw=678.8 | Change=0.1 => Floor
data,,678.9,679.0,0.1,679.0,Time=0.3s | BaseRaw=678.9 | CurrentRaw=679.0 | Change=0.1 => Floor
data,,678.9,679.2,0.3,679.2,Time=0.4s | BaseRaw=678.9 | CurrentRaw=679.2 | Change=0.3 => Floor
data,,678.9,679.2,0.3,679.2,Time=0.5s | BaseRaw=678.9 | CurrentRaw=679.2 | Change=0.3 => Floor
data,,678.9,678.8,0.1,678.8,Time=0.6s | BaseRaw=678.9 | CurrentRaw=678.8 | Change=0.1 => Floor
data,,678.9,678.8,0.1,678.8,Time=0.7s | BaseRaw=678.9 | CurrentRaw=678.8 | Change=0.1 => Floor
data,,678.9,679.2,0.3,679.2,Time=0.8s | BaseRaw=678.9 | CurrentRaw=679.2 | Change=0.3 => Floor
data,,678.9,679.4,0.5,679.4,Time=0.9s | BaseRaw=678.9 | CurrentRaw=679.4 | Change=0.5 => Floor
data,,678.9,679.6,0.7,679.6,Time=1.0s | BaseRaw=678.9 | CurrentRaw=679.6 | Change=0.7 => Floor
data,,678.9,679.6,0.7,679.6,Time=1.1s | BaseRaw=678.9 | CurrentRaw=679.6 | Change=0.7 => Floor
data,,678.9,679.6,0.7,679.6,Time=1.2s | BaseRaw=678.9 | CurrentRaw=679.6 | Change=0.7 => Floor
data,,678.9,679.4,0.5,679.4,Time=1.3s | BaseRaw=678.9 | CurrentRaw=679.4 | Change=0.5 => Floor
data,,678.9,679.2,0.3,679.2,Time=1.4s | BaseRaw=678.9 | CurrentRaw=679.2 | Change=0.3 => Floor
data,,678.9,679.0,0.1,679.0,Time=1.5s | BaseRaw=678.9 | CurrentRaw=679.0 | Change=0.1 => Floor
data,,678.9,678.8,0.1,678.8,Time=1.6s | BaseRaw=678.9 | CurrentRaw=678.8 | Change=0.1 => Floor
data,,678.9,678.6,0.3,678.6,Time=1.7s | BaseRaw=678.9 | CurrentRaw=678.6 | Change=0.3 => Floor
data,,678.9,678.6,0.3,678.6,Time=1.8s | BaseRaw=678.9 | CurrentRaw=678.6 | Change=0.3 => Floor
data,,678.9,678.8,0.1,678.8,Time=1.9s | BaseRaw=678.9 | CurrentRaw=678.8 | Change=0.1 => Floor
data,,678.9,679.0,0.1,679.0,Time=2.0s | BaseRaw=678.9 | CurrentRaw=679.0 | Change=0.1 => Floor
data,,678.9,679.2,0.3,679.2,Time=2.1s | BaseRaw=678.9 | CurrentRaw=679.2 | Change=0.3 => Floor
data,,678.9,679.2,0.3,679.2,Time=2.2s | BaseRaw=678.9 | CurrentRaw=679.2 | Change=0.3 => Floor
data,,678.9,679.2,0.3,679.2,Time=2.3s | BaseRaw=678.9 | CurrentRaw=679.2 | Change=0.3 => Floor
data,,678.9,677.8,1.1,677.8,Time=2.4s | BaseRaw=678.9 | CurrentRaw=677.8 | Change=1.1 => Floor
data,,678.9,677.4,1.5,677.4,Time=2.5s | BaseRaw=678.9 | CurrentRaw=677.4 | Change=1.5 => Floor
data,,678.9,677.2,1.7,677.2,Time=2.6s | BaseRaw=678.9 | CurrentRaw=677.2 | Change=1.7 => Floor
data,,678.9,677.0,1.9,677.0,Time=2.7s | BaseRaw=678.9 | CurrentRaw=677.0 | Change=1.9 => Floor
data,,678.9,677.2,1.7,677.2,Time=2.8s | BaseRaw=678.9 | CurrentRaw=677.2 | Change=1.7 => Floor
data,,678.9,678.4,0.5,678.4,Time=2.9s | BaseRaw=678.9 | CurrentRaw=678.4 | Change=0.5 => Floor
data,,678.9,679.0,0.1,679.0,Time=3.0s | BaseRaw=678.9 | CurrentRaw=679.0 | Change=0.1 => Floor
data,,678.9,679.0,0.1,679.0,Time=3.1s | BaseRaw=678.9 | CurrentRaw=679.0 | Change=0.1 => Floor
data,,678.9,679.2,0.3,679.2,Time=3.2s | BaseRaw=678.9 | CurrentRaw=679.2 | Change=0.3 => Floor
data,,678.9,679.0,0.1,679.0,Time=3.3s | BaseRaw=678.9 | CurrentRaw=679.0 | Change=0.1 => Floor
data,,678.9,679.0,0.1,679.0,Time=3.4s | BaseRaw=678.9 | CurrentRaw=679.0 | Change=0.1 => Floor
data,,678.9,679.0,0.1,679.0,Time=3.5s | BaseRaw=678.9 | CurrentRaw=679.0 | Change=0.1 => Floor
data,,678.9,679.4,0.5,679.4,Time=3.6s | BaseRaw=678.9 | CurrentRaw=679.4 | Change=0.5 => Floor
data,,678.9,680.2,1.3,680.2,Time=3.7s | BaseRaw=678.9 | CurrentRaw=680.2 | Change=1.3 => Floor
data,,678.9,680.4,1.5,680.4,Time=3.8s | BaseRaw=678.9 | CurrentRaw=680.4 | Change=1.5 => Floor
data,,678.9,680.0,1.1,680.0,Time=3.9s | BaseRaw=678.9 | CurrentRaw=680.0 | Change=1.1 => Floor
data,,678.9,679.8,0.9,679.8,Time=4.0s | BaseRaw=678.9 | CurrentRaw=679.8 | Change=0.9 => Floor
data,,678.9,680.0,1.1,680.0,Time=4.1s | BaseRaw=678.9 | CurrentRaw=680.0 | Change=1.1 => Floor
data,,678.9,680.0,1.1,680.0,Time=4.2s | BaseRaw=678.9 | CurrentRaw=680.0 | Change=1.1 => Floor
data,,678.9,680.2,1.3,680.2,Time=4.3s | BaseRaw=678.9 | CurrentRaw=680.2 | Change=1.3 => Floor
data,,678.9,680.6,1.7,680.6,Time=4.4s | BaseRaw=678.9 | CurrentRaw=680.6 | Change=1.7 => Floor
data,,678.9,680.4,1.5,680.4,Time=4.5s | BaseRaw=678.9 | CurrentRaw=680.4 | Change=1.5 => Floor
data,,678.9,680.0,1.1,680.0,Time=4.6s | BaseRaw=678.9 | CurrentRaw=680.0 | Change=1.1 => Floor
data,,678.9,679.8,0.9,679.8,Time=4.7s | BaseRaw=678.9 | CurrentRaw=679.8 | Change=0.9 => Floor
data,,678.9,679.2,0.3,679.2,Time=4.8s | BaseRaw=678.9 | CurrentRaw=679.2 | Change=0.3 => Floor
data,,678.9,679.4,0.5,679.4,Time=4.9s | BaseRaw=678.9 | CurrentRaw=679.4 | Change=0.5 => Floor
data,,678.9,680.6,1.7,680.6,Time=5.0s | BaseRaw=678.9 | CurrentRaw=680.6 | Change=1.7 => Floor
data,,678.9,681.8,2.9,681.8,Time=5.1s | BaseRaw=678.9 | CurrentRaw=681.8 | Change=2.9 => Floor
data,,678.9,682.6,3.7,682.6,Time=5.2s | BaseRaw=678.9 | CurrentRaw=682.6 | Change=3.7 => Floor
data,,678.9,683.6,4.7,683.6,Time=5.3s | BaseRaw=678.9 | CurrentRaw=683.6 | Change=4.7 => Floor
data,,678.9,684.4,5.5,684.4,Time=5.4s | BaseRaw=678.9 | CurrentRaw=684.4 | Change=5.5 => Floor
data,,678.9,685.0,6.1,685.0,Time=5.5s | BaseRaw=678.9 | CurrentRaw=685.0 | Change=6.1 => Floor
data,,678.9,685.6,6.7,685.6,Time=5.6s | BaseRaw=678.9 | CurrentRaw=685.6 | Change=6.7 => Floor
data,,678.9,686.4,7.5,686.4,Time=5.7s | BaseRaw=678.9 | CurrentRaw=686.4 | Change=7.5 => Floor
data,,678.9,687.2,8.3,687.2,Time=5.8s | BaseRaw=678.9 | CurrentRaw=687.2 | Change=8.3 => Floor
data,,678.9,687.6,8.7,687.6,Time=5.9s | BaseRaw=678.9 | CurrentRaw=687.6 | Change=8.7 => Floor
data,,678.9,687.6,8.7,687.6,Time=6.0s | BaseRaw=678.9 | CurrentRaw=687.6 | Change=8.7 => Floor
data,,678.9,687.8,8.9,687.8,Time=6.1s | BaseRaw=678.9 | CurrentRaw=687.8 | Change=8.9 => Floor
data,,678.9,687.4,8.5,687.4,Time=6.2s | BaseRaw=678.9 | CurrentRaw=687.4 | Change=8.5 => Floor
data,,678.9,686.6,7.7,686.6,Time=6.3s | BaseRaw=678.9 | CurrentRaw=686.6 | Change=7.7 => Floor
data,,678.9,686.4,7.5,686.4,Time=6.4s | BaseRaw=678.9 | CurrentRaw=686.4 | Change=7.5 => Floor
data,,678.9,686.8,7.9,686.8,Time=6.5s | BaseRaw=678.9 | CurrentRaw=686.8 | Change=7.9 => Floor
