record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,720.20,,,,720.20,Collecting baseline... RawAvg=720.20
baseline,720.40,,,,720.40,Collecting baseline... RawAvg=720.40
baseline,719.60,,,,719.60,Collecting baseline... RawAvg=719.60
baseline,720.40,,,,720.40,Collecting baseline... RawAvg=720.40
baseline,720.40,,,,720.40,Collecting baseline... RawAvg=720.40
baseline,720.20,,,,720.20,Collecting baseline... RawAvg=720.20
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,720.80,,,,720.80,Collecting baseline... RawAvg=720.80
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,719.20,,,,719.20,Collecting baseline... RawAvg=719.20
baseline,719.60,,,,719.60,Collecting baseline... RawAvg=719.60
baseline,719.60,,,,719.60,Collecting baseline... RawAvg=719.60
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,720.40,,,,720.40,Collecting baseline... RawAvg=720.40
baseline,720.40,,,,720.40,Collecting baseline... RawAvg=720.40
baseline,720.60,,,,720.60,Collecting baseline... RawAvg=720.60
baseline,720.20,,,,720.20,Collecting baseline... RawAvg=720.20
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,720.40,,,,720.40,Collecting baseline... RawAvg=720.40
baseline,721.40,,,,721.40,Collecting baseline... RawAvg=721.40
baseline,721.00,,,,721.00,Collecting baseline... RawAvg=721.00
baseline,721.00,,,,721.00,Collecting baseline... RawAvg=721.00
baseline,721.20,,,,721.20,Collecting baseline... RawAvg=721.20
baseline,720.40,,,,720.40,Collecting baseline... RawAvg=720.40
baseline,719.40,,,,719.40,Collecting baseline... RawAvg=719.40
baseline,719.40,,,,719.40,Collecting baseline... RawAvg=719.40
baseline,719.00,,,,719.00,Collecting baseline... RawAvg=719.00
baseline,719.00,,,,719.00,Collecting baseline... RawAvg=719.00
baseline,719.40,,,,719.40,Collecting baseline... RawAvg=719.40
baseline,719.60,,,,719.60,Collecting baseline... RawAvg=719.60
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,720.80,,,,720.80,Collecting baseline... RawAvg=720.80
baseline,720.80,,,,720.80,Collecting baseline... RawAvg=720.80
baseline,721.00,,,,721.00,Collecting baseline... RawAvg=721.00
baseline,720.80,,,,720.80,Collecting baseline... RawAvg=720.80
baseline,720.80,,,,720.80,Collecting baseline... RawAvg=720.80
baseline,720.60,,,,720.60,Collecting baseline... RawAvg=720.60
baseline,720.80,,,,720.80,Collecting baseline... RawAvg=720.80
baseline,720.40,,,,720.40,Collecting baseline... RawAvg=720.40
baseline,720.40,,,,720.40,Collecting baseline... RawAvg=720.40
baseline,720.20,,,,720.20,Collecting baseline... RawAvg=720.20
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,719.40,,,,719.40,Collecting baseline... RawAvg=719.40
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,720.40,,,,720.40,Collecting baseline... RawAvg=720.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,720.16,,,720.16,Final Base Raw Average = 720.16
info,,,,,,--------------------------------------------------------------------------
data,,720.2,720.4,0.2,720.4,Time=0.1s | BaseRaw=720.2 | CurrentRaw=720.4 | Change=0.2 => Floor
data,,720.2,720.6,0.4,720.6,Time=0.2s | BaseRaw=720.2 | CurrentRaw=720.6 | Change=0.4 => Floor
data,,720.2,720.8,0.6,720.8,Time=0.3s | BaseRaw=720.2 | CurrentRaw=720.8 | Change=0.6 => Floor
data,,720.2,720.4,0.2,720.4,Time=0.4s | BaseRaw=720.2 | CurrentRaw=720.4 | Change=0.2 => Floor
data,,720.2,720.2,0.0,720.2,Time=0.5s | BaseRaw=720.2 | CurrentRaw=720.2 | Change=0.0 => Floor
data,,720.2,720.4,0.2,720.4,Time=0.6s | BaseRaw=720.2 | CurrentRaw=720.4 | Change=0.2 => Floor
data,,720.2,720.2,0.0,720.2,Time=0.7s | BaseRaw=720.2 | CurrentRaw=720.2 | Change=0.0 => Floor
data,,720.2,720.2,0.0,720.2,Time=0.8s | BaseRaw=720.2 | CurrentRaw=720.2 | Change=0.0 => Floor
data,,720.2,720.2,0.0,720.2,Time=0.9s | BaseRaw=720.2 | CurrentRaw=720.2 | Change=0.0 => Floor
data,,720.2,720.8,0.6,720.8,Time=1.0s | BaseRaw=720.2 | CurrentRaw=720.8 | Change=0.6 => Floor
data,,720.2,720.6,0.4,720.6,Time=1.1s | BaseRaw=720.2 | CurrentRaw=720.6 | Change=0.4 => Floor
data,,720.2,720.6,0.4,720.6,Time=1.2s | BaseRaw=720.2 | CurrentRaw=720.6 | Change=0.4 => Floor
data,,720.2,720.4,0.2,720.4,Time=1.3s | BaseRaw=720.2 | CurrentRaw=720.4 | Change=0.2 => Floor
data,,720.2,720.4,0.2,720.4,Time=1.4s | BaseRaw=720.2 | CurrentRaw=720.4 | Change=0.2 => Floor
data,,720.2,719.8,0.4,719.8,Time=1.5s | BaseRaw=720.2 | CurrentRaw=719.8 | Change=0.4 => Floor
data,,720.2,720.0,0.2,720.0,Time=1.6s | BaseRaw=720.2 | CurrentRaw=720.0 | Change=0.2 => Floor
data,,720.2,719.8,0.4,719.8,Time=1.7s | BaseRaw=720.2 | CurrentRaw=719.8 | Change=0.4 => Floor
data,,720.2,719.8,0.4,719.8,Time=1.8s | BaseRaw=720.2 | CurrentRaw=719.8 | Change=0.4 => Floor
data,,720.2,720.2,0.0,720.2,Time=1.9s | BaseRaw=720.2 | CurrentRaw=720.2 | Change=0.0 => Floor
data,,720.2,720.2,0.0,720.2,Time=2.0s | BaseRaw=720.2 | CurrentRaw=720.2 | Change=0.0 => Floor
data,,720.2,720.2,0.0,720.2,Time=2.1s | BaseRaw=720.2 | CurrentRaw=720.2 | Change=0.0 => Floor
data,,720.2,719.8,0.4,719.8,Time=2.2s | BaseRaw=720.2 | CurrentRaw=719.8 | Change=0.4 => Floor
data,,720.2,720.0,0.2,720.0,Time=2.3s | BaseRaw=720.2 | CurrentRaw=720.0 | Change=0.2 => Floor
data,,720.2,719.8,0.4,719.8,Time=2.4s | BaseRaw=720.2 | CurrentRaw=719.8 | Change=0.4 => Floor
data,,720.2,720.2,0.0,720.2,Time=2.5s | BaseRaw=720.2 | CurrentRaw=720.2 | Change=0.0 => Floor
data,,720.2,719.8,0.4,719.8,Time=2.6s | BaseRaw=720.2 | CurrentRaw=719.8 | Change=0.4 => Floor
data,,720.2,720.2,0.0,720.2,Time=2.7s | BaseRaw=720.2 | CurrentRaw=720.2 | Change=0.0 => Floor
data,,720.2,720.0,0.2,720.0,Time=2.8s | BaseRaw=720.2 | CurrentRaw=720.0 | Change=0.2 => Floor
data,,720.2,720.0,0.2,720.0,Time=2.9s | BaseRaw=720.2 | CurrentRaw=720.0 | Change=0.2 => Floor
data,,720.2,720.0,0.2,720.0,Time=3.0s | BaseRaw=720.2 | CurrentRaw=720.0 | Change=0.2 => Floor
data,,720.2,721.0,0.8,721.0,Time=3.1s | BaseRaw=720.2 | CurrentRaw=721.0 | Change=0.8 => Floor
data,,720.2,721.0,0.8,721.0,Time=3.2s | BaseRaw=720.2 | CurrentRaw=721.0 | Change=0.8 => Floor
data,,720.2,721.0,0.8,721.0,Time=3.3s | BaseRaw=720.2 | CurrentRaw=721.0 | Change=0.8 => Floor
data,,720.2,720.8,0.6,720.8,Time=3.4s | BaseRaw=720.2 | CurrentRaw=720.8 | Change=0.6 => Floor
data,,720.2,720.8,0.6,720.8,Time=3.5s | BaseRaw=720.2 | CurrentRaw=720.8 | Change=0.6 => Floor
data,,720.2,719.6,0.6,719.6,Time=3.6s | BaseRaw=720.2 | CurrentRaw=719.6 | Change=0.6 => Floor
data,,720.2,719.4,0.8,719.4,Time=3.7s | BaseRaw=720.2 | CurrentRaw=719.4 | Change=0.8 => Floor
data,,720.2,719.4,0.8,719.4,Time=3.8s | BaseRaw=720.2 | CurrentRaw=719.4 | Change=0.8 => Floor
data,,720.2,719.2,1.0,719.2,Time=3.9s | BaseRaw=720.2 | CurrentRaw=719.2 | Change=1.0 => Floor
data,,720.2,719.0,1.2,719.0,Time=4.0s | BaseRaw=720.2 | CurrentRaw=719.0 | Change=1.2 => Floor
data,,720.2,719.2,1.0,719.2,Time=4.1s | BaseRaw=720.2 | CurrentRaw=719.2 | Change=1.0 => Floor
data,,720.2,719.2,1.0,719.2,Time=4.2s | BaseRaw=720.2 | CurrentRaw=719.2 | Change=1.0 => Floor
data,,720.2,719.0,1.2,719.0,Time=4.3s | BaseRaw=720.2 | CurrentRaw=719.0 | Change=1.2 => Floor
data,,720.2,719.2,1.0,719.2,Time=4.4s | BaseRaw=720.2 | CurrentRaw=719.2 | Change=1.0 => Floor
data,,720.2,719.2,1.0,719.2,Time=4.5s | BaseRaw=720.2 | CurrentRaw=719.2 | Change=1.0 => Floor
data,,720.2,719.2,1.0,719.2,Time=4.6s | BaseRaw=720.2 | CurrentRaw=719.2 | Change=1.0 => Floor
data,,720.2,719.4,0.8,719.4,Time=4.7s | BaseRaw=720.2 | CurrentRaw=719.4 | Change=0.8 => Floor
data,,720.2,719.8,0.4,719.8,Time=4.8s | BaseRaw=720.2 | CurrentRaw=719.8 | Change=0.4 => Floor
data,,720.2,720.4,0.2,720.4,Time=4.9s | BaseRaw=720.2 | CurrentRaw=720.4 | Change=0.2 => Floor
data,,720.2,720.4,0.2,720.4,Time=5.0s | BaseRaw=720.2 | CurrentRaw=720.4 | Change=0.2 => Floor
data,,720.2,720.6,0.4,720.6,Time=5.1s | BaseRaw=720.2 | CurrentRaw=720.6 | Change=0.4 => Floor
data,,720.2,720.4,0.2,720.4,Time=5.2s | BaseRaw=720.2 | CurrentRaw=720.4 | Change=0.2 => Floor
data,,720.2,721.0,0.8,721.0,Time=5.3s | BaseRaw=720.2 | CurrentRaw=721.0 | Change=0.8 => Floor
data,,720.2,720.6,0.4,720.6,Time=5.4s | BaseRaw=720.2 | CurrentRaw=720.6 | Change=0.4 => Floor
data,,720.2,719.6,0.6,719.6,Time=5.5s | BaseRaw=720.2 | CurrentRaw=719.6 | Change=0.6 => Floor
data,,720.2,716.6,3.6,716.6,Time=5.6s | BaseRaw=720.2 | CurrentRaw=716.6 | Change=3.6 => Floor
data,,720.2,711.6,8.6,711.6,Time=5.7s | BaseRaw=720.2 | CurrentRaw=711.6 | Change=8.6 => Floor
data,,720.2,704.2,16.0,704.2,Time=5.8s | BaseRaw=720.2 | CurrentRaw=704.2 | Change=16.0 => Liquid
data,,720.2,697.2,23.0,697.2,Time=5.9s | BaseRaw=720.2 | CurrentRaw=697.2 | Change=23.0 => Liquid
data,,720.2,691.0,29.2,691.0,Time=6.0s | BaseRaw=720.2 | CurrentRaw=691.0 | Change=29.2 => Liquid
data,,720.2,687.4,32.8,687.4,Time=6.1s | BaseRaw=720.2 | CurrentRaw=687.4 | Change=32.8 => Liquid
data,,720.2,685.8,34.4,685.8,Time=6.2s | BaseRaw=720.2 | CurrentRaw=685.8 | Change=34.4 => Liquid
data,,720.2,685.4,34.8,685.4,Time=6.3s | BaseRaw=720.2 | CurrentRaw=685.4 | Change=34.8 => Liquid
data,,720.2,685.8,34.4,685.8,Time=6.4s | BaseRaw=720.2 | CurrentRaw=685.8 | Change=34.4 => Liquid
data,,720.2,686.4,33.8,686.4,Time=6.5s | BaseRaw=720.2 | CurrentRaw=686.4 | Change=33.8 => Liquid
