record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,670.40,,,,670.40,Collecting baseline... RawAvg=670.40
baseline,670.60,,,,670.60,Collecting baseline... RawAvg=670.60
baseline,670.40,,,,670.40,Collecting baseline... RawAvg=670.40
baseline,670.80,,,,670.80,Collecting baseline... RawAvg=670.80
baseline,670.40,,,,670.40,Collecting baseline... RawAvg=670.40
baseline,670.40,,,,670.40,Collecting baseline... RawAvg=670.40
baseline,670.20,,,,670.20,Collecting baseline... RawAvg=670.20
baseline,670.40,,,,670.40,Collecting baseline... RawAvg=670.40
baseline,670.80,,,,670.80,Collecting baseline... RawAvg=670.80
baseline,671.20,,,,671.20,Collecting baseline... RawAvg=671.20
baseline,671.00,,,,671.00,Collecting baseline... RawAvg=671.00
baseline,671.20,,,,671.20,Collecting baseline... RawAvg=671.20
baseline,671.40,,,,671.40,Collecting baseline... RawAvg=671.40
baseline,671.80,,,,671.80,Collecting baseline... RawAvg=671.80
baseline,672.20,,,,672.20,Collecting baseline... RawAvg=672.20
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.00,,,,672.00,Collecting baseline... RawAvg=672.00
baseline,671.80,,,,671.80,Collecting baseline... RawAvg=671.80
baseline,671.60,,,,671.60,Collecting baseline... RawAvg=671.60
baseline,671.60,,,,671.60,Collecting baseline... RawAvg=671.60
baseline,671.60,,,,671.60,Collecting baseline... RawAvg=671.60
baseline,672.00,,,,672.00,Collecting baseline... RawAvg=672.00
baseline,672.00,,,,672.00,Collecting baseline... RawAvg=672.00
baseline,671.80,,,,671.80,Collecting baseline... RawAvg=671.80
baseline,671.80,,,,671.80,Collecting baseline... RawAvg=671.80
baseline,671.80,,,,671.80,Collecting baseline... RawAvg=671.80
baseline,671.60,,,,671.60,Collecting baseline... RawAvg=671.60
baseline,671.80,,,,671.80,Collecting baseline... RawAvg=671.80
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,671.89,,,671.89,Final Base Raw Average = 671.89
info,,,,,,--------------------------------------------------------------------------
data,,671.9,673.2,1.3,673.2,Time=0.1s | BaseRaw=671.9 | CurrentRaw=673.2 | Change=1.3 => Floor
data,,671.9,672.8,0.9,672.8,Time=0.2s | BaseRaw=671.9 | CurrentRaw=672.8 | Change=0.9 => Floor
data,,671.9,672.6,0.7,672.6,Time=0.3s | BaseRaw=671.9 | CurrentRaw=672.6 | Change=0.7 => Floor
data,,671.9,673.0,1.1,673.0,Time=0.4s | BaseRaw=671.9 | CurrentRaw=673.0 | Change=1.1 => Floor
data,,671.9,673.2,1.3,673.2,Time=0.5s | BaseRaw=671.9 | CurrentRaw=673.2 | Change=1.3 => Floor
data,,671.9,673.4,1.5,673.4,Time=0.6s | BaseRaw=671.9 | CurrentRaw=673.4 | Change=1.5 => Floor
data,,671.9,673.4,1.5,673.4,Time=0.7s | BaseRaw=671.9 | CurrentRaw=673.4 | Change=1.5 => Floor
data,,671.9,673.2,1.3,673.2,Time=0.8s | BaseRaw=671.9 | CurrentRaw=673.2 | Change=1.3 => Floor
data,,671.9,673.2,1.3,673.2,Time=0.9s | BaseRaw=671.9 | CurrentRaw=673.2 | Change=1.3 => Floor
data,,671.9,673.0,1.1,673.0,Time=1.0s | BaseRaw=671.9 | CurrentRaw=673.0 | Change=1.1 => Floor
data,,671.9,673.2,1.3,673.2,Time=1.1s | BaseRaw=671.9 | CurrentRaw=673.2 | Change=1.3 => Floor
data,,671.9,673.2,1.3,673.2,Time=1.2s | BaseRaw=671.9 | CurrentRaw=673.2 | Change=1.3 => Floor
data,,671.9,673.4,1.5,673.4,Time=1.3s | BaseRaw=671.9 | CurrentRaw=673.4 | Change=1.5 => Floor
data,,671.9,673.2,1.3,673.2,Time=1.4s | BaseRaw=671.9 | CurrentRaw=673.2 | Change=1.3 => Floor
data,,671.9,673.2,1.3,673.2,Time=1.5s | BaseRaw=671.9 | CurrentRaw=673.2 | Change=1.3 => Floor
data,,671.9,672.4,0.5,672.4,Time=1.6s | BaseRaw=671.9 | CurrentRaw=672.4 | Change=0.5 => Floor
data,,671.9,672.4,0.5,672.4,Time=1.7s | BaseRaw=671.9 | CurrentRaw=672.4 | Change=0.5 => Floor
data,,671.9,672.4,0.5,672.4,Time=1.8s | BaseRaw=671.9 | CurrentRaw=672.4 | Change=0.5 => Floor
data,,671.9,672.2,0.3,672.2,Time=1.9s | BaseRaw=671.9 | CurrentRaw=672.2 | Change=0.3 => Floor
data,,671.9,672.0,0.1,672.0,Time=2.0s | BaseRaw=671.9 | CurrentRaw=672.0 | Change=0.1 => Floor
data,,671.9,672.0,0.1,672.0,Time=2.1s | BaseRaw=671.9 | CurrentRaw=672.0 | Change=0.1 => Floor
data,,671.9,672.2,0.3,672.2,Time=2.2s | BaseRaw=671.9 | CurrentRaw=672.2 | Change=0.3 => Floor
data,,671.9,672.2,0.3,672.2,Time=2.3s | BaseRaw=671.9 | CurrentRaw=672.2 | Change=0.3 => Floor
data,,671.9,672.2,0.3,672.2,Time=2.4s | BaseRaw=671.9 | CurrentRaw=672.2 | Change=0.3 => Floor
data,,671.9,672.4,0.5,672.4,Time=2.5s | BaseRaw=671.9 | CurrentRaw=672.4 | Change=0.5 => Floor
data,,671.9,672.4,0.5,672.4,Time=2.6s | BaseRaw=671.9 | CurrentRaw=672.4 | Change=0.5 => Floor
data,,671.9,672.2,0.3,672.2,Time=2.7s | BaseRaw=671.9 | CurrentRaw=672.2 | Change=0.3 => Floor
data,,671.9,672.2,0.3,672.2,Time=2.8s | BaseRaw=671.9 | CurrentRaw=672.2 | Change=0.3 => Floor
data,,671.9,672.6,0.7,672.6,Time=2.9s | BaseRaw=671.9 | CurrentRaw=672.6 | Change=0.7 => Floor
data,,671.9,672.4,0.5,672.4,Time=3.0s | BaseRaw=671.9 | CurrentRaw=672.4 | Change=0.5 => Floor
data,,671.9,672.8,0.9,672.8,Time=3.1s | BaseRaw=671.9 | CurrentRaw=672.8 | Change=0.9 => Floor
data,,671.9,672.8,0.9,672.8,Time=3.2s | BaseRaw=671.9 | CurrentRaw=672.8 | Change=0.9 => Floor
data,,671.9,672.4,0.5,672.4,Time=3.3s | BaseRaw=671.9 | CurrentRaw=672.4 | Change=0.5 => Floor
data,,671.9,672.2,0.3,672.2,Time=3.4s | BaseRaw=671.9 | CurrentRaw=672.2 | Change=0.3 => Floor
data,,671.9,672.8,0.9,672.8,Time=3.5s | BaseRaw=671.9 | CurrentRaw=672.8 | Change=0.9 => Floor
data,,671.9,672.6,0.7,672.6,Time=3.6s | BaseRaw=671.9 | CurrentRaw=672.6 | Change=0.7 => Floor
data,,671.9,673.0,1.1,673.0,Time=3.7s | BaseRaw=671.9 | CurrentRaw=673.0 | Change=1.1 => Floor
data,,671.9,673.6,1.7,673.6,Time=3.8s | BaseRaw=671.9 | CurrentRaw=673.6 | Change=1.7 => Floor
data,,671.9,673.6,1.7,673.6,Time=3.9s | BaseRaw=671.9 | CurrentRaw=673.6 | Change=1.7 => Floor
data,,671.9,673.2,1.3,673.2,Time=4.0s | BaseRaw=671.9 | CurrentRaw=673.2 | Change=1.3 => Floor
data,,671.9,673.0,1.1,673.0,Time=4.1s | BaseRaw=671.9 | CurrentRaw=673.0 | Change=1.1 => Floor
data,,671.9,672.4,0.5,672.4,Time=4.2s | BaseRaw=671.9 | CurrentRaw=672.4 | Change=0.5 => Floor
data,,671.9,671.8,0.1,671.8,Time=4.3s | BaseRaw=671.9 | CurrentRaw=671.8 | Change=0.1 => Floor
data,,671.9,672.2,0.3,672.2,Time=4.4s | BaseRaw=671.9 | CurrentRaw=672.2 | Change=0.3 => Floor
data,,671.9,673.2,1.3,673.2,Time=4.5s | BaseRaw=671.9 | CurrentRaw=673.2 | Change=1.3 => Floor
data,,671.9,673.6,1.7,673.6,Time=4.6s | BaseRaw=671.9 | CurrentRaw=673.6 | Change=1.7 => Floor
data,,671.9,673.8,1.9,673.8,Time=4.7s | BaseRaw=671.9 | CurrentRaw=673.8 | Change=1.9 => Floor
data,,671.9,674.4,2.5,674.4,Time=4.8s | BaseRaw=671.9 | CurrentRaw=674.4 | Change=2.5 => Floor
data,,671.9,673.8,1.9,673.8,Time=4.9s | BaseRaw=671.9 | CurrentRaw=673.8 | Change=1.9 => Floor
data,,671.9,672.6,0.7,672.6,Time=5.0s | BaseRaw=671.9 | CurrentRaw=672.6 | Change=0.7 => Floor
data,,671.9,672.4,0.5,672.4,Time=5.1s | BaseRaw=671.9 | CurrentRaw=672.4 | Change=0.5 => Floor
data,,671.9,672.0,0.1,672.0,Time=5.2s | BaseRaw=671.9 | CurrentRaw=672.0 | Change=0.1 => Floor
data,,671.9,672.0,0.1,672.0,Time=5.3s | BaseRaw=671.9 | CurrentRaw=672.0 | Change=0.1 => Floor
data,,671.9,671.8,0.1,671.8,Time=5.4s | BaseRaw=671.9 | CurrentRaw=671.8 | Change=0.1 => Floor
data,,671.9,670.8,1.1,670.8,Time=5.5s | BaseRaw=671.9 | CurrentRaw=670.8 | Change=1.1 => Floor
data,,671.9,669.4,2.5,669.4,Time=5.6s | BaseRaw=671.9 | CurrentRaw=669.4 | Change=2.5 => Floor
data,,671.9,667.6,4.3,667.6,Time=5.7s | BaseRaw=671.9 | CurrentRaw=667.6 | Change=4.3 => Floor
data,,671.9,665.2,6.7,665.2,Time=5.8s | BaseRaw=671.9 | CurrentRaw=665.2 | Change=6.7 => Floor
data,,671.9,665.2,6.7,665.2,Time=5.9s | BaseRaw=671.9 | CurrentRaw=665.2 | Change=6.7 => Floor
data,,671.9,666.0,5.9,666.0,Time=6.0s | BaseRaw=671.9 | CurrentRaw=666.0 | Change=5.9 => Floor
data,,671.9,667.0,4.9,667.0,Time=6.1s | BaseRaw=671.9 | CurrentRaw=667.0 | Change=4.9 => Floor
data,,671.9,669.0,2.9,669.0,Time=6.2s | BaseRaw=671.9 | CurrentRaw=669.0 | Change=2.9 => Floor
data,,671.9,671.4,0.5,671.4,Time=6.3s | BaseRaw=671.9 | CurrentRaw=671.4 | Change=0.5 => Floor
data,,671.9,673.4,1.5,673.4,Time=6.4s | BaseRaw=671.9 | CurrentRaw=673.4 | Change=1.5 => Floor
data,,671.9,673.6,1.7,673.6,Time=6.5s | BaseRaw=671.9 | CurrentRaw=673.6 | Change=1.7 => Floor
