record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.40,,,,673.40,Collecting baseline... RawAvg=673.40
baseline,673.40,,,,673.40,Collecting baseline... RawAvg=673.40
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,672.20,,,,672.20,Collecting baseline... RawAvg=672.20
baseline,672.20,,,,672.20,Collecting baseline... RawAvg=672.20
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.40,,,,673.40,Collecting baseline... RawAvg=673.40
baseline,673.60,,,,673.60,Collecting baseline... RawAvg=673.60
baseline,673.60,,,,673.60,Collecting baseline... RawAvg=673.60
baseline,673.40,,,,673.40,Collecting baseline... RawAvg=673.40
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.20,,,,672.20,Collecting baseline... RawAvg=672.20
baseline,672.00,,,,672.00,Collecting baseline... RawAvg=672.00
baseline,672.00,,,,672.00,Collecting baseline... RawAvg=672.00
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.40,,,,673.40,Collecting baseline... RawAvg=673.40
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.20,,,,672.20,Collecting baseline... RawAvg=672.20
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.40,,,,673.40,Collecting baseline... RawAvg=673.40
baseline,673.60,,,,673.60,Collecting baseline... RawAvg=673.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,672.79,,,672.79,Final Base Raw Average = 672.79
info,,,,,,--------------------------------------------------------------------------
data,,672.8,675.2,2.4,675.2,Time=0.1s | BaseRaw=672.8 | CurrentRaw=675.2 | Change=2.4 => Floor
data,,672.8,674.8,2.0,674.8,Time=0.2s | BaseRaw=672.8 | CurrentRaw=674.8 | Change=2.0 => Floor
data,,672.8,675.0,2.2,675.0,Time=0.3s | BaseRaw=672.8 | CurrentRaw=675.0 | Change=2.2 => Floor
data,,672.8,675.0,2.2,675.0,Time=0.4s | BaseRaw=672.8 | CurrentRaw=675.0 | Change=2.2 => Floor
data,,672.8,675.0,2.2,675.0,Time=0.5s | BaseRaw=672.8 | CurrentRaw=675.0 | Change=2.2 => Floor
data,,672.8,675.2,2.4,675.2,Time=0.6s | BaseRaw=672.8 | CurrentRaw=675.2 | Change=2.4 => Floor
data,,672.8,675.6,2.8,675.6,Time=0.7s | BaseRaw=672.8 | CurrentRaw=675.6 | Change=2.8 => Floor
data,,672.8,675.0,2.2,675.0,Time=0.8s | BaseRaw=672.8 | CurrentRaw=675.0 | Change=2.2 => Floor
data,,672.8,674.6,1.8,674.6,Time=0.9s | BaseRaw=672.8 | CurrentRaw=674.6 | Change=1.8 => Floor
data,,672.8,673.8,1.0,673.8,Time=1.0s | BaseRaw=672.8 | CurrentRaw=673.8 | Change=1.0 => Floor
data,,672.8,673.2,0.4,673.2,Time=1.1s | BaseRaw=672.8 | CurrentRaw=673.2 | Change=0.4 => Floor
data,,672.8,673.0,0.2,673.0,Time=1.2s | BaseRaw=672.8 | CurrentRaw=673.0 | Change=0.2 => Floor
data,,672.8,673.2,0.4,673.2,Time=1.3s | BaseRaw=672.8 | CurrentRaw=673.2 | Change=0.4 => Floor
data,,672.8,673.6,0.8,673.6,Time=1.4s | BaseRaw=672.8 | CurrentRaw=673.6 | Change=0.8 => Floor
data,,672.8,673.6,0.8,673.6,Time=1.5s | BaseRaw=672.8 | CurrentRaw=673.6 | Change=0.8 => Floor
data,,672.8,673.4,0.6,673.4,Time=1.6s | BaseRaw=672.8 | CurrentRaw=673.4 | Change=0.6 => Floor
data,,672.8,673.0,0.2,673.0,Time=1.7s | BaseRaw=672.8 | CurrentRaw=673.0 | Change=0.2 => Floor
data,,672.8,672.8,0.0,672.8,Time=1.8s | BaseRaw=672.8 | CurrentRaw=672.8 | Change=0.0 => Floor
data,,672.8,672.6,0.2,672.6,Time=1.9s | BaseRaw=672.8 | CurrentRaw=672.6 | Change=0.2 => Floor
data,,672.8,672.6,0.2,672.6,Time=2.0s | BaseRaw=672.8 | CurrentRaw=672.6 | Change=0.2 => Floor
data,,672.8,672.8,0.0,672.8,Time=2.1s | BaseRaw=672.8 | CurrentRaw=672.8 | Change=0.0 => Floor
data,,672.8,673.0,0.2,673.0,Time=2.2s | BaseRaw=672.8 | CurrentRaw=673.0 | Change=0.2 => Floor
data,,672.8,673.2,0.4,673.2,Time=2.3s | BaseRaw=672.8 | CurrentRaw=673.2 | Change=0.4 => Floor
data,,672.8,673.2,0.4,673.2,Time=2.4s | BaseRaw=672.8 | CurrentRaw=673.2 | Change=0.4 => Floor
data,,672.8,673.0,0.2,673.0,Time=2.5s | BaseRaw=672.8 | CurrentRaw=673.0 | Change=0.2 => Floor
data,,672.8,673.8,1.0,673.8,Time=2.6s | BaseRaw=672.8 | CurrentRaw=673.8 | Change=1.0 => Floor
data,,672.8,674.2,1.4,674.2,Time=2.7s | BaseRaw=672.8 | CurrentRaw=674.2 | Change=1.4 => Floor
data,,672.8,674.6,1.8,674.6,Time=2.8s | BaseRaw=672.8 | CurrentRaw=674.6 | Change=1.8 => Floor
data,,672.8,674.6,1.8,674.6,Time=2.9s | BaseRaw=672.8 | CurrentRaw=674.6 | Change=1.8 => Floor
data,,672.8,675.2,2.4,675.2,Time=3.0s | BaseRaw=672.8 | CurrentRaw=675.2 | Change=2.4 => Floor
data,,672.8,674.4,1.6,674.4,Time=3.1s | BaseRaw=672.8 | CurrentRaw=674.4 | Change=1.6 => Floor
data,,672.8,674.0,1.2,674.0,Time=3.2s | BaseRaw=672.8 | CurrentRaw=674.0 | Change=1.2 => Floor
data,,672.8,673.2,0.4,673.2,Time=3.3s | BaseRaw=672.8 | CurrentRaw=673.2 | Change=0.4 => Floor
data,,672.8,672.8,0.0,672.8,Time=3.4s | BaseRaw=672.8 | CurrentRaw=672.8 | Change=0.0 => Floor
data,,672.8,672.4,0.4,672.4,Time=3.5s | BaseRaw=672.8 | CurrentRaw=672.4 | Change=0.4 => Floor
data,,672.8,671.2,1.6,671.2,Time=3.6s | BaseRaw=672.8 | CurrentRaw=671.2 | Change=1.6 => Floor
data,,672.8,670.6,2.2,670.6,Time=3.7s | BaseRaw=672.8 | CurrentRaw=670.6 | Change=2.2 => Floor
data,,672.8,670.6,2.2,670.6,Time=3.8s | BaseRaw=672.8 | CurrentRaw=670.6 | Change=2.2 => Floor
data,,672.8,670.2,2.6,670.2,Time=3.9s | BaseRaw=672.8 | CurrentRaw=670.2 | Change=2.6 => Floor
data,,672.8,669.0,3.8,669.0,Time=4.0s | BaseRaw=672.8 | CurrentRaw=669.0 | Change=3.8 => Floor
data,,672.8,668.8,4.0,668.8,Time=4.1s | BaseRaw=672.8 | CurrentRaw=668.8 | Change=4.0 => Floor
data,,672.8,668.0,4.8,668.0,Time=4.2s | BaseRaw=672.8 | CurrentRaw=668.0 | Change=4.8 => Floor
data,,672.8,667.2,5.6,667.2,Time=4.3s | BaseRaw=672.8 | CurrentRaw=667.2 | Change=5.6 => Floor
data,,672.8,667.0,5.8,667.0,Time=4.4s | BaseRaw=672.8 | CurrentRaw=667.0 | Change=5.8 => Floor
data,,672.8,666.4,6.4,666.4,Time=4.5s | BaseRaw=672.8 | CurrentRaw=666.4 | Change=6.4 => Floor
data,,672.8,665.4,7.4,665.4,Time=4.6s | BaseRaw=672.8 | CurrentRaw=665.4 | Change=7.4 => Floor
data,,672.8,665.2,7.6,665.2,Time=4.7s | BaseRaw=672.8 | CurrentRaw=665.2 | Change=7.6 => Floor
data,,672.8,664.8,8.0,664.8,Time=4.8s | BaseRaw=672.8 | CurrentRaw=664.8 | Change=8.0 => Floor
data,,672.8,664.6,8.2,664.6,Time=4.9s | BaseRaw=672.8 | CurrentRaw=664.6 | Change=8.2 => Floor
data,,672.8,664.0,8.8,664.0,Time=5.0s | BaseRaw=672.8 | CurrentRaw=664.0 | Change=8.8 => Floor
data,,672.8,665.0,7.8,665.0,Time=5.1s | BaseRaw=672.8 | CurrentRaw=665.0 | Change=7.8 => Floor
data,,672.8,664.8,8.0,664.8,Time=5.2s | BaseRaw=672.8 | CurrentRaw=664.8 | Change=8.0 => Floor
data,,672.8,664.8,8.0,664.8,Time=5.3s | BaseRaw=672.8 | CurrentRaw=664.8 | Change=8.0 => Floor
data,,672.8,664.4,8.4,664.4,Time=5.4s | BaseRaw=672.8 | CurrentRaw=664.4 | Change=8.4 => Floor
data,,672.8,665.0,7.8,665.0,Time=5.5s | BaseRaw=672.8 | CurrentRaw=665.0 | Change=7.8 => Floor
data,,672.8,664.6,8.2,664.6,Time=5.6s | BaseRaw=672.8 | CurrentRaw=664.6 | Change=8.2 => Floor
data,,672.8,664.8,8.0,664.8,Time=5.7s | BaseRaw=672.8 | CurrentRaw=664.8 | Change=8.0 => Floor
data,,672.8,664.2,8.6,664.2,Time=5.8s | BaseRaw=672.8 | CurrentRaw=664.2 | Change=8.6 => Floor
data,,672.8,663.8,9.0,663.8,Time=5.9s | BaseRaw=672.8 | CurrentRaw=663.8 | Change=9.0 => Floor
data,,672.8,663.8,9.0,663.8,Time=6.0s | BaseRaw=672.8 | CurrentRaw=663.8 | Change=9.0 => Floor
data,,672.8,663.4,9.4,663.4,Time=6.1s | BaseRaw=672.8 | CurrentRaw=663.4 | Change=9.4 => Floor
data,,672.8,663.2,9.6,663.2,Time=6.2s | BaseRaw=672.8 | CurrentRaw=663.2 | Change=9.6 => Floor
data,,672.8,663.4,9.4,663.4,Time=6.3s | BaseRaw=672.8 | CurrentRaw=663.4 | Change=9.4 => Floor
data,,672.8,663.2,9.6,663.2,Time=6.4s | BaseRaw=672.8 | CurrentRaw=663.2 | Change=9.6 => Floor
data,,672.8,662.4,10.4,662.4,Time=6.5s | BaseRaw=672.8 | CurrentRaw=662.4 | Change=10.4 => Liquid
