record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,731.40,,,,731.40,Collecting baseline... RawAvg=731.40
baseline,730.80,,,,730.80,Collecting baseline... RawAvg=730.80
baseline,730.40,,,,730.40,Collecting baseline... RawAvg=730.40
baseline,730.20,,,,730.20,Collecting baseline... RawAvg=730.20
baseline,730.20,,,,730.20,Collecting baseline... RawAvg=730.20
baseline,730.80,,,,730.80,Collecting baseline... RawAvg=730.80
baseline,731.40,,,,731.40,Collecting baseline... RawAvg=731.40
baseline,731.80,,,,731.80,Collecting baseline... RawAvg=731.80
baseline,732.00,,,,732.00,Collecting baseline... RawAvg=732.00
baseline,731.60,,,,731.60,Collecting baseline... RawAvg=731.60
baseline,731.20,,,,731.20,Collecting baseline... RawAvg=731.20
baseline,730.80,,,,730.80,Collecting baseline... RawAvg=730.80
baseline,730.20,,,,730.20,Collecting baseline... RawAvg=730.20
baseline,729.40,,,,729.40,Collecting baseline... RawAvg=729.40
baseline,729.00,,,,729.00,Collecting baseline... RawAvg=729.00
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,728.40,,,,728.40,Collecting baseline... RawAvg=728.40
baseline,728.40,,,,728.40,Collecting baseline... RawAvg=728.40
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,729.20,,,,729.20,Collecting baseline... RawAvg=729.20
baseline,729.40,,,,729.40,Collecting baseline... RawAvg=729.40
baseline,730.20,,,,730.20,Collecting baseline... RawAvg=730.20
baseline,730.80,,,,730.80,Collecting baseline... RawAvg=730.80
baseline,731.40,,,,731.40,Collecting baseline... RawAvg=731.40
baseline,731.80,,,,731.80,Collecting baseline... RawAvg=731.80
baseline,732.00,,,,732.00,Collecting baseline... RawAvg=732.00
baseline,731.80,,,,731.80,Collecting baseline... RawAvg=731.80
baseline,731.40,,,,731.40,Collecting baseline... RawAvg=731.40
baseline,730.80,,,,730.80,Collecting baseline... RawAvg=730.80
baseline,730.40,,,,730.40,Collecting baseline... RawAvg=730.40
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,729.20,,,,729.20,Collecting baseline... RawAvg=729.20
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,728.60,,,,728.60,Collecting baseline... RawAvg=728.60
baseline,728.40,,,,728.40,Collecting baseline... RawAvg=728.40
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,729.20,,,,729.20,Collecting baseline... RawAvg=729.20
baseline,729.60,,,,729.60,Collecting baseline... RawAvg=729.60
baseline,730.20,,,,730.20,Collecting baseline... RawAvg=730.20
baseline,730.80,,,,730.80,Collecting baseline... RawAvg=730.80
baseline,731.20,,,,731.20,Collecting baseline... RawAvg=731.20
baseline,731.60,,,,731.60,Collecting baseline... RawAvg=731.60
baseline,732.00,,,,732.00,Collecting baseline... RawAvg=732.00
baseline,731.80,,,,731.80,Collecting baseline... RawAvg=731.80
baseline,731.60,,,,731.60,Collecting baseline... RawAvg=731.60
baseline,731.20,,,,731.20,Collecting baseline... RawAvg=731.20
baseline,730.80,,,,730.80,Collecting baseline... RawAvg=730.80
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,729.40,,,,729.40,Collecting baseline... RawAvg=729.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,730.36,,,730.36,Final Base Raw Average = 730.36
info,,,,,,--------------------------------------------------------------------------
data,,730.4,728.4,2.0,728.4,Time=0.1s | BaseRaw=730.4 | CurrentRaw=728.4 | Change=2.0 => Floor
data,,730.4,728.4,2.0,728.4,Time=0.2s | BaseRaw=730.4 | CurrentRaw=728.4 | Change=2.0 => Floor
data,,730.4,729.2,1.2,729.2,Time=0.3s | BaseRaw=730.4 | CurrentRaw=729.2 | Change=1.2 => Floor
data,,730.4,729.8,0.6,729.8,Time=0.4s | BaseRaw=730.4 | CurrentRaw=729.8 | Change=0.6 => Floor
data,,730.4,730.0,0.4,730.0,Time=0.5s | BaseRaw=730.4 | CurrentRaw=730.0 | Change=0.4 => Floor
data,,730.4,730.2,0.2,730.2,Time=0.6s | BaseRaw=730.4 | CurrentRaw=730.2 | Change=0.2 => Floor
data,,730.4,730.2,0.2,730.2,Time=0.7s | BaseRaw=730.4 | CurrentRaw=730.2 | Change=0.2 => Floor
data,,730.4,730.2,0.2,730.2,Time=0.8s | BaseRaw=730.4 | CurrentRaw=730.2 | Change=0.2 => Floor
data,,730.4,730.2,0.2,730.2,Time=0.9s | BaseRaw=730.4 | CurrentRaw=730.2 | Change=0.2 => Floor
data,,730.4,730.0,0.4,730.0,Time=1.0s | BaseRaw=730.4 | CurrentRaw=730.0 | Change=0.4 => Floor
data,,730.4,729.8,0.6,729.8,Time=1.1s | BaseRaw=730.4 | CurrentRaw=729.8 | Change=0.6 => Floor
data,,730.4,729.8,0.6,729.8,Time=1.2s | BaseRaw=730.4 | CurrentRaw=729.8 | Change=0.6 => Floor
data,,730.4,729.8,0.6,729.8,Time=1.3s | BaseRaw=730.4 | CurrentRaw=729.8 | Change=0.6 => Floor
data,,730.4,729.8,0.6,729.8,Time=1.4s | BaseRaw=730.4 | CurrentRaw=729.8 | Change=0.6 => Floor
data,,730.4,729.8,0.6,729.8,Time=1.5s | BaseRaw=730.4 | CurrentRaw=729.8 | Change=0.6 => Floor
data,,730.4,729.8,0.6,729.8,Time=1.6s | BaseRaw=730.4 | CurrentRaw=729.8 | Change=0.6 => Floor
data,,730.4,730.0,0.4,730.0,Time=1.7s | BaseRaw=730.4 | CurrentRaw=730.0 | Change=0.4 => Floor
data,,730.4,730.0,0.4,730.0,Time=1.8s | BaseRaw=730.4 | CurrentRaw=730.0 | Change=0.4 => Floor
data,,730.4,729.8,0.6,729.8,Time=1.9s | BaseRaw=730.4 | CurrentRaw=729.8 | Change=0.6 => Floor
data,,730.4,729.8,0.6,729.8,Time=2.0s | BaseRaw=730.4 | CurrentRaw=729.8 | Change=0.6 => Floor
data,,730.4,730.2,0.2,730.2,Time=2.1s | BaseRaw=730.4 | CurrentRaw=730.2 | Change=0.2 => Floor
data,,730.4,730.4,0.0,730.4,Time=2.2s | BaseRaw=730.4 | CurrentRaw=730.4 | Change=0.0 => Floor
data,,730.4,730.4,0.0,730.4,Time=2.3s | BaseRaw=730.4 | CurrentRaw=730.4 | Change=0.0 => Floor
data,,730.4,730.4,0.0,730.4,Time=2.4s | BaseRaw=730.4 | CurrentRaw=730.4 | Change=0.0 => Floor
data,,730.4,730.4,0.0,730.4,Time=2.5s | BaseRaw=730.4 | CurrentRaw=730.4 | Change=0.0 => Floor
data,,730.4,730.4,0.0,730.4,Time=2.6s | BaseRaw=730.4 | CurrentRaw=730.4 | Change=0.0 => Floor
data,,730.4,730.4,0.0,730.4,Time=2.7s | BaseRaw=730.4 | CurrentRaw=730.4 | Change=0.0 => Floor
data,,730.4,730.4,0.0,730.4,Time=2.8s | BaseRaw=730.4 | CurrentRaw=730.4 | Change=0.0 => Floor
data,,730.4,730.4,0.0,730.4,Time=2.9s | BaseRaw=730.4 | CurrentRaw=730.4 | Change=0.0 => Floor
data,,730.4,730.6,0.2,730.6,Time=3.0s | BaseRaw=730.4 | CurrentRaw=730.6 | Change=0.2 => Floor
data,,730.4,730.6,0.2,730.6,Time=3.1s | BaseRaw=730.4 | CurrentRaw=730.6 | Change=0.2 => Floor
data,,730.4,730.6,0.2,730.6,Time=3.2s | BaseRaw=730.4 | CurrentRaw=730.6 | Change=0.2 => Floor
data,,730.4,730.4,0.0,730.4,Time=3.3s | BaseRaw=730.4 | CurrentRaw=730.4 | Change=0.0 => Floor
data,,730.4,730.2,0.2,730.2,Time=3.4s | BaseRaw=730.4 | CurrentRaw=730.2 | Change=0.2 => Floor
data,,730.4,730.0,0.4,730.0,Time=3.5s | BaseRaw=730.4 | CurrentRaw=730.0 | Change=0.4 => Floor
data,,730.4,730.0,0.4,730.0,Time=3.6s | BaseRaw=730.4 | CurrentRaw=730.0 | Change=0.4 => Floor
data,,730.4,730.2,0.2,730.2,Time=3.7s | BaseRaw=730.4 | CurrentRaw=730.2 | Change=0.2 => Floor
data,,730.4,730.2,0.2,730.2,Time=3.8s | BaseRaw=730.4 | CurrentRaw=730.2 | Change=0.2 => Floor
data,,730.4,730.0,0.4,730.0,Time=3.9s | BaseRaw=730.4 | CurrentRaw=730.0 | Change=0.4 => Floor
data,,730.4,730.0,0.4,730.0,Time=4.0s | BaseRaw=730.4 | CurrentRaw=730.0 | Change=0.4 => Floor
data,,730.4,730.2,0.2,730.2,Time=4.1s | BaseRaw=730.4 | CurrentRaw=730.2 | Change=0.2 => Floor
data,,730.4,730.2,0.2,730.2,Time=4.2s | BaseRaw=730.4 | CurrentRaw=730.2 | Change=0.2 => Floor
data,,730.4,729.6,0.8,729.6,Time=4.3s | BaseRaw=730.4 | CurrentRaw=729.6 | Change=0.8 => Floor
data,,730.4,729.0,1.4,729.0,Time=4.4s | BaseRaw=730.4 | CurrentRaw=729.0 | Change=1.4 => Floor
data,,730.4,729.2,1.2,729.2,Time=4.5s | BaseRaw=730.4 | CurrentRaw=729.2 | Change=1.2 => Floor
data,,730.4,729.0,1.4,729.0,Time=4.6s | BaseRaw=730.4 | CurrentRaw=729.0 | Change=1.4 => Floor
data,,730.4,728.8,1.6,728.8,Time=4.7s | BaseRaw=730.4 | CurrentRaw=728.8 | Change=1.6 => Floor
data,,730.4,729.0,1.4,729.0,Time=4.8s | BaseRaw=730.4 | CurrentRaw=729.0 | Change=1.4 => Floor
data,,730.4,729.4,1.0,729.4,Time=4.9s | BaseRaw=730.4 | CurrentRaw=729.4 | Change=1.0 => Floor
data,,730.4,729.2,1.2,729.2,Time=5.0s | BaseRaw=730.4 | CurrentRaw=729.2 | Change=1.2 => Floor
data,,730.4,729.2,1.2,729.2,Time=5.1s | BaseRaw=730.4 | CurrentRaw=729.2 | Change=1.2 => Floor
data,,730.4,729.0,1.4,729.0,Time=5.2s | BaseRaw=730.4 | CurrentRaw=729.0 | Change=1.4 => Floor
data,,730.4,728.6,1.8,728.6,Time=5.3s | BaseRaw=730.4 | CurrentRaw=728.6 | Change=1.8 => Floor
data,,730.4,727.6,2.8,727.6,Time=5.4s | BaseRaw=730.4 | CurrentRaw=727.6 | Change=2.8 => Floor
data,,730.4,726.6,3.8,726.6,Time=5.5s | BaseRaw=730.4 | CurrentRaw=726.6 | Change=3.8 => Floor
data,,730.4,725.8,4.6,725.8,Time=5.6s | BaseRaw=730.4 | CurrentRaw=725.8 | Change=4.6 => Floor
data,,730.4,724.2,6.2,724.2,Time=5.7s | BaseRaw=730.4 | CurrentRaw=724.2 | Change=6.2 => Floor
data,,730.4,722.2,8.2,722.2,Time=5.8s | BaseRaw=730.4 | CurrentRaw=722.2 | Change=8.2 => Floor
data,,730.4,719.8,10.6,719.8,Time=5.9s | BaseRaw=730.4 | CurrentRaw=719.8 | Change=10.6 => Liquid
data,,730.4,717.2,13.2,717.2,Time=6.0s | BaseRaw=730.4 | CurrentRaw=717.2 | Change=13.2 => Liquid
data,,730.4,714.0,16.4,714.0,Time=6.1s | BaseRaw=730.4 | CurrentRaw=714.0 | Change=16.4 => Liquid
data,,730.4,711.2,19.2,711.2,Time=6.2s | BaseRaw=730.4 | CurrentRaw=711.2 | Change=19.2 => Liquid
data,,730.4,710.2,20.2,710.2,Time=6.3s | BaseRaw=730.4 | CurrentRaw=710.2 | Change=20.2 => Liquid
data,,730.4,710.8,19.6,710.8,Time=6.4s | BaseRaw=730.4 | CurrentRaw=710.8 | Change=19.6 => Liquid
data,,730.4,711.4,19.0,711.4,Time=6.5s | BaseRaw=730.4 | CurrentRaw=711.4 | Change=19.0 => Liquid
