record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,657.00,,,,657.00,Collecting baseline... RawAvg=657.00
baseline,657.20,,,,657.20,Collecting baseline... RawAvg=657.20
baseline,657.00,,,,657.00,Collecting baseline... RawAvg=657.00
baseline,656.40,,,,656.40,Collecting baseline... RawAvg=656.40
baseline,656.00,,,,656.00,Collecting baseline... RawAvg=656.00
baseline,656.00,,,,656.00,Collecting baseline... RawAvg=656.00
baseline,656.00,,,,656.00,Collecting baseline... RawAvg=656.00
baseline,656.60,,,,656.60,Collecting baseline... RawAvg=656.60
baseline,657.40,,,,657.40,Collecting baseline... RawAvg=657.40
baseline,657.80,,,,657.80,Collecting baseline... RawAvg=657.80
baseline,657.80,,,,657.80,Collecting baseline... RawAvg=657.80
baseline,657.60,,,,657.60,Collecting baseline... RawAvg=657.60
baseline,657.20,,,,657.20,Collecting baseline... RawAvg=657.20
baseline,657.60,,,,657.60,Collecting baseline... RawAvg=657.60
baseline,658.40,,,,658.40,Collecting baseline... RawAvg=658.40
baseline,659.20,,,,659.20,Collecting baseline... RawAvg=659.20
baseline,660.00,,,,660.00,Collecting baseline... RawAvg=660.00
baseline,660.60,,,,660.60,Collecting baseline... RawAvg=660.60
baseline,660.20,,,,660.20,Collecting baseline... RawAvg=660.20
baseline,659.40,,,,659.40,Collecting baseline... RawAvg=659.40
baseline,658.00,,,,658.00,Collecting baseline... RawAvg=658.00
baseline,656.80,,,,656.80,Collecting baseline... RawAvg=656.80
baseline,656.20,,,,656.20,Collecting baseline... RawAvg=656.20
baseline,656.20,,,,656.20,Collecting baseline... RawAvg=656.20
baseline,656.40,,,,656.40,Collecting baseline... RawAvg=656.40
baseline,657.20,,,,657.20,Collecting baseline... RawAvg=657.20
baseline,657.60,,,,657.60,Collecting baseline... RawAvg=657.60
baseline,657.60,,,,657.60,Collecting baseline... RawAvg=657.60
baseline,657.20,,,,657.20,Collecting baseline... RawAvg=657.20
baseline,657.00,,,,657.00,Collecting baseline... RawAvg=657.00
baseline,657.40,,,,657.40,Collecting baseline... RawAvg=657.40
baseline,658.20,,,,658.20,Collecting baseline... RawAvg=658.20
baseline,659.00,,,,659.00,Collecting baseline... RawAvg=659.00
baseline,660.00,,,,660.00,Collecting baseline... RawAvg=660.00
baseline,660.40,,,,660.40,Collecting baseline... RawAvg=660.40
baseline,660.00,,,,660.00,Collecting baseline... RawAvg=660.00
baseline,659.00,,,,659.00,Collecting baseline... RawAvg=659.00
baseline,657.60,,,,657.60,Collecting baseline... RawAvg=657.60
baseline,656.40,,,,656.40,Collecting baseline... RawAvg=656.40
baseline,656.20,,,,656.20,Collecting baseline... RawAvg=656.20
baseline,656.00,,,,656.00,Collecting baseline... RawAvg=656.00
baseline,656.40,,,,656.40,Collecting baseline... RawAvg=656.40
baseline,657.20,,,,657.20,Collecting baseline... RawAvg=657.20
baseline,657.80,,,,657.80,Collecting baseline... RawAvg=657.80
baseline,657.60,,,,657.60,Collecting baseline... RawAvg=657.60
baseline,657.60,,,,657.60,Collecting baseline... RawAvg=657.60
baseline,657.80,,,,657.80,Collecting baseline... RawAvg=657.80
baseline,658.40,,,,658.40,Collecting baseline... RawAvg=658.40
baseline,659.20,,,,659.20,Collecting baseline... RawAvg=659.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,657.71,,,657.71,Final Base Raw Average = 657.71
info,,,,,,--------------------------------------------------------------------------
data,,657.7,661.2,3.5,661.2,Time=0.1s | BaseRaw=657.7 | CurrentRaw=661.2 | Change=3.5 => Floor
data,,657.7,660.6,2.9,660.6,Time=0.2s | BaseRaw=657.7 | CurrentRaw=660.6 | Change=2.9 => Floor
data,,657.7,659.8,2.1,659.8,Time=0.3s | BaseRaw=657.7 | CurrentRaw=659.8 | Change=2.1 => Floor
data,,657.7,659.0,1.3,659.0,Time=0.4s | BaseRaw=657.7 | CurrentRaw=659.0 | Change=1.3 => Floor
data,,657.7,658.6,0.9,658.6,Time=0.5s | BaseRaw=657.7 | CurrentRaw=658.6 | Change=0.9 => Floor
data,,657.7,658.4,0.7,658.4,Time=0.6s | BaseRaw=657.7 | CurrentRaw=658.4 | Change=0.7 => Floor
data,,657.7,658.2,0.5,658.2,Time=0.7s | BaseRaw=657.7 | CurrentRaw=658.2 | Change=0.5 => Floor
data,,657.7,658.4,0.7,658.4,Time=0.8s | BaseRaw=657.7 | CurrentRaw=658.4 | Change=0.7 => Floor
data,,657.7,658.2,0.5,658.2,Time=0.9s | BaseRaw=657.7 | CurrentRaw=658.2 | Change=0.5 => Floor
data,,657.7,658.4,0.7,658.4,Time=1.0s | BaseRaw=657.7 | CurrentRaw=658.4 | Change=0.7 => Floor
data,,657.7,658.0,0.3,658.0,Time=1.1s | BaseRaw=657.7 | CurrentRaw=658.0 | Change=0.3 => Floor
data,,657.7,657.8,0.1,657.8,Time=1.2s | BaseRaw=657.7 | CurrentRaw=657.8 | Change=0.1 => Floor
data,,657.7,657.8,0.1,657.8,Time=1.3s | BaseRaw=657.7 | CurrentRaw=657.8 | Change=0.1 => Floor
data,,657.7,657.6,0.1,657.6,Time=1.4s | BaseRaw=657.7 | CurrentRaw=657.6 | Change=0.1 => Floor
data,,657.7,657.6,0.1,657.6,Time=1.5s | BaseRaw=657.7 | CurrentRaw=657.6 | Change=0.1 => Floor
data,,657.7,657.4,0.3,657.4,Time=1.6s | BaseRaw=657.7 | CurrentRaw=657.4 | Change=0.3 => Floor
data,,657.7,657.8,0.1,657.8,Time=1.7s | BaseRaw=657.7 | CurrentRaw=657.8 | Change=0.1 => Floor
data,,657.7,657.8,0.1,657.8,Time=1.8s | BaseRaw=657.7 | CurrentRaw=657.8 | Change=0.1 => Floor
data,,657.7,658.2,0.5,658.2,Time=1.9s | BaseRaw=657.7 | CurrentRaw=658.2 | Change=0.5 => Floor
data,,657.7,658.4,0.7,658.4,Time=2.0s | BaseRaw=657.7 | CurrentRaw=658.4 | Change=0.7 => Floor
data,,657.7,658.0,0.3,658.0,Time=2.1s | BaseRaw=657.7 | CurrentRaw=658.0 | Change=0.3 => Floor
data,,657.7,658.2,0.5,658.2,Time=2.2s | BaseRaw=657.7 | CurrentRaw=658.2 | Change=0.5 => Floor
data,,657.7,658.2,0.5,658.2,Time=2.3s | BaseRaw=657.7 | CurrentRaw=658.2 | Change=0.5 => Floor
data,,657.7,658.6,0.9,658.6,Time=2.4s | BaseRaw=657.7 | CurrentRaw=658.6 | Change=0.9 => Floor
data,,657.7,658.4,0.7,658.4,Time=2.5s | BaseRaw=657.7 | CurrentRaw=658.4 | Change=0.7 => Floor
data,,657.7,658.2,0.5,658.2,Time=2.6s | BaseRaw=657.7 | CurrentRaw=658.2 | Change=0.5 => Floor
data,,657.7,658.4,0.7,658.4,Time=2.7s | BaseRaw=657.7 | CurrentRaw=658.4 | Change=0.7 => Floor
data,,657.7,658.2,0.5,658.2,Time=2.8s | BaseRaw=657.7 | CurrentRaw=658.2 | Change=0.5 => Floor
data,,657.7,658.4,0.7,658.4,Time=2.9s | BaseRaw=657.7 | CurrentRaw=658.4 | Change=0.7 => Floor
data,,657.7,658.0,0.3,658.0,Time=3.0s | BaseRaw=657.7 | CurrentRaw=658.0 | Change=0.3 => Floor
data,,657.7,657.8,0.1,657.8,Time=3.1s | BaseRaw=657.7 | CurrentRaw=657.8 | Change=0.1 => Floor
data,,657.7,657.8,0.1,657.8,Time=3.2s | BaseRaw=657.7 | CurrentRaw=657.8 | Change=0.1 => Floor
data,,657.7,657.6,0.1,657.6,Time=3.3s | BaseRaw=657.7 | CurrentRaw=657.6 | Change=0.1 => Floor
data,,657.7,657.8,0.1,657.8,Time=3.4s | BaseRaw=657.7 | CurrentRaw=657.8 | Change=0.1 => Floor
data,,657.7,657.6,0.1,657.6,Time=3.5s | BaseRaw=657.7 | CurrentRaw=657.6 | Change=0.1 => Floor
data,,657.7,658.0,0.3,658.0,Time=3.6s | BaseRaw=657.7 | CurrentRaw=658.0 | Change=0.3 => Floor
data,,657.7,658.2,0.5,658.2,Time=3.7s | BaseRaw=657.7 | CurrentRaw=658.2 | Change=0.5 => Floor
data,,657.7,658.4,0.7,658.4,Time=3.8s | BaseRaw=657.7 | CurrentRaw=658.4 | Change=0.7 => Floor
data,,657.7,658.4,0.7,658.4,Time=3.9s | BaseRaw=657.7 | CurrentRaw=658.4 | Change=0.7 => Floor
data,,657.7,658.2,0.5,658.2,Time=4.0s | BaseRaw=657.7 | CurrentRaw=658.2 | Change=0.5 => Floor
data,,657.7,658.6,0.9,658.6,Time=4.1s | BaseRaw=657.7 | CurrentRaw=658.6 | Change=0.9 => Floor
data,,657.7,658.6,0.9,658.6,Time=4.2s | BaseRaw=657.7 | CurrentRaw=658.6 | Change=0.9 => Floor
data,,657.7,659.2,1.5,659.2,Time=4.3s | BaseRaw=657.7 | CurrentRaw=659.2 | Change=1.5 => Floor
data,,657.7,659.4,1.7,659.4,Time=4.4s | BaseRaw=657.7 | CurrentRaw=659.4 | Change=1.7 => Floor
data,,657.7,659.2,1.5,659.2,Time=4.5s | BaseRaw=657.7 | CurrentRaw=659.2 | Change=1.5 => Floor
data,,657.7,659.4,1.7,659.4,Time=4.6s | BaseRaw=657.7 | CurrentRaw=659.4 | Change=1.7 => Floor
data,,657.7,659.6,1.9,659.6,Time=4.7s | BaseRaw=657.7 | CurrentRaw=659.6 | Change=1.9 => Floor
data,,657.7,661.0,3.3,661.0,Time=4.8s | BaseRaw=657.7 | CurrentRaw=661.0 | Change=3.3 => Floor
data,,657.7,661.6,3.9,661.6,Time=4.9s | BaseRaw=657.7 | CurrentRaw=661.6 | Change=3.9 => Floor
data,,657.7,662.4,4.7,662.4,Time=5.0s | BaseRaw=657.7 | CurrentRaw=662.4 | Change=4.7 => Floor
data,,657.7,663.8,6.1,663.8,Time=5.1s | BaseRaw=657.7 | CurrentRaw=663.8 | Change=6.1 => Floor
data,,657.7,664.8,7.1,664.8,Time=5.2s | BaseRaw=657.7 | CurrentRaw=664.8 | Change=7.1 => Floor
data,,657.7,665.6,7.9,665.6,Time=5.3s | BaseRaw=657.7 | CurrentRaw=665.6 | Change=7.9 => Floor
data,,657.7,666.0,8.3,666.0,Time=5.4s | BaseRaw=657.7 | CurrentRaw=666.0 | Change=8.3 => Floor
data,,657.7,667.0,9.3,667.0,Time=5.5s | BaseRaw=657.7 | CurrentRaw=667.0 | Change=9.3 => Floor
data,,657.7,667.8,10.1,667.8,Time=5.6s | BaseRaw=657.7 | CurrentRaw=667.8 | Change=10.1 => Liquid
data,,657.7,670.0,12.3,670.0,Time=5.7s | BaseRaw=657.7 | CurrentRaw=670.0 | Change=12.3 => Liquid
data,,657.7,670.6,12.9,670.6,Time=5.8s | BaseRaw=657.7 | CurrentRaw=670.6 | Change=12.9 => Liquid
data,,657.7,672.8,15.1,672.8,Time=5.9s | BaseRaw=657.7 | CurrentRaw=672.8 | Change=15.1 => Liquid
data,,657.7,677.0,19.3,677.0,Time=6.0s | BaseRaw=657.7 | CurrentRaw=677.0 | Change=19.3 => Liquid
data,,657.7,679.6,21.9,679.6,Time=6.1s | BaseRaw=657.7 | CurrentRaw=679.6 | Change=21.9 => Liquid
data,,657.7,682.4,24.7,682.4,Time=6.2s | BaseRaw=657.7 | CurrentRaw=682.4 | Change=24.7 => Liquid
data,,657.7,686.6,28.9,686.6,Time=6.3s | BaseRaw=657.7 | CurrentRaw=686.6 | Change=28.9 => Liquid
data,,657.7,688.8,31.1,688.8,Time=6.4s | BaseRaw=657.7 | CurrentRaw=688.8 | Change=31.1 => Liquid
data,,657.7,690.0,32.3,690.0,Time=6.5s | BaseRaw=657.7 | CurrentRaw=690.0 | Change=32.3 => Liquid
