record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,761.60,,,,761.60,Collecting baseline... RawAvg=761.60
baseline,761.00,,,,761.00,Collecting baseline... RawAvg=761.00
baseline,760.40,,,,760.40,Collecting baseline... RawAvg=760.40
baseline,760.20,,,,760.20,Collecting baseline... RawAvg=760.20
baseline,760.20,,,,760.20,Collecting baseline... RawAvg=760.20
baseline,761.00,,,,761.00,Collecting baseline... RawAvg=761.00
baseline,761.60,,,,761.60,Collecting baseline... RawAvg=761.60
baseline,762.00,,,,762.00,Collecting baseline... RawAvg=762.00
baseline,762.00,,,,762.00,Collecting baseline... RawAvg=762.00
baseline,761.80,,,,761.80,Collecting baseline... RawAvg=761.80
baseline,761.20,,,,761.20,Collecting baseline... RawAvg=761.20
baseline,760.60,,,,760.60,Collecting baseline... RawAvg=760.60
baseline,760.00,,,,760.00,Collecting baseline... RawAvg=760.00
baseline,759.40,,,,759.40,Collecting baseline... RawAvg=759.40
baseline,758.60,,,,758.60,Collecting baseline... RawAvg=758.60
baseline,758.20,,,,758.20,Collecting baseline... RawAvg=758.20
baseline,758.00,,,,758.00,Collecting baseline... RawAvg=758.00
baseline,758.00,,,,758.00,Collecting baseline... RawAvg=758.00
baseline,758.20,,,,758.20,Collecting baseline... RawAvg=758.20
baseline,758.80,,,,758.80,Collecting baseline... RawAvg=758.80
baseline,759.20,,,,759.20,Collecting baseline... RawAvg=759.20
baseline,760.00,,,,760.00,Collecting baseline... RawAvg=760.00
baseline,760.60,,,,760.60,Collecting baseline... RawAvg=760.60
baseline,761.20,,,,761.20,Collecting baseline... RawAvg=761.20
baseline,761.60,,,,761.60,Collecting baseline... RawAvg=761.60
baseline,762.00,,,,762.00,Collecting baseline... RawAvg=762.00
baseline,761.80,,,,761.80,Collecting baseline... RawAvg=761.80
baseline,761.40,,,,761.40,Collecting baseline... RawAvg=761.40
baseline,761.00,,,,761.00,Collecting baseline... RawAvg=761.00
baseline,760.40,,,,760.40,Collecting baseline... RawAvg=760.40
baseline,759.40,,,,759.40,Collecting baseline... RawAvg=759.40
baseline,758.80,,,,758.80,Collecting baseline... RawAvg=758.80
baseline,758.40,,,,758.40,Collecting baseline... RawAvg=758.40
baseline,758.00,,,,758.00,Collecting baseline... RawAvg=758.00
baseline,758.00,,,,758.00,Collecting baseline... RawAvg=758.00
baseline,758.60,,,,758.60,Collecting baseline... RawAvg=758.60
baseline,759.00,,,,759.00,Collecting baseline... RawAvg=759.00
baseline,759.40,,,,759.40,Collecting baseline... RawAvg=759.40
baseline,760.20,,,,760.20,Collecting baseline... RawAvg=760.20
baseline,760.80,,,,760.80,Collecting baseline... RawAvg=760.80
baseline,761.20,,,,761.20,Collecting baseline... RawAvg=761.20
baseline,761.60,,,,761.60,Collecting baseline... RawAvg=761.60
baseline,762.00,,,,762.00,Collecting baseline... RawAvg=762.00
baseline,761.80,,,,761.80,Collecting baseline... RawAvg=761.80
baseline,761.40,,,,761.40,Collecting baseline... RawAvg=761.40
baseline,761.00,,,,761.00,Collecting baseline... RawAvg=761.00
baseline,760.40,,,,760.40,Collecting baseline... RawAvg=760.40
baseline,759.60,,,,759.60,Collecting baseline... RawAvg=759.60
baseline,759.00,,,,759.00,Collecting baseline... RawAvg=759.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,760.22,,,760.22,Final Base Raw Average = 760.22
info,,,,,,--------------------------------------------------------------------------
data,,760.2,758.2,2.0,758.2,Time=0.1s | BaseRaw=760.2 | CurrentRaw=758.2 | Change=2.0 => Floor
data,,760.2,758.6,1.6,758.6,Time=0.2s | BaseRaw=760.2 | CurrentRaw=758.6 | Change=1.6 => Floor
data,,760.2,759.4,0.8,759.4,Time=0.3s | BaseRaw=760.2 | CurrentRaw=759.4 | Change=0.8 => Floor
data,,760.2,759.8,0.4,759.8,Time=0.4s | BaseRaw=760.2 | CurrentRaw=759.8 | Change=0.4 => Floor
data,,760.2,759.8,0.4,759.8,Time=0.5s | BaseRaw=760.2 | CurrentRaw=759.8 | Change=0.4 => Floor
data,,760.2,759.8,0.4,759.8,Time=0.6s | BaseRaw=760.2 | CurrentRaw=759.8 | Change=0.4 => Floor
data,,760.2,759.6,0.6,759.6,Time=0.7s | BaseRaw=760.2 | CurrentRaw=759.6 | Change=0.6 => Floor
data,,760.2,759.6,0.6,759.6,Time=0.8s | BaseRaw=760.2 | CurrentRaw=759.6 | Change=0.6 => Floor
data,,760.2,759.6,0.6,759.6,Time=0.9s | BaseRaw=760.2 | CurrentRaw=759.6 | Change=0.6 => Floor
data,,760.2,759.6,0.6,759.6,Time=1.0s | BaseRaw=760.2 | CurrentRaw=759.6 | Change=0.6 => Floor
data,,760.2,759.8,0.4,759.8,Time=1.1s | BaseRaw=760.2 | CurrentRaw=759.8 | Change=0.4 => Floor
data,,760.2,760.2,0.0,760.2,Time=1.2s | BaseRaw=760.2 | CurrentRaw=760.2 | Change=0.0 => Floor
data,,760.2,760.2,0.0,760.2,Time=1.3s | BaseRaw=760.2 | CurrentRaw=760.2 | Change=0.0 => Floor
data,,760.2,760.2,0.0,760.2,Time=1.4s | BaseRaw=760.2 | CurrentRaw=760.2 | Change=0.0 => Floor
data,,760.2,760.2,0.0,760.2,Time=1.5s | BaseRaw=760.2 | CurrentRaw=760.2 | Change=0.0 => Floor
data,,760.2,760.2,0.0,760.2,Time=1.6s | BaseRaw=760.2 | CurrentRaw=760.2 | Change=0.0 => Floor
data,,760.2,760.2,0.0,760.2,Time=1.7s | BaseRaw=760.2 | CurrentRaw=760.2 | Change=0.0 => Floor
data,,760.2,760.2,0.0,760.2,Time=1.8s | BaseRaw=760.2 | CurrentRaw=760.2 | Change=0.0 => Floor
data,,760.2,760.0,0.2,760.0,Time=1.9s | BaseRaw=760.2 | CurrentRaw=760.0 | Change=0.2 => Floor
data,,760.2,760.0,0.2,760.0,Time=2.0s | BaseRaw=760.2 | CurrentRaw=760.0 | Change=0.2 => Floor
data,,760.2,760.4,0.2,760.4,Time=2.1s | BaseRaw=760.2 | CurrentRaw=760.4 | Change=0.2 => Floor
data,,760.2,760.4,0.2,760.4,Time=2.2s | BaseRaw=760.2 | CurrentRaw=760.4 | Change=0.2 => Floor
data,,760.2,760.2,0.0,760.2,Time=2.3s | BaseRaw=760.2 | CurrentRaw=760.2 | Change=0.0 => Floor
data,,760.2,760.0,0.2,760.0,Time=2.4s | BaseRaw=760.2 | CurrentRaw=760.0 | Change=0.2 => Floor
data,,760.2,760.0,0.2,760.0,Time=2.5s | BaseRaw=760.2 | CurrentRaw=760.0 | Change=0.2 => Floor
data,,760.2,759.8,0.4,759.8,Time=2.6s | BaseRaw=760.2 | CurrentRaw=759.8 | Change=0.4 => Floor
data,,760.2,759.8,0.4,759.8,Time=2.7s | BaseRaw=760.2 | CurrentRaw=759.8 | Change=0.4 => Floor
data,,760.2,759.6,0.6,759.6,Time=2.8s | BaseRaw=760.2 | CurrentRaw=759.6 | Change=0.6 => Floor
data,,760.2,759.4,0.8,759.4,Time=2.9s | BaseRaw=760.2 | CurrentRaw=759.4 | Change=0.8 => Floor
data,,760.2,759.4,0.8,759.4,Time=3.0s | BaseRaw=760.2 | CurrentRaw=759.4 | Change=0.8 => Floor
data,,760.2,759.6,0.6,759.6,Time=3.1s | BaseRaw=760.2 | CurrentRaw=759.6 | Change=0.6 => Floor
data,,760.2,759.6,0.6,759.6,Time=3.2s | BaseRaw=760.2 | CurrentRaw=759.6 | Change=0.6 => Floor
data,,760.2,759.4,0.8,759.4,Time=3.3s | BaseRaw=760.2 | CurrentRaw=759.4 | Change=0.8 => Floor
data,,760.2,759.6,0.6,759.6,Time=3.4s | BaseRaw=760.2 | CurrentRaw=759.6 | Change=0.6 => Floor
data,,760.2,759.8,0.4,759.8,Time=3.5s | BaseRaw=760.2 | CurrentRaw=759.8 | Change=0.4 => Floor
data,,760.2,760.0,0.2,760.0,Time=3.6s | BaseRaw=760.2 | CurrentRaw=760.0 | Change=0.2 => Floor
data,,760.2,760.0,0.2,760.0,Time=3.7s | BaseRaw=760.2 | CurrentRaw=760.0 | Change=0.2 => Floor
data,,760.2,760.2,0.0,760.2,Time=3.8s | BaseRaw=760.2 | CurrentRaw=760.2 | Change=0.0 => Floor
data,,760.2,760.2,0.0,760.2,Time=3.9s | BaseRaw=760.2 | CurrentRaw=760.2 | Change=0.0 => Floor
data,,760.2,760.4,0.2,760.4,Time=4.0s | BaseRaw=760.2 | CurrentRaw=760.4 | Change=0.2 => Floor
data,,760.2,760.2,0.0,760.2,Time=4.1s | BaseRaw=760.2 | CurrentRaw=760.2 | Change=0.0 => Floor
data,,760.2,760.0,0.2,760.0,Time=4.2s | BaseRaw=760.2 | CurrentRaw=760.0 | Change=0.2 => Floor
data,,760.2,759.4,0.8,759.4,Time=4.3s | BaseRaw=760.2 | CurrentRaw=759.4 | Change=0.8 => Floor
data,,760.2,759.2,1.0,759.2,Time=4.4s | BaseRaw=760.2 | CurrentRaw=759.2 | Change=1.0 => Floor
data,,760.2,759.0,1.2,759.0,Time=4.5s | BaseRaw=760.2 | CurrentRaw=759.0 | Change=1.2 => Floor
data,,760.2,758.8,1.4,758.8,Time=4.6s | BaseRaw=760.2 | CurrentRaw=758.8 | Change=1.4 => Floor
data,,760.2,758.2,2.0,758.2,Time=4.7s | BaseRaw=760.2 | CurrentRaw=758.2 | Change=2.0 => Floor
data,,760.2,757.6,2.6,757.6,Time=4.8s | BaseRaw=760.2 | CurrentRaw=757.6 | Change=2.6 => Floor
data,,760.2,757.2,3.0,757.2,Time=4.9s | BaseRaw=760.2 | CurrentRaw=757.2 | Change=3.0 => Floor
data,,760.2,757.0,3.2,757.0,Time=5.0s | BaseRaw=760.2 | CurrentRaw=757.0 | Change=3.2 => Floor
data,,760.2,757.8,2.4,757.8,Time=5.1s | BaseRaw=760.2 | CurrentRaw=757.8 | Change=2.4 => Floor
data,,760.2,759.8,0.4,759.8,Time=5.2s | BaseRaw=760.2 | CurrentRaw=759.8 | Change=0.4 => Floor
data,,760.2,763.0,2.8,763.0,Time=5.3s | BaseRaw=760.2 | CurrentRaw=763.0 | Change=2.8 => Floor
data,,760.2,767.0,6.8,767.0,Time=5.4s | BaseRaw=760.2 | CurrentRaw=767.0 | Change=6.8 => Floor
data,,760.2,771.2,11.0,771.2,Time=5.5s | BaseRaw=760.2 | CurrentRaw=771.2 | Change=11.0 => Liquid
data,,760.2,773.6,13.4,773.6,Time=5.6s | BaseRaw=760.2 | CurrentRaw=773.6 | Change=13.4 => Liquid
data,,760.2,774.0,13.8,774.0,Time=5.7s | BaseRaw=760.2 | CurrentRaw=774.0 | Change=13.8 => Liquid
data,,760.2,774.4,14.2,774.4,Time=5.8s | BaseRaw=760.2 | CurrentRaw=774.4 | Change=14.2 => Liquid
data,,760.2,773.0,12.8,773.0,Time=5.9s | BaseRaw=760.2 | CurrentRaw=773.0 | Change=12.8 => Liquid
data,,760.2,770.4,10.2,770.4,Time=6.0s | BaseRaw=760.2 | CurrentRaw=770.4 | Change=10.2 => Liquid
data,,760.2,769.4,9.2,769.4,Time=6.1s | BaseRaw=760.2 | CurrentRaw=769.4 | Change=9.2 => Floor
data,,760.2,769.8,9.6,769.8,Time=6.2s | BaseRaw=760.2 | CurrentRaw=769.8 | Change=9.6 => Floor
data,,760.2,769.2,9.0,769.2,Time=6.3s | BaseRaw=760.2 | CurrentRaw=769.2 | Change=9.0 => Floor
data,,760.2,769.4,9.2,769.4,Time=6.4s | BaseRaw=760.2 | CurrentRaw=769.4 | Change=9.2 => Floor
data,,760.2,770.2,10.0,770.2,Time=6.5s | BaseRaw=760.2 | CurrentRaw=770.2 | Change=10.0 => Floor
