record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,733.60,,,,733.60,Collecting baseline... RawAvg=733.60
baseline,734.20,,,,734.20,Collecting baseline... RawAvg=734.20
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,735.60,,,,735.60,Collecting baseline... RawAvg=735.60
baseline,736.20,,,,736.20,Collecting baseline... RawAvg=736.20
baseline,735.80,,,,735.80,Collecting baseline... RawAvg=735.80
baseline,735.40,,,,735.40,Collecting baseline... RawAvg=735.40
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,733.40,,,,733.40,Collecting baseline... RawAvg=733.40
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,732.40,,,,732.40,Collecting baseline... RawAvg=732.40
baseline,732.40,,,,732.40,Collecting baseline... RawAvg=732.40
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,733.80,,,,733.80,Collecting baseline... RawAvg=733.80
baseline,734.40,,,,734.40,Collecting baseline... RawAvg=734.40
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,735.60,,,,735.60,Collecting baseline... RawAvg=735.60
baseline,736.20,,,,736.20,Collecting baseline... RawAvg=736.20
baseline,736.40,,,,736.40,Collecting baseline... RawAvg=736.40
baseline,736.60,,,,736.60,Collecting baseline... RawAvg=736.60
baseline,736.20,,,,736.20,Collecting baseline... RawAvg=736.20
baseline,736.00,,,,736.00,Collecting baseline... RawAvg=736.00
baseline,735.60,,,,735.60,Collecting baseline... RawAvg=735.60
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,734.40,,,,734.40,Collecting baseline... RawAvg=734.40
baseline,733.80,,,,733.80,Collecting baseline... RawAvg=733.80
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,732.60,,,,732.60,Collecting baseline... RawAvg=732.60
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,733.80,,,,733.80,Collecting baseline... RawAvg=733.80
baseline,734.20,,,,734.20,Collecting baseline... RawAvg=734.20
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,735.40,,,,735.40,Collecting baseline... RawAvg=735.40
baseline,736.00,,,,736.00,Collecting baseline... RawAvg=736.00
baseline,736.20,,,,736.20,Collecting baseline... RawAvg=736.20
baseline,736.60,,,,736.60,Collecting baseline... RawAvg=736.60
baseline,736.60,,,,736.60,Collecting baseline... RawAvg=736.60
baseline,736.20,,,,736.20,Collecting baseline... RawAvg=736.20
baseline,735.80,,,,735.80,Collecting baseline... RawAvg=735.80
baseline,735.40,,,,735.40,Collecting baseline... RawAvg=735.40
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,733.80,,,,733.80,Collecting baseline... RawAvg=733.80
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,734.61,,,734.61,Final Base Raw Average = 734.61
info,,,,,,--------------------------------------------------------------------------
data,,734.6,732.2,2.4,732.2,Time=0.1s | BaseRaw=734.6 | CurrentRaw=732.2 | Change=2.4 => Floor
data,,734.6,732.8,1.8,732.8,Time=0.2s | BaseRaw=734.6 | CurrentRaw=732.8 | Change=1.8 => Floor
data,,734.6,733.6,1.0,733.6,Time=0.3s | BaseRaw=734.6 | CurrentRaw=733.6 | Change=1.0 => Floor
data,,734.6,734.0,0.6,734.0,Time=0.4s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.0,0.6,734.0,Time=0.5s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.2,0.4,734.2,Time=0.6s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.2,0.4,734.2,Time=0.7s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.2,0.4,734.2,Time=0.8s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.0,0.6,734.0,Time=0.9s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.0,0.6,734.0,Time=1.0s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.0,0.6,734.0,Time=1.1s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.0,0.6,734.0,Time=1.2s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.2,0.4,734.2,Time=1.3s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.2,0.4,734.2,Time=1.4s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.4,0.2,734.4,Time=1.5s | BaseRaw=734.6 | CurrentRaw=734.4 | Change=0.2 => Floor
data,,734.6,734.6,0.0,734.6,Time=1.6s | BaseRaw=734.6 | CurrentRaw=734.6 | Change=0.0 => Floor
data,,734.6,734.8,0.2,734.8,Time=1.7s | BaseRaw=734.6 | CurrentRaw=734.8 | Change=0.2 => Floor
data,,734.6,734.8,0.2,734.8,Time=1.8s | BaseRaw=734.6 | CurrentRaw=734.8 | Change=0.2 => Floor
data,,734.6,734.8,0.2,734.8,Time=1.9s | BaseRaw=734.6 | CurrentRaw=734.8 | Change=0.2 => Floor
data,,734.6,734.6,0.0,734.6,Time=2.0s | BaseRaw=734.6 | CurrentRaw=734.6 | Change=0.0 => Floor
data,,734.6,734.6,0.0,734.6,Time=2.1s | BaseRaw=734.6 | CurrentRaw=734.6 | Change=0.0 => Floor
data,,734.6,734.8,0.2,734.8,Time=2.2s | BaseRaw=734.6 | CurrentRaw=734.8 | Change=0.2 => Floor
data,,734.6,734.8,0.2,734.8,Time=2.3s | BaseRaw=734.6 | CurrentRaw=734.8 | Change=0.2 => Floor
data,,734.6,734.8,0.2,734.8,Time=2.4s | BaseRaw=734.6 | CurrentRaw=734.8 | Change=0.2 => Floor
data,,734.6,735.0,0.4,735.0,Time=2.5s | BaseRaw=734.6 | CurrentRaw=735.0 | Change=0.4 => Floor
data,,734.6,735.0,0.4,735.0,Time=2.6s | BaseRaw=734.6 | CurrentRaw=735.0 | Change=0.4 => Floor
data,,734.6,735.0,0.4,735.0,Time=2.7s | BaseRaw=734.6 | CurrentRaw=735.0 | Change=0.4 => Floor
data,,734.6,734.8,0.2,734.8,Time=2.8s | BaseRaw=734.6 | CurrentRaw=734.8 | Change=0.2 => Floor
data,,734.6,734.8,0.2,734.8,Time=2.9s | BaseRaw=734.6 | CurrentRaw=734.8 | Change=0.2 => Floor
data,,734.6,734.8,0.2,734.8,Time=3.0s | BaseRaw=734.6 | CurrentRaw=734.8 | Change=0.2 => Floor
data,,734.6,735.0,0.4,735.0,Time=3.1s | BaseRaw=734.6 | CurrentRaw=735.0 | Change=0.4 => Floor
data,,734.6,735.0,0.4,735.0,Time=3.2s | BaseRaw=734.6 | CurrentRaw=735.0 | Change=0.4 => Floor
data,,734.6,734.8,0.2,734.8,Time=3.3s | BaseRaw=734.6 | CurrentRaw=734.8 | Change=0.2 => Floor
data,,734.6,734.6,0.0,734.6,Time=3.4s | BaseRaw=734.6 | CurrentRaw=734.6 | Change=0.0 => Floor
data,,734.6,734.6,0.0,734.6,Time=3.5s | BaseRaw=734.6 | CurrentRaw=734.6 | Change=0.0 => Floor
data,,734.6,734.6,0.0,734.6,Time=3.6s | BaseRaw=734.6 | CurrentRaw=734.6 | Change=0.0 => Floor
data,,734.6,734.6,0.0,734.6,Time=3.7s | BaseRaw=734.6 | CurrentRaw=734.6 | Change=0.0 => Floor
data,,734.6,734.6,0.0,734.6,Time=3.8s | BaseRaw=734.6 | CurrentRaw=734.6 | Change=0.0 => Floor
data,,734.6,734.4,0.2,734.4,Time=3.9s | BaseRaw=734.6 | CurrentRaw=734.4 | Change=0.2 => Floor
data,,734.6,734.2,0.4,734.2,Time=4.0s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.2,0.4,734.2,Time=4.1s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.2,0.4,734.2,Time=4.2s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.2,0.4,734.2,Time=4.3s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.2,0.4,734.2,Time=4.4s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.4,0.2,734.4,Time=4.5s | BaseRaw=734.6 | CurrentRaw=734.4 | Change=0.2 => Floor
data,,734.6,734.6,0.0,734.6,Time=4.6s | BaseRaw=734.6 | CurrentRaw=734.6 | Change=0.0 => Floor
data,,734.6,734.8,0.2,734.8,Time=4.7s | BaseRaw=734.6 | CurrentRaw=734.8 | Change=0.2 => Floor
data,,734.6,735.0,0.4,735.0,Time=4.8s | BaseRaw=734.6 | CurrentRaw=735.0 | Change=0.4 => Floor
data,,734.6,735.4,0.8,735.4,Time=4.9s | BaseRaw=734.6 | CurrentRaw=735.4 | Change=0.8 => Floor
data,,734.6,735.8,1.2,735.8,Time=5.0s | BaseRaw=734.6 | CurrentRaw=735.8 | Change=1.2 => Floor
data,,734.6,736.2,1.6,736.2,Time=5.1s | BaseRaw=734.6 | CurrentRaw=736.2 | Change=1.6 => Floor
data,,734.6,736.4,1.8,736.4,Time=5.2s | BaseRaw=734.6 | CurrentRaw=736.4 | Change=1.8 => Floor
data,,734.6,736.2,1.6,736.2,Time=5.3s | BaseRaw=734.6 | CurrentRaw=736.2 | Change=1.6 => Floor
data,,734.6,736.0,1.4,736.0,Time=5.4s | BaseRaw=734.6 | CurrentRaw=736.0 | Change=1.4 => Floor
data,,734.6,736.0,1.4,736.0,Time=5.5s | BaseRaw=734.6 | CurrentRaw=736.0 | Change=1.4 => Floor
data,,734.6,736.0,1.4,736.0,Time=5.6s | BaseRaw=734.6 | CurrentRaw=736.0 | Change=1.4 => Floor
data,,734.6,736.2,1.6,736.2,Time=5.7s | BaseRaw=734.6 | CurrentRaw=736.2 | Change=1.6 => Floor
data,,734.6,737.0,2.4,737.0,Time=5.8s | BaseRaw=734.6 | CurrentRaw=737.0 | Change=2.4 => Floor
data,,734.6,738.6,4.0,738.6,Time=5.9s | BaseRaw=734.6 | CurrentRaw=738.6 | Change=4.0 => Floor
data,,734.6,741.0,6.4,741.0,Time=6.0s | BaseRaw=734.6 | CurrentRaw=741.0 | Change=6.4 => Floor
data,,734.6,742.8,8.2,742.8,Time=6.1s | BaseRaw=734.6 | CurrentRaw=742.8 | Change=8.2 => Floor
data,,734.6,743.4,8.8,743.4,Time=6.2s | BaseRaw=734.6 | CurrentRaw=743.4 | Change=8.8 => Floor
data,,734.6,743.8,9.2,743.8,Time=6.3s | BaseRaw=734.6 | CurrentRaw=743.8 | Change=9.2 => Floor
data,,734.6,743.4,8.8,743.4,Time=6.4s | BaseRaw=734.6 | CurrentRaw=743.4 | Change=8.8 => Floor
data,,734.6,742.2,7.6,742.2,Time=6.5s | BaseRaw=734.6 | CurrentRaw=742.2 | Change=7.6 => Floor
