record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,725.80,,,,725.80,Collecting baseline... RawAvg=725.80
baseline,725.40,,,,725.40,Collecting baseline... RawAvg=725.40
baseline,725.00,,,,725.00,Collecting baseline... RawAvg=725.00
baseline,724.60,,,,724.60,Collecting baseline... RawAvg=724.60
baseline,724.40,,,,724.40,Collecting baseline... RawAvg=724.40
baseline,724.00,,,,724.00,Collecting baseline... RawAvg=724.00
baseline,724.60,,,,724.60,Collecting baseline... RawAvg=724.60
baseline,725.20,,,,725.20,Collecting baseline... RawAvg=725.20
baseline,726.40,,,,726.40,Collecting baseline... RawAvg=726.40
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.80,,,,727.80,Collecting baseline... RawAvg=727.80
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
baseline,728.40,,,,728.40,Collecting baseline... RawAvg=728.40
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,726.80,,,,726.80,Collecting baseline... RawAvg=726.80
baseline,726.00,,,,726.00,Collecting baseline... RawAvg=726.00
baseline,725.00,,,,725.00,Collecting baseline... RawAvg=725.00
baseline,724.20,,,,724.20,Collecting baseline... RawAvg=724.20
baseline,724.00,,,,724.00,Collecting baseline... RawAvg=724.00
baseline,723.60,,,,723.60,Collecting baseline... RawAvg=723.60
baseline,724.00,,,,724.00,Collecting baseline... RawAvg=724.00
baseline,724.40,,,,724.40,Collecting baseline... RawAvg=724.40
baseline,725.00,,,,725.00,Collecting baseline... RawAvg=725.00
baseline,725.60,,,,725.60,Collecting baseline... RawAvg=725.60
baseline,726.60,,,,726.60,Collecting baseline... RawAvg=726.60
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.80,,,,727.80,Collecting baseline... RawAvg=727.80
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
baseline,727.80,,,,727.80,Collecting baseline... RawAvg=727.80
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,726.80,,,,726.80,Collecting baseline... RawAvg=726.80
baseline,726.20,,,,726.20,Collecting baseline... RawAvg=726.20
baseline,725.60,,,,725.60,Collecting baseline... RawAvg=725.60
baseline,725.00,,,,725.00,Collecting baseline... RawAvg=725.00
baseline,724.80,,,,724.80,Collecting baseline... RawAvg=724.80
baseline,724.40,,,,724.40,Collecting baseline... RawAvg=724.40
baseline,724.60,,,,724.60,Collecting baseline... RawAvg=724.60
baseline,725.00,,,,725.00,Collecting baseline... RawAvg=725.00
baseline,725.60,,,,725.60,Collecting baseline... RawAvg=725.60
baseline,726.00,,,,726.00,Collecting baseline... RawAvg=726.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.80,,,,727.80,Collecting baseline... RawAvg=727.80
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
baseline,727.80,,,,727.80,Collecting baseline... RawAvg=727.80
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,726.15,,,726.15,Final Base Raw Average = 726.15
info,,,,,,--------------------------------------------------------------------------
data,,726.2,726.4,0.2,726.4,Time=0.1s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,725.8,0.4,725.8,Time=0.2s | BaseRaw=726.2 | CurrentRaw=725.8 | Change=0.4 => Floor
data,,726.2,725.8,0.4,725.8,Time=0.3s | BaseRaw=726.2 | CurrentRaw=725.8 | Change=0.4 => Floor
data,,726.2,726.4,0.2,726.4,Time=0.4s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.6,0.4,726.6,Time=0.5s | BaseRaw=726.2 | CurrentRaw=726.6 | Change=0.4 => Floor
data,,726.2,726.4,0.2,726.4,Time=0.6s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.2,0.0,726.2,Time=0.7s | BaseRaw=726.2 | CurrentRaw=726.2 | Change=0.0 => Floor
data,,726.2,726.2,0.0,726.2,Time=0.8s | BaseRaw=726.2 | CurrentRaw=726.2 | Change=0.0 => Floor
data,,726.2,726.0,0.2,726.0,Time=0.9s | BaseRaw=726.2 | CurrentRaw=726.0 | Change=0.2 => Floor
data,,726.2,726.0,0.2,726.0,Time=1.0s | BaseRaw=726.2 | CurrentRaw=726.0 | Change=0.2 => Floor
data,,726.2,726.0,0.2,726.0,Time=1.1s | BaseRaw=726.2 | CurrentRaw=726.0 | Change=0.2 => Floor
data,,726.2,726.2,0.0,726.2,Time=1.2s | BaseRaw=726.2 | CurrentRaw=726.2 | Change=0.0 => Floor
data,,726.2,726.4,0.2,726.4,Time=1.3s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.4,0.2,726.4,Time=1.4s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.2,0.0,726.2,Time=1.5s | BaseRaw=726.2 | CurrentRaw=726.2 | Change=0.0 => Floor
data,,726.2,726.2,0.0,726.2,Time=1.6s | BaseRaw=726.2 | CurrentRaw=726.2 | Change=0.0 => Floor
data,,726.2,726.2,0.0,726.2,Time=1.7s | BaseRaw=726.2 | CurrentRaw=726.2 | Change=0.0 => Floor
data,,726.2,726.2,0.0,726.2,Time=1.8s | BaseRaw=726.2 | CurrentRaw=726.2 | Change=0.0 => Floor
data,,726.2,726.4,0.2,726.4,Time=1.9s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.4,0.2,726.4,Time=2.0s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.4,0.2,726.4,Time=2.1s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.6,0.4,726.6,Time=2.2s | BaseRaw=726.2 | CurrentRaw=726.6 | Change=0.4 => Floor
data,,726.2,726.8,0.6,726.8,Time=2.3s | BaseRaw=726.2 | CurrentRaw=726.8 | Change=0.6 => Floor
data,,726.2,726.6,0.4,726.6,Time=2.4s | BaseRaw=726.2 | CurrentRaw=726.6 | Change=0.4 => Floor
data,,726.2,726.4,0.2,726.4,Time=2.5s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.4,0.2,726.4,Time=2.6s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.6,0.4,726.6,Time=2.7s | BaseRaw=726.2 | CurrentRaw=726.6 | Change=0.4 => Floor
data,,726.2,726.6,0.4,726.6,Time=2.8s | BaseRaw=726.2 | CurrentRaw=726.6 | Change=0.4 => Floor
data,,726.2,726.4,0.2,726.4,Time=2.9s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.0,0.2,726.0,Time=3.0s | BaseRaw=726.2 | CurrentRaw=726.0 | Change=0.2 => Floor
data,,726.2,726.0,0.2,726.0,Time=3.1s | BaseRaw=726.2 | CurrentRaw=726.0 | Change=0.2 => Floor
data,,726.2,726.0,0.2,726.0,Time=3.2s | BaseRaw=726.2 | CurrentRaw=726.0 | Change=0.2 => Floor
data,,726.2,725.8,0.4,725.8,Time=3.3s | BaseRaw=726.2 | CurrentRaw=725.8 | Change=0.4 => Floor
data,,726.2,725.6,0.6,725.6,Time=3.4s | BaseRaw=726.2 | CurrentRaw=725.6 | Change=0.6 => Floor
data,,726.2,725.8,0.4,725.8,Time=3.5s | BaseRaw=726.2 | CurrentRaw=725.8 | Change=0.4 => Floor
data,,726.2,726.0,0.2,726.0,Time=3.6s | BaseRaw=726.2 | CurrentRaw=726.0 | Change=0.2 => Floor
data,,726.2,726.2,0.0,726.2,Time=3.7s | BaseRaw=726.2 | CurrentRaw=726.2 | Change=0.0 => Floor
data,,726.2,726.4,0.2,726.4,Time=3.8s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.4,0.2,726.4,Time=3.9s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.4,0.2,726.4,Time=4.0s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.6,0.4,726.6,Time=4.1s | BaseRaw=726.2 | CurrentRaw=726.6 | Change=0.4 => Floor
data,,726.2,726.6,0.4,726.6,Time=4.2s | BaseRaw=726.2 | CurrentRaw=726.6 | Change=0.4 => Floor
data,,726.2,726.4,0.2,726.4,Time=4.3s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.2,0.0,726.2,Time=4.4s | BaseRaw=726.2 | CurrentRaw=726.2 | Change=0.0 => Floor
data,,726.2,726.4,0.2,726.4,Time=4.5s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.4,0.2,726.4,Time=4.6s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.6,0.4,726.6,Time=4.7s | BaseRaw=726.2 | CurrentRaw=726.6 | Change=0.4 => Floor
data,,726.2,726.4,0.2,726.4,Time=4.8s | BaseRaw=726.2 | CurrentRaw=726.4 | Change=0.2 => Floor
data,,726.2,726.0,0.2,726.0,Time=4.9s | BaseRaw=726.2 | CurrentRaw=726.0 | Change=0.2 => Floor
data,,726.2,725.8,0.4,725.8,Time=5.0s | BaseRaw=726.2 | CurrentRaw=725.8 | Change=0.4 => Floor
data,,726.2,725.8,0.4,725.8,Time=5.1s | BaseRaw=726.2 | CurrentRaw=725.8 | Change=0.4 => Floor
data,,726.2,725.4,0.8,725.4,Time=5.2s | BaseRaw=726.2 | CurrentRaw=725.4 | Change=0.8 => Floor
data,,726.2,725.4,0.8,725.4,Time=5.3s | BaseRaw=726.2 | CurrentRaw=725.4 | Change=0.8 => Floor
data,,726.2,726.8,0.6,726.8,Time=5.4s | BaseRaw=726.2 | CurrentRaw=726.8 | Change=0.6 => Floor
data,,726.2,729.8,3.6,729.8,Time=5.5s | BaseRaw=726.2 | CurrentRaw=729.8 | Change=3.6 => Floor
data,,726.2,733.8,7.6,733.8,Time=5.6s | BaseRaw=726.2 | CurrentRaw=733.8 | Change=7.6 => Floor
data,,726.2,737.6,11.4,737.6,Time=5.7s | BaseRaw=726.2 | CurrentRaw=737.6 | Change=11.4 => Liquid
data,,726.2,739.6,13.4,739.6,Time=5.8s | BaseRaw=726.2 | CurrentRaw=739.6 | Change=13.4 => Liquid
data,,726.2,740.8,14.6,740.8,Time=5.9s | BaseRaw=726.2 | CurrentRaw=740.8 | Change=14.6 => Liquid
data,,726.2,740.8,14.6,740.8,Time=6.0s | BaseRaw=726.2 | CurrentRaw=740.8 | Change=14.6 => Liquid
data,,726.2,738.6,12.4,738.6,Time=6.1s | BaseRaw=726.2 | CurrentRaw=738.6 | Change=12.4 => Liquid
data,,726.2,737.4,11.2,737.4,Time=6.2s | BaseRaw=726.2 | CurrentRaw=737.4 | Change=11.2 => Liquid
data,,726.2,739.0,12.8,739.0,Time=6.3s | BaseRaw=726.2 | CurrentRaw=739.0 | Change=12.8 => Liquid
data,,726.2,739.8,13.6,739.8,Time=6.4s | BaseRaw=726.2 | CurrentRaw=739.8 | Change=13.6 => Liquid
data,,726.2,741.0,14.8,741.0,Time=6.5s | BaseRaw=726.2 | CurrentRaw=741.0 | Change=14.8 => Liquid
