record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,772.00,,,,772.00,Collecting baseline... RawAvg=772.00
baseline,771.60,,,,771.60,Collecting baseline... RawAvg=771.60
baseline,771.20,,,,771.20,Collecting baseline... RawAvg=771.20
baseline,771.20,,,,771.20,Collecting baseline... RawAvg=771.20
baseline,771.20,,,,771.20,Collecting baseline... RawAvg=771.20
baseline,772.20,,,,772.20,Collecting baseline... RawAvg=772.20
baseline,772.40,,,,772.40,Collecting baseline... RawAvg=772.40
baseline,772.60,,,,772.60,Collecting baseline... RawAvg=772.60
baseline,772.40,,,,772.40,Collecting baseline... RawAvg=772.40
baseline,772.20,,,,772.20,Collecting baseline... RawAvg=772.20
baseline,771.80,,,,771.80,Collecting baseline... RawAvg=771.80
baseline,771.40,,,,771.40,Collecting baseline... RawAvg=771.40
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,769.80,,,,769.80,Collecting baseline... RawAvg=769.80
baseline,769.00,,,,769.00,Collecting baseline... RawAvg=769.00
baseline,768.60,,,,768.60,Collecting baseline... RawAvg=768.60
baseline,768.20,,,,768.20,Collecting baseline... RawAvg=768.20
baseline,768.60,,,,768.60,Collecting baseline... RawAvg=768.60
baseline,769.00,,,,769.00,Collecting baseline... RawAvg=769.00
baseline,769.40,,,,769.40,Collecting baseline... RawAvg=769.40
baseline,769.80,,,,769.80,Collecting baseline... RawAvg=769.80
baseline,770.80,,,,770.80,Collecting baseline... RawAvg=770.80
baseline,771.40,,,,771.40,Collecting baseline... RawAvg=771.40
baseline,771.80,,,,771.80,Collecting baseline... RawAvg=771.80
baseline,772.40,,,,772.40,Collecting baseline... RawAvg=772.40
baseline,772.60,,,,772.60,Collecting baseline... RawAvg=772.60
baseline,772.20,,,,772.20,Collecting baseline... RawAvg=772.20
baseline,771.60,,,,771.60,Collecting baseline... RawAvg=771.60
baseline,771.20,,,,771.20,Collecting baseline... RawAvg=771.20
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,769.60,,,,769.60,Collecting baseline... RawAvg=769.60
baseline,769.00,,,,769.00,Collecting baseline... RawAvg=769.00
baseline,768.60,,,,768.60,Collecting baseline... RawAvg=768.60
baseline,768.20,,,,768.20,Collecting baseline... RawAvg=768.20
baseline,768.20,,,,768.20,Collecting baseline... RawAvg=768.20
baseline,768.40,,,,768.40,Collecting baseline... RawAvg=768.40
baseline,768.80,,,,768.80,Collecting baseline... RawAvg=768.80
baseline,769.20,,,,769.20,Collecting baseline... RawAvg=769.20
baseline,770.00,,,,770.00,Collecting baseline... RawAvg=770.00
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,771.40,,,,771.40,Collecting baseline... RawAvg=771.40
baseline,771.80,,,,771.80,Collecting baseline... RawAvg=771.80
baseline,772.20,,,,772.20,Collecting baseline... RawAvg=772.20
baseline,772.00,,,,772.00,Collecting baseline... RawAvg=772.00
baseline,771.80,,,,771.80,Collecting baseline... RawAvg=771.80
baseline,771.20,,,,771.20,Collecting baseline... RawAvg=771.20
baseline,770.80,,,,770.80,Collecting baseline... RawAvg=770.80
baseline,770.00,,,,770.00,Collecting baseline... RawAvg=770.00
baseline,769.20,,,,769.20,Collecting baseline... RawAvg=769.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,770.62,,,770.62,Final Base Raw Average = 770.62
info,,,,,,--------------------------------------------------------------------------
data,,770.6,767.8,2.8,767.8,Time=0.1s | BaseRaw=770.6 | CurrentRaw=767.8 | Change=2.8 => Floor
data,,770.6,767.6,3.0,767.6,Time=0.2s | BaseRaw=770.6 | CurrentRaw=767.6 | Change=3.0 => Floor
data,,770.6,768.4,2.2,768.4,Time=0.3s | BaseRaw=770.6 | CurrentRaw=768.4 | Change=2.2 => Floor
data,,770.6,769.4,1.2,769.4,Time=0.4s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.8,0.8,769.8,Time=0.5s | BaseRaw=770.6 | CurrentRaw=769.8 | Change=0.8 => Floor
data,,770.6,770.2,0.4,770.2,Time=0.6s | BaseRaw=770.6 | CurrentRaw=770.2 | Change=0.4 => Floor
data,,770.6,770.4,0.2,770.4,Time=0.7s | BaseRaw=770.6 | CurrentRaw=770.4 | Change=0.2 => Floor
data,,770.6,770.4,0.2,770.4,Time=0.8s | BaseRaw=770.6 | CurrentRaw=770.4 | Change=0.2 => Floor
data,,770.6,770.2,0.4,770.2,Time=0.9s | BaseRaw=770.6 | CurrentRaw=770.2 | Change=0.4 => Floor
data,,770.6,770.2,0.4,770.2,Time=1.0s | BaseRaw=770.6 | CurrentRaw=770.2 | Change=0.4 => Floor
data,,770.6,770.0,0.6,770.0,Time=1.1s | BaseRaw=770.6 | CurrentRaw=770.0 | Change=0.6 => Floor
data,,770.6,770.0,0.6,770.0,Time=1.2s | BaseRaw=770.6 | CurrentRaw=770.0 | Change=0.6 => Floor
data,,770.6,770.0,0.6,770.0,Time=1.3s | BaseRaw=770.6 | CurrentRaw=770.0 | Change=0.6 => Floor
data,,770.6,769.8,0.8,769.8,Time=1.4s | BaseRaw=770.6 | CurrentRaw=769.8 | Change=0.8 => Floor
data,,770.6,769.4,1.2,769.4,Time=1.5s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.4,1.2,769.4,Time=1.6s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.4,1.2,769.4,Time=1.7s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.4,1.2,769.4,Time=1.8s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.4,1.2,769.4,Time=1.9s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.4,1.2,769.4,Time=2.0s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.6,1.0,769.6,Time=2.1s | BaseRaw=770.6 | CurrentRaw=769.6 | Change=1.0 => Floor
data,,770.6,769.6,1.0,769.6,Time=2.2s | BaseRaw=770.6 | CurrentRaw=769.6 | Change=1.0 => Floor
data,,770.6,769.6,1.0,769.6,Time=2.3s | BaseRaw=770.6 | CurrentRaw=769.6 | Change=1.0 => Floor
data,,770.6,769.6,1.0,769.6,Time=2.4s | BaseRaw=770.6 | CurrentRaw=769.6 | Change=1.0 => Floor
data,,770.6,769.6,1.0,769.6,Time=2.5s | BaseRaw=770.6 | CurrentRaw=769.6 | Change=1.0 => Floor
data,,770.6,769.6,1.0,769.6,Time=2.6s | BaseRaw=770.6 | CurrentRaw=769.6 | Change=1.0 => Floor
data,,770.6,769.8,0.8,769.8,Time=2.7s | BaseRaw=770.6 | CurrentRaw=769.8 | Change=0.8 => Floor
data,,770.6,769.8,0.8,769.8,Time=2.8s | BaseRaw=770.6 | CurrentRaw=769.8 | Change=0.8 => Floor
data,,770.6,769.8,0.8,769.8,Time=2.9s | BaseRaw=770.6 | CurrentRaw=769.8 | Change=0.8 => Floor
data,,770.6,770.0,0.6,770.0,Time=3.0s | BaseRaw=770.6 | CurrentRaw=770.0 | Change=0.6 => Floor
data,,770.6,770.2,0.4,770.2,Time=3.1s | BaseRaw=770.6 | CurrentRaw=770.2 | Change=0.4 => Floor
data,,770.6,770.4,0.2,770.4,Time=3.2s | BaseRaw=770.6 | CurrentRaw=770.4 | Change=0.2 => Floor
data,,770.6,770.4,0.2,770.4,Time=3.3s | BaseRaw=770.6 | CurrentRaw=770.4 | Change=0.2 => Floor
data,,770.6,770.2,0.4,770.2,Time=3.4s | BaseRaw=770.6 | CurrentRaw=770.2 | Change=0.4 => Floor
data,,770.6,770.0,0.6,770.0,Time=3.5s | BaseRaw=770.6 | CurrentRaw=770.0 | Change=0.6 => Floor
data,,770.6,769.8,0.8,769.8,Time=3.6s | BaseRaw=770.6 | CurrentRaw=769.8 | Change=0.8 => Floor
data,,770.6,769.8,0.8,769.8,Time=3.7s | BaseRaw=770.6 | CurrentRaw=769.8 | Change=0.8 => Floor
data,,770.6,769.8,0.8,769.8,Time=3.8s | BaseRaw=770.6 | CurrentRaw=769.8 | Change=0.8 => Floor
data,,770.6,769.8,0.8,769.8,Time=3.9s | BaseRaw=770.6 | CurrentRaw=769.8 | Change=0.8 => Floor
data,,770.6,770.0,0.6,770.0,Time=4.0s | BaseRaw=770.6 | CurrentRaw=770.0 | Change=0.6 => Floor
data,,770.6,770.0,0.6,770.0,Time=4.1s | BaseRaw=770.6 | CurrentRaw=770.0 | Change=0.6 => Floor
data,,770.6,770.0,0.6,770.0,Time=4.2s | BaseRaw=770.6 | CurrentRaw=770.0 | Change=0.6 => Floor
data,,770.6,769.8,0.8,769.8,Time=4.3s | BaseRaw=770.6 | CurrentRaw=769.8 | Change=0.8 => Floor
data,,770.6,769.8,0.8,769.8,Time=4.4s | BaseRaw=770.6 | CurrentRaw=769.8 | Change=0.8 => Floor
data,,770.6,769.8,0.8,769.8,Time=4.5s | BaseRaw=770.6 | CurrentRaw=769.8 | Change=0.8 => Floor
data,,770.6,770.0,0.6,770.0,Time=4.6s | BaseRaw=770.6 | CurrentRaw=770.0 | Change=0.6 => Floor
data,,770.6,770.0,0.6,770.0,Time=4.7s | BaseRaw=770.6 | CurrentRaw=770.0 | Change=0.6 => Floor
data,,770.6,770.0,0.6,770.0,Time=4.8s | BaseRaw=770.6 | CurrentRaw=770.0 | Change=0.6 => Floor
data,,770.6,769.6,1.0,769.6,Time=4.9s | BaseRaw=770.6 | CurrentRaw=769.6 | Change=1.0 => Floor
data,,770.6,769.6,1.0,769.6,Time=5.0s | BaseRaw=770.6 | CurrentRaw=769.6 | Change=1.0 => Floor
data,,770.6,769.6,1.0,769.6,Time=5.1s | BaseRaw=770.6 | CurrentRaw=769.6 | Change=1.0 => Floor
data,,770.6,769.6,1.0,769.6,Time=5.2s | BaseRaw=770.6 | CurrentRaw=769.6 | Change=1.0 => Floor
data,,770.6,769.6,1.0,769.6,Time=5.3s | BaseRaw=770.6 | CurrentRaw=769.6 | Change=1.0 => Floor
data,,770.6,769.6,1.0,769.6,Time=5.4s | BaseRaw=770.6 | CurrentRaw=769.6 | Change=1.0 => Floor
data,,770.6,769.4,1.2,769.4,Time=5.5s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.4,1.2,769.4,Time=5.6s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.4,1.2,769.4,Time=5.7s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.4,1.2,769.4,Time=5.8s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.4,1.2,769.4,Time=5.9s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.4,1.2,769.4,Time=6.0s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.4,1.2,769.4,Time=6.1s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.4,1.2,769.4,Time=6.2s | BaseRaw=770.6 | CurrentRaw=769.4 | Change=1.2 => Floor
data,,770.6,769.2,1.4,769.2,Time=6.3s | BaseRaw=770.6 | CurrentRaw=769.2 | Change=1.4 => Floor
data,,770.6,769.2,1.4,769.2,Time=6.4s | BaseRaw=770.6 | CurrentRaw=769.2 | Change=1.4 => Floor
data,,770.6,769.2,1.4,769.2,Time=6.5s | BaseRaw=770.6 | CurrentRaw=769.2 | Change=1.4 => Floor
