record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,733.80,,,,733.80,Collecting baseline... RawAvg=733.80
baseline,734.20,,,,734.20,Collecting baseline... RawAvg=734.20
baseline,734.40,,,,734.40,Collecting baseline... RawAvg=734.40
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,733.60,,,,733.60,Collecting baseline... RawAvg=733.60
baseline,733.00,,,,733.00,Collecting baseline... RawAvg=733.00
baseline,732.40,,,,732.40,Collecting baseline... RawAvg=732.40
baseline,732.00,,,,732.00,Collecting baseline... RawAvg=732.00
baseline,732.00,,,,732.00,Collecting baseline... RawAvg=732.00
baseline,732.60,,,,732.60,Collecting baseline... RawAvg=732.60
baseline,733.00,,,,733.00,Collecting baseline... RawAvg=733.00
baseline,733.40,,,,733.40,Collecting baseline... RawAvg=733.40
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,735.00,,,,735.00,Collecting baseline... RawAvg=735.00
baseline,735.40,,,,735.40,Collecting baseline... RawAvg=735.40
baseline,735.80,,,,735.80,Collecting baseline... RawAvg=735.80
baseline,735.60,,,,735.60,Collecting baseline... RawAvg=735.60
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,732.60,,,,732.60,Collecting baseline... RawAvg=732.60
baseline,732.20,,,,732.20,Collecting baseline... RawAvg=732.20
baseline,732.40,,,,732.40,Collecting baseline... RawAvg=732.40
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,733.60,,,,733.60,Collecting baseline... RawAvg=733.60
baseline,734.40,,,,734.40,Collecting baseline... RawAvg=734.40
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,735.60,,,,735.60,Collecting baseline... RawAvg=735.60
baseline,736.00,,,,736.00,Collecting baseline... RawAvg=736.00
baseline,736.00,,,,736.00,Collecting baseline... RawAvg=736.00
baseline,735.80,,,,735.80,Collecting baseline... RawAvg=735.80
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,733.40,,,,733.40,Collecting baseline... RawAvg=733.40
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,732.40,,,,732.40,Collecting baseline... RawAvg=732.40
baseline,732.00,,,,732.00,Collecting baseline... RawAvg=732.00
baseline,732.40,,,,732.40,Collecting baseline... RawAvg=732.40
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,733.85,,,733.85,Final Base Raw Average = 733.85
info,,,,,,--------------------------------------------------------------------------
data,,733.9,735.6,1.7,735.6,Time=0.1s | BaseRaw=733.9 | CurrentRaw=735.6 | Change=1.7 => Floor
data,,733.9,735.8,1.9,735.8,Time=0.2s | BaseRaw=733.9 | CurrentRaw=735.8 | Change=1.9 => Floor
data,,733.9,735.0,1.1,735.0,Time=0.3s | BaseRaw=733.9 | CurrentRaw=735.0 | Change=1.1 => Floor
data,,733.9,734.4,0.5,734.4,Time=0.4s | BaseRaw=733.9 | CurrentRaw=734.4 | Change=0.5 => Floor
data,,733.9,734.4,0.5,734.4,Time=0.5s | BaseRaw=733.9 | CurrentRaw=734.4 | Change=0.5 => Floor
data,,733.9,734.2,0.3,734.2,Time=0.6s | BaseRaw=733.9 | CurrentRaw=734.2 | Change=0.3 => Floor
data,,733.9,734.0,0.1,734.0,Time=0.7s | BaseRaw=733.9 | CurrentRaw=734.0 | Change=0.1 => Floor
data,,733.9,734.0,0.1,734.0,Time=0.8s | BaseRaw=733.9 | CurrentRaw=734.0 | Change=0.1 => Floor
data,,733.9,734.2,0.3,734.2,Time=0.9s | BaseRaw=733.9 | CurrentRaw=734.2 | Change=0.3 => Floor
data,,733.9,734.2,0.3,734.2,Time=1.0s | BaseRaw=733.9 | CurrentRaw=734.2 | Change=0.3 => Floor
data,,733.9,734.6,0.7,734.6,Time=1.1s | BaseRaw=733.9 | CurrentRaw=734.6 | Change=0.7 => Floor
data,,733.9,734.6,0.7,734.6,Time=1.2s | BaseRaw=733.9 | CurrentRaw=734.6 | Change=0.7 => Floor
data,,733.9,734.6,0.7,734.6,Time=1.3s | BaseRaw=733.9 | CurrentRaw=734.6 | Change=0.7 => Floor
data,,733.9,734.4,0.5,734.4,Time=1.4s | BaseRaw=733.9 | CurrentRaw=734.4 | Change=0.5 => Floor
data,,733.9,734.4,0.5,734.4,Time=1.5s | BaseRaw=733.9 | CurrentRaw=734.4 | Change=0.5 => Floor
data,,733.9,734.0,0.1,734.0,Time=1.6s | BaseRaw=733.9 | CurrentRaw=734.0 | Change=0.1 => Floor
data,,733.9,734.0,0.1,734.0,Time=1.7s | BaseRaw=733.9 | CurrentRaw=734.0 | Change=0.1 => Floor
data,,733.9,734.0,0.1,734.0,Time=1.8s | BaseRaw=733.9 | CurrentRaw=734.0 | Change=0.1 => Floor
data,,733.9,734.2,0.3,734.2,Time=1.9s | BaseRaw=733.9 | CurrentRaw=734.2 | Change=0.3 => Floor
data,,733.9,734.2,0.3,734.2,Time=2.0s | BaseRaw=733.9 | CurrentRaw=734.2 | Change=0.3 => Floor
data,,733.9,734.2,0.3,734.2,Time=2.1s | BaseRaw=733.9 | CurrentRaw=734.2 | Change=0.3 => Floor
data,,733.9,733.8,0.1,733.8,Time=2.2s | BaseRaw=733.9 | CurrentRaw=733.8 | Change=0.1 => Floor
data,,733.9,733.8,0.1,733.8,Time=2.3s | BaseRaw=733.9 | CurrentRaw=733.8 | Change=0.1 => Floor
data,,733.9,734.0,0.1,734.0,Time=2.4s | BaseRaw=733.9 | CurrentRaw=734.0 | Change=0.1 => Floor
data,,733.9,734.0,0.1,734.0,Time=2.5s | BaseRaw=733.9 | CurrentRaw=734.0 | Change=0.1 => Floor
data,,733.9,733.8,0.1,733.8,Time=2.6s | BaseRaw=733.9 | CurrentRaw=733.8 | Change=0.1 => Floor
data,,733.9,734.0,0.1,734.0,Time=2.7s | BaseRaw=733.9 | CurrentRaw=734.0 | Change=0.1 => Floor
data,,733.9,734.2,0.3,734.2,Time=2.8s | BaseRaw=733.9 | CurrentRaw=734.2 | Change=0.3 => Floor
data,,733.9,734.2,0.3,734.2,Time=2.9s | BaseRaw=733.9 | CurrentRaw=734.2 | Change=0.3 => Floor
data,,733.9,734.2,0.3,734.2,Time=3.0s | BaseRaw=733.9 | CurrentRaw=734.2 | Change=0.3 => Floor
data,,733.9,734.2,0.3,734.2,Time=3.1s | BaseRaw=733.9 | CurrentRaw=734.2 | Change=0.3 => Floor
data,,733.9,734.0,0.1,734.0,Time=3.2s | BaseRaw=733.9 | CurrentRaw=734.0 | Change=0.1 => Floor
data,,733.9,734.2,0.3,734.2,Time=3.3s | BaseRaw=733.9 | CurrentRaw=734.2 | Change=0.3 => Floor
data,,733.9,734.4,0.5,734.4,Time=3.4s | BaseRaw=733.9 | CurrentRaw=734.4 | Change=0.5 => Floor
data,,733.9,734.2,0.3,734.2,Time=3.5s | BaseRaw=733.9 | CurrentRaw=734.2 | Change=0.3 => Floor
data,,733.9,734.0,0.1,734.0,Time=3.6s | BaseRaw=733.9 | CurrentRaw=734.0 | Change=0.1 => Floor
data,,733.9,734.2,0.3,734.2,Time=3.7s | BaseRaw=733.9 | CurrentRaw=734.2 | Change=0.3 => Floor
data,,733.9,734.4,0.5,734.4,Time=3.8s | BaseRaw=733.9 | CurrentRaw=734.4 | Change=0.5 => Floor
data,,733.9,734.4,0.5,734.4,Time=3.9s | BaseRaw=733.9 | CurrentRaw=734.4 | Change=0.5 => Floor
data,,733.9,734.2,0.3,734.2,Time=4.0s | BaseRaw=733.9 | CurrentRaw=734.2 | Change=0.3 => Floor
data,,733.9,734.0,0.1,734.0,Time=4.1s | BaseRaw=733.9 | CurrentRaw=734.0 | Change=0.1 => Floor
data,,733.9,733.8,0.1,733.8,Time=4.2s | BaseRaw=733.9 | CurrentRaw=733.8 | Change=0.1 => Floor
data,,733.9,733.6,0.3,733.6,Time=4.3s | BaseRaw=733.9 | CurrentRaw=733.6 | Change=0.3 => Floor
data,,733.9,733.6,0.3,733.6,Time=4.4s | BaseRaw=733.9 | CurrentRaw=733.6 | Change=0.3 => Floor
data,,733.9,733.8,0.1,733.8,Time=4.5s | BaseRaw=733.9 | CurrentRaw=733.8 | Change=0.1 => Floor
data,,733.9,733.6,0.3,733.6,Time=4.6s | BaseRaw=733.9 | CurrentRaw=733.6 | Change=0.3 => Floor
data,,733.9,733.4,0.5,733.4,Time=4.7s | BaseRaw=733.9 | CurrentRaw=733.4 | Change=0.5 => Floor
data,,733.9,733.4,0.5,733.4,Time=4.8s | BaseRaw=733.9 | CurrentRaw=733.4 | Change=0.5 => Floor
data,,733.9,733.4,0.5,733.4,Time=4.9s | BaseRaw=733.9 | CurrentRaw=733.4 | Change=0.5 => Floor
data,,733.9,733.0,0.9,733.0,Time=5.0s | BaseRaw=733.9 | CurrentRaw=733.0 | Change=0.9 => Floor
data,,733.9,733.0,0.9,733.0,Time=5.1s | BaseRaw=733.9 | CurrentRaw=733.0 | Change=0.9 => Floor
data,,733.9,733.2,0.7,733.2,Time=5.2s | BaseRaw=733.9 | CurrentRaw=733.2 | Change=0.7 => Floor
data,,733.9,733.4,0.5,733.4,Time=5.3s | BaseRaw=733.9 | CurrentRaw=733.4 | Change=0.5 => Floor
data,,733.9,733.0,0.9,733.0,Time=5.4s | BaseRaw=733.9 | CurrentRaw=733.0 | Change=0.9 => Floor
data,,733.9,732.8,1.1,732.8,Time=5.5s | BaseRaw=733.9 | CurrentRaw=732.8 | Change=1.1 => Floor
data,,733.9,732.4,1.5,732.4,Time=5.6s | BaseRaw=733.9 | CurrentRaw=732.4 | Change=1.5 => Floor
data,,733.9,732.2,1.7,732.2,Time=5.7s | BaseRaw=733.9 | CurrentRaw=732.2 | Change=1.7 => Floor
data,,733.9,731.8,2.1,731.8,Time=5.8s | BaseRaw=733.9 | CurrentRaw=731.8 | Change=2.1 => Floor
data,,733.9,731.4,2.5,731.4,Time=5.9s | BaseRaw=733.9 | CurrentRaw=731.4 | Change=2.5 => Floor
data,,733.9,730.4,3.5,730.4,Time=6.0s | BaseRaw=733.9 | CurrentRaw=730.4 | Change=3.5 => Floor
data,,733.9,729.4,4.5,729.4,Time=6.1s | BaseRaw=733.9 | CurrentRaw=729.4 | Change=4.5 => Floor
data,,733.9,728.6,5.3,728.6,Time=6.2s | BaseRaw=733.9 | CurrentRaw=728.6 | Change=5.3 => Floor
data,,733.9,727.6,6.3,727.6,Time=6.3s | BaseRaw=733.9 | CurrentRaw=727.6 | Change=6.3 => Floor
data,,733.9,726.4,7.5,726.4,Time=6.4s | BaseRaw=733.9 | CurrentRaw=726.4 | Change=7.5 => Floor
data,,733.9,725.6,8.3,725.6,Time=6.5s | BaseRaw=733.9 | CurrentRaw=725.6 | Change=8.3 => Floor
