record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,546.20,,,,546.20,Collecting baseline... RawAvg=546.20
baseline,546.80,,,,546.80,Collecting baseline... RawAvg=546.80
baseline,547.20,,,,547.20,Collecting baseline... RawAvg=547.20
baseline,547.40,,,,547.40,Collecting baseline... RawAvg=547.40
baseline,547.40,,,,547.40,Collecting baseline... RawAvg=547.40
baseline,547.20,,,,547.20,Collecting baseline... RawAvg=547.20
baseline,546.40,,,,546.40,Collecting baseline... RawAvg=546.40
baseline,545.80,,,,545.80,Collecting baseline... RawAvg=545.80
baseline,545.60,,,,545.60,Collecting baseline... RawAvg=545.60
baseline,545.80,,,,545.80,Collecting baseline... RawAvg=545.80
baseline,546.00,,,,546.00,Collecting baseline... RawAvg=546.00
baseline,546.40,,,,546.40,Collecting baseline... RawAvg=546.40
baseline,547.00,,,,547.00,Collecting baseline... RawAvg=547.00
baseline,547.40,,,,547.40,Collecting baseline... RawAvg=547.40
baseline,547.80,,,,547.80,Collecting baseline... RawAvg=547.80
baseline,548.20,,,,548.20,Collecting baseline... RawAvg=548.20
baseline,548.60,,,,548.60,Collecting baseline... RawAvg=548.60
baseline,548.80,,,,548.80,Collecting baseline... RawAvg=548.80
baseline,548.80,,,,548.80,Collecting baseline... RawAvg=548.80
baseline,548.40,,,,548.40,Collecting baseline... RawAvg=548.40
baseline,547.80,,,,547.80,Collecting baseline... RawAvg=547.80
baseline,547.20,,,,547.20,Collecting baseline... RawAvg=547.20
baseline,546.40,,,,546.40,Collecting baseline... RawAvg=546.40
baseline,545.60,,,,545.60,Collecting baseline... RawAvg=545.60
baseline,545.00,,,,545.00,Collecting baseline... RawAvg=545.00
baseline,544.60,,,,544.60,Collecting baseline... RawAvg=544.60
baseline,544.20,,,,544.20,Collecting baseline... RawAvg=544.20
baseline,544.00,,,,544.00,Collecting baseline... RawAvg=544.00
baseline,544.20,,,,544.20,Collecting baseline... RawAvg=544.20
baseline,544.40,,,,544.40,Collecting baseline... RawAvg=544.40
baseline,544.80,,,,544.80,Collecting baseline... RawAvg=544.80
baseline,545.40,,,,545.40,Collecting baseline... RawAvg=545.40
baseline,546.20,,,,546.20,Collecting baseline... RawAvg=546.20
baseline,546.80,,,,546.80,Collecting baseline... RawAvg=546.80
baseline,547.20,,,,547.20,Collecting baseline... RawAvg=547.20
baseline,547.40,,,,547.40,Collecting baseline... RawAvg=547.40
baseline,547.20,,,,547.20,Collecting baseline... RawAvg=547.20
baseline,546.40,,,,546.40,Collecting baseline... RawAvg=546.40
baseline,545.60,,,,545.60,Collecting baseline... RawAvg=545.60
baseline,545.00,,,,545.00,Collecting baseline... RawAvg=545.00
baseline,544.20,,,,544.20,Collecting baseline... RawAvg=544.20
baseline,543.00,,,,543.00,Collecting baseline... RawAvg=543.00
baseline,542.80,,,,542.80,Collecting baseline... RawAvg=542.80
baseline,542.60,,,,542.60,Collecting baseline... RawAvg=542.60
baseline,542.60,,,,542.60,Collecting baseline... RawAvg=542.60
baseline,542.60,,,,542.60,Collecting baseline... RawAvg=542.60
baseline,543.60,,,,543.60,Collecting baseline... RawAvg=543.60
baseline,544.00,,,,544.00,Collecting baseline... RawAvg=544.00
baseline,544.80,,,,544.80,Collecting baseline... RawAvg=544.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,545.89,,,545.89,Final Base Raw Average = 545.89
info,,,,,,--------------------------------------------------------------------------
data,,545.9,546.4,0.5,546.4,Time=0.1s | BaseRaw=545.9 | CurrentRaw=546.4 | Change=0.5 => Floor
data,,545.9,546.6,0.7,546.6,Time=0.2s | BaseRaw=545.9 | CurrentRaw=546.6 | Change=0.7 => Floor
data,,545.9,546.2,0.3,546.2,Time=0.3s | BaseRaw=545.9 | CurrentRaw=546.2 | Change=0.3 => Floor
data,,545.9,545.2,0.7,545.2,Time=0.4s | BaseRaw=545.9 | CurrentRaw=545.2 | Change=0.7 => Floor
data,,545.9,544.6,1.3,544.6,Time=0.5s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.4,1.5,544.4,Time=0.6s | BaseRaw=545.9 | CurrentRaw=544.4 | Change=1.5 => Floor
data,,545.9,544.2,1.7,544.2,Time=0.7s | BaseRaw=545.9 | CurrentRaw=544.2 | Change=1.7 => Floor
data,,545.9,544.0,1.9,544.0,Time=0.8s | BaseRaw=545.9 | CurrentRaw=544.0 | Change=1.9 => Floor
data,,545.9,544.0,1.9,544.0,Time=0.9s | BaseRaw=545.9 | CurrentRaw=544.0 | Change=1.9 => Floor
data,,545.9,544.0,1.9,544.0,Time=1.0s | BaseRaw=545.9 | CurrentRaw=544.0 | Change=1.9 => Floor
data,,545.9,544.2,1.7,544.2,Time=1.1s | BaseRaw=545.9 | CurrentRaw=544.2 | Change=1.7 => Floor
data,,545.9,544.0,1.9,544.0,Time=1.2s | BaseRaw=545.9 | CurrentRaw=544.0 | Change=1.9 => Floor
data,,545.9,544.0,1.9,544.0,Time=1.3s | BaseRaw=545.9 | CurrentRaw=544.0 | Change=1.9 => Floor
data,,545.9,544.4,1.5,544.4,Time=1.4s | BaseRaw=545.9 | CurrentRaw=544.4 | Change=1.5 => Floor
data,,545.9,544.6,1.3,544.6,Time=1.5s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.6,1.3,544.6,Time=1.6s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.6,1.3,544.6,Time=1.7s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.6,1.3,544.6,Time=1.8s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.6,1.3,544.6,Time=1.9s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.8,1.1,544.8,Time=2.0s | BaseRaw=545.9 | CurrentRaw=544.8 | Change=1.1 => Floor
data,,545.9,544.6,1.3,544.6,Time=2.1s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.6,1.3,544.6,Time=2.2s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.8,1.1,544.8,Time=2.3s | BaseRaw=545.9 | CurrentRaw=544.8 | Change=1.1 => Floor
data,,545.9,545.0,0.9,545.0,Time=2.4s | BaseRaw=545.9 | CurrentRaw=545.0 | Change=0.9 => Floor
data,,545.9,545.0,0.9,545.0,Time=2.5s | BaseRaw=545.9 | CurrentRaw=545.0 | Change=0.9 => Floor
data,,545.9,544.8,1.1,544.8,Time=2.6s | BaseRaw=545.9 | CurrentRaw=544.8 | Change=1.1 => Floor
data,,545.9,544.4,1.5,544.4,Time=2.7s | BaseRaw=545.9 | CurrentRaw=544.4 | Change=1.5 => Floor
data,,545.9,544.2,1.7,544.2,Time=2.8s | BaseRaw=545.9 | CurrentRaw=544.2 | Change=1.7 => Floor
data,,545.9,544.2,1.7,544.2,Time=2.9s | BaseRaw=545.9 | CurrentRaw=544.2 | Change=1.7 => Floor
data,,545.9,544.2,1.7,544.2,Time=3.0s | BaseRaw=545.9 | CurrentRaw=544.2 | Change=1.7 => Floor
data,,545.9,544.2,1.7,544.2,Time=3.1s | BaseRaw=545.9 | CurrentRaw=544.2 | Change=1.7 => Floor
data,,545.9,544.2,1.7,544.2,Time=3.2s | BaseRaw=545.9 | CurrentRaw=544.2 | Change=1.7 => Floor
data,,545.9,544.4,1.5,544.4,Time=3.3s | BaseRaw=545.9 | CurrentRaw=544.4 | Change=1.5 => Floor
data,,545.9,544.6,1.3,544.6,Time=3.4s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.6,1.3,544.6,Time=3.5s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.4,1.5,544.4,Time=3.6s | BaseRaw=545.9 | CurrentRaw=544.4 | Change=1.5 => Floor
data,,545.9,544.4,1.5,544.4,Time=3.7s | BaseRaw=545.9 | CurrentRaw=544.4 | Change=1.5 => Floor
data,,545.9,544.6,1.3,544.6,Time=3.8s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.6,1.3,544.6,Time=3.9s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.6,1.3,544.6,Time=4.0s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.6,1.3,544.6,Time=4.1s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.6,1.3,544.6,Time=4.2s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.8,1.1,544.8,Time=4.3s | BaseRaw=545.9 | CurrentRaw=544.8 | Change=1.1 => Floor
data,,545.9,545.2,0.7,545.2,Time=4.4s | BaseRaw=545.9 | CurrentRaw=545.2 | Change=0.7 => Floor
data,,545.9,545.2,0.7,545.2,Time=4.5s | BaseRaw=545.9 | CurrentRaw=545.2 | Change=0.7 => Floor
data,,545.9,545.2,0.7,545.2,Time=4.6s | BaseRaw=545.9 | CurrentRaw=545.2 | Change=0.7 => Floor
data,,545.9,545.4,0.5,545.4,Time=4.7s | BaseRaw=545.9 | CurrentRaw=545.4 | Change=0.5 => Floor
data,,545.9,545.4,0.5,545.4,Time=4.8s | BaseRaw=545.9 | CurrentRaw=545.4 | Change=0.5 => Floor
data,,545.9,545.2,0.7,545.2,Time=4.9s | BaseRaw=545.9 | CurrentRaw=545.2 | Change=0.7 => Floor
data,,545.9,545.0,0.9,545.0,Time=5.0s | BaseRaw=545.9 | CurrentRaw=545.0 | Change=0.9 => Floor
data,,545.9,544.6,1.3,544.6,Time=5.1s | BaseRaw=545.9 | CurrentRaw=544.6 | Change=1.3 => Floor
data,,545.9,544.4,1.5,544.4,Time=5.2s | BaseRaw=545.9 | CurrentRaw=544.4 | Change=1.5 => Floor
data,,545.9,544.2,1.7,544.2,Time=5.3s | BaseRaw=545.9 | CurrentRaw=544.2 | Change=1.7 => Floor
data,,545.9,544.2,1.7,544.2,Time=5.4s | BaseRaw=545.9 | CurrentRaw=544.2 | Change=1.7 => Floor
data,,545.9,544.0,1.9,544.0,Time=5.5s | BaseRaw=545.9 | CurrentRaw=544.0 | Change=1.9 => Floor
data,,545.9,543.8,2.1,543.8,Time=5.6s | BaseRaw=545.9 | CurrentRaw=543.8 | Change=2.1 => Floor
data,,545.9,543.8,2.1,543.8,Time=5.7s | BaseRaw=545.9 | CurrentRaw=543.8 | Change=2.1 => Floor
data,,545.9,543.8,2.1,543.8,Time=5.8s | BaseRaw=545.9 | CurrentRaw=543.8 | Change=2.1 => Floor
data,,545.9,543.6,2.3,543.6,Time=5.9s | BaseRaw=545.9 | CurrentRaw=543.6 | Change=2.3 => Floor
data,,545.9,543.2,2.7,543.2,Time=6.0s | BaseRaw=545.9 | CurrentRaw=543.2 | Change=2.7 => Floor
data,,545.9,543.2,2.7,543.2,Time=6.1s | BaseRaw=545.9 | CurrentRaw=543.2 | Change=2.7 => Floor
data,,545.9,543.2,2.7,543.2,Time=6.2s | BaseRaw=545.9 | CurrentRaw=543.2 | Change=2.7 => Floor
data,,545.9,543.4,2.5,543.4,Time=6.3s | BaseRaw=545.9 | CurrentRaw=543.4 | Change=2.5 => Floor
data,,545.9,543.2,2.7,543.2,Time=6.4s | BaseRaw=545.9 | CurrentRaw=543.2 | Change=2.7 => Floor
data,,545.9,540.6,5.3,540.6,Time=6.5s | BaseRaw=545.9 | CurrentRaw=540.6 | Change=5.3 => Floor
