record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,565.00,,,,565.00,Collecting baseline... RawAvg=565.00
baseline,564.80,,,,564.80,Collecting baseline... RawAvg=564.80
baseline,564.60,,,,564.60,Collecting baseline... RawAvg=564.60
baseline,564.40,,,,564.40,Collecting baseline... RawAvg=564.40
baseline,564.40,,,,564.40,Collecting baseline... RawAvg=564.40
baseline,564.20,,,,564.20,Collecting baseline... RawAvg=564.20
baseline,564.80,,,,564.80,Collecting baseline... RawAvg=564.80
baseline,565.40,,,,565.40,Collecting baseline... RawAvg=565.40
baseline,566.00,,,,566.00,Collecting baseline... RawAvg=566.00
baseline,566.40,,,,566.40,Collecting baseline... RawAvg=566.40
baseline,566.60,,,,566.60,Collecting baseline... RawAvg=566.60
baseline,566.80,,,,566.80,Collecting baseline... RawAvg=566.80
baseline,566.40,,,,566.40,Collecting baseline... RawAvg=566.40
baseline,566.00,,,,566.00,Collecting baseline... RawAvg=566.00
baseline,565.40,,,,565.40,Collecting baseline... RawAvg=565.40
baseline,565.00,,,,565.00,Collecting baseline... RawAvg=565.00
baseline,564.00,,,,564.00,Collecting baseline... RawAvg=564.00
baseline,563.40,,,,563.40,Collecting baseline... RawAvg=563.40
baseline,563.20,,,,563.20,Collecting baseline... RawAvg=563.20
baseline,563.00,,,,563.00,Collecting baseline... RawAvg=563.00
baseline,563.00,,,,563.00,Collecting baseline... RawAvg=563.00
baseline,563.40,,,,563.40,Collecting baseline... RawAvg=563.40
baseline,564.00,,,,564.00,Collecting baseline... RawAvg=564.00
baseline,564.20,,,,564.20,Collecting baseline... RawAvg=564.20
baseline,565.00,,,,565.00,Collecting baseline... RawAvg=565.00
baseline,565.80,,,,565.80,Collecting baseline... RawAvg=565.80
baseline,566.40,,,,566.40,Collecting baseline... RawAvg=566.40
baseline,566.60,,,,566.60,Collecting baseline... RawAvg=566.60
baseline,566.80,,,,566.80,Collecting baseline... RawAvg=566.80
baseline,566.40,,,,566.40,Collecting baseline... RawAvg=566.40
baseline,565.80,,,,565.80,Collecting baseline... RawAvg=565.80
baseline,565.20,,,,565.20,Collecting baseline... RawAvg=565.20
baseline,564.80,,,,564.80,Collecting baseline... RawAvg=564.80
baseline,564.20,,,,564.20,Collecting baseline... RawAvg=564.20
baseline,563.80,,,,563.80,Collecting baseline... RawAvg=563.80
baseline,563.40,,,,563.40,Collecting baseline... RawAvg=563.40
baseline,563.20,,,,563.20,Collecting baseline... RawAvg=563.20
baseline,563.20,,,,563.20,Collecting baseline... RawAvg=563.20
baseline,563.60,,,,563.60,Collecting baseline... RawAvg=563.60
baseline,564.00,,,,564.00,Collecting baseline... RawAvg=564.00
baseline,564.60,,,,564.60,Collecting baseline... RawAvg=564.60
baseline,565.40,,,,565.40,Collecting baseline... RawAvg=565.40
baseline,566.00,,,,566.00,Collecting baseline... RawAvg=566.00
baseline,566.40,,,,566.40,Collecting baseline... RawAvg=566.40
baseline,566.80,,,,566.80,Collecting baseline... RawAvg=566.80
baseline,566.80,,,,566.80,Collecting baseline... RawAvg=566.80
baseline,566.40,,,,566.40,Collecting baseline... RawAvg=566.40
baseline,565.80,,,,565.80,Collecting baseline... RawAvg=565.80
baseline,565.20,,,,565.20,Collecting baseline... RawAvg=565.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,565.02,,,565.02,Final Base Raw Average = 565.02
info,,,,,,--------------------------------------------------------------------------
data,,565.0,563.8,1.2,563.8,Time=0.1s | BaseRaw=565.0 | CurrentRaw=563.8 | Change=1.2 => Floor
data,,565.0,563.4,1.6,563.4,Time=0.2s | BaseRaw=565.0 | CurrentRaw=563.4 | Change=1.6 => Floor
data,,565.0,563.6,1.4,563.6,Time=0.3s | BaseRaw=565.0 | CurrentRaw=563.6 | Change=1.4 => Floor
data,,565.0,564.0,1.0,564.0,Time=0.4s | BaseRaw=565.0 | CurrentRaw=564.0 | Change=1.0 => Floor
data,,565.0,564.4,0.6,564.4,Time=0.5s | BaseRaw=565.0 | CurrentRaw=564.4 | Change=0.6 => Floor
data,,565.0,564.2,0.8,564.2,Time=0.6s | BaseRaw=565.0 | CurrentRaw=564.2 | Change=0.8 => Floor
data,,565.0,564.4,0.6,564.4,Time=0.7s | BaseRaw=565.0 | CurrentRaw=564.4 | Change=0.6 => Floor
data,,565.0,564.8,0.2,564.8,Time=0.8s | BaseRaw=565.0 | CurrentRaw=564.8 | Change=0.2 => Floor
data,,565.0,565.0,0.0,565.0,Time=0.9s | BaseRaw=565.0 | CurrentRaw=565.0 | Change=0.0 => Floor
data,,565.0,564.8,0.2,564.8,Time=1.0s | BaseRaw=565.0 | CurrentRaw=564.8 | Change=0.2 => Floor
data,,565.0,565.0,0.0,565.0,Time=1.1s | BaseRaw=565.0 | CurrentRaw=565.0 | Change=0.0 => Floor
data,,565.0,565.2,0.2,565.2,Time=1.2s | BaseRaw=565.0 | CurrentRaw=565.2 | Change=0.2 => Floor
data,,565.0,565.2,0.2,565.2,Time=1.3s | BaseRaw=565.0 | CurrentRaw=565.2 | Change=0.2 => Floor
data,,565.0,565.0,0.0,565.0,Time=1.4s | BaseRaw=565.0 | CurrentRaw=565.0 | Change=0.0 => Floor
data,,565.0,565.0,0.0,565.0,Time=1.5s | BaseRaw=565.0 | CurrentRaw=565.0 | Change=0.0 => Floor
data,,565.0,565.0,0.0,565.0,Time=1.6s | BaseRaw=565.0 | CurrentRaw=565.0 | Change=0.0 => Floor
data,,565.0,565.0,0.0,565.0,Time=1.7s | BaseRaw=565.0 | CurrentRaw=565.0 | Change=0.0 => Floor
data,,565.0,565.0,0.0,565.0,Time=1.8s | BaseRaw=565.0 | CurrentRaw=565.0 | Change=0.0 => Floor
data,,565.0,564.8,0.2,564.8,Time=1.9s | BaseRaw=565.0 | CurrentRaw=564.8 | Change=0.2 => Floor
data,,565.0,564.6,0.4,564.6,Time=2.0s | BaseRaw=565.0 | CurrentRaw=564.6 | Change=0.4 => Floor
data,,565.0,564.6,0.4,564.6,Time=2.1s | BaseRaw=565.0 | CurrentRaw=564.6 | Change=0.4 => Floor
data,,565.0,564.8,0.2,564.8,Time=2.2s | BaseRaw=565.0 | CurrentRaw=564.8 | Change=0.2 => Floor
data,,565.0,564.8,0.2,564.8,Time=2.3s | BaseRaw=565.0 | CurrentRaw=564.8 | Change=0.2 => Floor
data,,565.0,565.0,0.0,565.0,Time=2.4s | BaseRaw=565.0 | CurrentRaw=565.0 | Change=0.0 => Floor
data,,565.0,565.0,0.0,565.0,Time=2.5s | BaseRaw=565.0 | CurrentRaw=565.0 | Change=0.0 => Floor
data,,565.0,565.0,0.0,565.0,Time=2.6s | BaseRaw=565.0 | CurrentRaw=565.0 | Change=0.0 => Floor
data,,565.0,565.0,0.0,565.0,Time=2.7s | BaseRaw=565.0 | CurrentRaw=565.0 | Change=0.0 => Floor
data,,565.0,565.0,0.0,565.0,Time=2.8s | BaseRaw=565.0 | CurrentRaw=565.0 | Change=0.0 => Floor
data,,565.0,564.6,0.4,564.6,Time=2.9s | BaseRaw=565.0 | CurrentRaw=564.6 | Change=0.4 => Floor
data,,565.0,564.4,0.6,564.4,Time=3.0s | BaseRaw=565.0 | CurrentRaw=564.4 | Change=0.6 => Floor
data,,565.0,564.6,0.4,564.6,Time=3.1s | BaseRaw=565.0 | CurrentRaw=564.6 | Change=0.4 => Floor
data,,565.0,564.4,0.6,564.4,Time=3.2s | BaseRaw=565.0 | CurrentRaw=564.4 | Change=0.6 => Floor
data,,565.0,563.8,1.2,563.8,Time=3.3s | BaseRaw=565.0 | CurrentRaw=563.8 | Change=1.2 => Floor
data,,565.0,563.2,1.8,563.2,Time=3.4s | BaseRaw=565.0 | CurrentRaw=563.2 | Change=1.8 => Floor
data,,565.0,562.8,2.2,562.8,Time=3.5s | BaseRaw=565.0 | CurrentRaw=562.8 | Change=2.2 => Floor
data,,565.0,562.6,2.4,562.6,Time=3.6s | BaseRaw=565.0 | CurrentRaw=562.6 | Change=2.4 => Floor
data,,565.0,562.6,2.4,562.6,Time=3.7s | BaseRaw=565.0 | CurrentRaw=562.6 | Change=2.4 => Floor
data,,565.0,562.4,2.6,562.4,Time=3.8s | BaseRaw=565.0 | CurrentRaw=562.4 | Change=2.6 => Floor
data,,565.0,562.4,2.6,562.4,Time=3.9s | BaseRaw=565.0 | CurrentRaw=562.4 | Change=2.6 => Floor
data,,565.0,562.4,2.6,562.4,Time=4.0s | BaseRaw=565.0 | CurrentRaw=562.4 | Change=2.6 => Floor
data,,565.0,562.2,2.8,562.2,Time=4.1s | BaseRaw=565.0 | CurrentRaw=562.2 | Change=2.8 => Floor
data,,565.0,561.4,3.6,561.4,Time=4.2s | BaseRaw=565.0 | CurrentRaw=561.4 | Change=3.6 => Floor
data,,565.0,561.0,4.0,561.0,Time=4.3s | BaseRaw=565.0 | CurrentRaw=561.0 | Change=4.0 => Floor
data,,565.0,560.2,4.8,560.2,Time=4.4s | BaseRaw=565.0 | CurrentRaw=560.2 | Change=4.8 => Floor
data,,565.0,559.6,5.4,559.6,Time=4.5s | BaseRaw=565.0 | CurrentRaw=559.6 | Change=5.4 => Floor
data,,565.0,559.0,6.0,559.0,Time=4.6s | BaseRaw=565.0 | CurrentRaw=559.0 | Change=6.0 => Floor
data,,565.0,559.2,5.8,559.2,Time=4.7s | BaseRaw=565.0 | CurrentRaw=559.2 | Change=5.8 => Floor
data,,565.0,559.4,5.6,559.4,Time=4.8s | BaseRaw=565.0 | CurrentRaw=559.4 | Change=5.6 => Floor
data,,565.0,560.6,4.4,560.6,Time=4.9s | BaseRaw=565.0 | CurrentRaw=560.6 | Change=4.4 => Floor
data,,565.0,562.4,2.6,562.4,Time=5.0s | BaseRaw=565.0 | CurrentRaw=562.4 | Change=2.6 => Floor
data,,565.0,564.8,0.2,564.8,Time=5.1s | BaseRaw=565.0 | CurrentRaw=564.8 | Change=0.2 => Floor
data,,565.0,567.0,2.0,567.0,Time=5.2s | BaseRaw=565.0 | CurrentRaw=567.0 | Change=2.0 => Floor
data,,565.0,569.2,4.2,569.2,Time=5.3s | BaseRaw=565.0 | CurrentRaw=569.2 | Change=4.2 => Floor
data,,565.0,570.6,5.6,570.6,Time=5.4s | BaseRaw=565.0 | CurrentRaw=570.6 | Change=5.6 => Floor
data,,565.0,571.4,6.4,571.4,Time=5.5s | BaseRaw=565.0 | CurrentRaw=571.4 | Change=6.4 => Floor
data,,565.0,571.8,6.8,571.8,Time=5.6s | BaseRaw=565.0 | CurrentRaw=571.8 | Change=6.8 => Floor
data,,565.0,571.8,6.8,571.8,Time=5.7s | BaseRaw=565.0 | CurrentRaw=571.8 | Change=6.8 => Floor
data,,565.0,571.2,6.2,571.2,Time=5.8s | BaseRaw=565.0 | CurrentRaw=571.2 | Change=6.2 => Floor
data,,565.0,571.4,6.4,571.4,Time=5.9s | BaseRaw=565.0 | CurrentRaw=571.4 | Change=6.4 => Floor
data,,565.0,571.8,6.8,571.8,Time=6.0s | BaseRaw=565.0 | CurrentRaw=571.8 | Change=6.8 => Floor
data,,565.0,571.8,6.8,571.8,Time=6.1s | BaseRaw=565.0 | CurrentRaw=571.8 | Change=6.8 => Floor
data,,565.0,571.8,6.8,571.8,Time=6.2s | BaseRaw=565.0 | CurrentRaw=571.8 | Change=6.8 => Floor
data,,565.0,571.6,6.6,571.6,Time=6.3s | BaseRaw=565.0 | CurrentRaw=571.6 | Change=6.6 => Floor
data,,565.0,571.4,6.4,571.4,Time=6.4s | BaseRaw=565.0 | CurrentRaw=571.4 | Change=6.4 => Floor
data,,565.0,571.4,6.4,571.4,Time=6.5s | BaseRaw=565.0 | CurrentRaw=571.4 | Change=6.4 => Floor
