record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,641.80,,,,641.80,Collecting baseline... RawAvg=641.80
baseline,641.80,,,,641.80,Collecting baseline... RawAvg=641.80
baseline,641.20,,,,641.20,Collecting baseline... RawAvg=641.20
baseline,640.60,,,,640.60,Collecting baseline... RawAvg=640.60
baseline,639.40,,,,639.40,Collecting baseline... RawAvg=639.40
baseline,639.00,,,,639.00,Collecting baseline... RawAvg=639.00
baseline,638.80,,,,638.80,Collecting baseline... RawAvg=638.80
baseline,639.20,,,,639.20,Collecting baseline... RawAvg=639.20
baseline,639.00,,,,639.00,Collecting baseline... RawAvg=639.00
baseline,639.20,,,,639.20,Collecting baseline... RawAvg=639.20
baseline,639.00,,,,639.00,Collecting baseline... RawAvg=639.00
baseline,638.00,,,,638.00,Collecting baseline... RawAvg=638.00
baseline,636.60,,,,636.60,Collecting baseline... RawAvg=636.60
baseline,635.40,,,,635.40,Collecting baseline... RawAvg=635.40
baseline,633.60,,,,633.60,Collecting baseline... RawAvg=633.60
baseline,632.40,,,,632.40,Collecting baseline... RawAvg=632.40
baseline,631.80,,,,631.80,Collecting baseline... RawAvg=631.80
baseline,631.60,,,,631.60,Collecting baseline... RawAvg=631.60
baseline,631.80,,,,631.80,Collecting baseline... RawAvg=631.80
baseline,632.60,,,,632.60,Collecting baseline... RawAvg=632.60
baseline,633.00,,,,633.00,Collecting baseline... RawAvg=633.00
baseline,633.00,,,,633.00,Collecting baseline... RawAvg=633.00
baseline,632.80,,,,632.80,Collecting baseline... RawAvg=632.80
baseline,632.80,,,,632.80,Collecting baseline... RawAvg=632.80
baseline,633.00,,,,633.00,Collecting baseline... RawAvg=633.00
baseline,633.60,,,,633.60,Collecting baseline... RawAvg=633.60
baseline,634.60,,,,634.60,Collecting baseline... RawAvg=634.60
baseline,635.60,,,,635.60,Collecting baseline... RawAvg=635.60
baseline,636.00,,,,636.00,Collecting baseline... RawAvg=636.00
baseline,635.80,,,,635.80,Collecting baseline... RawAvg=635.80
baseline,635.00,,,,635.00,Collecting baseline... RawAvg=635.00
baseline,633.80,,,,633.80,Collecting baseline... RawAvg=633.80
baseline,632.20,,,,632.20,Collecting baseline... RawAvg=632.20
baseline,631.40,,,,631.40,Collecting baseline... RawAvg=631.40
baseline,631.00,,,,631.00,Collecting baseline... RawAvg=631.00
baseline,631.40,,,,631.40,Collecting baseline... RawAvg=631.40
baseline,631.80,,,,631.80,Collecting baseline... RawAvg=631.80
baseline,632.80,,,,632.80,Collecting baseline... RawAvg=632.80
baseline,633.20,,,,633.20,Collecting baseline... RawAvg=633.20
baseline,633.20,,,,633.20,Collecting baseline... RawAvg=633.20
baseline,632.80,,,,632.80,Collecting baseline... RawAvg=632.80
baseline,632.80,,,,632.80,Collecting baseline... RawAvg=632.80
baseline,633.00,,,,633.00,Collecting baseline... RawAvg=633.00
baseline,633.80,,,,633.80,Collecting baseline... RawAvg=633.80
baseline,634.80,,,,634.80,Collecting baseline... RawAvg=634.80
baseline,635.80,,,,635.80,Collecting baseline... RawAvg=635.80
baseline,636.20,,,,636.20,Collecting baseline... RawAvg=636.20
baseline,635.80,,,,635.80,Collecting baseline... RawAvg=635.80
baseline,634.80,,,,634.80,Collecting baseline... RawAvg=634.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,635.07,,,635.07,Final Base Raw Average = 635.07
info,,,,,,--------------------------------------------------------------------------
data,,635.1,632.2,2.9,632.2,Time=0.1s | BaseRaw=635.1 | CurrentRaw=632.2 | Change=2.9 => Floor
data,,635.1,632.0,3.1,632.0,Time=0.2s | BaseRaw=635.1 | CurrentRaw=632.0 | Change=3.1 => Floor
data,,635.1,632.0,3.1,632.0,Time=0.3s | BaseRaw=635.1 | CurrentRaw=632.0 | Change=3.1 => Floor
data,,635.1,633.0,2.1,633.0,Time=0.4s | BaseRaw=635.1 | CurrentRaw=633.0 | Change=2.1 => Floor
data,,635.1,634.0,1.1,634.0,Time=0.5s | BaseRaw=635.1 | CurrentRaw=634.0 | Change=1.1 => Floor
data,,635.1,633.6,1.5,633.6,Time=0.6s | BaseRaw=635.1 | CurrentRaw=633.6 | Change=1.5 => Floor
data,,635.1,633.6,1.5,633.6,Time=0.7s | BaseRaw=635.1 | CurrentRaw=633.6 | Change=1.5 => Floor
data,,635.1,633.4,1.7,633.4,Time=0.8s | BaseRaw=635.1 | CurrentRaw=633.4 | Change=1.7 => Floor
data,,635.1,633.4,1.7,633.4,Time=0.9s | BaseRaw=635.1 | CurrentRaw=633.4 | Change=1.7 => Floor
data,,635.1,633.2,1.9,633.2,Time=1.0s | BaseRaw=635.1 | CurrentRaw=633.2 | Change=1.9 => Floor
data,,635.1,633.4,1.7,633.4,Time=1.1s | BaseRaw=635.1 | CurrentRaw=633.4 | Change=1.7 => Floor
data,,635.1,633.4,1.7,633.4,Time=1.2s | BaseRaw=635.1 | CurrentRaw=633.4 | Change=1.7 => Floor
data,,635.1,633.4,1.7,633.4,Time=1.3s | BaseRaw=635.1 | CurrentRaw=633.4 | Change=1.7 => Floor
data,,635.1,633.4,1.7,633.4,Time=1.4s | BaseRaw=635.1 | CurrentRaw=633.4 | Change=1.7 => Floor
data,,635.1,633.4,1.7,633.4,Time=1.5s | BaseRaw=635.1 | CurrentRaw=633.4 | Change=1.7 => Floor
data,,635.1,633.6,1.5,633.6,Time=1.6s | BaseRaw=635.1 | CurrentRaw=633.6 | Change=1.5 => Floor
data,,635.1,633.6,1.5,633.6,Time=1.7s | BaseRaw=635.1 | CurrentRaw=633.6 | Change=1.5 => Floor
data,,635.1,633.6,1.5,633.6,Time=1.8s | BaseRaw=635.1 | CurrentRaw=633.6 | Change=1.5 => Floor
data,,635.1,633.6,1.5,633.6,Time=1.9s | BaseRaw=635.1 | CurrentRaw=633.6 | Change=1.5 => Floor
data,,635.1,633.4,1.7,633.4,Time=2.0s | BaseRaw=635.1 | CurrentRaw=633.4 | Change=1.7 => Floor
data,,635.1,633.8,1.3,633.8,Time=2.1s | BaseRaw=635.1 | CurrentRaw=633.8 | Change=1.3 => Floor
data,,635.1,634.0,1.1,634.0,Time=2.2s | BaseRaw=635.1 | CurrentRaw=634.0 | Change=1.1 => Floor
data,,635.1,634.6,0.5,634.6,Time=2.3s | BaseRaw=635.1 | CurrentRaw=634.6 | Change=0.5 => Floor
data,,635.1,635.2,0.1,635.2,Time=2.4s | BaseRaw=635.1 | CurrentRaw=635.2 | Change=0.1 => Floor
data,,635.1,635.4,0.3,635.4,Time=2.5s | BaseRaw=635.1 | CurrentRaw=635.4 | Change=0.3 => Floor
data,,635.1,635.6,0.5,635.6,Time=2.6s | BaseRaw=635.1 | CurrentRaw=635.6 | Change=0.5 => Floor
data,,635.1,635.6,0.5,635.6,Time=2.7s | BaseRaw=635.1 | CurrentRaw=635.6 | Change=0.5 => Floor
data,,635.1,635.8,0.7,635.8,Time=2.8s | BaseRaw=635.1 | CurrentRaw=635.8 | Change=0.7 => Floor
data,,635.1,635.4,0.3,635.4,Time=2.9s | BaseRaw=635.1 | CurrentRaw=635.4 | Change=0.3 => Floor
data,,635.1,635.2,0.1,635.2,Time=3.0s | BaseRaw=635.1 | CurrentRaw=635.2 | Change=0.1 => Floor
data,,635.1,635.2,0.1,635.2,Time=3.1s | BaseRaw=635.1 | CurrentRaw=635.2 | Change=0.1 => Floor
data,,635.1,635.0,0.1,635.0,Time=3.2s | BaseRaw=635.1 | CurrentRaw=635.0 | Change=0.1 => Floor
data,,635.1,635.4,0.3,635.4,Time=3.3s | BaseRaw=635.1 | CurrentRaw=635.4 | Change=0.3 => Floor
data,,635.1,635.4,0.3,635.4,Time=3.4s | BaseRaw=635.1 | CurrentRaw=635.4 | Change=0.3 => Floor
data,,635.1,635.2,0.1,635.2,Time=3.5s | BaseRaw=635.1 | CurrentRaw=635.2 | Change=0.1 => Floor
data,,635.1,635.4,0.3,635.4,Time=3.6s | BaseRaw=635.1 | CurrentRaw=635.4 | Change=0.3 => Floor
data,,635.1,635.6,0.5,635.6,Time=3.7s | BaseRaw=635.1 | CurrentRaw=635.6 | Change=0.5 => Floor
data,,635.1,635.8,0.7,635.8,Time=3.8s | BaseRaw=635.1 | CurrentRaw=635.8 | Change=0.7 => Floor
data,,635.1,635.8,0.7,635.8,Time=3.9s | BaseRaw=635.1 | CurrentRaw=635.8 | Change=0.7 => Floor
data,,635.1,635.8,0.7,635.8,Time=4.0s | BaseRaw=635.1 | CurrentRaw=635.8 | Change=0.7 => Floor
data,,635.1,636.0,0.9,636.0,Time=4.1s | BaseRaw=635.1 | CurrentRaw=636.0 | Change=0.9 => Floor
data,,635.1,636.0,0.9,636.0,Time=4.2s | BaseRaw=635.1 | CurrentRaw=636.0 | Change=0.9 => Floor
data,,635.1,636.2,1.1,636.2,Time=4.3s | BaseRaw=635.1 | CurrentRaw=636.2 | Change=1.1 => Floor
data,,635.1,636.0,0.9,636.0,Time=4.4s | BaseRaw=635.1 | CurrentRaw=636.0 | Change=0.9 => Floor
data,,635.1,636.0,0.9,636.0,Time=4.5s | BaseRaw=635.1 | CurrentRaw=636.0 | Change=0.9 => Floor
data,,635.1,636.2,1.1,636.2,Time=4.6s | BaseRaw=635.1 | CurrentRaw=636.2 | Change=1.1 => Floor
data,,635.1,636.8,1.7,636.8,Time=4.7s | BaseRaw=635.1 | CurrentRaw=636.8 | Change=1.7 => Floor
data,,635.1,637.8,2.7,637.8,Time=4.8s | BaseRaw=635.1 | CurrentRaw=637.8 | Change=2.7 => Floor
data,,635.1,639.2,4.1,639.2,Time=4.9s | BaseRaw=635.1 | CurrentRaw=639.2 | Change=4.1 => Floor
data,,635.1,641.6,6.5,641.6,Time=5.0s | BaseRaw=635.1 | CurrentRaw=641.6 | Change=6.5 => Floor
data,,635.1,644.0,8.9,644.0,Time=5.1s | BaseRaw=635.1 | CurrentRaw=644.0 | Change=8.9 => Floor
data,,635.1,646.4,11.3,646.4,Time=5.2s | BaseRaw=635.1 | CurrentRaw=646.4 | Change=11.3 => Liquid
data,,635.1,648.4,13.3,648.4,Time=5.3s | BaseRaw=635.1 | CurrentRaw=648.4 | Change=13.3 => Liquid
data,,635.1,650.2,15.1,650.2,Time=5.4s | BaseRaw=635.1 | CurrentRaw=650.2 | Change=15.1 => Liquid
data,,635.1,652.4,17.3,652.4,Time=5.5s | BaseRaw=635.1 | CurrentRaw=652.4 | Change=17.3 => Liquid
data,,635.1,654.4,19.3,654.4,Time=5.6s | BaseRaw=635.1 | CurrentRaw=654.4 | Change=19.3 => Liquid
data,,635.1,655.8,20.7,655.8,Time=5.7s | BaseRaw=635.1 | CurrentRaw=655.8 | Change=20.7 => Liquid
data,,635.1,656.4,21.3,656.4,Time=5.8s | BaseRaw=635.1 | CurrentRaw=656.4 | Change=21.3 => Liquid
data,,635.1,658.6,23.5,658.6,Time=5.9s | BaseRaw=635.1 | CurrentRaw=658.6 | Change=23.5 => Liquid
data,,635.1,660.0,24.9,660.0,Time=6.0s | BaseRaw=635.1 | CurrentRaw=660.0 | Change=24.9 => Liquid
data,,635.1,661.2,26.1,661.2,Time=6.1s | BaseRaw=635.1 | CurrentRaw=661.2 | Change=26.1 => Liquid
data,,635.1,663.8,28.7,663.8,Time=6.2s | BaseRaw=635.1 | CurrentRaw=663.8 | Change=28.7 => Liquid
data,,635.1,665.4,30.3,665.4,Time=6.3s | BaseRaw=635.1 | CurrentRaw=665.4 | Change=30.3 => Liquid
data,,635.1,665.8,30.7,665.8,Time=6.4s | BaseRaw=635.1 | CurrentRaw=665.8 | Change=30.7 => Liquid
data,,635.1,667.4,32.3,667.4,Time=6.5s | BaseRaw=635.1 | CurrentRaw=667.4 | Change=32.3 => Liquid
