record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,711.60,,,,711.60,Collecting baseline... RawAvg=711.60
baseline,712.00,,,,712.00,Collecting baseline... RawAvg=712.00
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,712.20,,,,712.20,Collecting baseline... RawAvg=712.20
baseline,711.80,,,,711.80,Collecting baseline... RawAvg=711.80
baseline,711.40,,,,711.40,Collecting baseline... RawAvg=711.40
baseline,711.20,,,,711.20,Collecting baseline... RawAvg=711.20
baseline,711.60,,,,711.60,Collecting baseline... RawAvg=711.60
baseline,712.00,,,,712.00,Collecting baseline... RawAvg=712.00
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.80,,,,713.80,Collecting baseline... RawAvg=713.80
baseline,714.20,,,,714.20,Collecting baseline... RawAvg=714.20
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
baseline,714.20,,,,714.20,Collecting baseline... RawAvg=714.20
baseline,714.00,,,,714.00,Collecting baseline... RawAvg=714.00
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,712.00,,,,712.00,Collecting baseline... RawAvg=712.00
baseline,711.80,,,,711.80,Collecting baseline... RawAvg=711.80
baseline,711.40,,,,711.40,Collecting baseline... RawAvg=711.40
baseline,711.40,,,,711.40,Collecting baseline... RawAvg=711.40
baseline,711.80,,,,711.80,Collecting baseline... RawAvg=711.80
baseline,712.20,,,,712.20,Collecting baseline... RawAvg=712.20
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,714.00,,,,714.00,Collecting baseline... RawAvg=714.00
baseline,714.40,,,,714.40,Collecting baseline... RawAvg=714.40
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,715.00,,,,715.00,Collecting baseline... RawAvg=715.00
baseline,715.00,,,,715.00,Collecting baseline... RawAvg=715.00
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,714.60,,,,714.60,Collecting baseline... RawAvg=714.60
baseline,714.20,,,,714.20,Collecting baseline... RawAvg=714.20
baseline,713.80,,,,713.80,Collecting baseline... RawAvg=713.80
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,711.80,,,,711.80,Collecting baseline... RawAvg=711.80
baseline,711.60,,,,711.60,Collecting baseline... RawAvg=711.60
baseline,711.40,,,,711.40,Collecting baseline... RawAvg=711.40
baseline,711.80,,,,711.80,Collecting baseline... RawAvg=711.80
baseline,712.20,,,,712.20,Collecting baseline... RawAvg=712.20
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,713.02,,,713.02,Final Base Raw Average = 713.02
info,,,,,,--------------------------------------------------------------------------
data,,713.0,713.6,0.6,713.6,Time=0.1s | BaseRaw=713.0 | CurrentRaw=713.6 | Change=0.6 => Floor
data,,713.0,714.0,1.0,714.0,Time=0.2s | BaseRaw=713.0 | CurrentRaw=714.0 | Change=1.0 => Floor
data,,713.0,714.0,1.0,714.0,Time=0.3s | BaseRaw=713.0 | CurrentRaw=714.0 | Change=1.0 => Floor
data,,713.0,713.6,0.6,713.6,Time=0.4s | BaseRaw=713.0 | CurrentRaw=713.6 | Change=0.6 => Floor
data,,713.0,713.2,0.2,713.2,Time=0.5s | BaseRaw=713.0 | CurrentRaw=713.2 | Change=0.2 => Floor
data,,713.0,713.4,0.4,713.4,Time=0.6s | BaseRaw=713.0 | CurrentRaw=713.4 | Change=0.4 => Floor
data,,713.0,713.4,0.4,713.4,Time=0.7s | BaseRaw=713.0 | CurrentRaw=713.4 | Change=0.4 => Floor
data,,713.0,713.4,0.4,713.4,Time=0.8s | BaseRaw=713.0 | CurrentRaw=713.4 | Change=0.4 => Floor
data,,713.0,713.6,0.6,713.6,Time=0.9s | BaseRaw=713.0 | CurrentRaw=713.6 | Change=0.6 => Floor
data,,713.0,713.6,0.6,713.6,Time=1.0s | BaseRaw=713.0 | CurrentRaw=713.6 | Change=0.6 => Floor
data,,713.0,713.6,0.6,713.6,Time=1.1s | BaseRaw=713.0 | CurrentRaw=713.6 | Change=0.6 => Floor
data,,713.0,713.6,0.6,713.6,Time=1.2s | BaseRaw=713.0 | CurrentRaw=713.6 | Change=0.6 => Floor
data,,713.0,713.6,0.6,713.6,Time=1.3s | BaseRaw=713.0 | CurrentRaw=713.6 | Change=0.6 => Floor
data,,713.0,713.4,0.4,713.4,Time=1.4s | BaseRaw=713.0 | CurrentRaw=713.4 | Change=0.4 => Floor
data,,713.0,713.4,0.4,713.4,Time=1.5s | BaseRaw=713.0 | CurrentRaw=713.4 | Change=0.4 => Floor
data,,713.0,713.4,0.4,713.4,Time=1.6s | BaseRaw=713.0 | CurrentRaw=713.4 | Change=0.4 => Floor
data,,713.0,713.4,0.4,713.4,Time=1.7s | BaseRaw=713.0 | CurrentRaw=713.4 | Change=0.4 => Floor
data,,713.0,713.4,0.4,713.4,Time=1.8s | BaseRaw=713.0 | CurrentRaw=713.4 | Change=0.4 => Floor
data,,713.0,713.4,0.4,713.4,Time=1.9s | BaseRaw=713.0 | CurrentRaw=713.4 | Change=0.4 => Floor
data,,713.0,713.6,0.6,713.6,Time=2.0s | BaseRaw=713.0 | CurrentRaw=713.6 | Change=0.6 => Floor
data,,713.0,713.6,0.6,713.6,Time=2.1s | BaseRaw=713.0 | CurrentRaw=713.6 | Change=0.6 => Floor
data,,713.0,713.4,0.4,713.4,Time=2.2s | BaseRaw=713.0 | CurrentRaw=713.4 | Change=0.4 => Floor
data,,713.0,713.2,0.2,713.2,Time=2.3s | BaseRaw=713.0 | CurrentRaw=713.2 | Change=0.2 => Floor
data,,713.0,713.4,0.4,713.4,Time=2.4s | BaseRaw=713.0 | CurrentRaw=713.4 | Change=0.4 => Floor
data,,713.0,713.2,0.2,713.2,Time=2.5s | BaseRaw=713.0 | CurrentRaw=713.2 | Change=0.2 => Floor
data,,713.0,713.4,0.4,713.4,Time=2.6s | BaseRaw=713.0 | CurrentRaw=713.4 | Change=0.4 => Floor
data,,713.0,713.6,0.6,713.6,Time=2.7s | BaseRaw=713.0 | CurrentRaw=713.6 | Change=0.6 => Floor
data,,713.0,713.6,0.6,713.6,Time=2.8s | BaseRaw=713.0 | CurrentRaw=713.6 | Change=0.6 => Floor
data,,713.0,713.6,0.6,713.6,Time=2.9s | BaseRaw=713.0 | CurrentRaw=713.6 | Change=0.6 => Floor
data,,713.0,713.6,0.6,713.6,Time=3.0s | BaseRaw=713.0 | CurrentRaw=713.6 | Change=0.6 => Floor
data,,713.0,713.4,0.4,713.4,Time=3.1s | BaseRaw=713.0 | CurrentRaw=713.4 | Change=0.4 => Floor
data,,713.0,713.2,0.2,713.2,Time=3.2s | BaseRaw=713.0 | CurrentRaw=713.2 | Change=0.2 => Floor
data,,713.0,713.2,0.2,713.2,Time=3.3s | BaseRaw=713.0 | CurrentRaw=713.2 | Change=0.2 => Floor
data,,713.0,713.0,0.0,713.0,Time=3.4s | BaseRaw=713.0 | CurrentRaw=713.0 | Change=0.0 => Floor
data,,713.0,713.0,0.0,713.0,Time=3.5s | BaseRaw=713.0 | CurrentRaw=713.0 | Change=0.0 => Floor
data,,713.0,713.0,0.0,713.0,Time=3.6s | BaseRaw=713.0 | CurrentRaw=713.0 | Change=0.0 => Floor
data,,713.0,713.0,0.0,713.0,Time=3.7s | BaseRaw=713.0 | CurrentRaw=713.0 | Change=0.0 => Floor
data,,713.0,712.8,0.2,712.8,Time=3.8s | BaseRaw=713.0 | CurrentRaw=712.8 | Change=0.2 => Floor
data,,713.0,713.0,0.0,713.0,Time=3.9s | BaseRaw=713.0 | CurrentRaw=713.0 | Change=0.0 => Floor
data,,713.0,713.2,0.2,713.2,Time=4.0s | BaseRaw=713.0 | CurrentRaw=713.2 | Change=0.2 => Floor
data,,713.0,713.2,0.2,713.2,Time=4.1s | BaseRaw=713.0 | CurrentRaw=713.2 | Change=0.2 => Floor
data,,713.0,713.0,0.0,713.0,Time=4.2s | BaseRaw=713.0 | CurrentRaw=713.0 | Change=0.0 => Floor
data,,713.0,713.0,0.0,713.0,Time=4.3s | BaseRaw=713.0 | CurrentRaw=713.0 | Change=0.0 => Floor
data,,713.0,713.0,0.0,713.0,Time=4.4s | BaseRaw=713.0 | CurrentRaw=713.0 | Change=0.0 => Floor
data,,713.0,713.0,0.0,713.0,Time=4.5s | BaseRaw=713.0 | CurrentRaw=713.0 | Change=0.0 => Floor
data,,713.0,713.0,0.0,713.0,Time=4.6s | BaseRaw=713.0 | CurrentRaw=713.0 | Change=0.0 => Floor
data,,713.0,713.0,0.0,713.0,Time=4.7s | BaseRaw=713.0 | CurrentRaw=713.0 | Change=0.0 => Floor
data,,713.0,712.8,0.2,712.8,Time=4.8s | BaseRaw=713.0 | CurrentRaw=712.8 | Change=0.2 => Floor
data,,713.0,713.0,0.0,713.0,Time=4.9s | BaseRaw=713.0 | CurrentRaw=713.0 | Change=0.0 => Floor
data,,713.0,712.8,0.2,712.8,Time=5.0s | BaseRaw=713.0 | CurrentRaw=712.8 | Change=0.2 => Floor
data,,713.0,712.0,1.0,712.0,Time=5.1s | BaseRaw=713.0 | CurrentRaw=712.0 | Change=1.0 => Floor
data,,713.0,710.8,2.2,710.8,Time=5.2s | BaseRaw=713.0 | CurrentRaw=710.8 | Change=2.2 => Floor
data,,713.0,710.2,2.8,710.2,Time=5.3s | BaseRaw=713.0 | CurrentRaw=710.2 | Change=2.8 => Floor
data,,713.0,710.2,2.8,710.2,Time=5.4s | BaseRaw=713.0 | CurrentRaw=710.2 | Change=2.8 => Floor
data,,713.0,711.0,2.0,711.0,Time=5.5s | BaseRaw=713.0 | CurrentRaw=711.0 | Change=2.0 => Floor
data,,713.0,711.4,1.6,711.4,Time=5.6s | BaseRaw=713.0 | CurrentRaw=711.4 | Change=1.6 => Floor
data,,713.0,711.0,2.0,711.0,Time=5.7s | BaseRaw=713.0 | CurrentRaw=711.0 | Change=2.0 => Floor
data,,713.0,710.8,2.2,710.8,Time=5.8s | BaseRaw=713.0 | CurrentRaw=710.8 | Change=2.2 => Floor
data,,713.0,710.4,2.6,710.4,Time=5.9s | BaseRaw=713.0 | CurrentRaw=710.4 | Change=2.6 => Floor
data,,713.0,709.8,3.2,709.8,Time=6.0s | BaseRaw=713.0 | CurrentRaw=709.8 | Change=3.2 => Floor
data,,713.0,710.2,2.8,710.2,Time=6.1s | BaseRaw=713.0 | CurrentRaw=710.2 | Change=2.8 => Floor
data,,713.0,712.2,0.8,712.2,Time=6.2s | BaseRaw=713.0 | CurrentRaw=712.2 | Change=0.8 => Floor
data,,713.0,714.0,1.0,714.0,Time=6.3s | BaseRaw=713.0 | CurrentRaw=714.0 | Change=1.0 => Floor
data,,713.0,715.2,2.2,715.2,Time=6.4s | BaseRaw=713.0 | CurrentRaw=715.2 | Change=2.2 => Floor
data,,713.0,716.8,3.8,716.8,Time=6.5s | BaseRaw=713.0 | CurrentRaw=716.8 | Change=3.8 => Floor
