record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,732.20,,,,732.20,Collecting baseline... RawAvg=732.20
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,733.40,,,,733.40,Collecting baseline... RawAvg=733.40
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,732.40,,,,732.40,Collecting baseline... RawAvg=732.40
baseline,731.60,,,,731.60,Collecting baseline... RawAvg=731.60
baseline,731.00,,,,731.00,Collecting baseline... RawAvg=731.00
baseline,730.80,,,,730.80,Collecting baseline... RawAvg=730.80
baseline,730.60,,,,730.60,Collecting baseline... RawAvg=730.60
baseline,730.60,,,,730.60,Collecting baseline... RawAvg=730.60
baseline,730.80,,,,730.80,Collecting baseline... RawAvg=730.80
baseline,731.40,,,,731.40,Collecting baseline... RawAvg=731.40
baseline,731.80,,,,731.80,Collecting baseline... RawAvg=731.80
baseline,732.20,,,,732.20,Collecting baseline... RawAvg=732.20
baseline,733.00,,,,733.00,Collecting baseline... RawAvg=733.00
baseline,733.80,,,,733.80,Collecting baseline... RawAvg=733.80
baseline,734.20,,,,734.20,Collecting baseline... RawAvg=734.20
baseline,732.40,,,,732.40,Collecting baseline... RawAvg=732.40
baseline,732.80,,,,732.80,Collecting baseline... RawAvg=732.80
baseline,732.60,,,,732.60,Collecting baseline... RawAvg=732.60
baseline,732.20,,,,732.20,Collecting baseline... RawAvg=732.20
baseline,729.60,,,,729.60,Collecting baseline... RawAvg=729.60
baseline,731.40,,,,731.40,Collecting baseline... RawAvg=731.40
baseline,730.60,,,,730.60,Collecting baseline... RawAvg=730.60
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,729.20,,,,729.20,Collecting baseline... RawAvg=729.20
baseline,731.00,,,,731.00,Collecting baseline... RawAvg=731.00
baseline,730.60,,,,730.60,Collecting baseline... RawAvg=730.60
baseline,730.80,,,,730.80,Collecting baseline... RawAvg=730.80
baseline,731.20,,,,731.20,Collecting baseline... RawAvg=731.20
baseline,731.60,,,,731.60,Collecting baseline... RawAvg=731.60
baseline,732.00,,,,732.00,Collecting baseline... RawAvg=732.00
baseline,732.60,,,,732.60,Collecting baseline... RawAvg=732.60
baseline,733.20,,,,733.20,Collecting baseline... RawAvg=733.20
baseline,733.60,,,,733.60,Collecting baseline... RawAvg=733.60
baseline,734.20,,,,734.20,Collecting baseline... RawAvg=734.20
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,734.20,,,,734.20,Collecting baseline... RawAvg=734.20
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,733.60,,,,733.60,Collecting baseline... RawAvg=733.60
baseline,733.00,,,,733.00,Collecting baseline... RawAvg=733.00
baseline,732.40,,,,732.40,Collecting baseline... RawAvg=732.40
baseline,731.80,,,,731.80,Collecting baseline... RawAvg=731.80
baseline,731.20,,,,731.20,Collecting baseline... RawAvg=731.20
baseline,730.80,,,,730.80,Collecting baseline... RawAvg=730.80
baseline,730.40,,,,730.40,Collecting baseline... RawAvg=730.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,732.13,,,732.13,Final Base Raw Average = 732.13
info,,,,,,--------------------------------------------------------------------------
data,,732.1,730.8,1.3,730.8,Time=0.1s | BaseRaw=732.1 | CurrentRaw=730.8 | Change=1.3 => Floor
data,,732.1,731.4,0.7,731.4,Time=0.2s | BaseRaw=732.1 | CurrentRaw=731.4 | Change=0.7 => Floor
data,,732.1,732.2,0.1,732.2,Time=0.3s | BaseRaw=732.1 | CurrentRaw=732.2 | Change=0.1 => Floor
data,,732.1,732.6,0.5,732.6,Time=0.4s | BaseRaw=732.1 | CurrentRaw=732.6 | Change=0.5 => Floor
data,,732.1,732.6,0.5,732.6,Time=0.5s | BaseRaw=732.1 | CurrentRaw=732.6 | Change=0.5 => Floor
data,,732.1,732.6,0.5,732.6,Time=0.6s | BaseRaw=732.1 | CurrentRaw=732.6 | Change=0.5 => Floor
data,,732.1,732.8,0.7,732.8,Time=0.7s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,732.8,0.7,732.8,Time=0.8s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,732.8,0.7,732.8,Time=0.9s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,732.6,0.5,732.6,Time=1.0s | BaseRaw=732.1 | CurrentRaw=732.6 | Change=0.5 => Floor
data,,732.1,732.6,0.5,732.6,Time=1.1s | BaseRaw=732.1 | CurrentRaw=732.6 | Change=0.5 => Floor
data,,732.1,732.6,0.5,732.6,Time=1.2s | BaseRaw=732.1 | CurrentRaw=732.6 | Change=0.5 => Floor
data,,732.1,732.4,0.3,732.4,Time=1.3s | BaseRaw=732.1 | CurrentRaw=732.4 | Change=0.3 => Floor
data,,732.1,732.4,0.3,732.4,Time=1.4s | BaseRaw=732.1 | CurrentRaw=732.4 | Change=0.3 => Floor
data,,732.1,732.6,0.5,732.6,Time=1.5s | BaseRaw=732.1 | CurrentRaw=732.6 | Change=0.5 => Floor
data,,732.1,732.6,0.5,732.6,Time=1.6s | BaseRaw=732.1 | CurrentRaw=732.6 | Change=0.5 => Floor
data,,732.1,732.8,0.7,732.8,Time=1.7s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,733.0,0.9,733.0,Time=1.8s | BaseRaw=732.1 | CurrentRaw=733.0 | Change=0.9 => Floor
data,,732.1,733.2,1.1,733.2,Time=1.9s | BaseRaw=732.1 | CurrentRaw=733.2 | Change=1.1 => Floor
data,,732.1,733.2,1.1,733.2,Time=2.0s | BaseRaw=732.1 | CurrentRaw=733.2 | Change=1.1 => Floor
data,,732.1,733.2,1.1,733.2,Time=2.1s | BaseRaw=732.1 | CurrentRaw=733.2 | Change=1.1 => Floor
data,,732.1,733.2,1.1,733.2,Time=2.2s | BaseRaw=732.1 | CurrentRaw=733.2 | Change=1.1 => Floor
data,,732.1,733.2,1.1,733.2,Time=2.3s | BaseRaw=732.1 | CurrentRaw=733.2 | Change=1.1 => Floor
data,,732.1,733.2,1.1,733.2,Time=2.4s | BaseRaw=732.1 | CurrentRaw=733.2 | Change=1.1 => Floor
data,,732.1,733.2,1.1,733.2,Time=2.5s | BaseRaw=732.1 | CurrentRaw=733.2 | Change=1.1 => Floor
data,,732.1,733.2,1.1,733.2,Time=2.6s | BaseRaw=732.1 | CurrentRaw=733.2 | Change=1.1 => Floor
data,,732.1,733.2,1.1,733.2,Time=2.7s | BaseRaw=732.1 | CurrentRaw=733.2 | Change=1.1 => Floor
data,,732.1,733.0,0.9,733.0,Time=2.8s | BaseRaw=732.1 | CurrentRaw=733.0 | Change=0.9 => Floor
data,,732.1,732.8,0.7,732.8,Time=2.9s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,732.8,0.7,732.8,Time=3.0s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,733.0,0.9,733.0,Time=3.1s | BaseRaw=732.1 | CurrentRaw=733.0 | Change=0.9 => Floor
data,,732.1,733.0,0.9,733.0,Time=3.2s | BaseRaw=732.1 | CurrentRaw=733.0 | Change=0.9 => Floor
data,,732.1,733.0,0.9,733.0,Time=3.3s | BaseRaw=732.1 | CurrentRaw=733.0 | Change=0.9 => Floor
data,,732.1,733.0,0.9,733.0,Time=3.4s | BaseRaw=732.1 | CurrentRaw=733.0 | Change=0.9 => Floor
data,,732.1,733.0,0.9,733.0,Time=3.5s | BaseRaw=732.1 | CurrentRaw=733.0 | Change=0.9 => Floor
data,,732.1,733.0,0.9,733.0,Time=3.6s | BaseRaw=732.1 | CurrentRaw=733.0 | Change=0.9 => Floor
data,,732.1,733.0,0.9,733.0,Time=3.7s | BaseRaw=732.1 | CurrentRaw=733.0 | Change=0.9 => Floor
data,,732.1,733.0,0.9,733.0,Time=3.8s | BaseRaw=732.1 | CurrentRaw=733.0 | Change=0.9 => Floor
data,,732.1,732.8,0.7,732.8,Time=3.9s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,732.8,0.7,732.8,Time=4.0s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,732.8,0.7,732.8,Time=4.1s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,732.8,0.7,732.8,Time=4.2s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,732.8,0.7,732.8,Time=4.3s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,732.8,0.7,732.8,Time=4.4s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,732.8,0.7,732.8,Time=4.5s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,732.8,0.7,732.8,Time=4.6s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,732.8,0.7,732.8,Time=4.7s | BaseRaw=732.1 | CurrentRaw=732.8 | Change=0.7 => Floor
data,,732.1,732.6,0.5,732.6,Time=4.8s | BaseRaw=732.1 | CurrentRaw=732.6 | Change=0.5 => Floor
data,,732.1,732.4,0.3,732.4,Time=4.9s | BaseRaw=732.1 | CurrentRaw=732.4 | Change=0.3 => Floor
data,,732.1,732.4,0.3,732.4,Time=5.0s | BaseRaw=732.1 | CurrentRaw=732.4 | Change=0.3 => Floor
data,,732.1,732.2,0.1,732.2,Time=5.1s | BaseRaw=732.1 | CurrentRaw=732.2 | Change=0.1 => Floor
data,,732.1,732.0,0.1,732.0,Time=5.2s | BaseRaw=732.1 | CurrentRaw=732.0 | Change=0.1 => Floor
data,,732.1,732.2,0.1,732.2,Time=5.3s | BaseRaw=732.1 | CurrentRaw=732.2 | Change=0.1 => Floor
data,,732.1,733.6,1.5,733.6,Time=5.4s | BaseRaw=732.1 | CurrentRaw=733.6 | Change=1.5 => Floor
data,,732.1,735.8,3.7,735.8,Time=5.5s | BaseRaw=732.1 | CurrentRaw=735.8 | Change=3.7 => Floor
data,,732.1,737.4,5.3,737.4,Time=5.6s | BaseRaw=732.1 | CurrentRaw=737.4 | Change=5.3 => Floor
data,,732.1,736.8,4.7,736.8,Time=5.7s | BaseRaw=732.1 | CurrentRaw=736.8 | Change=4.7 => Floor
data,,732.1,734.2,2.1,734.2,Time=5.8s | BaseRaw=732.1 | CurrentRaw=734.2 | Change=2.1 => Floor
data,,732.1,730.4,1.7,730.4,Time=5.9s | BaseRaw=732.1 | CurrentRaw=730.4 | Change=1.7 => Floor
data,,732.1,726.2,5.9,726.2,Time=6.0s | BaseRaw=732.1 | CurrentRaw=726.2 | Change=5.9 => Floor
data,,732.1,723.2,8.9,723.2,Time=6.1s | BaseRaw=732.1 | CurrentRaw=723.2 | Change=8.9 => Floor
data,,732.1,722.6,9.5,722.6,Time=6.2s | BaseRaw=732.1 | CurrentRaw=722.6 | Change=9.5 => Floor
data,,732.1,723.8,8.3,723.8,Time=6.3s | BaseRaw=732.1 | CurrentRaw=723.8 | Change=8.3 => Floor
data,,732.1,725.2,6.9,725.2,Time=6.4s | BaseRaw=732.1 | CurrentRaw=725.2 | Change=6.9 => Floor
data,,732.1,726.4,5.7,726.4,Time=6.5s | BaseRaw=732.1 | CurrentRaw=726.4 | Change=5.7 => Floor
