record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,745.00,,,,745.00,Collecting baseline... RawAvg=745.00
baseline,745.60,,,,745.60,Collecting baseline... RawAvg=745.60
baseline,746.00,,,,746.00,Collecting baseline... RawAvg=746.00
baseline,746.20,,,,746.20,Collecting baseline... RawAvg=746.20
baseline,746.20,,,,746.20,Collecting baseline... RawAvg=746.20
baseline,746.20,,,,746.20,Collecting baseline... RawAvg=746.20
baseline,745.80,,,,745.80,Collecting baseline... RawAvg=745.80
baseline,745.00,,,,745.00,Collecting baseline... RawAvg=745.00
baseline,744.40,,,,744.40,Collecting baseline... RawAvg=744.40
baseline,744.00,,,,744.00,Collecting baseline... RawAvg=744.00
baseline,743.80,,,,743.80,Collecting baseline... RawAvg=743.80
baseline,743.60,,,,743.60,Collecting baseline... RawAvg=743.60
baseline,744.00,,,,744.00,Collecting baseline... RawAvg=744.00
baseline,744.60,,,,744.60,Collecting baseline... RawAvg=744.60
baseline,745.20,,,,745.20,Collecting baseline... RawAvg=745.20
baseline,745.80,,,,745.80,Collecting baseline... RawAvg=745.80
baseline,746.40,,,,746.40,Collecting baseline... RawAvg=746.40
baseline,747.00,,,,747.00,Collecting baseline... RawAvg=747.00
baseline,747.20,,,,747.20,Collecting baseline... RawAvg=747.20
baseline,747.40,,,,747.40,Collecting baseline... RawAvg=747.40
baseline,747.20,,,,747.20,Collecting baseline... RawAvg=747.20
baseline,746.80,,,,746.80,Collecting baseline... RawAvg=746.80
baseline,746.40,,,,746.40,Collecting baseline... RawAvg=746.40
baseline,745.80,,,,745.80,Collecting baseline... RawAvg=745.80
baseline,745.00,,,,745.00,Collecting baseline... RawAvg=745.00
baseline,744.60,,,,744.60,Collecting baseline... RawAvg=744.60
baseline,744.40,,,,744.40,Collecting baseline... RawAvg=744.40
baseline,744.20,,,,744.20,Collecting baseline... RawAvg=744.20
baseline,744.40,,,,744.40,Collecting baseline... RawAvg=744.40
baseline,745.00,,,,745.00,Collecting baseline... RawAvg=745.00
baseline,745.40,,,,745.40,Collecting baseline... RawAvg=745.40
baseline,745.60,,,,745.60,Collecting baseline... RawAvg=745.60
baseline,745.80,,,,745.80,Collecting baseline... RawAvg=745.80
baseline,746.20,,,,746.20,Collecting baseline... RawAvg=746.20
baseline,746.60,,,,746.60,Collecting baseline... RawAvg=746.60
baseline,747.00,,,,747.00,Collecting baseline... RawAvg=747.00
baseline,747.20,,,,747.20,Collecting baseline... RawAvg=747.20
baseline,747.20,,,,747.20,Collecting baseline... RawAvg=747.20
baseline,746.80,,,,746.80,Collecting baseline... RawAvg=746.80
baseline,746.20,,,,746.20,Collecting baseline... RawAvg=746.20
baseline,745.60,,,,745.60,Collecting baseline... RawAvg=745.60
baseline,744.80,,,,744.80,Collecting baseline... RawAvg=744.80
baseline,744.20,,,,744.20,Collecting baseline... RawAvg=744.20
baseline,743.80,,,,743.80,Collecting baseline... RawAvg=743.80
baseline,743.40,,,,743.40,Collecting baseline... RawAvg=743.40
baseline,743.00,,,,743.00,Collecting baseline... RawAvg=743.00
baseline,743.40,,,,743.40,Collecting baseline... RawAvg=743.40
baseline,743.80,,,,743.80,Collecting baseline... RawAvg=743.80
baseline,744.20,,,,744.20,Collecting baseline... RawAvg=744.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,745.38,,,745.38,Final Base Raw Average = 745.38
info,,,,,,--------------------------------------------------------------------------
data,,745.4,745.6,0.2,745.6,Time=0.1s | BaseRaw=745.4 | CurrentRaw=745.6 | Change=0.2 => Floor
data,,745.4,746.0,0.6,746.0,Time=0.2s | BaseRaw=745.4 | CurrentRaw=746.0 | Change=0.6 => Floor
data,,745.4,746.0,0.6,746.0,Time=0.3s | BaseRaw=745.4 | CurrentRaw=746.0 | Change=0.6 => Floor
data,,745.4,745.6,0.2,745.6,Time=0.4s | BaseRaw=745.4 | CurrentRaw=745.6 | Change=0.2 => Floor
data,,745.4,745.2,0.2,745.2,Time=0.5s | BaseRaw=745.4 | CurrentRaw=745.2 | Change=0.2 => Floor
data,,745.4,745.2,0.2,745.2,Time=0.6s | BaseRaw=745.4 | CurrentRaw=745.2 | Change=0.2 => Floor
data,,745.4,745.2,0.2,745.2,Time=0.7s | BaseRaw=745.4 | CurrentRaw=745.2 | Change=0.2 => Floor
data,,745.4,745.2,0.2,745.2,Time=0.8s | BaseRaw=745.4 | CurrentRaw=745.2 | Change=0.2 => Floor
data,,745.4,745.2,0.2,745.2,Time=0.9s | BaseRaw=745.4 | CurrentRaw=745.2 | Change=0.2 => Floor
data,,745.4,745.2,0.2,745.2,Time=1.0s | BaseRaw=745.4 | CurrentRaw=745.2 | Change=0.2 => Floor
data,,745.4,745.4,0.0,745.4,Time=1.1s | BaseRaw=745.4 | CurrentRaw=745.4 | Change=0.0 => Floor
data,,745.4,745.4,0.0,745.4,Time=1.2s | BaseRaw=745.4 | CurrentRaw=745.4 | Change=0.0 => Floor
data,,745.4,745.2,0.2,745.2,Time=1.3s | BaseRaw=745.4 | CurrentRaw=745.2 | Change=0.2 => Floor
data,,745.4,745.4,0.0,745.4,Time=1.4s | BaseRaw=745.4 | CurrentRaw=745.4 | Change=0.0 => Floor
data,,745.4,745.6,0.2,745.6,Time=1.5s | BaseRaw=745.4 | CurrentRaw=745.6 | Change=0.2 => Floor
data,,745.4,745.6,0.2,745.6,Time=1.6s | BaseRaw=745.4 | CurrentRaw=745.6 | Change=0.2 => Floor
data,,745.4,745.4,0.0,745.4,Time=1.7s | BaseRaw=745.4 | CurrentRaw=745.4 | Change=0.0 => Floor
data,,745.4,745.4,0.0,745.4,Time=1.8s | BaseRaw=745.4 | CurrentRaw=745.4 | Change=0.0 => Floor
data,,745.4,745.2,0.2,745.2,Time=1.9s | BaseRaw=745.4 | CurrentRaw=745.2 | Change=0.2 => Floor
data,,745.4,745.2,0.2,745.2,Time=2.0s | BaseRaw=745.4 | CurrentRaw=745.2 | Change=0.2 => Floor
data,,745.4,745.2,0.2,745.2,Time=2.1s | BaseRaw=745.4 | CurrentRaw=745.2 | Change=0.2 => Floor
data,,745.4,745.2,0.2,745.2,Time=2.2s | BaseRaw=745.4 | CurrentRaw=745.2 | Change=0.2 => Floor
data,,745.4,744.8,0.6,744.8,Time=2.3s | BaseRaw=745.4 | CurrentRaw=744.8 | Change=0.6 => Floor
data,,745.4,744.8,0.6,744.8,Time=2.4s | BaseRaw=745.4 | CurrentRaw=744.8 | Change=0.6 => Floor
data,,745.4,745.0,0.4,745.0,Time=2.5s | BaseRaw=745.4 | CurrentRaw=745.0 | Change=0.4 => Floor
data,,745.4,744.8,0.6,744.8,Time=2.6s | BaseRaw=745.4 | CurrentRaw=744.8 | Change=0.6 => Floor
data,,745.4,744.8,0.6,744.8,Time=2.7s | BaseRaw=745.4 | CurrentRaw=744.8 | Change=0.6 => Floor
data,,745.4,744.8,0.6,744.8,Time=2.8s | BaseRaw=745.4 | CurrentRaw=744.8 | Change=0.6 => Floor
data,,745.4,745.0,0.4,745.0,Time=2.9s | BaseRaw=745.4 | CurrentRaw=745.0 | Change=0.4 => Floor
data,,745.4,745.0,0.4,745.0,Time=3.0s | BaseRaw=745.4 | CurrentRaw=745.0 | Change=0.4 => Floor
data,,745.4,745.0,0.4,745.0,Time=3.1s | BaseRaw=745.4 | CurrentRaw=745.0 | Change=0.4 => Floor
data,,745.4,744.8,0.6,744.8,Time=3.2s | BaseRaw=745.4 | CurrentRaw=744.8 | Change=0.6 => Floor
data,,745.4,745.0,0.4,745.0,Time=3.3s | BaseRaw=745.4 | CurrentRaw=745.0 | Change=0.4 => Floor
data,,745.4,745.2,0.2,745.2,Time=3.4s | BaseRaw=745.4 | CurrentRaw=745.2 | Change=0.2 => Floor
data,,745.4,745.4,0.0,745.4,Time=3.5s | BaseRaw=745.4 | CurrentRaw=745.4 | Change=0.0 => Floor
data,,745.4,745.4,0.0,745.4,Time=3.6s | BaseRaw=745.4 | CurrentRaw=745.4 | Change=0.0 => Floor
data,,745.4,745.4,0.0,745.4,Time=3.7s | BaseRaw=745.4 | CurrentRaw=745.4 | Change=0.0 => Floor
data,,745.4,745.4,0.0,745.4,Time=3.8s | BaseRaw=745.4 | CurrentRaw=745.4 | Change=0.0 => Floor
data,,745.4,745.2,0.2,745.2,Time=3.9s | BaseRaw=745.4 | CurrentRaw=745.2 | Change=0.2 => Floor
data,,745.4,745.4,0.0,745.4,Time=4.0s | BaseRaw=745.4 | CurrentRaw=745.4 | Change=0.0 => Floor
data,,745.4,745.6,0.2,745.6,Time=4.1s | BaseRaw=745.4 | CurrentRaw=745.6 | Change=0.2 => Floor
data,,745.4,746.0,0.6,746.0,Time=4.2s | BaseRaw=745.4 | CurrentRaw=746.0 | Change=0.6 => Floor
data,,745.4,746.4,1.0,746.4,Time=4.3s | BaseRaw=745.4 | CurrentRaw=746.4 | Change=1.0 => Floor
data,,745.4,747.2,1.8,747.2,Time=4.4s | BaseRaw=745.4 | CurrentRaw=747.2 | Change=1.8 => Floor
data,,745.4,747.6,2.2,747.6,Time=4.5s | BaseRaw=745.4 | CurrentRaw=747.6 | Change=2.2 => Floor
data,,745.4,747.6,2.2,747.6,Time=4.6s | BaseRaw=745.4 | CurrentRaw=747.6 | Change=2.2 => Floor
data,,745.4,747.6,2.2,747.6,Time=4.7s | BaseRaw=745.4 | CurrentRaw=747.6 | Change=2.2 => Floor
data,,745.4,747.8,2.4,747.8,Time=4.8s | BaseRaw=745.4 | CurrentRaw=747.8 | Change=2.4 => Floor
data,,745.4,747.8,2.4,747.8,Time=4.9s | BaseRaw=745.4 | CurrentRaw=747.8 | Change=2.4 => Floor
data,,745.4,747.6,2.2,747.6,Time=5.0s | BaseRaw=745.4 | CurrentRaw=747.6 | Change=2.2 => Floor
data,,745.4,747.2,1.8,747.2,Time=5.1s | BaseRaw=745.4 | CurrentRaw=747.2 | Change=1.8 => Floor
data,,745.4,746.4,1.0,746.4,Time=5.2s | BaseRaw=745.4 | CurrentRaw=746.4 | Change=1.0 => Floor
data,,745.4,745.2,0.2,745.2,Time=5.3s | BaseRaw=745.4 | CurrentRaw=745.2 | Change=0.2 => Floor
data,,745.4,743.4,2.0,743.4,Time=5.4s | BaseRaw=745.4 | CurrentRaw=743.4 | Change=2.0 => Floor
data,,745.4,740.4,5.0,740.4,Time=5.5s | BaseRaw=745.4 | CurrentRaw=740.4 | Change=5.0 => Floor
data,,745.4,736.8,8.6,736.8,Time=5.6s | BaseRaw=745.4 | CurrentRaw=736.8 | Change=8.6 => Floor
data,,745.4,733.0,12.4,733.0,Time=5.7s | BaseRaw=745.4 | CurrentRaw=733.0 | Change=12.4 => Liquid
data,,745.4,730.8,14.6,730.8,Time=5.8s | BaseRaw=745.4 | CurrentRaw=730.8 | Change=14.6 => Liquid
data,,745.4,729.6,15.8,729.6,Time=5.9s | BaseRaw=745.4 | CurrentRaw=729.6 | Change=15.8 => Liquid
data,,745.4,728.8,16.6,728.8,Time=6.0s | BaseRaw=745.4 | CurrentRaw=728.8 | Change=16.6 => Liquid
data,,745.4,730.0,15.4,730.0,Time=6.1s | BaseRaw=745.4 | CurrentRaw=730.0 | Change=15.4 => Liquid
data,,745.4,732.8,12.6,732.8,Time=6.2s | BaseRaw=745.4 | CurrentRaw=732.8 | Change=12.6 => Liquid
data,,745.4,733.6,11.8,733.6,Time=6.3s | BaseRaw=745.4 | CurrentRaw=733.6 | Change=11.8 => Liquid
data,,745.4,734.2,11.2,734.2,Time=6.4s | BaseRaw=745.4 | CurrentRaw=734.2 | Change=11.2 => Liquid
data,,745.4,735.8,9.6,735.8,Time=6.5s | BaseRaw=745.4 | CurrentRaw=735.8 | Change=9.6 => Floor
