record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,568.00,,,,568.00,Collecting baseline... RawAvg=568.00
baseline,567.40,,,,567.40,Collecting baseline... RawAvg=567.40
baseline,566.80,,,,566.80,Collecting baseline... RawAvg=566.80
baseline,566.40,,,,566.40,Collecting baseline... RawAvg=566.40
baseline,566.00,,,,566.00,Collecting baseline... RawAvg=566.00
baseline,566.60,,,,566.60,Collecting baseline... RawAvg=566.60
baseline,567.40,,,,567.40,Collecting baseline... RawAvg=567.40
baseline,568.00,,,,568.00,Collecting baseline... RawAvg=568.00
baseline,568.20,,,,568.20,Collecting baseline... RawAvg=568.20
baseline,568.60,,,,568.60,Collecting baseline... RawAvg=568.60
baseline,568.60,,,,568.60,Collecting baseline... RawAvg=568.60
baseline,568.20,,,,568.20,Collecting baseline... RawAvg=568.20
baseline,567.60,,,,567.60,Collecting baseline... RawAvg=567.60
baseline,567.20,,,,567.20,Collecting baseline... RawAvg=567.20
baseline,566.20,,,,566.20,Collecting baseline... RawAvg=566.20
baseline,565.40,,,,565.40,Collecting baseline... RawAvg=565.40
baseline,565.00,,,,565.00,Collecting baseline... RawAvg=565.00
baseline,564.80,,,,564.80,Collecting baseline... RawAvg=564.80
baseline,564.60,,,,564.60,Collecting baseline... RawAvg=564.60
baseline,564.80,,,,564.80,Collecting baseline... RawAvg=564.80
baseline,565.20,,,,565.20,Collecting baseline... RawAvg=565.20
baseline,565.60,,,,565.60,Collecting baseline... RawAvg=565.60
baseline,566.00,,,,566.00,Collecting baseline... RawAvg=566.00
baseline,566.80,,,,566.80,Collecting baseline... RawAvg=566.80
baseline,567.60,,,,567.60,Collecting baseline... RawAvg=567.60
baseline,568.40,,,,568.40,Collecting baseline... RawAvg=568.40
baseline,568.60,,,,568.60,Collecting baseline... RawAvg=568.60
baseline,569.00,,,,569.00,Collecting baseline... RawAvg=569.00
baseline,568.80,,,,568.80,Collecting baseline... RawAvg=568.80
baseline,568.40,,,,568.40,Collecting baseline... RawAvg=568.40
baseline,567.60,,,,567.60,Collecting baseline... RawAvg=567.60
baseline,567.20,,,,567.20,Collecting baseline... RawAvg=567.20
baseline,566.40,,,,566.40,Collecting baseline... RawAvg=566.40
baseline,565.60,,,,565.60,Collecting baseline... RawAvg=565.60
baseline,565.00,,,,565.00,Collecting baseline... RawAvg=565.00
baseline,564.80,,,,564.80,Collecting baseline... RawAvg=564.80
baseline,564.60,,,,564.60,Collecting baseline... RawAvg=564.60
baseline,564.60,,,,564.60,Collecting baseline... RawAvg=564.60
baseline,565.00,,,,565.00,Collecting baseline... RawAvg=565.00
baseline,565.60,,,,565.60,Collecting baseline... RawAvg=565.60
baseline,566.00,,,,566.00,Collecting baseline... RawAvg=566.00
baseline,566.60,,,,566.60,Collecting baseline... RawAvg=566.60
baseline,567.40,,,,567.40,Collecting baseline... RawAvg=567.40
baseline,568.00,,,,568.00,Collecting baseline... RawAvg=568.00
baseline,568.20,,,,568.20,Collecting baseline... RawAvg=568.20
baseline,568.60,,,,568.60,Collecting baseline... RawAvg=568.60
baseline,568.60,,,,568.60,Collecting baseline... RawAvg=568.60
baseline,568.20,,,,568.20,Collecting baseline... RawAvg=568.20
baseline,567.60,,,,567.60,Collecting baseline... RawAvg=567.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,566.85,,,566.85,Final Base Raw Average = 566.85
info,,,,,,--------------------------------------------------------------------------
data,,566.9,566.6,0.3,566.6,Time=0.1s | BaseRaw=566.9 | CurrentRaw=566.6 | Change=0.3 => Floor
data,,566.9,566.0,0.9,566.0,Time=0.2s | BaseRaw=566.9 | CurrentRaw=566.0 | Change=0.9 => Floor
data,,566.9,566.0,0.9,566.0,Time=0.3s | BaseRaw=566.9 | CurrentRaw=566.0 | Change=0.9 => Floor
data,,566.9,566.6,0.3,566.6,Time=0.4s | BaseRaw=566.9 | CurrentRaw=566.6 | Change=0.3 => Floor
data,,566.9,567.0,0.1,567.0,Time=0.5s | BaseRaw=566.9 | CurrentRaw=567.0 | Change=0.1 => Floor
data,,566.9,566.8,0.1,566.8,Time=0.6s | BaseRaw=566.9 | CurrentRaw=566.8 | Change=0.1 => Floor
data,,566.9,566.8,0.1,566.8,Time=0.7s | BaseRaw=566.9 | CurrentRaw=566.8 | Change=0.1 => Floor
data,,566.9,566.8,0.1,566.8,Time=0.8s | BaseRaw=566.9 | CurrentRaw=566.8 | Change=0.1 => Floor
data,,566.9,566.8,0.1,566.8,Time=0.9s | BaseRaw=566.9 | CurrentRaw=566.8 | Change=0.1 => Floor
data,,566.9,566.6,0.3,566.6,Time=1.0s | BaseRaw=566.9 | CurrentRaw=566.6 | Change=0.3 => Floor
data,,566.9,566.4,0.5,566.4,Time=1.1s | BaseRaw=566.9 | CurrentRaw=566.4 | Change=0.5 => Floor
data,,566.9,566.2,0.7,566.2,Time=1.2s | BaseRaw=566.9 | CurrentRaw=566.2 | Change=0.7 => Floor
data,,566.9,566.2,0.7,566.2,Time=1.3s | BaseRaw=566.9 | CurrentRaw=566.2 | Change=0.7 => Floor
data,,566.9,566.2,0.7,566.2,Time=1.4s | BaseRaw=566.9 | CurrentRaw=566.2 | Change=0.7 => Floor
data,,566.9,566.2,0.7,566.2,Time=1.5s | BaseRaw=566.9 | CurrentRaw=566.2 | Change=0.7 => Floor
data,,566.9,566.2,0.7,566.2,Time=1.6s | BaseRaw=566.9 | CurrentRaw=566.2 | Change=0.7 => Floor
data,,566.9,566.2,0.7,566.2,Time=1.7s | BaseRaw=566.9 | CurrentRaw=566.2 | Change=0.7 => Floor
data,,566.9,566.2,0.7,566.2,Time=1.8s | BaseRaw=566.9 | CurrentRaw=566.2 | Change=0.7 => Floor
data,,566.9,566.2,0.7,566.2,Time=1.9s | BaseRaw=566.9 | CurrentRaw=566.2 | Change=0.7 => Floor
data,,566.9,565.8,1.1,565.8,Time=2.0s | BaseRaw=566.9 | CurrentRaw=565.8 | Change=1.1 => Floor
data,,566.9,565.6,1.3,565.6,Time=2.1s | BaseRaw=566.9 | CurrentRaw=565.6 | Change=1.3 => Floor
data,,566.9,565.8,1.1,565.8,Time=2.2s | BaseRaw=566.9 | CurrentRaw=565.8 | Change=1.1 => Floor
data,,566.9,565.8,1.1,565.8,Time=2.3s | BaseRaw=566.9 | CurrentRaw=565.8 | Change=1.1 => Floor
data,,566.9,565.6,1.3,565.6,Time=2.4s | BaseRaw=566.9 | CurrentRaw=565.6 | Change=1.3 => Floor
data,,566.9,565.6,1.3,565.6,Time=2.5s | BaseRaw=566.9 | CurrentRaw=565.6 | Change=1.3 => Floor
data,,566.9,565.6,1.3,565.6,Time=2.6s | BaseRaw=566.9 | CurrentRaw=565.6 | Change=1.3 => Floor
data,,566.9,565.8,1.1,565.8,Time=2.7s | BaseRaw=566.9 | CurrentRaw=565.8 | Change=1.1 => Floor
data,,566.9,566.0,0.9,566.0,Time=2.8s | BaseRaw=566.9 | CurrentRaw=566.0 | Change=0.9 => Floor
data,,566.9,565.8,1.1,565.8,Time=2.9s | BaseRaw=566.9 | CurrentRaw=565.8 | Change=1.1 => Floor
data,,566.9,565.6,1.3,565.6,Time=3.0s | BaseRaw=566.9 | CurrentRaw=565.6 | Change=1.3 => Floor
data,,566.9,565.4,1.5,565.4,Time=3.1s | BaseRaw=566.9 | CurrentRaw=565.4 | Change=1.5 => Floor
data,,566.9,565.0,1.9,565.0,Time=3.2s | BaseRaw=566.9 | CurrentRaw=565.0 | Change=1.9 => Floor
data,,566.9,564.6,2.3,564.6,Time=3.3s | BaseRaw=566.9 | CurrentRaw=564.6 | Change=2.3 => Floor
data,,566.9,564.2,2.7,564.2,Time=3.4s | BaseRaw=566.9 | CurrentRaw=564.2 | Change=2.7 => Floor
data,,566.9,564.0,2.9,564.0,Time=3.5s | BaseRaw=566.9 | CurrentRaw=564.0 | Change=2.9 => Floor
data,,566.9,564.0,2.9,564.0,Time=3.6s | BaseRaw=566.9 | CurrentRaw=564.0 | Change=2.9 => Floor
data,,566.9,563.8,3.1,563.8,Time=3.7s | BaseRaw=566.9 | CurrentRaw=563.8 | Change=3.1 => Floor
data,,566.9,563.6,3.3,563.6,Time=3.8s | BaseRaw=566.9 | CurrentRaw=563.6 | Change=3.3 => Floor
data,,566.9,563.2,3.7,563.2,Time=3.9s | BaseRaw=566.9 | CurrentRaw=563.2 | Change=3.7 => Floor
data,,566.9,562.6,4.3,562.6,Time=4.0s | BaseRaw=566.9 | CurrentRaw=562.6 | Change=4.3 => Floor
data,,566.9,562.0,4.9,562.0,Time=4.1s | BaseRaw=566.9 | CurrentRaw=562.0 | Change=4.9 => Floor
data,,566.9,562.2,4.7,562.2,Time=4.2s | BaseRaw=566.9 | CurrentRaw=562.2 | Change=4.7 => Floor
data,,566.9,562.4,4.5,562.4,Time=4.3s | BaseRaw=566.9 | CurrentRaw=562.4 | Change=4.5 => Floor
data,,566.9,562.6,4.3,562.6,Time=4.4s | BaseRaw=566.9 | CurrentRaw=562.6 | Change=4.3 => Floor
data,,566.9,563.4,3.5,563.4,Time=4.5s | BaseRaw=566.9 | CurrentRaw=563.4 | Change=3.5 => Floor
data,,566.9,565.4,1.5,565.4,Time=4.6s | BaseRaw=566.9 | CurrentRaw=565.4 | Change=1.5 => Floor
data,,566.9,567.6,0.7,567.6,Time=4.7s | BaseRaw=566.9 | CurrentRaw=567.6 | Change=0.7 => Floor
data,,566.9,569.8,2.9,569.8,Time=4.8s | BaseRaw=566.9 | CurrentRaw=569.8 | Change=2.9 => Floor
data,,566.9,572.2,5.3,572.2,Time=4.9s | BaseRaw=566.9 | CurrentRaw=572.2 | Change=5.3 => Floor
data,,566.9,574.4,7.5,574.4,Time=5.0s | BaseRaw=566.9 | CurrentRaw=574.4 | Change=7.5 => Floor
data,,566.9,576.0,9.1,576.0,Time=5.1s | BaseRaw=566.9 | CurrentRaw=576.0 | Change=9.1 => Floor
data,,566.9,576.2,9.3,576.2,Time=5.2s | BaseRaw=566.9 | CurrentRaw=576.2 | Change=9.3 => Floor
data,,566.9,575.4,8.5,575.4,Time=5.3s | BaseRaw=566.9 | CurrentRaw=575.4 | Change=8.5 => Floor
data,,566.9,574.4,7.5,574.4,Time=5.4s | BaseRaw=566.9 | CurrentRaw=574.4 | Change=7.5 => Floor
data,,566.9,573.2,6.3,573.2,Time=5.5s | BaseRaw=566.9 | CurrentRaw=573.2 | Change=6.3 => Floor
data,,566.9,572.2,5.3,572.2,Time=5.6s | BaseRaw=566.9 | CurrentRaw=572.2 | Change=5.3 => Floor
data,,566.9,572.2,5.3,572.2,Time=5.7s | BaseRaw=566.9 | CurrentRaw=572.2 | Change=5.3 => Floor
data,,566.9,573.0,6.1,573.0,Time=5.8s | BaseRaw=566.9 | CurrentRaw=573.0 | Change=6.1 => Floor
data,,566.9,573.6,6.7,573.6,Time=5.9s | BaseRaw=566.9 | CurrentRaw=573.6 | Change=6.7 => Floor
data,,566.9,574.6,7.7,574.6,Time=6.0s | BaseRaw=566.9 | CurrentRaw=574.6 | Change=7.7 => Floor
data,,566.9,575.4,8.5,575.4,Time=6.1s | BaseRaw=566.9 | CurrentRaw=575.4 | Change=8.5 => Floor
data,,566.9,575.8,8.9,575.8,Time=6.2s | BaseRaw=566.9 | CurrentRaw=575.8 | Change=8.9 => Floor
data,,566.9,575.8,8.9,575.8,Time=6.3s | BaseRaw=566.9 | CurrentRaw=575.8 | Change=8.9 => Floor
data,,566.9,575.8,8.9,575.8,Time=6.4s | BaseRaw=566.9 | CurrentRaw=575.8 | Change=8.9 => Floor
data,,566.9,575.8,8.9,575.8,Time=6.5s | BaseRaw=566.9 | CurrentRaw=575.8 | Change=8.9 => Floor
