record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,716.40,,,,716.40,Collecting baseline... RawAvg=716.40
baseline,716.40,,,,716.40,Collecting baseline... RawAvg=716.40
baseline,716.40,,,,716.40,Collecting baseline... RawAvg=716.40
baseline,716.40,,,,716.40,Collecting baseline... RawAvg=716.40
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,716.60,,,,716.60,Collecting baseline... RawAvg=716.60
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,718.00,,,,718.00,Collecting baseline... RawAvg=718.00
baseline,718.00,,,,718.00,Collecting baseline... RawAvg=718.00
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,716.60,,,,716.60,Collecting baseline... RawAvg=716.60
baseline,716.60,,,,716.60,Collecting baseline... RawAvg=716.60
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,716.60,,,,716.60,Collecting baseline... RawAvg=716.60
baseline,716.40,,,,716.40,Collecting baseline... RawAvg=716.40
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,717.13,,,717.13,Final Base Raw Average = 717.13
info,,,,,,--------------------------------------------------------------------------
data,,717.1,717.2,0.1,717.2,Time=0.1s | BaseRaw=717.1 | CurrentRaw=717.2 | Change=0.1 => Floor
data,,717.1,717.4,0.3,717.4,Time=0.2s | BaseRaw=717.1 | CurrentRaw=717.4 | Change=0.3 => Floor
data,,717.1,717.6,0.5,717.6,Time=0.3s | BaseRaw=717.1 | CurrentRaw=717.6 | Change=0.5 => Floor
data,,717.1,717.4,0.3,717.4,Time=0.4s | BaseRaw=717.1 | CurrentRaw=717.4 | Change=0.3 => Floor
data,,717.1,717.4,0.3,717.4,Time=0.5s | BaseRaw=717.1 | CurrentRaw=717.4 | Change=0.3 => Floor
data,,717.1,717.0,0.1,717.0,Time=0.6s | BaseRaw=717.1 | CurrentRaw=717.0 | Change=0.1 => Floor
data,,717.1,717.0,0.1,717.0,Time=0.7s | BaseRaw=717.1 | CurrentRaw=717.0 | Change=0.1 => Floor
data,,717.1,716.4,0.7,716.4,Time=0.8s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,716.4,0.7,716.4,Time=0.9s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,716.2,0.9,716.2,Time=1.0s | BaseRaw=717.1 | CurrentRaw=716.2 | Change=0.9 => Floor
data,,717.1,716.4,0.7,716.4,Time=1.1s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,716.4,0.7,716.4,Time=1.2s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,716.4,0.7,716.4,Time=1.3s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,716.2,0.9,716.2,Time=1.4s | BaseRaw=717.1 | CurrentRaw=716.2 | Change=0.9 => Floor
data,,717.1,716.4,0.7,716.4,Time=1.5s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,716.4,0.7,716.4,Time=1.6s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,716.6,0.5,716.6,Time=1.7s | BaseRaw=717.1 | CurrentRaw=716.6 | Change=0.5 => Floor
data,,717.1,716.4,0.7,716.4,Time=1.8s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,716.6,0.5,716.6,Time=1.9s | BaseRaw=717.1 | CurrentRaw=716.6 | Change=0.5 => Floor
data,,717.1,716.4,0.7,716.4,Time=2.0s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,716.8,0.3,716.8,Time=2.1s | BaseRaw=717.1 | CurrentRaw=716.8 | Change=0.3 => Floor
data,,717.1,716.4,0.7,716.4,Time=2.2s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,717.0,0.1,717.0,Time=2.3s | BaseRaw=717.1 | CurrentRaw=717.0 | Change=0.1 => Floor
data,,717.1,716.8,0.3,716.8,Time=2.4s | BaseRaw=717.1 | CurrentRaw=716.8 | Change=0.3 => Floor
data,,717.1,716.6,0.5,716.6,Time=2.5s | BaseRaw=717.1 | CurrentRaw=716.6 | Change=0.5 => Floor
data,,717.1,716.2,0.9,716.2,Time=2.6s | BaseRaw=717.1 | CurrentRaw=716.2 | Change=0.9 => Floor
data,,717.1,716.2,0.9,716.2,Time=2.7s | BaseRaw=717.1 | CurrentRaw=716.2 | Change=0.9 => Floor
data,,717.1,715.8,1.3,715.8,Time=2.8s | BaseRaw=717.1 | CurrentRaw=715.8 | Change=1.3 => Floor
data,,717.1,716.2,0.9,716.2,Time=2.9s | BaseRaw=717.1 | CurrentRaw=716.2 | Change=0.9 => Floor
data,,717.1,716.6,0.5,716.6,Time=3.0s | BaseRaw=717.1 | CurrentRaw=716.6 | Change=0.5 => Floor
data,,717.1,716.6,0.5,716.6,Time=3.1s | BaseRaw=717.1 | CurrentRaw=716.6 | Change=0.5 => Floor
data,,717.1,716.8,0.3,716.8,Time=3.2s | BaseRaw=717.1 | CurrentRaw=716.8 | Change=0.3 => Floor
data,,717.1,716.6,0.5,716.6,Time=3.3s | BaseRaw=717.1 | CurrentRaw=716.6 | Change=0.5 => Floor
data,,717.1,716.4,0.7,716.4,Time=3.4s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,716.4,0.7,716.4,Time=3.5s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,716.4,0.7,716.4,Time=3.6s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,716.2,0.9,716.2,Time=3.7s | BaseRaw=717.1 | CurrentRaw=716.2 | Change=0.9 => Floor
data,,717.1,716.2,0.9,716.2,Time=3.8s | BaseRaw=717.1 | CurrentRaw=716.2 | Change=0.9 => Floor
data,,717.1,716.6,0.5,716.6,Time=3.9s | BaseRaw=717.1 | CurrentRaw=716.6 | Change=0.5 => Floor
data,,717.1,716.8,0.3,716.8,Time=4.0s | BaseRaw=717.1 | CurrentRaw=716.8 | Change=0.3 => Floor
data,,717.1,716.8,0.3,716.8,Time=4.1s | BaseRaw=717.1 | CurrentRaw=716.8 | Change=0.3 => Floor
data,,717.1,717.2,0.1,717.2,Time=4.2s | BaseRaw=717.1 | CurrentRaw=717.2 | Change=0.1 => Floor
data,,717.1,717.4,0.3,717.4,Time=4.3s | BaseRaw=717.1 | CurrentRaw=717.4 | Change=0.3 => Floor
data,,717.1,717.4,0.3,717.4,Time=4.4s | BaseRaw=717.1 | CurrentRaw=717.4 | Change=0.3 => Floor
data,,717.1,717.2,0.1,717.2,Time=4.5s | BaseRaw=717.1 | CurrentRaw=717.2 | Change=0.1 => Floor
data,,717.1,717.2,0.1,717.2,Time=4.6s | BaseRaw=717.1 | CurrentRaw=717.2 | Change=0.1 => Floor
data,,717.1,716.6,0.5,716.6,Time=4.7s | BaseRaw=717.1 | CurrentRaw=716.6 | Change=0.5 => Floor
data,,717.1,716.6,0.5,716.6,Time=4.8s | BaseRaw=717.1 | CurrentRaw=716.6 | Change=0.5 => Floor
data,,717.1,716.2,0.9,716.2,Time=4.9s | BaseRaw=717.1 | CurrentRaw=716.2 | Change=0.9 => Floor
data,,717.1,716.4,0.7,716.4,Time=5.0s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,716.4,0.7,716.4,Time=5.1s | BaseRaw=717.1 | CurrentRaw=716.4 | Change=0.7 => Floor
data,,717.1,717.0,0.1,717.0,Time=5.2s | BaseRaw=717.1 | CurrentRaw=717.0 | Change=0.1 => Floor
data,,717.1,718.0,0.9,718.0,Time=5.3s | BaseRaw=717.1 | CurrentRaw=718.0 | Change=0.9 => Floor
data,,717.1,719.0,1.9,719.0,Time=5.4s | BaseRaw=717.1 | CurrentRaw=719.0 | Change=1.9 => Floor
data,,717.1,719.8,2.7,719.8,Time=5.5s | BaseRaw=717.1 | CurrentRaw=719.8 | Change=2.7 => Floor
data,,717.1,720.4,3.3,720.4,Time=5.6s | BaseRaw=717.1 | CurrentRaw=720.4 | Change=3.3 => Floor
data,,717.1,721.4,4.3,721.4,Time=5.7s | BaseRaw=717.1 | CurrentRaw=721.4 | Change=4.3 => Floor
data,,717.1,721.4,4.3,721.4,Time=5.8s | BaseRaw=717.1 | CurrentRaw=721.4 | Change=4.3 => Floor
data,,717.1,721.8,4.7,721.8,Time=5.9s | BaseRaw=717.1 | CurrentRaw=721.8 | Change=4.7 => Floor
data,,717.1,721.8,4.7,721.8,Time=6.0s | BaseRaw=717.1 | CurrentRaw=721.8 | Change=4.7 => Floor
data,,717.1,721.8,4.7,721.8,Time=6.1s | BaseRaw=717.1 | CurrentRaw=721.8 | Change=4.7 => Floor
data,,717.1,721.4,4.3,721.4,Time=6.2s | BaseRaw=717.1 | CurrentRaw=721.4 | Change=4.3 => Floor
data,,717.1,721.4,4.3,721.4,Time=6.3s | BaseRaw=717.1 | CurrentRaw=721.4 | Change=4.3 => Floor
data,,717.1,721.2,4.1,721.2,Time=6.4s | BaseRaw=717.1 | CurrentRaw=721.2 | Change=4.1 => Floor
data,,717.1,721.0,3.9,721.0,Time=6.5s | BaseRaw=717.1 | CurrentRaw=721.0 | Change=3.9 => Floor
