record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,671.60,,,,671.60,Collecting baseline... RawAvg=671.60
baseline,671.60,,,,671.60,Collecting baseline... RawAvg=671.60
baseline,671.80,,,,671.80,Collecting baseline... RawAvg=671.80
baseline,672.00,,,,672.00,Collecting baseline... RawAvg=672.00
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.20,,,,672.20,Collecting baseline... RawAvg=672.20
baseline,672.20,,,,672.20,Collecting baseline... RawAvg=672.20
baseline,672.20,,,,672.20,Collecting baseline... RawAvg=672.20
baseline,672.00,,,,672.00,Collecting baseline... RawAvg=672.00
baseline,671.80,,,,671.80,Collecting baseline... RawAvg=671.80
baseline,672.20,,,,672.20,Collecting baseline... RawAvg=672.20
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.20,,,,672.20,Collecting baseline... RawAvg=672.20
baseline,672.20,,,,672.20,Collecting baseline... RawAvg=672.20
baseline,672.00,,,,672.00,Collecting baseline... RawAvg=672.00
baseline,672.20,,,,672.20,Collecting baseline... RawAvg=672.20
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.20,,,,672.20,Collecting baseline... RawAvg=672.20
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.20,,,,672.20,Collecting baseline... RawAvg=672.20
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,672.49,,,672.49,Final Base Raw Average = 672.49
info,,,,,,--------------------------------------------------------------------------
data,,672.5,672.6,0.1,672.6,Time=0.1s | BaseRaw=672.5 | CurrentRaw=672.6 | Change=0.1 => Floor
data,,672.5,672.8,0.3,672.8,Time=0.2s | BaseRaw=672.5 | CurrentRaw=672.8 | Change=0.3 => Floor
data,,672.5,672.6,0.1,672.6,Time=0.3s | BaseRaw=672.5 | CurrentRaw=672.6 | Change=0.1 => Floor
data,,672.5,672.8,0.3,672.8,Time=0.4s | BaseRaw=672.5 | CurrentRaw=672.8 | Change=0.3 => Floor
data,,672.5,672.6,0.1,672.6,Time=0.5s | BaseRaw=672.5 | CurrentRaw=672.6 | Change=0.1 => Floor
data,,672.5,672.4,0.1,672.4,Time=0.6s | BaseRaw=672.5 | CurrentRaw=672.4 | Change=0.1 => Floor
data,,672.5,672.4,0.1,672.4,Time=0.7s | BaseRaw=672.5 | CurrentRaw=672.4 | Change=0.1 => Floor
data,,672.5,672.8,0.3,672.8,Time=0.8s | BaseRaw=672.5 | CurrentRaw=672.8 | Change=0.3 => Floor
data,,672.5,672.8,0.3,672.8,Time=0.9s | BaseRaw=672.5 | CurrentRaw=672.8 | Change=0.3 => Floor
data,,672.5,672.6,0.1,672.6,Time=1.0s | BaseRaw=672.5 | CurrentRaw=672.6 | Change=0.1 => Floor
data,,672.5,672.6,0.1,672.6,Time=1.1s | BaseRaw=672.5 | CurrentRaw=672.6 | Change=0.1 => Floor
data,,672.5,672.2,0.3,672.2,Time=1.2s | BaseRaw=672.5 | CurrentRaw=672.2 | Change=0.3 => Floor
data,,672.5,672.0,0.5,672.0,Time=1.3s | BaseRaw=672.5 | CurrentRaw=672.0 | Change=0.5 => Floor
data,,672.5,672.2,0.3,672.2,Time=1.4s | BaseRaw=672.5 | CurrentRaw=672.2 | Change=0.3 => Floor
data,,672.5,672.6,0.1,672.6,Time=1.5s | BaseRaw=672.5 | CurrentRaw=672.6 | Change=0.1 => Floor
data,,672.5,672.6,0.1,672.6,Time=1.6s | BaseRaw=672.5 | CurrentRaw=672.6 | Change=0.1 => Floor
data,,672.5,672.8,0.3,672.8,Time=1.7s | BaseRaw=672.5 | CurrentRaw=672.8 | Change=0.3 => Floor
data,,672.5,673.0,0.5,673.0,Time=1.8s | BaseRaw=672.5 | CurrentRaw=673.0 | Change=0.5 => Floor
data,,672.5,673.0,0.5,673.0,Time=1.9s | BaseRaw=672.5 | CurrentRaw=673.0 | Change=0.5 => Floor
data,,672.5,672.8,0.3,672.8,Time=2.0s | BaseRaw=672.5 | CurrentRaw=672.8 | Change=0.3 => Floor
data,,672.5,672.4,0.1,672.4,Time=2.1s | BaseRaw=672.5 | CurrentRaw=672.4 | Change=0.1 => Floor
data,,672.5,672.8,0.3,672.8,Time=2.2s | BaseRaw=672.5 | CurrentRaw=672.8 | Change=0.3 => Floor
data,,672.5,672.6,0.1,672.6,Time=2.3s | BaseRaw=672.5 | CurrentRaw=672.6 | Change=0.1 => Floor
data,,672.5,672.2,0.3,672.2,Time=2.4s | BaseRaw=672.5 | CurrentRaw=672.2 | Change=0.3 => Floor
data,,672.5,672.0,0.5,672.0,Time=2.5s | BaseRaw=672.5 | CurrentRaw=672.0 | Change=0.5 => Floor
data,,672.5,672.2,0.3,672.2,Time=2.6s | BaseRaw=672.5 | CurrentRaw=672.2 | Change=0.3 => Floor
data,,672.5,671.6,0.9,671.6,Time=2.7s | BaseRaw=672.5 | CurrentRaw=671.6 | Change=0.9 => Floor
data,,672.5,671.4,1.1,671.4,Time=2.8s | BaseRaw=672.5 | CurrentRaw=671.4 | Change=1.1 => Floor
data,,672.5,671.2,1.3,671.2,Time=2.9s | BaseRaw=672.5 | CurrentRaw=671.2 | Change=1.3 => Floor
data,,672.5,671.2,1.3,671.2,Time=3.0s | BaseRaw=672.5 | CurrentRaw=671.2 | Change=1.3 => Floor
data,,672.5,671.4,1.1,671.4,Time=3.1s | BaseRaw=672.5 | CurrentRaw=671.4 | Change=1.1 => Floor
data,,672.5,672.2,0.3,672.2,Time=3.2s | BaseRaw=672.5 | CurrentRaw=672.2 | Change=0.3 => Floor
data,,672.5,673.2,0.7,673.2,Time=3.3s | BaseRaw=672.5 | CurrentRaw=673.2 | Change=0.7 => Floor
data,,672.5,674.8,2.3,674.8,Time=3.4s | BaseRaw=672.5 | CurrentRaw=674.8 | Change=2.3 => Floor
data,,672.5,676.8,4.3,676.8,Time=3.5s | BaseRaw=672.5 | CurrentRaw=676.8 | Change=4.3 => Floor
data,,672.5,678.8,6.3,678.8,Time=3.6s | BaseRaw=672.5 | CurrentRaw=678.8 | Change=6.3 => Floor
data,,672.5,680.8,8.3,680.8,Time=3.7s | BaseRaw=672.5 | CurrentRaw=680.8 | Change=8.3 => Floor
data,,672.5,682.4,9.9,682.4,Time=3.8s | BaseRaw=672.5 | CurrentRaw=682.4 | Change=9.9 => Floor
data,,672.5,683.4,10.9,683.4,Time=3.9s | BaseRaw=672.5 | CurrentRaw=683.4 | Change=10.9 => Liquid
data,,672.5,684.0,11.5,684.0,Time=4.0s | BaseRaw=672.5 | CurrentRaw=684.0 | Change=11.5 => Liquid
data,,672.5,684.6,12.1,684.6,Time=4.1s | BaseRaw=672.5 | CurrentRaw=684.6 | Change=12.1 => Liquid
data,,672.5,684.0,11.5,684.0,Time=4.2s | BaseRaw=672.5 | CurrentRaw=684.0 | Change=11.5 => Liquid
data,,672.5,683.4,10.9,683.4,Time=4.3s | BaseRaw=672.5 | CurrentRaw=683.4 | Change=10.9 => Liquid
data,,672.5,682.6,10.1,682.6,Time=4.4s | BaseRaw=672.5 | CurrentRaw=682.6 | Change=10.1 => Liquid
data,,672.5,681.4,8.9,681.4,Time=4.5s | BaseRaw=672.5 | CurrentRaw=681.4 | Change=8.9 => Floor
data,,672.5,679.8,7.3,679.8,Time=4.6s | BaseRaw=672.5 | CurrentRaw=679.8 | Change=7.3 => Floor
data,,672.5,678.4,5.9,678.4,Time=4.7s | BaseRaw=672.5 | CurrentRaw=678.4 | Change=5.9 => Floor
data,,672.5,676.6,4.1,676.6,Time=4.8s | BaseRaw=672.5 | CurrentRaw=676.6 | Change=4.1 => Floor
data,,672.5,674.8,2.3,674.8,Time=4.9s | BaseRaw=672.5 | CurrentRaw=674.8 | Change=2.3 => Floor
data,,672.5,672.8,0.3,672.8,Time=5.0s | BaseRaw=672.5 | CurrentRaw=672.8 | Change=0.3 => Floor
data,,672.5,670.6,1.9,670.6,Time=5.1s | BaseRaw=672.5 | CurrentRaw=670.6 | Change=1.9 => Floor
data,,672.5,669.0,3.5,669.0,Time=5.2s | BaseRaw=672.5 | CurrentRaw=669.0 | Change=3.5 => Floor
data,,672.5,667.8,4.7,667.8,Time=5.3s | BaseRaw=672.5 | CurrentRaw=667.8 | Change=4.7 => Floor
data,,672.5,666.8,5.7,666.8,Time=5.4s | BaseRaw=672.5 | CurrentRaw=666.8 | Change=5.7 => Floor
data,,672.5,666.2,6.3,666.2,Time=5.5s | BaseRaw=672.5 | CurrentRaw=666.2 | Change=6.3 => Floor
data,,672.5,666.0,6.5,666.0,Time=5.6s | BaseRaw=672.5 | CurrentRaw=666.0 | Change=6.5 => Floor
data,,672.5,665.8,6.7,665.8,Time=5.7s | BaseRaw=672.5 | CurrentRaw=665.8 | Change=6.7 => Floor
data,,672.5,665.4,7.1,665.4,Time=5.8s | BaseRaw=672.5 | CurrentRaw=665.4 | Change=7.1 => Floor
data,,672.5,665.6,6.9,665.6,Time=5.9s | BaseRaw=672.5 | CurrentRaw=665.6 | Change=6.9 => Floor
data,,672.5,665.8,6.7,665.8,Time=6.0s | BaseRaw=672.5 | CurrentRaw=665.8 | Change=6.7 => Floor
data,,672.5,666.0,6.5,666.0,Time=6.1s | BaseRaw=672.5 | CurrentRaw=666.0 | Change=6.5 => Floor
data,,672.5,666.0,6.5,666.0,Time=6.2s | BaseRaw=672.5 | CurrentRaw=666.0 | Change=6.5 => Floor
data,,672.5,666.4,6.1,666.4,Time=6.3s | BaseRaw=672.5 | CurrentRaw=666.4 | Change=6.1 => Floor
data,,672.5,666.4,6.1,666.4,Time=6.4s | BaseRaw=672.5 | CurrentRaw=666.4 | Change=6.1 => Floor
data,,672.5,666.6,5.9,666.6,Time=6.5s | BaseRaw=672.5 | CurrentRaw=666.6 | Change=5.9 => Floor
