record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,647.40,,,,647.40,Collecting baseline... RawAvg=647.40
baseline,647.20,,,,647.20,Collecting baseline... RawAvg=647.20
baseline,646.80,,,,646.80,Collecting baseline... RawAvg=646.80
baseline,646.60,,,,646.60,Collecting baseline... RawAvg=646.60
baseline,646.40,,,,646.40,Collecting baseline... RawAvg=646.40
baseline,646.40,,,,646.40,Collecting baseline... RawAvg=646.40
baseline,646.40,,,,646.40,Collecting baseline... RawAvg=646.40
baseline,646.60,,,,646.60,Collecting baseline... RawAvg=646.60
baseline,646.80,,,,646.80,Collecting baseline... RawAvg=646.80
baseline,647.20,,,,647.20,Collecting baseline... RawAvg=647.20
baseline,647.20,,,,647.20,Collecting baseline... RawAvg=647.20
baseline,647.40,,,,647.40,Collecting baseline... RawAvg=647.40
baseline,647.80,,,,647.80,Collecting baseline... RawAvg=647.80
baseline,648.20,,,,648.20,Collecting baseline... RawAvg=648.20
baseline,648.20,,,,648.20,Collecting baseline... RawAvg=648.20
baseline,648.60,,,,648.60,Collecting baseline... RawAvg=648.60
baseline,648.80,,,,648.80,Collecting baseline... RawAvg=648.80
baseline,649.00,,,,649.00,Collecting baseline... RawAvg=649.00
baseline,649.40,,,,649.40,Collecting baseline... RawAvg=649.40
baseline,649.80,,,,649.80,Collecting baseline... RawAvg=649.80
baseline,649.80,,,,649.80,Collecting baseline... RawAvg=649.80
baseline,650.00,,,,650.00,Collecting baseline... RawAvg=650.00
baseline,649.80,,,,649.80,Collecting baseline... RawAvg=649.80
baseline,649.60,,,,649.60,Collecting baseline... RawAvg=649.60
baseline,649.60,,,,649.60,Collecting baseline... RawAvg=649.60
baseline,649.80,,,,649.80,Collecting baseline... RawAvg=649.80
baseline,649.60,,,,649.60,Collecting baseline... RawAvg=649.60
baseline,649.80,,,,649.80,Collecting baseline... RawAvg=649.80
baseline,649.80,,,,649.80,Collecting baseline... RawAvg=649.80
baseline,650.00,,,,650.00,Collecting baseline... RawAvg=650.00
baseline,650.20,,,,650.20,Collecting baseline... RawAvg=650.20
baseline,650.40,,,,650.40,Collecting baseline... RawAvg=650.40
baseline,650.60,,,,650.60,Collecting baseline... RawAvg=650.60
baseline,650.60,,,,650.60,Collecting baseline... RawAvg=650.60
baseline,650.40,,,,650.40,Collecting baseline... RawAvg=650.40
baseline,650.40,,,,650.40,Collecting baseline... RawAvg=650.40
baseline,650.60,,,,650.60,Collecting baseline... RawAvg=650.60
baseline,650.20,,,,650.20,Collecting baseline... RawAvg=650.20
baseline,650.20,,,,650.20,Collecting baseline... RawAvg=650.20
baseline,650.20,,,,650.20,Collecting baseline... RawAvg=650.20
baseline,650.00,,,,650.00,Collecting baseline... RawAvg=650.00
baseline,649.80,,,,649.80,Collecting baseline... RawAvg=649.80
baseline,650.00,,,,650.00,Collecting baseline... RawAvg=650.00
baseline,650.20,,,,650.20,Collecting baseline... RawAvg=650.20
baseline,650.40,,,,650.40,Collecting baseline... RawAvg=650.40
baseline,650.60,,,,650.60,Collecting baseline... RawAvg=650.60
baseline,651.00,,,,651.00,Collecting baseline... RawAvg=651.00
baseline,651.20,,,,651.20,Collecting baseline... RawAvg=651.20
baseline,651.00,,,,651.00,Collecting baseline... RawAvg=651.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,649.14,,,649.14,Final Base Raw Average = 649.14
info,,,,,,--------------------------------------------------------------------------
data,,649.1,651.2,2.1,651.2,Time=0.1s | BaseRaw=649.1 | CurrentRaw=651.2 | Change=2.1 => Floor
data,,649.1,651.4,2.3,651.4,Time=0.2s | BaseRaw=649.1 | CurrentRaw=651.4 | Change=2.3 => Floor
data,,649.1,651.4,2.3,651.4,Time=0.3s | BaseRaw=649.1 | CurrentRaw=651.4 | Change=2.3 => Floor
data,,649.1,651.6,2.5,651.6,Time=0.4s | BaseRaw=649.1 | CurrentRaw=651.6 | Change=2.5 => Floor
data,,649.1,651.6,2.5,651.6,Time=0.5s | BaseRaw=649.1 | CurrentRaw=651.6 | Change=2.5 => Floor
data,,649.1,651.6,2.5,651.6,Time=0.6s | BaseRaw=649.1 | CurrentRaw=651.6 | Change=2.5 => Floor
data,,649.1,651.4,2.3,651.4,Time=0.7s | BaseRaw=649.1 | CurrentRaw=651.4 | Change=2.3 => Floor
data,,649.1,651.2,2.1,651.2,Time=0.8s | BaseRaw=649.1 | CurrentRaw=651.2 | Change=2.1 => Floor
data,,649.1,651.0,1.9,651.0,Time=0.9s | BaseRaw=649.1 | CurrentRaw=651.0 | Change=1.9 => Floor
data,,649.1,651.0,1.9,651.0,Time=1.0s | BaseRaw=649.1 | CurrentRaw=651.0 | Change=1.9 => Floor
data,,649.1,650.8,1.7,650.8,Time=1.1s | BaseRaw=649.1 | CurrentRaw=650.8 | Change=1.7 => Floor
data,,649.1,650.4,1.3,650.4,Time=1.2s | BaseRaw=649.1 | CurrentRaw=650.4 | Change=1.3 => Floor
data,,649.1,650.0,0.9,650.0,Time=1.3s | BaseRaw=649.1 | CurrentRaw=650.0 | Change=0.9 => Floor
data,,649.1,649.8,0.7,649.8,Time=1.4s | BaseRaw=649.1 | CurrentRaw=649.8 | Change=0.7 => Floor
data,,649.1,649.2,0.1,649.2,Time=1.5s | BaseRaw=649.1 | CurrentRaw=649.2 | Change=0.1 => Floor
data,,649.1,648.8,0.3,648.8,Time=1.6s | BaseRaw=649.1 | CurrentRaw=648.8 | Change=0.3 => Floor
data,,649.1,648.6,0.5,648.6,Time=1.7s | BaseRaw=649.1 | CurrentRaw=648.6 | Change=0.5 => Floor
data,,649.1,649.0,0.1,649.0,Time=1.8s | BaseRaw=649.1 | CurrentRaw=649.0 | Change=0.1 => Floor
data,,649.1,649.0,0.1,649.0,Time=1.9s | BaseRaw=649.1 | CurrentRaw=649.0 | Change=0.1 => Floor
data,,649.1,649.2,0.1,649.2,Time=2.0s | BaseRaw=649.1 | CurrentRaw=649.2 | Change=0.1 => Floor
data,,649.1,649.4,0.3,649.4,Time=2.1s | BaseRaw=649.1 | CurrentRaw=649.4 | Change=0.3 => Floor
data,,649.1,649.4,0.3,649.4,Time=2.2s | BaseRaw=649.1 | CurrentRaw=649.4 | Change=0.3 => Floor
data,,649.1,649.4,0.3,649.4,Time=2.3s | BaseRaw=649.1 | CurrentRaw=649.4 | Change=0.3 => Floor
data,,649.1,649.8,0.7,649.8,Time=2.4s | BaseRaw=649.1 | CurrentRaw=649.8 | Change=0.7 => Floor
data,,649.1,650.2,1.1,650.2,Time=2.5s | BaseRaw=649.1 | CurrentRaw=650.2 | Change=1.1 => Floor
data,,649.1,650.2,1.1,650.2,Time=2.6s | BaseRaw=649.1 | CurrentRaw=650.2 | Change=1.1 => Floor
data,,649.1,650.6,1.5,650.6,Time=2.7s | BaseRaw=649.1 | CurrentRaw=650.6 | Change=1.5 => Floor
data,,649.1,650.4,1.3,650.4,Time=2.8s | BaseRaw=649.1 | CurrentRaw=650.4 | Change=1.3 => Floor
data,,649.1,649.8,0.7,649.8,Time=2.9s | BaseRaw=649.1 | CurrentRaw=649.8 | Change=0.7 => Floor
data,,649.1,649.4,0.3,649.4,Time=3.0s | BaseRaw=649.1 | CurrentRaw=649.4 | Change=0.3 => Floor
data,,649.1,649.0,0.1,649.0,Time=3.1s | BaseRaw=649.1 | CurrentRaw=649.0 | Change=0.1 => Floor
data,,649.1,648.2,0.9,648.2,Time=3.2s | BaseRaw=649.1 | CurrentRaw=648.2 | Change=0.9 => Floor
data,,649.1,648.0,1.1,648.0,Time=3.3s | BaseRaw=649.1 | CurrentRaw=648.0 | Change=1.1 => Floor
data,,649.1,648.0,1.1,648.0,Time=3.4s | BaseRaw=649.1 | CurrentRaw=648.0 | Change=1.1 => Floor
data,,649.1,648.0,1.1,648.0,Time=3.5s | BaseRaw=649.1 | CurrentRaw=648.0 | Change=1.1 => Floor
data,,649.1,648.2,0.9,648.2,Time=3.6s | BaseRaw=649.1 | CurrentRaw=648.2 | Change=0.9 => Floor
data,,649.1,648.2,0.9,648.2,Time=3.7s | BaseRaw=649.1 | CurrentRaw=648.2 | Change=0.9 => Floor
data,,649.1,648.2,0.9,648.2,Time=3.8s | BaseRaw=649.1 | CurrentRaw=648.2 | Change=0.9 => Floor
data,,649.1,648.2,0.9,648.2,Time=3.9s | BaseRaw=649.1 | CurrentRaw=648.2 | Change=0.9 => Floor
data,,649.1,648.2,0.9,648.2,Time=4.0s | BaseRaw=649.1 | CurrentRaw=648.2 | Change=0.9 => Floor
data,,649.1,648.4,0.7,648.4,Time=4.1s | BaseRaw=649.1 | CurrentRaw=648.4 | Change=0.7 => Floor
data,,649.1,648.8,0.3,648.8,Time=4.2s | BaseRaw=649.1 | CurrentRaw=648.8 | Change=0.3 => Floor
data,,649.1,649.4,0.3,649.4,Time=4.3s | BaseRaw=649.1 | CurrentRaw=649.4 | Change=0.3 => Floor
data,,649.1,650.6,1.5,650.6,Time=4.4s | BaseRaw=649.1 | CurrentRaw=650.6 | Change=1.5 => Floor
data,,649.1,652.4,3.3,652.4,Time=4.5s | BaseRaw=649.1 | CurrentRaw=652.4 | Change=3.3 => Floor
data,,649.1,654.2,5.1,654.2,Time=4.6s | BaseRaw=649.1 | CurrentRaw=654.2 | Change=5.1 => Floor
data,,649.1,656.4,7.3,656.4,Time=4.7s | BaseRaw=649.1 | CurrentRaw=656.4 | Change=7.3 => Floor
data,,649.1,658.4,9.3,658.4,Time=4.8s | BaseRaw=649.1 | CurrentRaw=658.4 | Change=9.3 => Floor
data,,649.1,659.6,10.5,659.6,Time=4.9s | BaseRaw=649.1 | CurrentRaw=659.6 | Change=10.5 => Liquid
data,,649.1,660.2,11.1,660.2,Time=5.0s | BaseRaw=649.1 | CurrentRaw=660.2 | Change=11.1 => Liquid
data,,649.1,660.4,11.3,660.4,Time=5.1s | BaseRaw=649.1 | CurrentRaw=660.4 | Change=11.3 => Liquid
data,,649.1,661.2,12.1,661.2,Time=5.2s | BaseRaw=649.1 | CurrentRaw=661.2 | Change=12.1 => Liquid
data,,649.1,661.8,12.7,661.8,Time=5.3s | BaseRaw=649.1 | CurrentRaw=661.8 | Change=12.7 => Liquid
data,,649.1,663.0,13.9,663.0,Time=5.4s | BaseRaw=649.1 | CurrentRaw=663.0 | Change=13.9 => Liquid
data,,649.1,663.6,14.5,663.6,Time=5.5s | BaseRaw=649.1 | CurrentRaw=663.6 | Change=14.5 => Liquid
data,,649.1,663.8,14.7,663.8,Time=5.6s | BaseRaw=649.1 | CurrentRaw=663.8 | Change=14.7 => Liquid
data,,649.1,662.8,13.7,662.8,Time=5.7s | BaseRaw=649.1 | CurrentRaw=662.8 | Change=13.7 => Liquid
data,,649.1,661.2,12.1,661.2,Time=5.8s | BaseRaw=649.1 | CurrentRaw=661.2 | Change=12.1 => Liquid
data,,649.1,658.8,9.7,658.8,Time=5.9s | BaseRaw=649.1 | CurrentRaw=658.8 | Change=9.7 => Floor
data,,649.1,656.8,7.7,656.8,Time=6.0s | BaseRaw=649.1 | CurrentRaw=656.8 | Change=7.7 => Floor
data,,649.1,654.8,5.7,654.8,Time=6.1s | BaseRaw=649.1 | CurrentRaw=654.8 | Change=5.7 => Floor
data,,649.1,653.2,4.1,653.2,Time=6.2s | BaseRaw=649.1 | CurrentRaw=653.2 | Change=4.1 => Floor
data,,649.1,652.2,3.1,652.2,Time=6.3s | BaseRaw=649.1 | CurrentRaw=652.2 | Change=3.1 => Floor
data,,649.1,651.6,2.5,651.6,Time=6.4s | BaseRaw=649.1 | CurrentRaw=651.6 | Change=2.5 => Floor
data,,649.1,650.8,1.7,650.8,Time=6.5s | BaseRaw=649.1 | CurrentRaw=650.8 | Change=1.7 => Floor
