record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,673.40,,,,673.40,Collecting baseline... RawAvg=673.40
baseline,673.60,,,,673.60,Collecting baseline... RawAvg=673.60
baseline,673.60,,,,673.60,Collecting baseline... RawAvg=673.60
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.40,,,,673.40,Collecting baseline... RawAvg=673.40
baseline,673.40,,,,673.40,Collecting baseline... RawAvg=673.40
baseline,673.40,,,,673.40,Collecting baseline... RawAvg=673.40
baseline,673.60,,,,673.60,Collecting baseline... RawAvg=673.60
baseline,673.80,,,,673.80,Collecting baseline... RawAvg=673.80
baseline,673.80,,,,673.80,Collecting baseline... RawAvg=673.80
baseline,674.00,,,,674.00,Collecting baseline... RawAvg=674.00
baseline,673.80,,,,673.80,Collecting baseline... RawAvg=673.80
baseline,673.60,,,,673.60,Collecting baseline... RawAvg=673.60
baseline,673.40,,,,673.40,Collecting baseline... RawAvg=673.40
baseline,673.40,,,,673.40,Collecting baseline... RawAvg=673.40
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.60,,,,673.60,Collecting baseline... RawAvg=673.60
baseline,673.80,,,,673.80,Collecting baseline... RawAvg=673.80
baseline,674.00,,,,674.00,Collecting baseline... RawAvg=674.00
baseline,674.20,,,,674.20,Collecting baseline... RawAvg=674.20
baseline,674.40,,,,674.40,Collecting baseline... RawAvg=674.40
baseline,674.00,,,,674.00,Collecting baseline... RawAvg=674.00
baseline,673.80,,,,673.80,Collecting baseline... RawAvg=673.80
baseline,673.40,,,,673.40,Collecting baseline... RawAvg=673.40
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,672.80,,,,672.80,Collecting baseline... RawAvg=672.80
baseline,673.00,,,,673.00,Collecting baseline... RawAvg=673.00
baseline,673.20,,,,673.20,Collecting baseline... RawAvg=673.20
baseline,673.40,,,,673.40,Collecting baseline... RawAvg=673.40
baseline,673.80,,,,673.80,Collecting baseline... RawAvg=673.80
baseline,674.20,,,,674.20,Collecting baseline... RawAvg=674.20
baseline,674.20,,,,674.20,Collecting baseline... RawAvg=674.20
baseline,674.20,,,,674.20,Collecting baseline... RawAvg=674.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,673.44,,,673.44,Final Base Raw Average = 673.44
info,,,,,,--------------------------------------------------------------------------
data,,673.4,674.0,0.6,674.0,Time=0.1s | BaseRaw=673.4 | CurrentRaw=674.0 | Change=0.6 => Floor
data,,673.4,674.2,0.8,674.2,Time=0.2s | BaseRaw=673.4 | CurrentRaw=674.2 | Change=0.8 => Floor
data,,673.4,674.2,0.8,674.2,Time=0.3s | BaseRaw=673.4 | CurrentRaw=674.2 | Change=0.8 => Floor
data,,673.4,674.2,0.8,674.2,Time=0.4s | BaseRaw=673.4 | CurrentRaw=674.2 | Change=0.8 => Floor
data,,673.4,674.2,0.8,674.2,Time=0.5s | BaseRaw=673.4 | CurrentRaw=674.2 | Change=0.8 => Floor
data,,673.4,674.4,1.0,674.4,Time=0.6s | BaseRaw=673.4 | CurrentRaw=674.4 | Change=1.0 => Floor
data,,673.4,674.4,1.0,674.4,Time=0.7s | BaseRaw=673.4 | CurrentRaw=674.4 | Change=1.0 => Floor
data,,673.4,674.6,1.2,674.6,Time=0.8s | BaseRaw=673.4 | CurrentRaw=674.6 | Change=1.2 => Floor
data,,673.4,674.8,1.4,674.8,Time=0.9s | BaseRaw=673.4 | CurrentRaw=674.8 | Change=1.4 => Floor
data,,673.4,675.0,1.6,675.0,Time=1.0s | BaseRaw=673.4 | CurrentRaw=675.0 | Change=1.6 => Floor
data,,673.4,674.8,1.4,674.8,Time=1.1s | BaseRaw=673.4 | CurrentRaw=674.8 | Change=1.4 => Floor
data,,673.4,674.6,1.2,674.6,Time=1.2s | BaseRaw=673.4 | CurrentRaw=674.6 | Change=1.2 => Floor
data,,673.4,674.4,1.0,674.4,Time=1.3s | BaseRaw=673.4 | CurrentRaw=674.4 | Change=1.0 => Floor
data,,673.4,674.4,1.0,674.4,Time=1.4s | BaseRaw=673.4 | CurrentRaw=674.4 | Change=1.0 => Floor
data,,673.4,674.2,0.8,674.2,Time=1.5s | BaseRaw=673.4 | CurrentRaw=674.2 | Change=0.8 => Floor
data,,673.4,674.4,1.0,674.4,Time=1.6s | BaseRaw=673.4 | CurrentRaw=674.4 | Change=1.0 => Floor
data,,673.4,674.4,1.0,674.4,Time=1.7s | BaseRaw=673.4 | CurrentRaw=674.4 | Change=1.0 => Floor
data,,673.4,674.4,1.0,674.4,Time=1.8s | BaseRaw=673.4 | CurrentRaw=674.4 | Change=1.0 => Floor
data,,673.4,674.2,0.8,674.2,Time=1.9s | BaseRaw=673.4 | CurrentRaw=674.2 | Change=0.8 => Floor
data,,673.4,674.2,0.8,674.2,Time=2.0s | BaseRaw=673.4 | CurrentRaw=674.2 | Change=0.8 => Floor
data,,673.4,674.2,0.8,674.2,Time=2.1s | BaseRaw=673.4 | CurrentRaw=674.2 | Change=0.8 => Floor
data,,673.4,674.2,0.8,674.2,Time=2.2s | BaseRaw=673.4 | CurrentRaw=674.2 | Change=0.8 => Floor
data,,673.4,674.0,0.6,674.0,Time=2.3s | BaseRaw=673.4 | CurrentRaw=674.0 | Change=0.6 => Floor
data,,673.4,674.0,0.6,674.0,Time=2.4s | BaseRaw=673.4 | CurrentRaw=674.0 | Change=0.6 => Floor
data,,673.4,673.8,0.4,673.8,Time=2.5s | BaseRaw=673.4 | CurrentRaw=673.8 | Change=0.4 => Floor
data,,673.4,673.8,0.4,673.8,Time=2.6s | BaseRaw=673.4 | CurrentRaw=673.8 | Change=0.4 => Floor
data,,673.4,674.0,0.6,674.0,Time=2.7s | BaseRaw=673.4 | CurrentRaw=674.0 | Change=0.6 => Floor
data,,673.4,674.2,0.8,674.2,Time=2.8s | BaseRaw=673.4 | CurrentRaw=674.2 | Change=0.8 => Floor
data,,673.4,674.2,0.8,674.2,Time=2.9s | BaseRaw=673.4 | CurrentRaw=674.2 | Change=0.8 => Floor
data,,673.4,674.4,1.0,674.4,Time=3.0s | BaseRaw=673.4 | CurrentRaw=674.4 | Change=1.0 => Floor
data,,673.4,674.4,1.0,674.4,Time=3.1s | BaseRaw=673.4 | CurrentRaw=674.4 | Change=1.0 => Floor
data,,673.4,674.2,0.8,674.2,Time=3.2s | BaseRaw=673.4 | CurrentRaw=674.2 | Change=0.8 => Floor
data,,673.4,674.2,0.8,674.2,Time=3.3s | BaseRaw=673.4 | CurrentRaw=674.2 | Change=0.8 => Floor
data,,673.4,674.2,0.8,674.2,Time=3.4s | BaseRaw=673.4 | CurrentRaw=674.2 | Change=0.8 => Floor
data,,673.4,674.4,1.0,674.4,Time=3.5s | BaseRaw=673.4 | CurrentRaw=674.4 | Change=1.0 => Floor
data,,673.4,675.0,1.6,675.0,Time=3.6s | BaseRaw=673.4 | CurrentRaw=675.0 | Change=1.6 => Floor
data,,673.4,675.4,2.0,675.4,Time=3.7s | BaseRaw=673.4 | CurrentRaw=675.4 | Change=2.0 => Floor
data,,673.4,676.0,2.6,676.0,Time=3.8s | BaseRaw=673.4 | CurrentRaw=676.0 | Change=2.6 => Floor
data,,673.4,676.6,3.2,676.6,Time=3.9s | BaseRaw=673.4 | CurrentRaw=676.6 | Change=3.2 => Floor
data,,673.4,677.6,4.2,677.6,Time=4.0s | BaseRaw=673.4 | CurrentRaw=677.6 | Change=4.2 => Floor
data,,673.4,677.8,4.4,677.8,Time=4.1s | BaseRaw=673.4 | CurrentRaw=677.8 | Change=4.4 => Floor
data,,673.4,678.4,5.0,678.4,Time=4.2s | BaseRaw=673.4 | CurrentRaw=678.4 | Change=5.0 => Floor
data,,673.4,678.8,5.4,678.8,Time=4.3s | BaseRaw=673.4 | CurrentRaw=678.8 | Change=5.4 => Floor
data,,673.4,679.2,5.8,679.2,Time=4.4s | BaseRaw=673.4 | CurrentRaw=679.2 | Change=5.8 => Floor
data,,673.4,679.2,5.8,679.2,Time=4.5s | BaseRaw=673.4 | CurrentRaw=679.2 | Change=5.8 => Floor
data,,673.4,679.2,5.8,679.2,Time=4.6s | BaseRaw=673.4 | CurrentRaw=679.2 | Change=5.8 => Floor
data,,673.4,679.4,6.0,679.4,Time=4.7s | BaseRaw=673.4 | CurrentRaw=679.4 | Change=6.0 => Floor
data,,673.4,679.6,6.2,679.6,Time=4.8s | BaseRaw=673.4 | CurrentRaw=679.6 | Change=6.2 => Floor
data,,673.4,679.6,6.2,679.6,Time=4.9s | BaseRaw=673.4 | CurrentRaw=679.6 | Change=6.2 => Floor
data,,673.4,679.8,6.4,679.8,Time=5.0s | BaseRaw=673.4 | CurrentRaw=679.8 | Change=6.4 => Floor
data,,673.4,679.6,6.2,679.6,Time=5.1s | BaseRaw=673.4 | CurrentRaw=679.6 | Change=6.2 => Floor
data,,673.4,679.2,5.8,679.2,Time=5.2s | BaseRaw=673.4 | CurrentRaw=679.2 | Change=5.8 => Floor
data,,673.4,678.6,5.2,678.6,Time=5.3s | BaseRaw=673.4 | CurrentRaw=678.6 | Change=5.2 => Floor
data,,673.4,678.2,4.8,678.2,Time=5.4s | BaseRaw=673.4 | CurrentRaw=678.2 | Change=4.8 => Floor
data,,673.4,677.8,4.4,677.8,Time=5.5s | BaseRaw=673.4 | CurrentRaw=677.8 | Change=4.4 => Floor
data,,673.4,677.6,4.2,677.6,Time=5.6s | BaseRaw=673.4 | CurrentRaw=677.6 | Change=4.2 => Floor
data,,673.4,677.2,3.8,677.2,Time=5.7s | BaseRaw=673.4 | CurrentRaw=677.2 | Change=3.8 => Floor
data,,673.4,677.2,3.8,677.2,Time=5.8s | BaseRaw=673.4 | CurrentRaw=677.2 | Change=3.8 => Floor
data,,673.4,677.0,3.6,677.0,Time=5.9s | BaseRaw=673.4 | CurrentRaw=677.0 | Change=3.6 => Floor
data,,673.4,676.4,3.0,676.4,Time=6.0s | BaseRaw=673.4 | CurrentRaw=676.4 | Change=3.0 => Floor
data,,673.4,675.4,2.0,675.4,Time=6.1s | BaseRaw=673.4 | CurrentRaw=675.4 | Change=2.0 => Floor
data,,673.4,674.8,1.4,674.8,Time=6.2s | BaseRaw=673.4 | CurrentRaw=674.8 | Change=1.4 => Floor
data,,673.4,675.2,1.8,675.2,Time=6.3s | BaseRaw=673.4 | CurrentRaw=675.2 | Change=1.8 => Floor
data,,673.4,676.6,3.2,676.6,Time=6.4s | BaseRaw=673.4 | CurrentRaw=676.6 | Change=3.2 => Floor
data,,673.4,678.6,5.2,678.6,Time=6.5s | BaseRaw=673.4 | CurrentRaw=678.6 | Change=5.2 => Floor
