record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,646.20,,,,646.20,Collecting baseline... RawAvg=646.20
baseline,646.00,,,,646.00,Collecting baseline... RawAvg=646.00
baseline,646.00,,,,646.00,Collecting baseline... RawAvg=646.00
baseline,646.20,,,,646.20,Collecting baseline... RawAvg=646.20
baseline,646.40,,,,646.40,Collecting baseline... RawAvg=646.40
baseline,646.80,,,,646.80,Collecting baseline... RawAvg=646.80
baseline,647.00,,,,647.00,Collecting baseline... RawAvg=647.00
baseline,646.80,,,,646.80,Collecting baseline... RawAvg=646.80
baseline,646.80,,,,646.80,Collecting baseline... RawAvg=646.80
baseline,646.80,,,,646.80,Collecting baseline... RawAvg=646.80
baseline,646.60,,,,646.60,Collecting baseline... RawAvg=646.60
baseline,646.20,,,,646.20,Collecting baseline... RawAvg=646.20
baseline,646.20,,,,646.20,Collecting baseline... RawAvg=646.20
baseline,646.00,,,,646.00,Collecting baseline... RawAvg=646.00
baseline,645.80,,,,645.80,Collecting baseline... RawAvg=645.80
baseline,645.60,,,,645.60,Collecting baseline... RawAvg=645.60
baseline,645.80,,,,645.80,Collecting baseline... RawAvg=645.80
baseline,646.00,,,,646.00,Collecting baseline... RawAvg=646.00
baseline,646.20,,,,646.20,Collecting baseline... RawAvg=646.20
baseline,646.20,,,,646.20,Collecting baseline... RawAvg=646.20
baseline,646.60,,,,646.60,Collecting baseline... RawAvg=646.60
baseline,646.80,,,,646.80,Collecting baseline... RawAvg=646.80
baseline,646.80,,,,646.80,Collecting baseline... RawAvg=646.80
baseline,646.80,,,,646.80,Collecting baseline... RawAvg=646.80
baseline,647.40,,,,647.40,Collecting baseline... RawAvg=647.40
baseline,647.60,,,,647.60,Collecting baseline... RawAvg=647.60
baseline,647.40,,,,647.40,Collecting baseline... RawAvg=647.40
baseline,647.40,,,,647.40,Collecting baseline... RawAvg=647.40
baseline,647.40,,,,647.40,Collecting baseline... RawAvg=647.40
baseline,647.00,,,,647.00,Collecting baseline... RawAvg=647.00
baseline,646.80,,,,646.80,Collecting baseline... RawAvg=646.80
baseline,647.20,,,,647.20,Collecting baseline... RawAvg=647.20
baseline,647.40,,,,647.40,Collecting baseline... RawAvg=647.40
baseline,647.60,,,,647.60,Collecting baseline... RawAvg=647.60
baseline,648.00,,,,648.00,Collecting baseline... RawAvg=648.00
baseline,648.40,,,,648.40,Collecting baseline... RawAvg=648.40
baseline,648.40,,,,648.40,Collecting baseline... RawAvg=648.40
baseline,648.60,,,,648.60,Collecting baseline... RawAvg=648.60
baseline,648.80,,,,648.80,Collecting baseline... RawAvg=648.80
baseline,649.00,,,,649.00,Collecting baseline... RawAvg=649.00
baseline,649.00,,,,649.00,Collecting baseline... RawAvg=649.00
baseline,649.20,,,,649.20,Collecting baseline... RawAvg=649.20
baseline,649.20,,,,649.20,Collecting baseline... RawAvg=649.20
baseline,649.00,,,,649.00,Collecting baseline... RawAvg=649.00
baseline,648.60,,,,648.60,Collecting baseline... RawAvg=648.60
baseline,648.40,,,,648.40,Collecting baseline... RawAvg=648.40
baseline,648.40,,,,648.40,Collecting baseline... RawAvg=648.40
baseline,648.20,,,,648.20,Collecting baseline... RawAvg=648.20
baseline,648.20,,,,648.20,Collecting baseline... RawAvg=648.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,647.25,,,647.25,Final Base Raw Average = 647.25
info,,,,,,--------------------------------------------------------------------------
data,,647.2,648.2,1.0,648.2,Time=0.1s | BaseRaw=647.2 | CurrentRaw=648.2 | Change=1.0 => Floor
data,,647.2,648.4,1.2,648.4,Time=0.2s | BaseRaw=647.2 | CurrentRaw=648.4 | Change=1.2 => Floor
data,,647.2,649.0,1.8,649.0,Time=0.3s | BaseRaw=647.2 | CurrentRaw=649.0 | Change=1.8 => Floor
data,,647.2,649.6,2.4,649.6,Time=0.4s | BaseRaw=647.2 | CurrentRaw=649.6 | Change=2.4 => Floor
data,,647.2,650.2,3.0,650.2,Time=0.5s | BaseRaw=647.2 | CurrentRaw=650.2 | Change=3.0 => Floor
data,,647.2,651.0,3.8,651.0,Time=0.6s | BaseRaw=647.2 | CurrentRaw=651.0 | Change=3.8 => Floor
data,,647.2,651.2,4.0,651.2,Time=0.7s | BaseRaw=647.2 | CurrentRaw=651.2 | Change=4.0 => Floor
data,,647.2,651.4,4.2,651.4,Time=0.8s | BaseRaw=647.2 | CurrentRaw=651.4 | Change=4.2 => Floor
data,,647.2,651.4,4.2,651.4,Time=0.9s | BaseRaw=647.2 | CurrentRaw=651.4 | Change=4.2 => Floor
data,,647.2,651.4,4.2,651.4,Time=1.0s | BaseRaw=647.2 | CurrentRaw=651.4 | Change=4.2 => Floor
data,,647.2,651.6,4.4,651.6,Time=1.1s | BaseRaw=647.2 | CurrentRaw=651.6 | Change=4.4 => Floor
data,,647.2,651.8,4.6,651.8,Time=1.2s | BaseRaw=647.2 | CurrentRaw=651.8 | Change=4.6 => Floor
data,,647.2,651.6,4.4,651.6,Time=1.3s | BaseRaw=647.2 | CurrentRaw=651.6 | Change=4.4 => Floor
data,,647.2,651.2,4.0,651.2,Time=1.4s | BaseRaw=647.2 | CurrentRaw=651.2 | Change=4.0 => Floor
data,,647.2,651.4,4.2,651.4,Time=1.5s | BaseRaw=647.2 | CurrentRaw=651.4 | Change=4.2 => Floor
data,,647.2,651.0,3.8,651.0,Time=1.6s | BaseRaw=647.2 | CurrentRaw=651.0 | Change=3.8 => Floor
data,,647.2,651.0,3.8,651.0,Time=1.7s | BaseRaw=647.2 | CurrentRaw=651.0 | Change=3.8 => Floor
data,,647.2,651.6,4.4,651.6,Time=1.8s | BaseRaw=647.2 | CurrentRaw=651.6 | Change=4.4 => Floor
data,,647.2,652.4,5.2,652.4,Time=1.9s | BaseRaw=647.2 | CurrentRaw=652.4 | Change=5.2 => Floor
data,,647.2,652.6,5.4,652.6,Time=2.0s | BaseRaw=647.2 | CurrentRaw=652.6 | Change=5.4 => Floor
data,,647.2,653.8,6.6,653.8,Time=2.1s | BaseRaw=647.2 | CurrentRaw=653.8 | Change=6.6 => Floor
data,,647.2,654.6,7.4,654.6,Time=2.2s | BaseRaw=647.2 | CurrentRaw=654.6 | Change=7.4 => Floor
data,,647.2,654.4,7.2,654.4,Time=2.3s | BaseRaw=647.2 | CurrentRaw=654.4 | Change=7.2 => Floor
data,,647.2,654.0,6.8,654.0,Time=2.4s | BaseRaw=647.2 | CurrentRaw=654.0 | Change=6.8 => Floor
data,,647.2,653.4,6.2,653.4,Time=2.5s | BaseRaw=647.2 | CurrentRaw=653.4 | Change=6.2 => Floor
data,,647.2,652.2,5.0,652.2,Time=2.6s | BaseRaw=647.2 | CurrentRaw=652.2 | Change=5.0 => Floor
data,,647.2,651.0,3.8,651.0,Time=2.7s | BaseRaw=647.2 | CurrentRaw=651.0 | Change=3.8 => Floor
data,,647.2,650.4,3.2,650.4,Time=2.8s | BaseRaw=647.2 | CurrentRaw=650.4 | Change=3.2 => Floor
data,,647.2,650.0,2.8,650.0,Time=2.9s | BaseRaw=647.2 | CurrentRaw=650.0 | Change=2.8 => Floor
data,,647.2,649.8,2.6,649.8,Time=3.0s | BaseRaw=647.2 | CurrentRaw=649.8 | Change=2.6 => Floor
data,,647.2,649.6,2.4,649.6,Time=3.1s | BaseRaw=647.2 | CurrentRaw=649.6 | Change=2.4 => Floor
data,,647.2,649.6,2.4,649.6,Time=3.2s | BaseRaw=647.2 | CurrentRaw=649.6 | Change=2.4 => Floor
data,,647.2,649.6,2.4,649.6,Time=3.3s | BaseRaw=647.2 | CurrentRaw=649.6 | Change=2.4 => Floor
data,,647.2,649.4,2.2,649.4,Time=3.4s | BaseRaw=647.2 | CurrentRaw=649.4 | Change=2.2 => Floor
data,,647.2,649.2,2.0,649.2,Time=3.5s | BaseRaw=647.2 | CurrentRaw=649.2 | Change=2.0 => Floor
data,,647.2,649.2,2.0,649.2,Time=3.6s | BaseRaw=647.2 | CurrentRaw=649.2 | Change=2.0 => Floor
data,,647.2,649.0,1.8,649.0,Time=3.7s | BaseRaw=647.2 | CurrentRaw=649.0 | Change=1.8 => Floor
data,,647.2,648.6,1.4,648.6,Time=3.8s | BaseRaw=647.2 | CurrentRaw=648.6 | Change=1.4 => Floor
data,,647.2,649.0,1.8,649.0,Time=3.9s | BaseRaw=647.2 | CurrentRaw=649.0 | Change=1.8 => Floor
data,,647.2,649.4,2.2,649.4,Time=4.0s | BaseRaw=647.2 | CurrentRaw=649.4 | Change=2.2 => Floor
data,,647.2,649.2,2.0,649.2,Time=4.1s | BaseRaw=647.2 | CurrentRaw=649.2 | Change=2.0 => Floor
data,,647.2,649.6,2.4,649.6,Time=4.2s | BaseRaw=647.2 | CurrentRaw=649.6 | Change=2.4 => Floor
data,,647.2,650.0,2.8,650.0,Time=4.3s | BaseRaw=647.2 | CurrentRaw=650.0 | Change=2.8 => Floor
data,,647.2,650.0,2.8,650.0,Time=4.4s | BaseRaw=647.2 | CurrentRaw=650.0 | Change=2.8 => Floor
data,,647.2,650.0,2.8,650.0,Time=4.5s | BaseRaw=647.2 | CurrentRaw=650.0 | Change=2.8 => Floor
data,,647.2,650.2,3.0,650.2,Time=4.6s | BaseRaw=647.2 | CurrentRaw=650.2 | Change=3.0 => Floor
data,,647.2,650.4,3.2,650.4,Time=4.7s | BaseRaw=647.2 | CurrentRaw=650.4 | Change=3.2 => Floor
data,,647.2,651.0,3.8,651.0,Time=4.8s | BaseRaw=647.2 | CurrentRaw=651.0 | Change=3.8 => Floor
data,,647.2,651.2,4.0,651.2,Time=4.9s | BaseRaw=647.2 | CurrentRaw=651.2 | Change=4.0 => Floor
data,,647.2,651.0,3.8,651.0,Time=5.0s | BaseRaw=647.2 | CurrentRaw=651.0 | Change=3.8 => Floor
data,,647.2,651.0,3.8,651.0,Time=5.1s | BaseRaw=647.2 | CurrentRaw=651.0 | Change=3.8 => Floor
data,,647.2,650.8,3.6,650.8,Time=5.2s | BaseRaw=647.2 | CurrentRaw=650.8 | Change=3.6 => Floor
data,,647.2,651.2,4.0,651.2,Time=5.3s | BaseRaw=647.2 | CurrentRaw=651.2 | Change=4.0 => Floor
data,,647.2,652.6,5.4,652.6,Time=5.4s | BaseRaw=647.2 | CurrentRaw=652.6 | Change=5.4 => Floor
data,,647.2,655.2,8.0,655.2,Time=5.5s | BaseRaw=647.2 | CurrentRaw=655.2 | Change=8.0 => Floor
data,,647.2,657.6,10.4,657.6,Time=5.6s | BaseRaw=647.2 | CurrentRaw=657.6 | Change=10.4 => Liquid
data,,647.2,660.2,13.0,660.2,Time=5.7s | BaseRaw=647.2 | CurrentRaw=660.2 | Change=13.0 => Liquid
data,,647.2,661.6,14.4,661.6,Time=5.8s | BaseRaw=647.2 | CurrentRaw=661.6 | Change=14.4 => Liquid
data,,647.2,662.8,15.6,662.8,Time=5.9s | BaseRaw=647.2 | CurrentRaw=662.8 | Change=15.6 => Liquid
data,,647.2,663.2,16.0,663.2,Time=6.0s | BaseRaw=647.2 | CurrentRaw=663.2 | Change=16.0 => Liquid
data,,647.2,663.4,16.2,663.4,Time=6.1s | BaseRaw=647.2 | CurrentRaw=663.4 | Change=16.2 => Liquid
data,,647.2,663.2,16.0,663.2,Time=6.2s | BaseRaw=647.2 | CurrentRaw=663.2 | Change=16.0 => Liquid
data,,647.2,663.4,16.2,663.4,Time=6.3s | BaseRaw=647.2 | CurrentRaw=663.4 | Change=16.2 => Liquid
data,,647.2,663.0,15.8,663.0,Time=6.4s | BaseRaw=647.2 | CurrentRaw=663.0 | Change=15.8 => Liquid
data,,647.2,662.8,15.6,662.8,Time=6.5s | BaseRaw=647.2 | CurrentRaw=662.8 | Change=15.6 => Liquid
