record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
info,,,,,,IR LED is always ON
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,720.40,,,,720.40,Collecting baseline... RawAvg=720.40
baseline,720.20,,,,720.20,Collecting baseline... RawAvg=720.20
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,720.20,,,,720.20,Collecting baseline... RawAvg=720.20
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,719.60,,,,719.60,Collecting baseline... RawAvg=719.60
baseline,719.60,,,,719.60,Collecting baseline... RawAvg=719.60
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,719.60,,,,719.60,Collecting baseline... RawAvg=719.60
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,719.60,,,,719.60,Collecting baseline... RawAvg=719.60
baseline,718.00,,,,718.00,Collecting baseline... RawAvg=718.00
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,718.00,,,,718.00,Collecting baseline... RawAvg=718.00
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
baseline,718.20,,,,718.20,Collecting baseline... RawAvg=718.20
baseline,718.20,,,,718.20,Collecting baseline... RawAvg=718.20
baseline,718.00,,,,718.00,Collecting baseline... RawAvg=718.00
baseline,718.00,,,,718.00,Collecting baseline... RawAvg=718.00
baseline,718.20,,,,718.20,Collecting baseline... RawAvg=718.20
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
baseline,718.00,,,,718.00,Collecting baseline... RawAvg=718.00
baseline,718.40,,,,718.40,Collecting baseline... RawAvg=718.40
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,716.40,,,,716.40,Collecting baseline... RawAvg=716.40
baseline,716.60,,,,716.60,Collecting baseline... RawAvg=716.60
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,716.20,,,,716.20,Collecting baseline... RawAvg=716.20
baseline,716.80,,,,716.80,Collecting baseline... RawAvg=716.80
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,718.11,,,718.11,Final Base Raw Average = 718.11
info,,,,,,--------------------------------------------------------------------------
data,,718.1,718.2,0.1,718.2,Time=0.1s | BaseRaw=718.1 | CurrentRaw=718.2 | Change=0.1 => Floor
data,,718.1,718.0,0.1,718.0,Time=0.2s | BaseRaw=718.1 | CurrentRaw=718.0 | Change=0.1 => Floor
data,,718.1,717.6,0.5,717.6,Time=0.3s | BaseRaw=718.1 | CurrentRaw=717.6 | Change=0.5 => Floor
data,,718.1,717.6,0.5,717.6,Time=0.4s | BaseRaw=718.1 | CurrentRaw=717.6 | Change=0.5 => Floor
data,,718.1,717.2,0.9,717.2,Time=0.5s | BaseRaw=718.1 | CurrentRaw=717.2 | Change=0.9 => Floor
data,,718.1,717.6,0.5,717.6,Time=0.6s | BaseRaw=718.1 | CurrentRaw=717.6 | Change=0.5 => Floor
data,,718.1,717.8,0.3,717.8,Time=0.7s | BaseRaw=718.1 | CurrentRaw=717.8 | Change=0.3 => Floor
data,,718.1,718.0,0.1,718.0,Time=0.8s | BaseRaw=718.1 | CurrentRaw=718.0 | Change=0.1 => Floor
data,,718.1,718.2,0.1,718.2,Time=0.9s | BaseRaw=718.1 | CurrentRaw=718.2 | Change=0.1 => Floor
data,,718.1,718.0,0.1,718.0,Time=1.0s | BaseRaw=718.1 | CurrentRaw=718.0 | Change=0.1 => Floor
data,,718.1,718.0,0.1,718.0,Time=1.1s | BaseRaw=718.1 | CurrentRaw=718.0 | Change=0.1 => Floor
data,,718.1,717.6,0.5,717.6,Time=1.2s | BaseRaw=718.1 | CurrentRaw=717.6 | Change=0.5 => Floor
data,,718.1,718.2,0.1,718.2,Time=1.3s | BaseRaw=718.1 | CurrentRaw=718.2 | Change=0.1 => Floor
data,,718.1,718.0,0.1,718.0,Time=1.4s | BaseRaw=718.1 | CurrentRaw=718.0 | Change=0.1 => Floor
data,,718.1,718.2,0.1,718.2,Time=1.5s | BaseRaw=718.1 | CurrentRaw=718.2 | Change=0.1 => Floor
data,,718.1,718.2,0.1,718.2,Time=1.6s | BaseRaw=718.1 | CurrentRaw=718.2 | Change=0.1 => Floor
data,,718.1,719.6,1.5,719.6,Time=1.7s | BaseRaw=718.1 | CurrentRaw=719.6 | Change=1.5 => Floor
data,,718.1,718.6,0.5,718.6,Time=1.8s | BaseRaw=718.1 | CurrentRaw=718.6 | Change=0.5 => Floor
data,,718.1,718.6,0.5,718.6,Time=1.9s | BaseRaw=718.1 | CurrentRaw=718.6 | Change=0.5 => Floor
data,,718.1,718.4,0.3,718.4,Time=2.0s | BaseRaw=718.1 | CurrentRaw=718.4 | Change=0.3 => Floor
data,,718.1,718.0,0.1,718.0,Time=2.1s | BaseRaw=718.1 | CurrentRaw=718.0 | Change=0.1 => Floor
data,,718.1,716.4,1.7,716.4,Time=2.2s | BaseRaw=718.1 | CurrentRaw=716.4 | Change=1.7 => Floor
data,,718.1,716.4,1.7,716.4,Time=2.3s | BaseRaw=718.1 | CurrentRaw=716.4 | Change=1.7 => Floor
data,,718.1,716.4,1.7,716.4,Time=2.4s | BaseRaw=718.1 | CurrentRaw=716.4 | Change=1.7 => Floor
data,,718.1,716.6,1.5,716.6,Time=2.5s | BaseRaw=718.1 | CurrentRaw=716.6 | Change=1.5 => Floor
data,,718.1,716.8,1.3,716.8,Time=2.6s | BaseRaw=718.1 | CurrentRaw=716.8 | Change=1.3 => Floor
data,,718.1,717.0,1.1,717.0,Time=2.7s | BaseRaw=718.1 | CurrentRaw=717.0 | Change=1.1 => Floor
data,,718.1,717.2,0.9,717.2,Time=2.8s | BaseRaw=718.1 | CurrentRaw=717.2 | Change=0.9 => Floor
data,,718.1,717.4,0.7,717.4,Time=2.9s | BaseRaw=718.1 | CurrentRaw=717.4 | Change=0.7 => Floor
data,,718.1,717.6,0.5,717.6,Time=3.0s | BaseRaw=718.1 | CurrentRaw=717.6 | Change=0.5 => Floor
data,,718.1,717.8,0.3,717.8,Time=3.1s | BaseRaw=718.1 | CurrentRaw=717.8 | Change=0.3 => Floor
data,,718.1,718.0,0.1,718.0,Time=3.2s | BaseRaw=718.1 | CurrentRaw=718.0 | Change=0.1 => Floor
data,,718.1,718.2,0.1,718.2,Time=3.3s | BaseRaw=718.1 | CurrentRaw=718.2 | Change=0.1 => Floor
data,,718.1,718.2,0.1,718.2,Time=3.4s | BaseRaw=718.1 | CurrentRaw=718.2 | Change=0.1 => Floor
data,,718.1,717.8,0.3,717.8,Time=3.5s | BaseRaw=718.1 | CurrentRaw=717.8 | Change=0.3 => Floor
data,,718.1,717.4,0.7,717.4,Time=3.6s | BaseRaw=718.1 | CurrentRaw=717.4 | Change=0.7 => Floor
data,,718.1,716.8,1.3,716.8,Time=3.7s | BaseRaw=718.1 | CurrentRaw=716.8 | Change=1.3 => Floor
data,,718.1,716.4,1.7,716.4,Time=3.8s | BaseRaw=718.1 | CurrentRaw=716.4 | Change=1.7 => Floor
data,,718.1,716.4,1.7,716.4,Time=3.9s | BaseRaw=718.1 | CurrentRaw=716.4 | Change=1.7 => Floor
data,,718.1,716.6,1.5,716.6,Time=4.0s | BaseRaw=718.1 | CurrentRaw=716.6 | Change=1.5 => Floor
data,,718.1,716.6,1.5,716.6,Time=4.1s | BaseRaw=718.1 | CurrentRaw=716.6 | Change=1.5 => Floor
data,,718.1,717.2,0.9,717.2,Time=4.2s | BaseRaw=718.1 | CurrentRaw=717.2 | Change=0.9 => Floor
data,,718.1,718.0,0.1,718.0,Time=4.3s | BaseRaw=718.1 | CurrentRaw=718.0 | Change=0.1 => Floor
data,,718.1,718.2,0.1,718.2,Time=4.4s | BaseRaw=718.1 | CurrentRaw=718.2 | Change=0.1 => Floor
data,,718.1,718.8,0.7,718.8,Time=4.5s | BaseRaw=718.1 | CurrentRaw=718.8 | Change=0.7 => Floor
data,,718.1,719.8,1.7,719.8,Time=4.6s | BaseRaw=718.1 | CurrentRaw=719.8 | Change=1.7 => Floor
data,,718.1,720.0,1.9,720.0,Time=4.7s | BaseRaw=718.1 | CurrentRaw=720.0 | Change=1.9 => Floor
data,,718.1,720.4,2.3,720.4,Time=4.8s | BaseRaw=718.1 | CurrentRaw=720.4 | Change=2.3 => Floor
data,,718.1,721.2,3.1,721.2,Time=4.9s | BaseRaw=718.1 | CurrentRaw=721.2 | Change=3.1 => Floor
data,,718.1,721.4,3.3,721.4,Time=5.0s | BaseRaw=718.1 | CurrentRaw=721.4 | Change=3.3 => Floor
data,,718.1,721.4,3.3,721.4,Time=5.1s | BaseRaw=718.1 | CurrentRaw=721.4 | Change=3.3 => Floor
data,,718.1,721.6,3.5,721.6,Time=5.2s | BaseRaw=718.1 | CurrentRaw=721.6 | Change=3.5 => Floor
data,,718.1,721.4,3.3,721.4,Time=5.3s | BaseRaw=718.1 | CurrentRaw=721.4 | Change=3.3 => Floor
data,,718.1,720.8,2.7,720.8,Time=5.4s | BaseRaw=718.1 | CurrentRaw=720.8 | Change=2.7 => Floor
data,,718.1,720.2,2.1,720.2,Time=5.5s | BaseRaw=718.1 | CurrentRaw=720.2 | Change=2.1 => Floor
data,,718.1,719.4,1.3,719.4,Time=5.6s | BaseRaw=718.1 | CurrentRaw=719.4 | Change=1.3 => Floor
data,,718.1,718.8,0.7,718.8,Time=5.7s | BaseRaw=718.1 | CurrentRaw=718.8 | Change=0.7 => Floor
data,,718.1,717.6,0.5,717.6,Time=5.8s | BaseRaw=718.1 | CurrentRaw=717.6 | Change=0.5 => Floor
data,,718.1,717.2,0.9,717.2,Time=5.9s | BaseRaw=718.1 | CurrentRaw=717.2 | Change=0.9 => Floor
data,,718.1,716.4,1.7,716.4,Time=6.0s | BaseRaw=718.1 | CurrentRaw=716.4 | Change=1.7 => Floor
data,,718.1,715.8,2.3,715.8,Time=6.1s | BaseRaw=718.1 | CurrentRaw=715.8 | Change=2.3 => Floor
data,,718.1,715.2,2.9,715.2,Time=6.2s | BaseRaw=718.1 | CurrentRaw=715.2 | Change=2.9 => Floor
data,,718.1,715.0,3.1,715.0,Time=6.3s | BaseRaw=718.1 | CurrentRaw=715.0 | Change=3.1 => Floor
data,,718.1,713.8,4.3,713.8,Time=6.4s | BaseRaw=718.1 | CurrentRaw=713.8 | Change=4.3 => Floor
data,,718.1,712.2,5.9,712.2,Time=6.5s | BaseRaw=718.1 | CurrentRaw=712.2 | Change=5.9 => Floor
