record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.40,,,,800.40,Collecting baseline... RawAvg=800.40
baseline,800.40,,,,800.40,Collecting baseline... RawAvg=800.40
baseline,800.40,,,,800.40,Collecting baseline... RawAvg=800.40
baseline,800.40,,,,800.40,Collecting baseline... RawAvg=800.40
baseline,800.40,,,,800.40,Collecting baseline... RawAvg=800.40
baseline,800.40,,,,800.40,Collecting baseline... RawAvg=800.40
baseline,800.40,,,,800.40,Collecting baseline... RawAvg=800.40
baseline,800.40,,,,800.40,Collecting baseline... RawAvg=800.40
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.40,,,,800.40,Collecting baseline... RawAvg=800.40
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.40,,,,800.40,Collecting baseline... RawAvg=800.40
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.40,,,,800.40,Collecting baseline... RawAvg=800.40
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.20,,,,800.20,Collecting baseline... RawAvg=800.20
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,800.17,,,800.17,Final Base Raw Average = 800.17
info,,,,,,--------------------------------------------------------------------------
data,,800.2,800.0,0.2,800.0,Time=0.1s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.2,0.0,800.2,Time=0.2s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.2,0.0,800.2,Time=0.3s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.4,0.2,800.4,Time=0.4s | BaseRaw=800.2 | CurrentRaw=800.4 | Change=0.2 => Floor
data,,800.2,800.4,0.2,800.4,Time=0.5s | BaseRaw=800.2 | CurrentRaw=800.4 | Change=0.2 => Floor
data,,800.2,800.4,0.2,800.4,Time=0.6s | BaseRaw=800.2 | CurrentRaw=800.4 | Change=0.2 => Floor
data,,800.2,800.2,0.0,800.2,Time=0.7s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.2,0.0,800.2,Time=0.8s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.0,0.2,800.0,Time=0.9s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=1.0s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=1.1s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=1.2s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=1.3s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=1.4s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=1.5s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=1.6s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=1.7s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=1.8s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.2,0.0,800.2,Time=1.9s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.2,0.0,800.2,Time=2.0s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.2,0.0,800.2,Time=2.1s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.2,0.0,800.2,Time=2.2s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.2,0.0,800.2,Time=2.3s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.2,0.0,800.2,Time=2.4s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.2,0.0,800.2,Time=2.5s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.4,0.2,800.4,Time=2.6s | BaseRaw=800.2 | CurrentRaw=800.4 | Change=0.2 => Floor
data,,800.2,800.6,0.4,800.6,Time=2.7s | BaseRaw=800.2 | CurrentRaw=800.6 | Change=0.4 => Floor
data,,800.2,800.6,0.4,800.6,Time=2.8s | BaseRaw=800.2 | CurrentRaw=800.6 | Change=0.4 => Floor
data,,800.2,800.4,0.2,800.4,Time=2.9s | BaseRaw=800.2 | CurrentRaw=800.4 | Change=0.2 => Floor
data,,800.2,800.4,0.2,800.4,Time=3.0s | BaseRaw=800.2 | CurrentRaw=800.4 | Change=0.2 => Floor
data,,800.2,800.2,0.0,800.2,Time=3.1s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.0,0.2,800.0,Time=3.2s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=3.3s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=3.4s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=3.5s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=3.6s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.2,0.0,800.2,Time=3.7s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.2,0.0,800.2,Time=3.8s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.2,0.0,800.2,Time=3.9s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.2,0.0,800.2,Time=4.0s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.4,0.2,800.4,Time=4.1s | BaseRaw=800.2 | CurrentRaw=800.4 | Change=0.2 => Floor
data,,800.2,800.2,0.0,800.2,Time=4.2s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.4,0.2,800.4,Time=4.3s | BaseRaw=800.2 | CurrentRaw=800.4 | Change=0.2 => Floor
data,,800.2,800.4,0.2,800.4,Time=4.4s | BaseRaw=800.2 | CurrentRaw=800.4 | Change=0.2 => Floor
data,,800.2,800.4,0.2,800.4,Time=4.5s | BaseRaw=800.2 | CurrentRaw=800.4 | Change=0.2 => Floor
data,,800.2,800.2,0.0,800.2,Time=4.6s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.2,0.0,800.2,Time=4.7s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.0,0.2,800.0,Time=4.8s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=4.9s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.2,0.0,800.2,Time=5.0s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.2,0.0,800.2,Time=5.1s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.2,0.0,800.2,Time=5.2s | BaseRaw=800.2 | CurrentRaw=800.2 | Change=0.0 => Floor
data,,800.2,800.0,0.2,800.0,Time=5.3s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,800.0,0.2,800.0,Time=5.4s | BaseRaw=800.2 | CurrentRaw=800.0 | Change=0.2 => Floor
data,,800.2,802.0,1.8,802.0,Time=5.5s | BaseRaw=800.2 | CurrentRaw=802.0 | Change=1.8 => Floor
data,,800.2,805.0,4.8,805.0,Time=5.6s | BaseRaw=800.2 | CurrentRaw=805.0 | Change=4.8 => Floor
data,,800.2,808.6,8.4,808.6,Time=5.7s | BaseRaw=800.2 | CurrentRaw=808.6 | Change=8.4 => Floor
data,,800.2,812.6,12.4,812.6,Time=5.8s | BaseRaw=800.2 | CurrentRaw=812.6 | Change=12.4 => Liquid
data,,800.2,816.8,16.6,816.8,Time=5.9s | BaseRaw=800.2 | CurrentRaw=816.8 | Change=16.6 => Liquid
data,,800.2,818.8,18.6,818.8,Time=6.0s | BaseRaw=800.2 | CurrentRaw=818.8 | Change=18.6 => Liquid
data,,800.2,820.2,20.0,820.2,Time=6.1s | BaseRaw=800.2 | CurrentRaw=820.2 | Change=20.0 => Liquid
data,,800.2,821.2,21.0,821.2,Time=6.2s | BaseRaw=800.2 | CurrentRaw=821.2 | Change=21.0 => Liquid
data,,800.2,822.0,21.8,822.0,Time=6.3s | BaseRaw=800.2 | CurrentRaw=822.0 | Change=21.8 => Liquid
data,,800.2,822.4,22.2,822.4,Time=6.4s | BaseRaw=800.2 | CurrentRaw=822.4 | Change=22.2 => Liquid
data,,800.2,823.0,22.8,823.0,Time=6.5s | BaseRaw=800.2 | CurrentRaw=823.0 | Change=22.8 => Liquid
