record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,766.80,,,,766.80,Collecting baseline... RawAvg=766.80
baseline,766.80,,,,766.80,Collecting baseline... RawAvg=766.80
baseline,767.00,,,,767.00,Collecting baseline... RawAvg=767.00
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
baseline,767.00,,,,767.00,Collecting baseline... RawAvg=767.00
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.60,,,,767.60,Collecting baseline... RawAvg=767.60
baseline,767.60,,,,767.60,Collecting baseline... RawAvg=767.60
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.60,,,,767.60,Collecting baseline... RawAvg=767.60
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.80,,,,767.80,Collecting baseline... RawAvg=767.80
baseline,767.60,,,,767.60,Collecting baseline... RawAvg=767.60
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.80,,,,767.80,Collecting baseline... RawAvg=767.80
baseline,767.60,,,,767.60,Collecting baseline... RawAvg=767.60
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.60,,,,767.60,Collecting baseline... RawAvg=767.60
baseline,767.60,,,,767.60,Collecting baseline... RawAvg=767.60
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.60,,,,767.60,Collecting baseline... RawAvg=767.60
baseline,767.60,,,,767.60,Collecting baseline... RawAvg=767.60
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.60,,,,767.60,Collecting baseline... RawAvg=767.60
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,767.37,,,767.37,Final Base Raw Average = 767.37
info,,,,,,--------------------------------------------------------------------------
data,,767.4,767.2,0.2,767.2,Time=0.1s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.0,0.4,767.0,Time=0.2s | BaseRaw=767.4 | CurrentRaw=767.0 | Change=0.4 => Floor
data,,767.4,767.0,0.4,767.0,Time=0.3s | BaseRaw=767.4 | CurrentRaw=767.0 | Change=0.4 => Floor
data,,767.4,767.2,0.2,767.2,Time=0.4s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.2,0.2,767.2,Time=0.5s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.2,0.2,767.2,Time=0.6s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.2,0.2,767.2,Time=0.7s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.2,0.2,767.2,Time=0.8s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.0,0.4,767.0,Time=0.9s | BaseRaw=767.4 | CurrentRaw=767.0 | Change=0.4 => Floor
data,,767.4,767.0,0.4,767.0,Time=1.0s | BaseRaw=767.4 | CurrentRaw=767.0 | Change=0.4 => Floor
data,,767.4,767.2,0.2,767.2,Time=1.1s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.2,0.2,767.2,Time=1.2s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.4,0.0,767.4,Time=1.3s | BaseRaw=767.4 | CurrentRaw=767.4 | Change=0.0 => Floor
data,,767.4,767.4,0.0,767.4,Time=1.4s | BaseRaw=767.4 | CurrentRaw=767.4 | Change=0.0 => Floor
data,,767.4,767.4,0.0,767.4,Time=1.5s | BaseRaw=767.4 | CurrentRaw=767.4 | Change=0.0 => Floor
data,,767.4,767.2,0.2,767.2,Time=1.6s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.2,0.2,767.2,Time=1.7s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.0,0.4,767.0,Time=1.8s | BaseRaw=767.4 | CurrentRaw=767.0 | Change=0.4 => Floor
data,,767.4,767.2,0.2,767.2,Time=1.9s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.2,0.2,767.2,Time=2.0s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.2,0.2,767.2,Time=2.1s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.2,0.2,767.2,Time=2.2s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.2,0.2,767.2,Time=2.3s | BaseRaw=767.4 | CurrentRaw=767.2 | Change=0.2 => Floor
data,,767.4,767.4,0.0,767.4,Time=2.4s | BaseRaw=767.4 | CurrentRaw=767.4 | Change=0.0 => Floor
data,,767.4,767.8,0.4,767.8,Time=2.5s | BaseRaw=767.4 | CurrentRaw=767.8 | Change=0.4 => Floor
data,,767.4,767.8,0.4,767.8,Time=2.6s | BaseRaw=767.4 | CurrentRaw=767.8 | Change=0.4 => Floor
data,,767.4,767.8,0.4,767.8,Time=2.7s | BaseRaw=767.4 | CurrentRaw=767.8 | Change=0.4 => Floor
data,,767.4,769.2,1.8,769.2,Time=2.8s | BaseRaw=767.4 | CurrentRaw=769.2 | Change=1.8 => Floor
data,,767.4,771.4,4.0,771.4,Time=2.9s | BaseRaw=767.4 | CurrentRaw=771.4 | Change=4.0 => Floor
data,,767.4,772.8,5.4,772.8,Time=3.0s | BaseRaw=767.4 | CurrentRaw=772.8 | Change=5.4 => Floor
data,,767.4,773.6,6.2,773.6,Time=3.1s | BaseRaw=767.4 | CurrentRaw=773.6 | Change=6.2 => Floor
data,,767.4,774.0,6.6,774.0,Time=3.2s | BaseRaw=767.4 | CurrentRaw=774.0 | Change=6.6 => Floor
data,,767.4,773.0,5.6,773.0,Time=3.3s | BaseRaw=767.4 | CurrentRaw=773.0 | Change=5.6 => Floor
data,,767.4,770.4,3.0,770.4,Time=3.4s | BaseRaw=767.4 | CurrentRaw=770.4 | Change=3.0 => Floor
data,,767.4,768.0,0.6,768.0,Time=3.5s | BaseRaw=767.4 | CurrentRaw=768.0 | Change=0.6 => Floor
data,,767.4,766.4,1.0,766.4,Time=3.6s | BaseRaw=767.4 | CurrentRaw=766.4 | Change=1.0 => Floor
data,,767.4,764.8,2.6,764.8,Time=3.7s | BaseRaw=767.4 | CurrentRaw=764.8 | Change=2.6 => Floor
data,,767.4,763.2,4.2,763.2,Time=3.8s | BaseRaw=767.4 | CurrentRaw=763.2 | Change=4.2 => Floor
data,,767.4,762.0,5.4,762.0,Time=3.9s | BaseRaw=767.4 | CurrentRaw=762.0 | Change=5.4 => Floor
data,,767.4,761.4,6.0,761.4,Time=4.0s | BaseRaw=767.4 | CurrentRaw=761.4 | Change=6.0 => Floor
data,,767.4,760.8,6.6,760.8,Time=4.1s | BaseRaw=767.4 | CurrentRaw=760.8 | Change=6.6 => Floor
data,,767.4,759.6,7.8,759.6,Time=4.2s | BaseRaw=767.4 | CurrentRaw=759.6 | Change=7.8 => Floor
data,,767.4,758.8,8.6,758.8,Time=4.3s | BaseRaw=767.4 | CurrentRaw=758.8 | Change=8.6 => Floor
data,,767.4,758.2,9.2,758.2,Time=4.4s | BaseRaw=767.4 | CurrentRaw=758.2 | Change=9.2 => Floor
data,,767.4,758.6,8.8,758.6,Time=4.5s | BaseRaw=767.4 | CurrentRaw=758.6 | Change=8.8 => Floor
data,,767.4,759.4,8.0,759.4,Time=4.6s | BaseRaw=767.4 | CurrentRaw=759.4 | Change=8.0 => Floor
data,,767.4,761.4,6.0,761.4,Time=4.7s | BaseRaw=767.4 | CurrentRaw=761.4 | Change=6.0 => Floor
data,,767.4,763.4,4.0,763.4,Time=4.8s | BaseRaw=767.4 | CurrentRaw=763.4 | Change=4.0 => Floor
data,,767.4,765.0,2.4,765.0,Time=4.9s | BaseRaw=767.4 | CurrentRaw=765.0 | Change=2.4 => Floor
data,,767.4,765.2,2.2,765.2,Time=5.0s | BaseRaw=767.4 | CurrentRaw=765.2 | Change=2.2 => Floor
data,,767.4,765.6,1.8,765.6,Time=5.1s | BaseRaw=767.4 | CurrentRaw=765.6 | Change=1.8 => Floor
data,,767.4,766.2,1.2,766.2,Time=5.2s | BaseRaw=767.4 | CurrentRaw=766.2 | Change=1.2 => Floor
data,,767.4,766.6,0.8,766.6,Time=5.3s | BaseRaw=767.4 | CurrentRaw=766.6 | Change=0.8 => Floor
data,,767.4,767.4,0.0,767.4,Time=5.4s | BaseRaw=767.4 | CurrentRaw=767.4 | Change=0.0 => Floor
data,,767.4,768.6,1.2,768.6,Time=5.5s | BaseRaw=767.4 | CurrentRaw=768.6 | Change=1.2 => Floor
data,,767.4,769.2,1.8,769.2,Time=5.6s | BaseRaw=767.4 | CurrentRaw=769.2 | Change=1.8 => Floor
data,,767.4,769.0,1.6,769.0,Time=5.7s | BaseRaw=767.4 | CurrentRaw=769.0 | Change=1.6 => Floor
data,,767.4,769.0,1.6,769.0,Time=5.8s | BaseRaw=767.4 | CurrentRaw=769.0 | Change=1.6 => Floor
data,,767.4,769.4,2.0,769.4,Time=5.9s | BaseRaw=767.4 | CurrentRaw=769.4 | Change=2.0 => Floor
data,,767.4,770.2,2.8,770.2,Time=6.0s | BaseRaw=767.4 | CurrentRaw=770.2 | Change=2.8 => Floor
data,,767.4,771.6,4.2,771.6,Time=6.1s | BaseRaw=767.4 | CurrentRaw=771.6 | Change=4.2 => Floor
data,,767.4,773.2,5.8,773.2,Time=6.2s | BaseRaw=767.4 | CurrentRaw=773.2 | Change=5.8 => Floor
data,,767.4,774.2,6.8,774.2,Time=6.3s | BaseRaw=767.4 | CurrentRaw=774.2 | Change=6.8 => Floor
data,,767.4,773.8,6.4,773.8,Time=6.4s | BaseRaw=767.4 | CurrentRaw=773.8 | Change=6.4 => Floor
data,,767.4,772.6,5.2,772.6,Time=6.5s | BaseRaw=767.4 | CurrentRaw=772.6 | Change=5.2 => Floor
