record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,751.00,,,,751.00,Collecting baseline... RawAvg=751.00
baseline,750.60,,,,750.60,Collecting baseline... RawAvg=750.60
baseline,750.00,,,,750.00,Collecting baseline... RawAvg=750.00
baseline,749.80,,,,749.80,Collecting baseline... RawAvg=749.80
baseline,749.60,,,,749.60,Collecting baseline... RawAvg=749.60
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,750.80,,,,750.80,Collecting baseline... RawAvg=750.80
baseline,751.20,,,,751.20,Collecting baseline... RawAvg=751.20
baseline,751.20,,,,751.20,Collecting baseline... RawAvg=751.20
baseline,750.80,,,,750.80,Collecting baseline... RawAvg=750.80
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,749.60,,,,749.60,Collecting baseline... RawAvg=749.60
baseline,749.40,,,,749.40,Collecting baseline... RawAvg=749.40
baseline,749.60,,,,749.60,Collecting baseline... RawAvg=749.60
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,750.80,,,,750.80,Collecting baseline... RawAvg=750.80
baseline,751.40,,,,751.40,Collecting baseline... RawAvg=751.40
baseline,751.20,,,,751.20,Collecting baseline... RawAvg=751.20
baseline,750.80,,,,750.80,Collecting baseline... RawAvg=750.80
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,749.80,,,,749.80,Collecting baseline... RawAvg=749.80
baseline,749.60,,,,749.60,Collecting baseline... RawAvg=749.60
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,750.80,,,,750.80,Collecting baseline... RawAvg=750.80
baseline,751.20,,,,751.20,Collecting baseline... RawAvg=751.20
baseline,751.20,,,,751.20,Collecting baseline... RawAvg=751.20
baseline,750.80,,,,750.80,Collecting baseline... RawAvg=750.80
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,749.80,,,,749.80,Collecting baseline... RawAvg=749.80
baseline,749.80,,,,749.80,Collecting baseline... RawAvg=749.80
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,750.80,,,,750.80,Collecting baseline... RawAvg=750.80
baseline,751.20,,,,751.20,Collecting baseline... RawAvg=751.20
baseline,751.20,,,,751.20,Collecting baseline... RawAvg=751.20
baseline,750.80,,,,750.80,Collecting baseline... RawAvg=750.80
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,749.60,,,,749.60,Collecting baseline... RawAvg=749.60
baseline,749.40,,,,749.40,Collecting baseline... RawAvg=749.40
baseline,749.80,,,,749.80,Collecting baseline... RawAvg=749.80
baseline,750.40,,,,750.40,Collecting baseline... RawAvg=750.40
baseline,751.00,,,,751.00,Collecting baseline... RawAvg=751.00
baseline,751.40,,,,751.40,Collecting baseline... RawAvg=751.40
baseline,751.20,,,,751.20,Collecting baseline... RawAvg=751.20
baseline,750.60,,,,750.60,Collecting baseline... RawAvg=750.60
baseline,750.00,,,,750.00,Collecting baseline... RawAvg=750.00
baseline,749.80,,,,749.80,Collecting baseline... RawAvg=749.80
baseline,749.80,,,,749.80,Collecting baseline... RawAvg=749.80
baseline,750.40,,,,750.40,Collecting baseline... RawAvg=750.40
baseline,751.00,,,,751.00,Collecting baseline... RawAvg=751.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,750.42,,,750.42,Final Base Raw Average = 750.42
info,,,,,,--------------------------------------------------------------------------
data,,750.4,751.2,0.8,751.2,Time=0.1s | BaseRaw=750.4 | CurrentRaw=751.2 | Change=0.8 => Floor
data,,750.4,751.0,0.6,751.0,Time=0.2s | BaseRaw=750.4 | CurrentRaw=751.0 | Change=0.6 => Floor
data,,750.4,751.2,0.8,751.2,Time=0.3s | BaseRaw=750.4 | CurrentRaw=751.2 | Change=0.8 => Floor
data,,750.4,750.6,0.2,750.6,Time=0.4s | BaseRaw=750.4 | CurrentRaw=750.6 | Change=0.2 => Floor
data,,750.4,751.0,0.6,751.0,Time=0.5s | BaseRaw=750.4 | CurrentRaw=751.0 | Change=0.6 => Floor
data,,750.4,750.8,0.4,750.8,Time=0.6s | BaseRaw=750.4 | CurrentRaw=750.8 | Change=0.4 => Floor
data,,750.4,751.0,0.6,751.0,Time=0.7s | BaseRaw=750.4 | CurrentRaw=751.0 | Change=0.6 => Floor
data,,750.4,750.6,0.2,750.6,Time=0.8s | BaseRaw=750.4 | CurrentRaw=750.6 | Change=0.2 => Floor
data,,750.4,750.6,0.2,750.6,Time=0.9s | BaseRaw=750.4 | CurrentRaw=750.6 | Change=0.2 => Floor
data,,750.4,750.4,0.0,750.4,Time=1.0s | BaseRaw=750.4 | CurrentRaw=750.4 | Change=0.0 => Floor
data,,750.4,750.4,0.0,750.4,Time=1.1s | BaseRaw=750.4 | CurrentRaw=750.4 | Change=0.0 => Floor
data,,750.4,750.4,0.0,750.4,Time=1.2s | BaseRaw=750.4 | CurrentRaw=750.4 | Change=0.0 => Floor
data,,750.4,750.2,0.2,750.2,Time=1.3s | BaseRaw=750.4 | CurrentRaw=750.2 | Change=0.2 => Floor
data,,750.4,750.4,0.0,750.4,Time=1.4s | BaseRaw=750.4 | CurrentRaw=750.4 | Change=0.0 => Floor
data,,750.4,750.2,0.2,750.2,Time=1.5s | BaseRaw=750.4 | CurrentRaw=750.2 | Change=0.2 => Floor
data,,750.4,750.2,0.2,750.2,Time=1.6s | BaseRaw=750.4 | CurrentRaw=750.2 | Change=0.2 => Floor
data,,750.4,750.4,0.0,750.4,Time=1.7s | BaseRaw=750.4 | CurrentRaw=750.4 | Change=0.0 => Floor
data,,750.4,750.2,0.2,750.2,Time=1.8s | BaseRaw=750.4 | CurrentRaw=750.2 | Change=0.2 => Floor
data,,750.4,750.6,0.2,750.6,Time=1.9s | BaseRaw=750.4 | CurrentRaw=750.6 | Change=0.2 => Floor
data,,750.4,750.6,0.2,750.6,Time=2.0s | BaseRaw=750.4 | CurrentRaw=750.6 | Change=0.2 => Floor
data,,750.4,751.0,0.6,751.0,Time=2.1s | BaseRaw=750.4 | CurrentRaw=751.0 | Change=0.6 => Floor
data,,750.4,751.0,0.6,751.0,Time=2.2s | BaseRaw=750.4 | CurrentRaw=751.0 | Change=0.6 => Floor
data,,750.4,751.0,0.6,751.0,Time=2.3s | BaseRaw=750.4 | CurrentRaw=751.0 | Change=0.6 => Floor
data,,750.4,751.2,0.8,751.2,Time=2.4s | BaseRaw=750.4 | CurrentRaw=751.2 | Change=0.8 => Floor
data,,750.4,751.0,0.6,751.0,Time=2.5s | BaseRaw=750.4 | CurrentRaw=751.0 | Change=0.6 => Floor
data,,750.4,751.0,0.6,751.0,Time=2.6s | BaseRaw=750.4 | CurrentRaw=751.0 | Change=0.6 => Floor
data,,750.4,750.8,0.4,750.8,Time=2.7s | BaseRaw=750.4 | CurrentRaw=750.8 | Change=0.4 => Floor
data,,750.4,751.0,0.6,751.0,Time=2.8s | BaseRaw=750.4 | CurrentRaw=751.0 | Change=0.6 => Floor
data,,750.4,751.0,0.6,751.0,Time=2.9s | BaseRaw=750.4 | CurrentRaw=751.0 | Change=0.6 => Floor
data,,750.4,751.0,0.6,751.0,Time=3.0s | BaseRaw=750.4 | CurrentRaw=751.0 | Change=0.6 => Floor
data,,750.4,751.4,1.0,751.4,Time=3.1s | BaseRaw=750.4 | CurrentRaw=751.4 | Change=1.0 => Floor
data,,750.4,751.2,0.8,751.2,Time=3.2s | BaseRaw=750.4 | CurrentRaw=751.2 | Change=0.8 => Floor
data,,750.4,751.2,0.8,751.2,Time=3.3s | BaseRaw=750.4 | CurrentRaw=751.2 | Change=0.8 => Floor
data,,750.4,750.8,0.4,750.8,Time=3.4s | BaseRaw=750.4 | CurrentRaw=750.8 | Change=0.4 => Floor
data,,750.4,750.8,0.4,750.8,Time=3.5s | BaseRaw=750.4 | CurrentRaw=750.8 | Change=0.4 => Floor
data,,750.4,750.8,0.4,750.8,Time=3.6s | BaseRaw=750.4 | CurrentRaw=750.8 | Change=0.4 => Floor
data,,750.4,750.8,0.4,750.8,Time=3.7s | BaseRaw=750.4 | CurrentRaw=750.8 | Change=0.4 => Floor
data,,750.4,751.0,0.6,751.0,Time=3.8s | BaseRaw=750.4 | CurrentRaw=751.0 | Change=0.6 => Floor
data,,750.4,750.8,0.4,750.8,Time=3.9s | BaseRaw=750.4 | CurrentRaw=750.8 | Change=0.4 => Floor
data,,750.4,750.6,0.2,750.6,Time=4.0s | BaseRaw=750.4 | CurrentRaw=750.6 | Change=0.2 => Floor
data,,750.4,750.4,0.0,750.4,Time=4.1s | BaseRaw=750.4 | CurrentRaw=750.4 | Change=0.0 => Floor
data,,750.4,750.0,0.4,750.0,Time=4.2s | BaseRaw=750.4 | CurrentRaw=750.0 | Change=0.4 => Floor
data,,750.4,750.0,0.4,750.0,Time=4.3s | BaseRaw=750.4 | CurrentRaw=750.0 | Change=0.4 => Floor
data,,750.4,749.8,0.6,749.8,Time=4.4s | BaseRaw=750.4 | CurrentRaw=749.8 | Change=0.6 => Floor
data,,750.4,750.0,0.4,750.0,Time=4.5s | BaseRaw=750.4 | CurrentRaw=750.0 | Change=0.4 => Floor
data,,750.4,749.8,0.6,749.8,Time=4.6s | BaseRaw=750.4 | CurrentRaw=749.8 | Change=0.6 => Floor
data,,750.4,749.6,0.8,749.6,Time=4.7s | BaseRaw=750.4 | CurrentRaw=749.6 | Change=0.8 => Floor
data,,750.4,749.2,1.2,749.2,Time=4.8s | BaseRaw=750.4 | CurrentRaw=749.2 | Change=1.2 => Floor
data,,750.4,747.4,3.0,747.4,Time=4.9s | BaseRaw=750.4 | CurrentRaw=747.4 | Change=3.0 => Floor
data,,750.4,743.0,7.4,743.0,Time=5.0s | BaseRaw=750.4 | CurrentRaw=743.0 | Change=7.4 => Floor
data,,750.4,731.8,18.6,731.8,Time=5.1s | BaseRaw=750.4 | CurrentRaw=731.8 | Change=18.6 => Liquid
data,,750.4,712.4,38.0,712.4,Time=5.2s | BaseRaw=750.4 | CurrentRaw=712.4 | Change=38.0 => Liquid
data,,750.4,686.2,64.2,686.2,Time=5.3s | BaseRaw=750.4 | CurrentRaw=686.2 | Change=64.2 => Liquid
data,,750.4,659.8,90.6,659.8,Time=5.4s | BaseRaw=750.4 | CurrentRaw=659.8 | Change=90.6 => Liquid
data,,750.4,635.4,115.0,635.4,Time=5.5s | BaseRaw=750.4 | CurrentRaw=635.4 | Change=115.0 => Liquid
data,,750.4,616.8,133.6,616.8,Time=5.6s | BaseRaw=750.4 | CurrentRaw=616.8 | Change=133.6 => Liquid
data,,750.4,607.2,143.2,607.2,Time=5.7s | BaseRaw=750.4 | CurrentRaw=607.2 | Change=143.2 => Liquid
data,,750.4,603.8,146.6,603.8,Time=5.8s | BaseRaw=750.4 | CurrentRaw=603.8 | Change=146.6 => Liquid
data,,750.4,602.8,147.6,602.8,Time=5.9s | BaseRaw=750.4 | CurrentRaw=602.8 | Change=147.6 => Liquid
data,,750.4,602.2,148.2,602.2,Time=6.0s | BaseRaw=750.4 | CurrentRaw=602.2 | Change=148.2 => Liquid
data,,750.4,602.0,148.4,602.0,Time=6.1s | BaseRaw=750.4 | CurrentRaw=602.0 | Change=148.4 => Liquid
data,,750.4,601.6,148.8,601.6,Time=6.2s | BaseRaw=750.4 | CurrentRaw=601.6 | Change=148.8 => Liquid
data,,750.4,601.6,148.8,601.6,Time=6.3s | BaseRaw=750.4 | CurrentRaw=601.6 | Change=148.8 => Liquid
data,,750.4,601.8,148.6,601.8,Time=6.4s | BaseRaw=750.4 | CurrentRaw=601.8 | Change=148.6 => Liquid
data,,750.4,601.8,148.6,601.8,Time=6.5s | BaseRaw=750.4 | CurrentRaw=601.8 | Change=148.6 => Liquid
