record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,1002.80,,,,1002.80,Collecting baseline... RawAvg=1002.80
baseline,1002.60,,,,1002.60,Collecting baseline... RawAvg=1002.60
baseline,1002.40,,,,1002.40,Collecting baseline... RawAvg=1002.40
baseline,1002.60,,,,1002.60,Collecting baseline... RawAvg=1002.60
baseline,1002.60,,,,1002.60,Collecting baseline... RawAvg=1002.60
baseline,1002.60,,,,1002.60,Collecting baseline... RawAvg=1002.60
baseline,1002.60,,,,1002.60,Collecting baseline... RawAvg=1002.60
baseline,1002.60,,,,1002.60,Collecting baseline... RawAvg=1002.60
baseline,1002.40,,,,1002.40,Collecting baseline... RawAvg=1002.40
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.40,,,,1002.40,Collecting baseline... RawAvg=1002.40
baseline,1002.40,,,,1002.40,Collecting baseline... RawAvg=1002.40
baseline,1002.40,,,,1002.40,Collecting baseline... RawAvg=1002.40
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.00,,,,1002.00,Collecting baseline... RawAvg=1002.00
baseline,1002.00,,,,1002.00,Collecting baseline... RawAvg=1002.00
baseline,1002.00,,,,1002.00,Collecting baseline... RawAvg=1002.00
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.60,,,,1002.60,Collecting baseline... RawAvg=1002.60
baseline,1002.80,,,,1002.80,Collecting baseline... RawAvg=1002.80
baseline,1002.80,,,,1002.80,Collecting baseline... RawAvg=1002.80
baseline,1002.80,,,,1002.80,Collecting baseline... RawAvg=1002.80
baseline,1002.60,,,,1002.60,Collecting baseline... RawAvg=1002.60
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.00,,,,1002.00,Collecting baseline... RawAvg=1002.00
baseline,1002.00,,,,1002.00,Collecting baseline... RawAvg=1002.00
baseline,1002.00,,,,1002.00,Collecting baseline... RawAvg=1002.00
baseline,1002.00,,,,1002.00,Collecting baseline... RawAvg=1002.00
baseline,1002.00,,,,1002.00,Collecting baseline... RawAvg=1002.00
baseline,1002.00,,,,1002.00,Collecting baseline... RawAvg=1002.00
baseline,1002.00,,,,1002.00,Collecting baseline... RawAvg=1002.00
baseline,1002.40,,,,1002.40,Collecting baseline... RawAvg=1002.40
baseline,1002.60,,,,1002.60,Collecting baseline... RawAvg=1002.60
baseline,1002.60,,,,1002.60,Collecting baseline... RawAvg=1002.60
baseline,1002.60,,,,1002.60,Collecting baseline... RawAvg=1002.60
baseline,1002.80,,,,1002.80,Collecting baseline... RawAvg=1002.80
baseline,1002.40,,,,1002.40,Collecting baseline... RawAvg=1002.40
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.20,,,,1002.20,Collecting baseline... RawAvg=1002.20
baseline,1002.40,,,,1002.40,Collecting baseline... RawAvg=1002.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,1002.34,,,1002.34,Final Base Raw Average = 1002.34
info,,,,,,--------------------------------------------------------------------------
data,,1002.3,1002.4,0.1,1002.4,Time=0.1s | BaseRaw=1002.3 | CurrentRaw=1002.4 | Change=0.1 => Floor
data,,1002.3,1002.4,0.1,1002.4,Time=0.2s | BaseRaw=1002.3 | CurrentRaw=1002.4 | Change=0.1 => Floor
data,,1002.3,1002.4,0.1,1002.4,Time=0.3s | BaseRaw=1002.3 | CurrentRaw=1002.4 | Change=0.1 => Floor
data,,1002.3,1002.2,0.1,1002.2,Time=0.4s | BaseRaw=1002.3 | CurrentRaw=1002.2 | Change=0.1 => Floor
data,,1002.3,1002.4,0.1,1002.4,Time=0.5s | BaseRaw=1002.3 | CurrentRaw=1002.4 | Change=0.1 => Floor
data,,1002.3,1002.4,0.1,1002.4,Time=0.6s | BaseRaw=1002.3 | CurrentRaw=1002.4 | Change=0.1 => Floor
data,,1002.3,1002.6,0.3,1002.6,Time=0.7s | BaseRaw=1002.3 | CurrentRaw=1002.6 | Change=0.3 => Floor
data,,1002.3,1002.6,0.3,1002.6,Time=0.8s | BaseRaw=1002.3 | CurrentRaw=1002.6 | Change=0.3 => Floor
data,,1002.3,1002.8,0.5,1002.8,Time=0.9s | BaseRaw=1002.3 | CurrentRaw=1002.8 | Change=0.5 => Floor
data,,1002.3,1002.6,0.3,1002.6,Time=1.0s | BaseRaw=1002.3 | CurrentRaw=1002.6 | Change=0.3 => Floor
data,,1002.3,1002.4,0.1,1002.4,Time=1.1s | BaseRaw=1002.3 | CurrentRaw=1002.4 | Change=0.1 => Floor
data,,1002.3,1002.2,0.1,1002.2,Time=1.2s | BaseRaw=1002.3 | CurrentRaw=1002.2 | Change=0.1 => Floor
data,,1002.3,1002.4,0.1,1002.4,Time=1.3s | BaseRaw=1002.3 | CurrentRaw=1002.4 | Change=0.1 => Floor
data,,1002.3,1002.4,0.1,1002.4,Time=1.4s | BaseRaw=1002.3 | CurrentRaw=1002.4 | Change=0.1 => Floor
data,,1002.3,1002.6,0.3,1002.6,Time=1.5s | BaseRaw=1002.3 | CurrentRaw=1002.6 | Change=0.3 => Floor
data,,1002.3,1002.6,0.3,1002.6,Time=1.6s | BaseRaw=1002.3 | CurrentRaw=1002.6 | Change=0.3 => Floor
data,,1002.3,1002.8,0.5,1002.8,Time=1.7s | BaseRaw=1002.3 | CurrentRaw=1002.8 | Change=0.5 => Floor
data,,1002.3,1002.6,0.3,1002.6,Time=1.8s | BaseRaw=1002.3 | CurrentRaw=1002.6 | Change=0.3 => Floor
data,,1002.3,1002.4,0.1,1002.4,Time=1.9s | BaseRaw=1002.3 | CurrentRaw=1002.4 | Change=0.1 => Floor
data,,1002.3,1002.2,0.1,1002.2,Time=2.0s | BaseRaw=1002.3 | CurrentRaw=1002.2 | Change=0.1 => Floor
data,,1002.3,1002.4,0.1,1002.4,Time=2.1s | BaseRaw=1002.3 | CurrentRaw=1002.4 | Change=0.1 => Floor
data,,1002.3,1002.4,0.1,1002.4,Time=2.2s | BaseRaw=1002.3 | CurrentRaw=1002.4 | Change=0.1 => Floor
data,,1002.3,1002.6,0.3,1002.6,Time=2.3s | BaseRaw=1002.3 | CurrentRaw=1002.6 | Change=0.3 => Floor
data,,1002.3,1002.6,0.3,1002.6,Time=2.4s | BaseRaw=1002.3 | CurrentRaw=1002.6 | Change=0.3 => Floor
data,,1002.3,1003.0,0.7,1003.0,Time=2.5s | BaseRaw=1002.3 | CurrentRaw=1003.0 | Change=0.7 => Floor
data,,1002.3,1002.8,0.5,1002.8,Time=2.6s | BaseRaw=1002.3 | CurrentRaw=1002.8 | Change=0.5 => Floor
data,,1002.3,1002.8,0.5,1002.8,Time=2.7s | BaseRaw=1002.3 | CurrentRaw=1002.8 | Change=0.5 => Floor
data,,1002.3,1002.8,0.5,1002.8,Time=2.8s | BaseRaw=1002.3 | CurrentRaw=1002.8 | Change=0.5 => Floor
data,,1002.3,1002.8,0.5,1002.8,Time=2.9s | BaseRaw=1002.3 | CurrentRaw=1002.8 | Change=0.5 => Floor
data,,1002.3,1002.8,0.5,1002.8,Time=3.0s | BaseRaw=1002.3 | CurrentRaw=1002.8 | Change=0.5 => Floor
data,,1002.3,1002.8,0.5,1002.8,Time=3.1s | BaseRaw=1002.3 | CurrentRaw=1002.8 | Change=0.5 => Floor
data,,1002.3,1002.6,0.3,1002.6,Time=3.2s | BaseRaw=1002.3 | CurrentRaw=1002.6 | Change=0.3 => Floor
data,,1002.3,1002.6,0.3,1002.6,Time=3.3s | BaseRaw=1002.3 | CurrentRaw=1002.6 | Change=0.3 => Floor
data,,1002.3,1002.6,0.3,1002.6,Time=3.4s | BaseRaw=1002.3 | CurrentRaw=1002.6 | Change=0.3 => Floor
data,,1002.3,1002.2,0.1,1002.2,Time=3.5s | BaseRaw=1002.3 | CurrentRaw=1002.2 | Change=0.1 => Floor
data,,1002.3,1002.2,0.1,1002.2,Time=3.6s | BaseRaw=1002.3 | CurrentRaw=1002.2 | Change=0.1 => Floor
data,,1002.3,1002.2,0.1,1002.2,Time=3.7s | BaseRaw=1002.3 | CurrentRaw=1002.2 | Change=0.1 => Floor
data,,1002.3,1002.0,0.3,1002.0,Time=3.8s | BaseRaw=1002.3 | CurrentRaw=1002.0 | Change=0.3 => Floor
data,,1002.3,1002.2,0.1,1002.2,Time=3.9s | BaseRaw=1002.3 | CurrentRaw=1002.2 | Change=0.1 => Floor
data,,1002.3,1002.2,0.1,1002.2,Time=4.0s | BaseRaw=1002.3 | CurrentRaw=1002.2 | Change=0.1 => Floor
data,,1002.3,1002.2,0.1,1002.2,Time=4.1s | BaseRaw=1002.3 | CurrentRaw=1002.2 | Change=0.1 => Floor
data,,1002.3,1002.2,0.1,1002.2,Time=4.2s | BaseRaw=1002.3 | CurrentRaw=1002.2 | Change=0.1 => Floor
data,,1002.3,1002.4,0.1,1002.4,Time=4.3s | BaseRaw=1002.3 | CurrentRaw=1002.4 | Change=0.1 => Floor
data,,1002.3,1002.4,0.1,1002.4,Time=4.4s | BaseRaw=1002.3 | CurrentRaw=1002.4 | Change=0.1 => Floor
data,,1002.3,1002.4,0.1,1002.4,Time=4.5s | BaseRaw=1002.3 | CurrentRaw=1002.4 | Change=0.1 => Floor
data,,1002.3,1002.6,0.3,1002.6,Time=4.6s | BaseRaw=1002.3 | CurrentRaw=1002.6 | Change=0.3 => Floor
data,,1002.3,1003.0,0.7,1003.0,Time=4.7s | BaseRaw=1002.3 | CurrentRaw=1003.0 | Change=0.7 => Floor
data,,1002.3,1003.2,0.9,1003.2,Time=4.8s | BaseRaw=1002.3 | CurrentRaw=1003.2 | Change=0.9 => Floor
data,,1002.3,1003.6,1.3,1003.6,Time=4.9s | BaseRaw=1002.3 | CurrentRaw=1003.6 | Change=1.3 => Floor
data,,1002.3,1004.0,1.7,1004.0,Time=5.0s | BaseRaw=1002.3 | CurrentRaw=1004.0 | Change=1.7 => Floor
data,,1002.3,1004.2,1.9,1004.2,Time=5.1s | BaseRaw=1002.3 | CurrentRaw=1004.2 | Change=1.9 => Floor
data,,1002.3,1004.2,1.9,1004.2,Time=5.2s | BaseRaw=1002.3 | CurrentRaw=1004.2 | Change=1.9 => Floor
data,,1002.3,1004.0,1.7,1004.0,Time=5.3s | BaseRaw=1002.3 | CurrentRaw=1004.0 | Change=1.7 => Floor
data,,1002.3,1004.0,1.7,1004.0,Time=5.4s | BaseRaw=1002.3 | CurrentRaw=1004.0 | Change=1.7 => Floor
data,,1002.3,1004.0,1.7,1004.0,Time=5.5s | BaseRaw=1002.3 | CurrentRaw=1004.0 | Change=1.7 => Floor
data,,1002.3,1004.0,1.7,1004.0,Time=5.6s | BaseRaw=1002.3 | CurrentRaw=1004.0 | Change=1.7 => Floor
data,,1002.3,1004.0,1.7,1004.0,Time=5.7s | BaseRaw=1002.3 | CurrentRaw=1004.0 | Change=1.7 => Floor
data,,1002.3,1004.2,1.9,1004.2,Time=5.8s | BaseRaw=1002.3 | CurrentRaw=1004.2 | Change=1.9 => Floor
