record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,834.00,,,,834.00,Collecting baseline... RawAvg=834.00
baseline,834.00,,,,834.00,Collecting baseline... RawAvg=834.00
baseline,833.80,,,,833.80,Collecting baseline... RawAvg=833.80
baseline,833.80,,,,833.80,Collecting baseline... RawAvg=833.80
baseline,833.60,,,,833.60,Collecting baseline... RawAvg=833.60
baseline,833.60,,,,833.60,Collecting baseline... RawAvg=833.60
baseline,833.60,,,,833.60,Collecting baseline... RawAvg=833.60
baseline,833.60,,,,833.60,Collecting baseline... RawAvg=833.60
baseline,833.40,,,,833.40,Collecting baseline... RawAvg=833.40
baseline,833.80,,,,833.80,Collecting baseline... RawAvg=833.80
baseline,833.80,,,,833.80,Collecting baseline... RawAvg=833.80
baseline,834.00,,,,834.00,Collecting baseline... RawAvg=834.00
baseline,834.40,,,,834.40,Collecting baseline... RawAvg=834.40
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.20,,,,835.20,Collecting baseline... RawAvg=835.20
baseline,835.20,,,,835.20,Collecting baseline... RawAvg=835.20
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.20,,,,835.20,Collecting baseline... RawAvg=835.20
baseline,835.20,,,,835.20,Collecting baseline... RawAvg=835.20
baseline,835.20,,,,835.20,Collecting baseline... RawAvg=835.20
baseline,835.20,,,,835.20,Collecting baseline... RawAvg=835.20
baseline,835.20,,,,835.20,Collecting baseline... RawAvg=835.20
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,834.60,,,,834.60,Collecting baseline... RawAvg=834.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,834.66,,,834.66,Final Base Raw Average = 834.66
info,,,,,,--------------------------------------------------------------------------
data,,834.7,834.4,0.3,834.4,Time=0.1s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.4,0.3,834.4,Time=0.2s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.4,0.3,834.4,Time=0.3s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.4,0.3,834.4,Time=0.4s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.4,0.3,834.4,Time=0.5s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.4,0.3,834.4,Time=0.6s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.6,0.1,834.6,Time=0.7s | BaseRaw=834.7 | CurrentRaw=834.6 | Change=0.1 => Floor
data,,834.7,834.4,0.3,834.4,Time=0.8s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.4,0.3,834.4,Time=0.9s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.6,0.1,834.6,Time=1.0s | BaseRaw=834.7 | CurrentRaw=834.6 | Change=0.1 => Floor
data,,834.7,834.6,0.1,834.6,Time=1.1s | BaseRaw=834.7 | CurrentRaw=834.6 | Change=0.1 => Floor
data,,834.7,834.4,0.3,834.4,Time=1.2s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.6,0.1,834.6,Time=1.3s | BaseRaw=834.7 | CurrentRaw=834.6 | Change=0.1 => Floor
data,,834.7,834.8,0.1,834.8,Time=1.4s | BaseRaw=834.7 | CurrentRaw=834.8 | Change=0.1 => Floor
data,,834.7,834.8,0.1,834.8,Time=1.5s | BaseRaw=834.7 | CurrentRaw=834.8 | Change=0.1 => Floor
data,,834.7,834.8,0.1,834.8,Time=1.6s | BaseRaw=834.7 | CurrentRaw=834.8 | Change=0.1 => Floor
data,,834.7,834.8,0.1,834.8,Time=1.7s | BaseRaw=834.7 | CurrentRaw=834.8 | Change=0.1 => Floor
data,,834.7,834.6,0.1,834.6,Time=1.8s | BaseRaw=834.7 | CurrentRaw=834.6 | Change=0.1 => Floor
data,,834.7,834.8,0.1,834.8,Time=1.9s | BaseRaw=834.7 | CurrentRaw=834.8 | Change=0.1 => Floor
data,,834.7,834.8,0.1,834.8,Time=2.0s | BaseRaw=834.7 | CurrentRaw=834.8 | Change=0.1 => Floor
data,,834.7,834.6,0.1,834.6,Time=2.1s | BaseRaw=834.7 | CurrentRaw=834.6 | Change=0.1 => Floor
data,,834.7,835.0,0.3,835.0,Time=2.2s | BaseRaw=834.7 | CurrentRaw=835.0 | Change=0.3 => Floor
data,,834.7,835.2,0.5,835.2,Time=2.3s | BaseRaw=834.7 | CurrentRaw=835.2 | Change=0.5 => Floor
data,,834.7,835.0,0.3,835.0,Time=2.4s | BaseRaw=834.7 | CurrentRaw=835.0 | Change=0.3 => Floor
data,,834.7,834.8,0.1,834.8,Time=2.5s | BaseRaw=834.7 | CurrentRaw=834.8 | Change=0.1 => Floor
data,,834.7,834.8,0.1,834.8,Time=2.6s | BaseRaw=834.7 | CurrentRaw=834.8 | Change=0.1 => Floor
data,,834.7,834.6,0.1,834.6,Time=2.7s | BaseRaw=834.7 | CurrentRaw=834.6 | Change=0.1 => Floor
data,,834.7,834.6,0.1,834.6,Time=2.8s | BaseRaw=834.7 | CurrentRaw=834.6 | Change=0.1 => Floor
data,,834.7,834.4,0.3,834.4,Time=2.9s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.4,0.3,834.4,Time=3.0s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.4,0.3,834.4,Time=3.1s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.4,0.3,834.4,Time=3.2s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.2,0.5,834.2,Time=3.3s | BaseRaw=834.7 | CurrentRaw=834.2 | Change=0.5 => Floor
data,,834.7,834.4,0.3,834.4,Time=3.4s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.4,0.3,834.4,Time=3.5s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.6,0.1,834.6,Time=3.6s | BaseRaw=834.7 | CurrentRaw=834.6 | Change=0.1 => Floor
data,,834.7,834.4,0.3,834.4,Time=3.7s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.4,0.3,834.4,Time=3.8s | BaseRaw=834.7 | CurrentRaw=834.4 | Change=0.3 => Floor
data,,834.7,834.2,0.5,834.2,Time=3.9s | BaseRaw=834.7 | CurrentRaw=834.2 | Change=0.5 => Floor
data,,834.7,834.6,0.1,834.6,Time=4.0s | BaseRaw=834.7 | CurrentRaw=834.6 | Change=0.1 => Floor
data,,834.7,834.6,0.1,834.6,Time=4.1s | BaseRaw=834.7 | CurrentRaw=834.6 | Change=0.1 => Floor
data,,834.7,834.6,0.1,834.6,Time=4.2s | BaseRaw=834.7 | CurrentRaw=834.6 | Change=0.1 => Floor
data,,834.7,834.6,0.1,834.6,Time=4.3s | BaseRaw=834.7 | CurrentRaw=834.6 | Change=0.1 => Floor
data,,834.7,834.6,0.1,834.6,Time=4.4s | BaseRaw=834.7 | CurrentRaw=834.6 | Change=0.1 => Floor
data,,834.7,834.2,0.5,834.2,Time=4.5s | BaseRaw=834.7 | CurrentRaw=834.2 | Change=0.5 => Floor
data,,834.7,834.2,0.5,834.2,Time=4.6s | BaseRaw=834.7 | CurrentRaw=834.2 | Change=0.5 => Floor
data,,834.7,834.2,0.5,834.2,Time=4.7s | BaseRaw=834.7 | CurrentRaw=834.2 | Change=0.5 => Floor
data,,834.7,834.2,0.5,834.2,Time=4.8s | BaseRaw=834.7 | CurrentRaw=834.2 | Change=0.5 => Floor
data,,834.7,834.2,0.5,834.2,Time=4.9s | BaseRaw=834.7 | CurrentRaw=834.2 | Change=0.5 => Floor
data,,834.7,834.2,0.5,834.2,Time=5.0s | BaseRaw=834.7 | CurrentRaw=834.2 | Change=0.5 => Floor
data,,834.7,833.6,1.1,833.6,Time=5.1s | BaseRaw=834.7 | CurrentRaw=833.6 | Change=1.1 => Floor
data,,834.7,832.4,2.3,832.4,Time=5.2s | BaseRaw=834.7 | CurrentRaw=832.4 | Change=2.3 => Floor
data,,834.7,830.2,4.5,830.2,Time=5.3s | BaseRaw=834.7 | CurrentRaw=830.2 | Change=4.5 => Floor
data,,834.7,827.8,6.9,827.8,Time=5.4s | BaseRaw=834.7 | CurrentRaw=827.8 | Change=6.9 => Floor
data,,834.7,825.2,9.5,825.2,Time=5.5s | BaseRaw=834.7 | CurrentRaw=825.2 | Change=9.5 => Floor
data,,834.7,822.8,11.9,822.8,Time=5.6s | BaseRaw=834.7 | CurrentRaw=822.8 | Change=11.9 => Liquid
data,,834.7,821.0,13.7,821.0,Time=5.7s | BaseRaw=834.7 | CurrentRaw=821.0 | Change=13.7 => Liquid
data,,834.7,819.6,15.1,819.6,Time=5.8s | BaseRaw=834.7 | CurrentRaw=819.6 | Change=15.1 => Liquid
data,,834.7,818.4,16.3,818.4,Time=5.9s | BaseRaw=834.7 | CurrentRaw=818.4 | Change=16.3 => Liquid
data,,834.7,818.0,16.7,818.0,Time=6.0s | BaseRaw=834.7 | CurrentRaw=818.0 | Change=16.7 => Liquid
data,,834.7,818.2,16.5,818.2,Time=6.1s | BaseRaw=834.7 | CurrentRaw=818.2 | Change=16.5 => Liquid
data,,834.7,818.6,16.1,818.6,Time=6.2s | BaseRaw=834.7 | CurrentRaw=818.6 | Change=16.1 => Liquid
data,,834.7,819.4,15.3,819.4,Time=6.3s | BaseRaw=834.7 | CurrentRaw=819.4 | Change=15.3 => Liquid
data,,834.7,820.2,14.5,820.2,Time=6.4s | BaseRaw=834.7 | CurrentRaw=820.2 | Change=14.5 => Liquid
data,,834.7,820.4,14.3,820.4,Time=6.5s | BaseRaw=834.7 | CurrentRaw=820.4 | Change=14.3 => Liquid
