record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,831.20,,,,831.20,Collecting baseline... RawAvg=831.20
baseline,831.20,,,,831.20,Collecting baseline... RawAvg=831.20
baseline,831.20,,,,831.20,Collecting baseline... RawAvg=831.20
baseline,831.20,,,,831.20,Collecting baseline... RawAvg=831.20
baseline,831.20,,,,831.20,Collecting baseline... RawAvg=831.20
baseline,831.20,,,,831.20,Collecting baseline... RawAvg=831.20
baseline,831.40,,,,831.40,Collecting baseline... RawAvg=831.40
baseline,831.40,,,,831.40,Collecting baseline... RawAvg=831.40
baseline,831.40,,,,831.40,Collecting baseline... RawAvg=831.40
baseline,831.40,,,,831.40,Collecting baseline... RawAvg=831.40
baseline,831.40,,,,831.40,Collecting baseline... RawAvg=831.40
baseline,831.20,,,,831.20,Collecting baseline... RawAvg=831.20
baseline,831.20,,,,831.20,Collecting baseline... RawAvg=831.20
baseline,831.40,,,,831.40,Collecting baseline... RawAvg=831.40
baseline,831.60,,,,831.60,Collecting baseline... RawAvg=831.60
baseline,831.80,,,,831.80,Collecting baseline... RawAvg=831.80
baseline,832.20,,,,832.20,Collecting baseline... RawAvg=832.20
baseline,832.60,,,,832.60,Collecting baseline... RawAvg=832.60
baseline,832.80,,,,832.80,Collecting baseline... RawAvg=832.80
baseline,833.20,,,,833.20,Collecting baseline... RawAvg=833.20
baseline,833.60,,,,833.60,Collecting baseline... RawAvg=833.60
baseline,833.80,,,,833.80,Collecting baseline... RawAvg=833.80
baseline,834.20,,,,834.20,Collecting baseline... RawAvg=834.20
baseline,834.20,,,,834.20,Collecting baseline... RawAvg=834.20
baseline,834.60,,,,834.60,Collecting baseline... RawAvg=834.60
baseline,834.60,,,,834.60,Collecting baseline... RawAvg=834.60
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,834.60,,,,834.60,Collecting baseline... RawAvg=834.60
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,834.60,,,,834.60,Collecting baseline... RawAvg=834.60
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.20,,,,835.20,Collecting baseline... RawAvg=835.20
baseline,835.20,,,,835.20,Collecting baseline... RawAvg=835.20
baseline,835.40,,,,835.40,Collecting baseline... RawAvg=835.40
baseline,835.40,,,,835.40,Collecting baseline... RawAvg=835.40
baseline,835.60,,,,835.60,Collecting baseline... RawAvg=835.60
baseline,835.40,,,,835.40,Collecting baseline... RawAvg=835.40
baseline,835.40,,,,835.40,Collecting baseline... RawAvg=835.40
baseline,835.20,,,,835.20,Collecting baseline... RawAvg=835.20
baseline,835.20,,,,835.20,Collecting baseline... RawAvg=835.20
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,835.00,,,,835.00,Collecting baseline... RawAvg=835.00
baseline,834.80,,,,834.80,Collecting baseline... RawAvg=834.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,833.54,,,833.54,Final Base Raw Average = 833.54
info,,,,,,--------------------------------------------------------------------------
data,,833.5,834.8,1.3,834.8,Time=0.1s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.8,1.3,834.8,Time=0.2s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.8,1.3,834.8,Time=0.3s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,835.0,1.5,835.0,Time=0.4s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,835.2,1.7,835.2,Time=0.5s | BaseRaw=833.5 | CurrentRaw=835.2 | Change=1.7 => Floor
data,,833.5,835.2,1.7,835.2,Time=0.6s | BaseRaw=833.5 | CurrentRaw=835.2 | Change=1.7 => Floor
data,,833.5,835.2,1.7,835.2,Time=0.7s | BaseRaw=833.5 | CurrentRaw=835.2 | Change=1.7 => Floor
data,,833.5,835.2,1.7,835.2,Time=0.8s | BaseRaw=833.5 | CurrentRaw=835.2 | Change=1.7 => Floor
data,,833.5,835.2,1.7,835.2,Time=0.9s | BaseRaw=833.5 | CurrentRaw=835.2 | Change=1.7 => Floor
data,,833.5,835.0,1.5,835.0,Time=1.0s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,835.0,1.5,835.0,Time=1.1s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,834.8,1.3,834.8,Time=1.2s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.8,1.3,834.8,Time=1.3s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.8,1.3,834.8,Time=1.4s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.8,1.3,834.8,Time=1.5s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.6,1.1,834.6,Time=1.6s | BaseRaw=833.5 | CurrentRaw=834.6 | Change=1.1 => Floor
data,,833.5,834.8,1.3,834.8,Time=1.7s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.8,1.3,834.8,Time=1.8s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.8,1.3,834.8,Time=1.9s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.6,1.1,834.6,Time=2.0s | BaseRaw=833.5 | CurrentRaw=834.6 | Change=1.1 => Floor
data,,833.5,834.8,1.3,834.8,Time=2.1s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.8,1.3,834.8,Time=2.2s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.6,1.1,834.6,Time=2.3s | BaseRaw=833.5 | CurrentRaw=834.6 | Change=1.1 => Floor
data,,833.5,834.6,1.1,834.6,Time=2.4s | BaseRaw=833.5 | CurrentRaw=834.6 | Change=1.1 => Floor
data,,833.5,834.8,1.3,834.8,Time=2.5s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,835.0,1.5,835.0,Time=2.6s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,834.8,1.3,834.8,Time=2.7s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,835.0,1.5,835.0,Time=2.8s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,835.0,1.5,835.0,Time=2.9s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,835.0,1.5,835.0,Time=3.0s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,834.8,1.3,834.8,Time=3.1s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,835.0,1.5,835.0,Time=3.2s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,835.0,1.5,835.0,Time=3.3s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,835.2,1.7,835.2,Time=3.4s | BaseRaw=833.5 | CurrentRaw=835.2 | Change=1.7 => Floor
data,,833.5,835.4,1.9,835.4,Time=3.5s | BaseRaw=833.5 | CurrentRaw=835.4 | Change=1.9 => Floor
data,,833.5,835.4,1.9,835.4,Time=3.6s | BaseRaw=833.5 | CurrentRaw=835.4 | Change=1.9 => Floor
data,,833.5,835.4,1.9,835.4,Time=3.7s | BaseRaw=833.5 | CurrentRaw=835.4 | Change=1.9 => Floor
data,,833.5,835.4,1.9,835.4,Time=3.8s | BaseRaw=833.5 | CurrentRaw=835.4 | Change=1.9 => Floor
data,,833.5,835.2,1.7,835.2,Time=3.9s | BaseRaw=833.5 | CurrentRaw=835.2 | Change=1.7 => Floor
data,,833.5,834.8,1.3,834.8,Time=4.0s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.8,1.3,834.8,Time=4.1s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.8,1.3,834.8,Time=4.2s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,835.0,1.5,835.0,Time=4.3s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,835.2,1.7,835.2,Time=4.4s | BaseRaw=833.5 | CurrentRaw=835.2 | Change=1.7 => Floor
data,,833.5,835.4,1.9,835.4,Time=4.5s | BaseRaw=833.5 | CurrentRaw=835.4 | Change=1.9 => Floor
data,,833.5,835.4,1.9,835.4,Time=4.6s | BaseRaw=833.5 | CurrentRaw=835.4 | Change=1.9 => Floor
data,,833.5,835.4,1.9,835.4,Time=4.7s | BaseRaw=833.5 | CurrentRaw=835.4 | Change=1.9 => Floor
data,,833.5,835.2,1.7,835.2,Time=4.8s | BaseRaw=833.5 | CurrentRaw=835.2 | Change=1.7 => Floor
data,,833.5,835.0,1.5,835.0,Time=4.9s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,835.0,1.5,835.0,Time=5.0s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,835.0,1.5,835.0,Time=5.1s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,835.0,1.5,835.0,Time=5.2s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,835.0,1.5,835.0,Time=5.3s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,835.0,1.5,835.0,Time=5.4s | BaseRaw=833.5 | CurrentRaw=835.0 | Change=1.5 => Floor
data,,833.5,834.8,1.3,834.8,Time=5.5s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.8,1.3,834.8,Time=5.6s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,834.6,1.1,834.6,Time=5.7s | BaseRaw=833.5 | CurrentRaw=834.6 | Change=1.1 => Floor
data,,833.5,834.6,1.1,834.6,Time=5.8s | BaseRaw=833.5 | CurrentRaw=834.6 | Change=1.1 => Floor
data,,833.5,834.4,0.9,834.4,Time=5.9s | BaseRaw=833.5 | CurrentRaw=834.4 | Change=0.9 => Floor
data,,833.5,834.6,1.1,834.6,Time=6.0s | BaseRaw=833.5 | CurrentRaw=834.6 | Change=1.1 => Floor
data,,833.5,834.8,1.3,834.8,Time=6.1s | BaseRaw=833.5 | CurrentRaw=834.8 | Change=1.3 => Floor
data,,833.5,835.4,1.9,835.4,Time=6.2s | BaseRaw=833.5 | CurrentRaw=835.4 | Change=1.9 => Floor
data,,833.5,836.8,3.3,836.8,Time=6.3s | BaseRaw=833.5 | CurrentRaw=836.8 | Change=3.3 => Floor
data,,833.5,839.2,5.7,839.2,Time=6.4s | BaseRaw=833.5 | CurrentRaw=839.2 | Change=5.7 => Floor
data,,833.5,842.0,8.5,842.0,Time=6.5s | BaseRaw=833.5 | CurrentRaw=842.0 | Change=8.5 => Floor
