record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,735.60,,,,735.60,Collecting baseline... RawAvg=735.60
baseline,735.40,,,,735.40,Collecting baseline... RawAvg=735.40
baseline,735.40,,,,735.40,Collecting baseline... RawAvg=735.40
baseline,735.40,,,,735.40,Collecting baseline... RawAvg=735.40
baseline,735.40,,,,735.40,Collecting baseline... RawAvg=735.40
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,735.40,,,,735.40,Collecting baseline... RawAvg=735.40
baseline,735.80,,,,735.80,Collecting baseline... RawAvg=735.80
baseline,736.40,,,,736.40,Collecting baseline... RawAvg=736.40
baseline,737.40,,,,737.40,Collecting baseline... RawAvg=737.40
baseline,737.80,,,,737.80,Collecting baseline... RawAvg=737.80
baseline,738.40,,,,738.40,Collecting baseline... RawAvg=738.40
baseline,738.60,,,,738.60,Collecting baseline... RawAvg=738.60
baseline,738.60,,,,738.60,Collecting baseline... RawAvg=738.60
baseline,738.00,,,,738.00,Collecting baseline... RawAvg=738.00
baseline,737.40,,,,737.40,Collecting baseline... RawAvg=737.40
baseline,736.80,,,,736.80,Collecting baseline... RawAvg=736.80
baseline,736.20,,,,736.20,Collecting baseline... RawAvg=736.20
baseline,735.40,,,,735.40,Collecting baseline... RawAvg=735.40
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,735.00,,,,735.00,Collecting baseline... RawAvg=735.00
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,735.80,,,,735.80,Collecting baseline... RawAvg=735.80
baseline,736.20,,,,736.20,Collecting baseline... RawAvg=736.20
baseline,737.00,,,,737.00,Collecting baseline... RawAvg=737.00
baseline,737.80,,,,737.80,Collecting baseline... RawAvg=737.80
baseline,738.20,,,,738.20,Collecting baseline... RawAvg=738.20
baseline,738.40,,,,738.40,Collecting baseline... RawAvg=738.40
baseline,738.80,,,,738.80,Collecting baseline... RawAvg=738.80
baseline,738.60,,,,738.60,Collecting baseline... RawAvg=738.60
baseline,738.40,,,,738.40,Collecting baseline... RawAvg=738.40
baseline,738.00,,,,738.00,Collecting baseline... RawAvg=738.00
baseline,737.80,,,,737.80,Collecting baseline... RawAvg=737.80
baseline,737.00,,,,737.00,Collecting baseline... RawAvg=737.00
baseline,736.20,,,,736.20,Collecting baseline... RawAvg=736.20
baseline,735.80,,,,735.80,Collecting baseline... RawAvg=735.80
baseline,735.60,,,,735.60,Collecting baseline... RawAvg=735.60
baseline,735.40,,,,735.40,Collecting baseline... RawAvg=735.40
baseline,735.80,,,,735.80,Collecting baseline... RawAvg=735.80
baseline,736.40,,,,736.40,Collecting baseline... RawAvg=736.40
baseline,736.80,,,,736.80,Collecting baseline... RawAvg=736.80
baseline,737.40,,,,737.40,Collecting baseline... RawAvg=737.40
baseline,738.00,,,,738.00,Collecting baseline... RawAvg=738.00
baseline,738.60,,,,738.60,Collecting baseline... RawAvg=738.60
baseline,739.20,,,,739.20,Collecting baseline... RawAvg=739.20
baseline,739.40,,,,739.40,Collecting baseline... RawAvg=739.40
baseline,739.00,,,,739.00,Collecting baseline... RawAvg=739.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,736.84,,,736.84,Final Base Raw Average = 736.84
info,,,,,,--------------------------------------------------------------------------
data,,736.8,737.8,1.0,737.8,Time=0.1s | BaseRaw=736.8 | CurrentRaw=737.8 | Change=1.0 => Floor
data,,736.8,736.8,0.0,736.8,Time=0.2s | BaseRaw=736.8 | CurrentRaw=736.8 | Change=0.0 => Floor
data,,736.8,736.4,0.4,736.4,Time=0.3s | BaseRaw=736.8 | CurrentRaw=736.4 | Change=0.4 => Floor
data,,736.8,736.6,0.2,736.6,Time=0.4s | BaseRaw=736.8 | CurrentRaw=736.6 | Change=0.2 => Floor
data,,736.8,737.2,0.4,737.2,Time=0.5s | BaseRaw=736.8 | CurrentRaw=737.2 | Change=0.4 => Floor
data,,736.8,737.2,0.4,737.2,Time=0.6s | BaseRaw=736.8 | CurrentRaw=737.2 | Change=0.4 => Floor
data,,736.8,737.2,0.4,737.2,Time=0.7s | BaseRaw=736.8 | CurrentRaw=737.2 | Change=0.4 => Floor
data,,736.8,737.0,0.2,737.0,Time=0.8s | BaseRaw=736.8 | CurrentRaw=737.0 | Change=0.2 => Floor
data,,736.8,737.2,0.4,737.2,Time=0.9s | BaseRaw=736.8 | CurrentRaw=737.2 | Change=0.4 => Floor
data,,736.8,737.0,0.2,737.0,Time=1.0s | BaseRaw=736.8 | CurrentRaw=737.0 | Change=0.2 => Floor
data,,736.8,736.6,0.2,736.6,Time=1.1s | BaseRaw=736.8 | CurrentRaw=736.6 | Change=0.2 => Floor
data,,736.8,736.6,0.2,736.6,Time=1.2s | BaseRaw=736.8 | CurrentRaw=736.6 | Change=0.2 => Floor
data,,736.8,737.0,0.2,737.0,Time=1.3s | BaseRaw=736.8 | CurrentRaw=737.0 | Change=0.2 => Floor
data,,736.8,737.2,0.4,737.2,Time=1.4s | BaseRaw=736.8 | CurrentRaw=737.2 | Change=0.4 => Floor
data,,736.8,737.0,0.2,737.0,Time=1.5s | BaseRaw=736.8 | CurrentRaw=737.0 | Change=0.2 => Floor
data,,736.8,737.0,0.2,737.0,Time=1.6s | BaseRaw=736.8 | CurrentRaw=737.0 | Change=0.2 => Floor
data,,736.8,737.0,0.2,737.0,Time=1.7s | BaseRaw=736.8 | CurrentRaw=737.0 | Change=0.2 => Floor
data,,736.8,737.0,0.2,737.0,Time=1.8s | BaseRaw=736.8 | CurrentRaw=737.0 | Change=0.2 => Floor
data,,736.8,736.8,0.0,736.8,Time=1.9s | BaseRaw=736.8 | CurrentRaw=736.8 | Change=0.0 => Floor
data,,736.8,736.8,0.0,736.8,Time=2.0s | BaseRaw=736.8 | CurrentRaw=736.8 | Change=0.0 => Floor
data,,736.8,736.6,0.2,736.6,Time=2.1s | BaseRaw=736.8 | CurrentRaw=736.6 | Change=0.2 => Floor
data,,736.8,736.6,0.2,736.6,Time=2.2s | BaseRaw=736.8 | CurrentRaw=736.6 | Change=0.2 => Floor
data,,736.8,736.8,0.0,736.8,Time=2.3s | BaseRaw=736.8 | CurrentRaw=736.8 | Change=0.0 => Floor
data,,736.8,736.6,0.2,736.6,Time=2.4s | BaseRaw=736.8 | CurrentRaw=736.6 | Change=0.2 => Floor
data,,736.8,736.4,0.4,736.4,Time=2.5s | BaseRaw=736.8 | CurrentRaw=736.4 | Change=0.4 => Floor
data,,736.8,736.4,0.4,736.4,Time=2.6s | BaseRaw=736.8 | CurrentRaw=736.4 | Change=0.4 => Floor
data,,736.8,736.6,0.2,736.6,Time=2.7s | BaseRaw=736.8 | CurrentRaw=736.6 | Change=0.2 => Floor
data,,736.8,736.4,0.4,736.4,Time=2.8s | BaseRaw=736.8 | CurrentRaw=736.4 | Change=0.4 => Floor
data,,736.8,736.4,0.4,736.4,Time=2.9s | BaseRaw=736.8 | CurrentRaw=736.4 | Change=0.4 => Floor
data,,736.8,736.2,0.6,736.2,Time=3.0s | BaseRaw=736.8 | CurrentRaw=736.2 | Change=0.6 => Floor
data,,736.8,736.2,0.6,736.2,Time=3.1s | BaseRaw=736.8 | CurrentRaw=736.2 | Change=0.6 => Floor
data,,736.8,736.2,0.6,736.2,Time=3.2s | BaseRaw=736.8 | CurrentRaw=736.2 | Change=0.6 => Floor
data,,736.8,736.2,0.6,736.2,Time=3.3s | BaseRaw=736.8 | CurrentRaw=736.2 | Change=0.6 => Floor
data,,736.8,736.0,0.8,736.0,Time=3.4s | BaseRaw=736.8 | CurrentRaw=736.0 | Change=0.8 => Floor
data,,736.8,735.6,1.2,735.6,Time=3.5s | BaseRaw=736.8 | CurrentRaw=735.6 | Change=1.2 => Floor
data,,736.8,735.4,1.4,735.4,Time=3.6s | BaseRaw=736.8 | CurrentRaw=735.4 | Change=1.4 => Floor
data,,736.8,735.2,1.6,735.2,Time=3.7s | BaseRaw=736.8 | CurrentRaw=735.2 | Change=1.6 => Floor
data,,736.8,735.0,1.8,735.0,Time=3.8s | BaseRaw=736.8 | CurrentRaw=735.0 | Change=1.8 => Floor
data,,736.8,734.4,2.4,734.4,Time=3.9s | BaseRaw=736.8 | CurrentRaw=734.4 | Change=2.4 => Floor
data,,736.8,734.2,2.6,734.2,Time=4.0s | BaseRaw=736.8 | CurrentRaw=734.2 | Change=2.6 => Floor
data,,736.8,734.2,2.6,734.2,Time=4.1s | BaseRaw=736.8 | CurrentRaw=734.2 | Change=2.6 => Floor
data,,736.8,734.2,2.6,734.2,Time=4.2s | BaseRaw=736.8 | CurrentRaw=734.2 | Change=2.6 => Floor
data,,736.8,734.2,2.6,734.2,Time=4.3s | BaseRaw=736.8 | CurrentRaw=734.2 | Change=2.6 => Floor
data,,736.8,734.4,2.4,734.4,Time=4.4s | BaseRaw=736.8 | CurrentRaw=734.4 | Change=2.4 => Floor
data,,736.8,734.2,2.6,734.2,Time=4.5s | BaseRaw=736.8 | CurrentRaw=734.2 | Change=2.6 => Floor
data,,736.8,734.6,2.2,734.6,Time=4.6s | BaseRaw=736.8 | CurrentRaw=734.6 | Change=2.2 => Floor
data,,736.8,735.0,1.8,735.0,Time=4.7s | BaseRaw=736.8 | CurrentRaw=735.0 | Change=1.8 => Floor
data,,736.8,735.2,1.6,735.2,Time=4.8s | BaseRaw=736.8 | CurrentRaw=735.2 | Change=1.6 => Floor
data,,736.8,735.2,1.6,735.2,Time=4.9s | BaseRaw=736.8 | CurrentRaw=735.2 | Change=1.6 => Floor
data,,736.8,735.4,1.4,735.4,Time=5.0s | BaseRaw=736.8 | CurrentRaw=735.4 | Change=1.4 => Floor
data,,736.8,735.4,1.4,735.4,Time=5.1s | BaseRaw=736.8 | CurrentRaw=735.4 | Change=1.4 => Floor
data,,736.8,735.4,1.4,735.4,Time=5.2s | BaseRaw=736.8 | CurrentRaw=735.4 | Change=1.4 => Floor
data,,736.8,735.6,1.2,735.6,Time=5.3s | BaseRaw=736.8 | CurrentRaw=735.6 | Change=1.2 => Floor
data,,736.8,735.8,1.0,735.8,Time=5.4s | BaseRaw=736.8 | CurrentRaw=735.8 | Change=1.0 => Floor
data,,736.8,736.2,0.6,736.2,Time=5.5s | BaseRaw=736.8 | CurrentRaw=736.2 | Change=0.6 => Floor
data,,736.8,736.2,0.6,736.2,Time=5.6s | BaseRaw=736.8 | CurrentRaw=736.2 | Change=0.6 => Floor
data,,736.8,736.2,0.6,736.2,Time=5.7s | BaseRaw=736.8 | CurrentRaw=736.2 | Change=0.6 => Floor
data,,736.8,734.6,2.2,734.6,Time=5.8s | BaseRaw=736.8 | CurrentRaw=734.6 | Change=2.2 => Floor
data,,736.8,730.6,6.2,730.6,Time=5.9s | BaseRaw=736.8 | CurrentRaw=730.6 | Change=6.2 => Floor
data,,736.8,725.8,11.0,725.8,Time=6.0s | BaseRaw=736.8 | CurrentRaw=725.8 | Change=11.0 => Liquid
data,,736.8,722.0,14.8,722.0,Time=6.1s | BaseRaw=736.8 | CurrentRaw=722.0 | Change=14.8 => Liquid
data,,736.8,717.6,19.2,717.6,Time=6.2s | BaseRaw=736.8 | CurrentRaw=717.6 | Change=19.2 => Liquid
data,,736.8,714.2,22.6,714.2,Time=6.3s | BaseRaw=736.8 | CurrentRaw=714.2 | Change=22.6 => Liquid
data,,736.8,715.4,21.4,715.4,Time=6.4s | BaseRaw=736.8 | CurrentRaw=715.4 | Change=21.4 => Liquid
data,,736.8,718.0,18.8,718.0,Time=6.5s | BaseRaw=736.8 | CurrentRaw=718.0 | Change=18.8 => Liquid
