record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,821.80,,,,821.80,Collecting baseline... RawAvg=821.80
baseline,821.40,,,,821.40,Collecting baseline... RawAvg=821.40
baseline,821.40,,,,821.40,Collecting baseline... RawAvg=821.40
baseline,821.20,,,,821.20,Collecting baseline... RawAvg=821.20
baseline,821.20,,,,821.20,Collecting baseline... RawAvg=821.20
baseline,821.60,,,,821.60,Collecting baseline... RawAvg=821.60
baseline,821.80,,,,821.80,Collecting baseline... RawAvg=821.80
baseline,821.40,,,,821.40,Collecting baseline... RawAvg=821.40
baseline,821.20,,,,821.20,Collecting baseline... RawAvg=821.20
baseline,820.80,,,,820.80,Collecting baseline... RawAvg=820.80
baseline,820.40,,,,820.40,Collecting baseline... RawAvg=820.40
baseline,820.20,,,,820.20,Collecting baseline... RawAvg=820.20
baseline,820.20,,,,820.20,Collecting baseline... RawAvg=820.20
baseline,820.00,,,,820.00,Collecting baseline... RawAvg=820.00
baseline,819.80,,,,819.80,Collecting baseline... RawAvg=819.80
baseline,819.40,,,,819.40,Collecting baseline... RawAvg=819.40
baseline,819.00,,,,819.00,Collecting baseline... RawAvg=819.00
baseline,818.60,,,,818.60,Collecting baseline... RawAvg=818.60
baseline,818.40,,,,818.40,Collecting baseline... RawAvg=818.40
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.40,,,,818.40,Collecting baseline... RawAvg=818.40
baseline,818.60,,,,818.60,Collecting baseline... RawAvg=818.60
baseline,818.80,,,,818.80,Collecting baseline... RawAvg=818.80
baseline,819.00,,,,819.00,Collecting baseline... RawAvg=819.00
baseline,818.80,,,,818.80,Collecting baseline... RawAvg=818.80
baseline,818.40,,,,818.40,Collecting baseline... RawAvg=818.40
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.40,,,,818.40,Collecting baseline... RawAvg=818.40
baseline,818.60,,,,818.60,Collecting baseline... RawAvg=818.60
baseline,819.00,,,,819.00,Collecting baseline... RawAvg=819.00
baseline,819.20,,,,819.20,Collecting baseline... RawAvg=819.20
baseline,819.20,,,,819.20,Collecting baseline... RawAvg=819.20
baseline,819.00,,,,819.00,Collecting baseline... RawAvg=819.00
baseline,818.60,,,,818.60,Collecting baseline... RawAvg=818.60
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.40,,,,818.40,Collecting baseline... RawAvg=818.40
baseline,818.80,,,,818.80,Collecting baseline... RawAvg=818.80
baseline,818.80,,,,818.80,Collecting baseline... RawAvg=818.80
baseline,818.80,,,,818.80,Collecting baseline... RawAvg=818.80
baseline,818.60,,,,818.60,Collecting baseline... RawAvg=818.60
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,817.60,,,,817.60,Collecting baseline... RawAvg=817.60
baseline,817.80,,,,817.80,Collecting baseline... RawAvg=817.80
baseline,818.00,,,,818.00,Collecting baseline... RawAvg=818.00
baseline,818.20,,,,818.20,Collecting baseline... RawAvg=818.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,819.25,,,819.25,Final Base Raw Average = 819.25
info,,,,,,--------------------------------------------------------------------------
data,,819.3,818.8,0.5,818.8,Time=0.1s | BaseRaw=819.3 | CurrentRaw=818.8 | Change=0.5 => Floor
data,,819.3,818.4,0.9,818.4,Time=0.2s | BaseRaw=819.3 | CurrentRaw=818.4 | Change=0.9 => Floor
data,,819.3,818.4,0.9,818.4,Time=0.3s | BaseRaw=819.3 | CurrentRaw=818.4 | Change=0.9 => Floor
data,,819.3,818.2,1.1,818.2,Time=0.4s | BaseRaw=819.3 | CurrentRaw=818.2 | Change=1.1 => Floor
data,,819.3,818.2,1.1,818.2,Time=0.5s | BaseRaw=819.3 | CurrentRaw=818.2 | Change=1.1 => Floor
data,,819.3,818.0,1.3,818.0,Time=0.6s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,818.0,1.3,818.0,Time=0.7s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,818.0,1.3,818.0,Time=0.8s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,817.8,1.5,817.8,Time=0.9s | BaseRaw=819.3 | CurrentRaw=817.8 | Change=1.5 => Floor
data,,819.3,818.0,1.3,818.0,Time=1.0s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,818.0,1.3,818.0,Time=1.1s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,818.0,1.3,818.0,Time=1.2s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,818.2,1.1,818.2,Time=1.3s | BaseRaw=819.3 | CurrentRaw=818.2 | Change=1.1 => Floor
data,,819.3,818.2,1.1,818.2,Time=1.4s | BaseRaw=819.3 | CurrentRaw=818.2 | Change=1.1 => Floor
data,,819.3,818.2,1.1,818.2,Time=1.5s | BaseRaw=819.3 | CurrentRaw=818.2 | Change=1.1 => Floor
data,,819.3,818.0,1.3,818.0,Time=1.6s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,818.2,1.1,818.2,Time=1.7s | BaseRaw=819.3 | CurrentRaw=818.2 | Change=1.1 => Floor
data,,819.3,817.8,1.5,817.8,Time=1.8s | BaseRaw=819.3 | CurrentRaw=817.8 | Change=1.5 => Floor
data,,819.3,817.8,1.5,817.8,Time=1.9s | BaseRaw=819.3 | CurrentRaw=817.8 | Change=1.5 => Floor
data,,819.3,818.0,1.3,818.0,Time=2.0s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,818.0,1.3,818.0,Time=2.1s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,818.2,1.1,818.2,Time=2.2s | BaseRaw=819.3 | CurrentRaw=818.2 | Change=1.1 => Floor
data,,819.3,818.2,1.1,818.2,Time=2.3s | BaseRaw=819.3 | CurrentRaw=818.2 | Change=1.1 => Floor
data,,819.3,818.4,0.9,818.4,Time=2.4s | BaseRaw=819.3 | CurrentRaw=818.4 | Change=0.9 => Floor
data,,819.3,818.0,1.3,818.0,Time=2.5s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,818.0,1.3,818.0,Time=2.6s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,818.0,1.3,818.0,Time=2.7s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,817.8,1.5,817.8,Time=2.8s | BaseRaw=819.3 | CurrentRaw=817.8 | Change=1.5 => Floor
data,,819.3,818.0,1.3,818.0,Time=2.9s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,818.0,1.3,818.0,Time=3.0s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,818.2,1.1,818.2,Time=3.1s | BaseRaw=819.3 | CurrentRaw=818.2 | Change=1.1 => Floor
data,,819.3,818.2,1.1,818.2,Time=3.2s | BaseRaw=819.3 | CurrentRaw=818.2 | Change=1.1 => Floor
data,,819.3,818.4,0.9,818.4,Time=3.3s | BaseRaw=819.3 | CurrentRaw=818.4 | Change=0.9 => Floor
data,,819.3,818.2,1.1,818.2,Time=3.4s | BaseRaw=819.3 | CurrentRaw=818.2 | Change=1.1 => Floor
data,,819.3,818.2,1.1,818.2,Time=3.5s | BaseRaw=819.3 | CurrentRaw=818.2 | Change=1.1 => Floor
data,,819.3,818.0,1.3,818.0,Time=3.6s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,818.0,1.3,818.0,Time=3.7s | BaseRaw=819.3 | CurrentRaw=818.0 | Change=1.3 => Floor
data,,819.3,817.8,1.5,817.8,Time=3.8s | BaseRaw=819.3 | CurrentRaw=817.8 | Change=1.5 => Floor
data,,819.3,818.2,1.1,818.2,Time=3.9s | BaseRaw=819.3 | CurrentRaw=818.2 | Change=1.1 => Floor
data,,819.3,818.4,0.9,818.4,Time=4.0s | BaseRaw=819.3 | CurrentRaw=818.4 | Change=0.9 => Floor
data,,819.3,819.0,0.3,819.0,Time=4.1s | BaseRaw=819.3 | CurrentRaw=819.0 | Change=0.3 => Floor
data,,819.3,819.4,0.1,819.4,Time=4.2s | BaseRaw=819.3 | CurrentRaw=819.4 | Change=0.1 => Floor
data,,819.3,819.6,0.3,819.6,Time=4.3s | BaseRaw=819.3 | CurrentRaw=819.6 | Change=0.3 => Floor
data,,819.3,819.8,0.5,819.8,Time=4.4s | BaseRaw=819.3 | CurrentRaw=819.8 | Change=0.5 => Floor
data,,819.3,819.6,0.3,819.6,Time=4.5s | BaseRaw=819.3 | CurrentRaw=819.6 | Change=0.3 => Floor
data,,819.3,819.4,0.1,819.4,Time=4.6s | BaseRaw=819.3 | CurrentRaw=819.4 | Change=0.1 => Floor
data,,819.3,819.2,0.1,819.2,Time=4.7s | BaseRaw=819.3 | CurrentRaw=819.2 | Change=0.1 => Floor
data,,819.3,819.2,0.1,819.2,Time=4.8s | BaseRaw=819.3 | CurrentRaw=819.2 | Change=0.1 => Floor
data,,819.3,819.0,0.3,819.0,Time=4.9s | BaseRaw=819.3 | CurrentRaw=819.0 | Change=0.3 => Floor
data,,819.3,819.0,0.3,819.0,Time=5.0s | BaseRaw=819.3 | CurrentRaw=819.0 | Change=0.3 => Floor
data,,819.3,819.2,0.1,819.2,Time=5.1s | BaseRaw=819.3 | CurrentRaw=819.2 | Change=0.1 => Floor
data,,819.3,819.2,0.1,819.2,Time=5.2s | BaseRaw=819.3 | CurrentRaw=819.2 | Change=0.1 => Floor
data,,819.3,819.4,0.1,819.4,Time=5.3s | BaseRaw=819.3 | CurrentRaw=819.4 | Change=0.1 => Floor
data,,819.3,818.8,0.5,818.8,Time=5.4s | BaseRaw=819.3 | CurrentRaw=818.8 | Change=0.5 => Floor
data,,819.3,816.8,2.5,816.8,Time=5.5s | BaseRaw=819.3 | CurrentRaw=816.8 | Change=2.5 => Floor
data,,819.3,813.0,6.3,813.0,Time=5.6s | BaseRaw=819.3 | CurrentRaw=813.0 | Change=6.3 => Floor
data,,819.3,806.6,12.7,806.6,Time=5.7s | BaseRaw=819.3 | CurrentRaw=806.6 | Change=12.7 => Liquid
data,,819.3,797.0,22.3,797.0,Time=5.8s | BaseRaw=819.3 | CurrentRaw=797.0 | Change=22.3 => Liquid
data,,819.3,785.4,33.9,785.4,Time=5.9s | BaseRaw=819.3 | CurrentRaw=785.4 | Change=33.9 => Liquid
data,,819.3,775.2,44.1,775.2,Time=6.0s | BaseRaw=819.3 | CurrentRaw=775.2 | Change=44.1 => Liquid
data,,819.3,766.4,52.9,766.4,Time=6.1s | BaseRaw=819.3 | CurrentRaw=766.4 | Change=52.9 => Liquid
data,,819.3,759.8,59.5,759.8,Time=6.2s | BaseRaw=819.3 | CurrentRaw=759.8 | Change=59.5 => Liquid
data,,819.3,756.8,62.5,756.8,Time=6.3s | BaseRaw=819.3 | CurrentRaw=756.8 | Change=62.5 => Liquid
data,,819.3,756.6,62.7,756.6,Time=6.4s | BaseRaw=819.3 | CurrentRaw=756.6 | Change=62.7 => Liquid
data,,819.3,756.4,62.9,756.4,Time=6.5s | BaseRaw=819.3 | CurrentRaw=756.4 | Change=62.9 => Liquid
