record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,804.60,,,,804.60,Collecting baseline... RawAvg=804.60
baseline,804.80,,,,804.80,Collecting baseline... RawAvg=804.80
baseline,805.20,,,,805.20,Collecting baseline... RawAvg=805.20
baseline,805.40,,,,805.40,Collecting baseline... RawAvg=805.40
baseline,805.40,,,,805.40,Collecting baseline... RawAvg=805.40
baseline,805.20,,,,805.20,Collecting baseline... RawAvg=805.20
baseline,805.00,,,,805.00,Collecting baseline... RawAvg=805.00
baseline,804.80,,,,804.80,Collecting baseline... RawAvg=804.80
baseline,804.80,,,,804.80,Collecting baseline... RawAvg=804.80
baseline,805.00,,,,805.00,Collecting baseline... RawAvg=805.00
baseline,805.20,,,,805.20,Collecting baseline... RawAvg=805.20
baseline,805.40,,,,805.40,Collecting baseline... RawAvg=805.40
baseline,805.40,,,,805.40,Collecting baseline... RawAvg=805.40
baseline,805.40,,,,805.40,Collecting baseline... RawAvg=805.40
baseline,805.40,,,,805.40,Collecting baseline... RawAvg=805.40
baseline,805.00,,,,805.00,Collecting baseline... RawAvg=805.00
baseline,804.60,,,,804.60,Collecting baseline... RawAvg=804.60
baseline,804.40,,,,804.40,Collecting baseline... RawAvg=804.40
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.20,,,,804.20,Collecting baseline... RawAvg=804.20
baseline,804.60,,,,804.60,Collecting baseline... RawAvg=804.60
baseline,805.00,,,,805.00,Collecting baseline... RawAvg=805.00
baseline,805.40,,,,805.40,Collecting baseline... RawAvg=805.40
baseline,805.80,,,,805.80,Collecting baseline... RawAvg=805.80
baseline,806.00,,,,806.00,Collecting baseline... RawAvg=806.00
baseline,806.00,,,,806.00,Collecting baseline... RawAvg=806.00
baseline,805.80,,,,805.80,Collecting baseline... RawAvg=805.80
baseline,805.60,,,,805.60,Collecting baseline... RawAvg=805.60
baseline,805.60,,,,805.60,Collecting baseline... RawAvg=805.60
baseline,805.60,,,,805.60,Collecting baseline... RawAvg=805.60
baseline,805.60,,,,805.60,Collecting baseline... RawAvg=805.60
baseline,805.80,,,,805.80,Collecting baseline... RawAvg=805.80
baseline,805.80,,,,805.80,Collecting baseline... RawAvg=805.80
baseline,805.60,,,,805.60,Collecting baseline... RawAvg=805.60
baseline,805.40,,,,805.40,Collecting baseline... RawAvg=805.40
baseline,805.20,,,,805.20,Collecting baseline... RawAvg=805.20
baseline,805.00,,,,805.00,Collecting baseline... RawAvg=805.00
baseline,805.20,,,,805.20,Collecting baseline... RawAvg=805.20
baseline,805.40,,,,805.40,Collecting baseline... RawAvg=805.40
baseline,805.80,,,,805.80,Collecting baseline... RawAvg=805.80
baseline,806.00,,,,806.00,Collecting baseline... RawAvg=806.00
baseline,806.20,,,,806.20,Collecting baseline... RawAvg=806.20
baseline,806.00,,,,806.00,Collecting baseline... RawAvg=806.00
baseline,805.80,,,,805.80,Collecting baseline... RawAvg=805.80
baseline,805.40,,,,805.40,Collecting baseline... RawAvg=805.40
baseline,805.20,,,,805.20,Collecting baseline... RawAvg=805.20
baseline,805.20,,,,805.20,Collecting baseline... RawAvg=805.20
baseline,805.40,,,,805.40,Collecting baseline... RawAvg=805.40
baseline,805.60,,,,805.60,Collecting baseline... RawAvg=805.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,805.31,,,805.31,Final Base Raw Average = 805.31
info,,,,,,--------------------------------------------------------------------------
data,,805.3,806.0,0.7,806.0,Time=0.1s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,805.8,0.5,805.8,Time=0.2s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.8,0.5,805.8,Time=0.3s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.8,0.5,805.8,Time=0.4s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.6,0.3,805.6,Time=0.5s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.6,0.3,805.6,Time=0.6s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.6,0.3,805.6,Time=0.7s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.8,0.5,805.8,Time=0.8s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.8,0.5,805.8,Time=0.9s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,806.0,0.7,806.0,Time=1.0s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.0,0.7,806.0,Time=1.1s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.0,0.7,806.0,Time=1.2s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,805.8,0.5,805.8,Time=1.3s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.8,0.5,805.8,Time=1.4s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.6,0.3,805.6,Time=1.5s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.6,0.3,805.6,Time=1.6s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.6,0.3,805.6,Time=1.7s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.6,0.3,805.6,Time=1.8s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.6,0.3,805.6,Time=1.9s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.8,0.5,805.8,Time=2.0s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,806.0,0.7,806.0,Time=2.1s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.0,0.7,806.0,Time=2.2s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.0,0.7,806.0,Time=2.3s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,805.8,0.5,805.8,Time=2.4s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.8,0.5,805.8,Time=2.5s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.8,0.5,805.8,Time=2.6s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.8,0.5,805.8,Time=2.7s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,806.0,0.7,806.0,Time=2.8s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.0,0.7,806.0,Time=2.9s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.2,0.9,806.2,Time=3.0s | BaseRaw=805.3 | CurrentRaw=806.2 | Change=0.9 => Floor
data,,805.3,806.0,0.7,806.0,Time=3.1s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.2,0.9,806.2,Time=3.2s | BaseRaw=805.3 | CurrentRaw=806.2 | Change=0.9 => Floor
data,,805.3,806.0,0.7,806.0,Time=3.3s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.0,0.7,806.0,Time=3.4s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.0,0.7,806.0,Time=3.5s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.2,0.9,806.2,Time=3.6s | BaseRaw=805.3 | CurrentRaw=806.2 | Change=0.9 => Floor
data,,805.3,806.2,0.9,806.2,Time=3.7s | BaseRaw=805.3 | CurrentRaw=806.2 | Change=0.9 => Floor
data,,805.3,806.6,1.3,806.6,Time=3.8s | BaseRaw=805.3 | CurrentRaw=806.6 | Change=1.3 => Floor
data,,805.3,806.6,1.3,806.6,Time=3.9s | BaseRaw=805.3 | CurrentRaw=806.6 | Change=1.3 => Floor
data,,805.3,806.6,1.3,806.6,Time=4.0s | BaseRaw=805.3 | CurrentRaw=806.6 | Change=1.3 => Floor
data,,805.3,806.4,1.1,806.4,Time=4.1s | BaseRaw=805.3 | CurrentRaw=806.4 | Change=1.1 => Floor
data,,805.3,806.6,1.3,806.6,Time=4.2s | BaseRaw=805.3 | CurrentRaw=806.6 | Change=1.3 => Floor
data,,805.3,806.2,0.9,806.2,Time=4.3s | BaseRaw=805.3 | CurrentRaw=806.2 | Change=0.9 => Floor
data,,805.3,807.2,1.9,807.2,Time=4.4s | BaseRaw=805.3 | CurrentRaw=807.2 | Change=1.9 => Floor
data,,805.3,808.8,3.5,808.8,Time=4.5s | BaseRaw=805.3 | CurrentRaw=808.8 | Change=3.5 => Floor
data,,805.3,809.8,4.5,809.8,Time=4.6s | BaseRaw=805.3 | CurrentRaw=809.8 | Change=4.5 => Floor
data,,805.3,811.2,5.9,811.2,Time=4.7s | BaseRaw=805.3 | CurrentRaw=811.2 | Change=5.9 => Floor
data,,805.3,813.6,8.3,813.6,Time=4.8s | BaseRaw=805.3 | CurrentRaw=813.6 | Change=8.3 => Floor
data,,805.3,815.4,10.1,815.4,Time=4.9s | BaseRaw=805.3 | CurrentRaw=815.4 | Change=10.1 => Liquid
data,,805.3,816.2,10.9,816.2,Time=5.0s | BaseRaw=805.3 | CurrentRaw=816.2 | Change=10.9 => Liquid
data,,805.3,817.8,12.5,817.8,Time=5.1s | BaseRaw=805.3 | CurrentRaw=817.8 | Change=12.5 => Liquid
data,,805.3,818.6,13.3,818.6,Time=5.2s | BaseRaw=805.3 | CurrentRaw=818.6 | Change=13.3 => Liquid
data,,805.3,818.6,13.3,818.6,Time=5.3s | BaseRaw=805.3 | CurrentRaw=818.6 | Change=13.3 => Liquid
data,,805.3,818.6,13.3,818.6,Time=5.4s | BaseRaw=805.3 | CurrentRaw=818.6 | Change=13.3 => Liquid
data,,805.3,818.2,12.9,818.2,Time=5.5s | BaseRaw=805.3 | CurrentRaw=818.2 | Change=12.9 => Liquid
data,,805.3,818.0,12.7,818.0,Time=5.6s | BaseRaw=805.3 | CurrentRaw=818.0 | Change=12.7 => Liquid
data,,805.3,818.6,13.3,818.6,Time=5.7s | BaseRaw=805.3 | CurrentRaw=818.6 | Change=13.3 => Liquid
data,,805.3,819.0,13.7,819.0,Time=5.8s | BaseRaw=805.3 | CurrentRaw=819.0 | Change=13.7 => Liquid
data,,805.3,819.6,14.3,819.6,Time=5.9s | BaseRaw=805.3 | CurrentRaw=819.6 | Change=14.3 => Liquid
data,,805.3,820.4,15.1,820.4,Time=6.0s | BaseRaw=805.3 | CurrentRaw=820.4 | Change=15.1 => Liquid
data,,805.3,820.6,15.3,820.6,Time=6.1s | BaseRaw=805.3 | CurrentRaw=820.6 | Change=15.3 => Liquid
data,,805.3,820.4,15.1,820.4,Time=6.2s | BaseRaw=805.3 | CurrentRaw=820.4 | Change=15.1 => Liquid
data,,805.3,820.4,15.1,820.4,Time=6.3s | BaseRaw=805.3 | CurrentRaw=820.4 | Change=15.1 => Liquid
data,,805.3,819.6,14.3,819.6,Time=6.4s | BaseRaw=805.3 | CurrentRaw=819.6 | Change=14.3 => Liquid
data,,805.3,819.4,14.1,819.4,Time=6.5s | BaseRaw=805.3 | CurrentRaw=819.4 | Change=14.1 => Liquid
