record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,799.20,,,,799.20,Collecting baseline... RawAvg=799.20
baseline,799.20,,,,799.20,Collecting baseline... RawAvg=799.20
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.20,,,,799.20,Collecting baseline... RawAvg=799.20
baseline,799.20,,,,799.20,Collecting baseline... RawAvg=799.20
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.20,,,,799.20,Collecting baseline... RawAvg=799.20
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,800.00,,,,800.00,Collecting baseline... RawAvg=800.00
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,799.80,,,,799.80,Collecting baseline... RawAvg=799.80
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.20,,,,799.20,Collecting baseline... RawAvg=799.20
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.20,,,,799.20,Collecting baseline... RawAvg=799.20
baseline,799.20,,,,799.20,Collecting baseline... RawAvg=799.20
baseline,799.40,,,,799.40,Collecting baseline... RawAvg=799.40
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
baseline,799.60,,,,799.60,Collecting baseline... RawAvg=799.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,799.58,,,799.58,Final Base Raw Average = 799.58
info,,,,,,--------------------------------------------------------------------------
data,,799.6,799.4,0.2,799.4,Time=0.1s | BaseRaw=799.6 | CurrentRaw=799.4 | Change=0.2 => Floor
data,,799.6,799.2,0.4,799.2,Time=0.2s | BaseRaw=799.6 | CurrentRaw=799.2 | Change=0.4 => Floor
data,,799.6,799.4,0.2,799.4,Time=0.3s | BaseRaw=799.6 | CurrentRaw=799.4 | Change=0.2 => Floor
data,,799.6,799.4,0.2,799.4,Time=0.4s | BaseRaw=799.6 | CurrentRaw=799.4 | Change=0.2 => Floor
data,,799.6,799.6,0.0,799.6,Time=0.5s | BaseRaw=799.6 | CurrentRaw=799.6 | Change=0.0 => Floor
data,,799.6,799.4,0.2,799.4,Time=0.6s | BaseRaw=799.6 | CurrentRaw=799.4 | Change=0.2 => Floor
data,,799.6,799.4,0.2,799.4,Time=0.7s | BaseRaw=799.6 | CurrentRaw=799.4 | Change=0.2 => Floor
data,,799.6,799.4,0.2,799.4,Time=0.8s | BaseRaw=799.6 | CurrentRaw=799.4 | Change=0.2 => Floor
data,,799.6,799.6,0.0,799.6,Time=0.9s | BaseRaw=799.6 | CurrentRaw=799.6 | Change=0.0 => Floor
data,,799.6,799.6,0.0,799.6,Time=1.0s | BaseRaw=799.6 | CurrentRaw=799.6 | Change=0.0 => Floor
data,,799.6,799.8,0.2,799.8,Time=1.1s | BaseRaw=799.6 | CurrentRaw=799.8 | Change=0.2 => Floor
data,,799.6,800.0,0.4,800.0,Time=1.2s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,800.0,0.4,800.0,Time=1.3s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,800.0,0.4,800.0,Time=1.4s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,800.0,0.4,800.0,Time=1.5s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,800.0,0.4,800.0,Time=1.6s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,800.0,0.4,800.0,Time=1.7s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,799.8,0.2,799.8,Time=1.8s | BaseRaw=799.6 | CurrentRaw=799.8 | Change=0.2 => Floor
data,,799.6,799.8,0.2,799.8,Time=1.9s | BaseRaw=799.6 | CurrentRaw=799.8 | Change=0.2 => Floor
data,,799.6,799.6,0.0,799.6,Time=2.0s | BaseRaw=799.6 | CurrentRaw=799.6 | Change=0.0 => Floor
data,,799.6,799.6,0.0,799.6,Time=2.1s | BaseRaw=799.6 | CurrentRaw=799.6 | Change=0.0 => Floor
data,,799.6,799.6,0.0,799.6,Time=2.2s | BaseRaw=799.6 | CurrentRaw=799.6 | Change=0.0 => Floor
data,,799.6,799.6,0.0,799.6,Time=2.3s | BaseRaw=799.6 | CurrentRaw=799.6 | Change=0.0 => Floor
data,,799.6,799.6,0.0,799.6,Time=2.4s | BaseRaw=799.6 | CurrentRaw=799.6 | Change=0.0 => Floor
data,,799.6,799.6,0.0,799.6,Time=2.5s | BaseRaw=799.6 | CurrentRaw=799.6 | Change=0.0 => Floor
data,,799.6,799.4,0.2,799.4,Time=2.6s | BaseRaw=799.6 | CurrentRaw=799.4 | Change=0.2 => Floor
data,,799.6,799.4,0.2,799.4,Time=2.7s | BaseRaw=799.6 | CurrentRaw=799.4 | Change=0.2 => Floor
data,,799.6,799.4,0.2,799.4,Time=2.8s | BaseRaw=799.6 | CurrentRaw=799.4 | Change=0.2 => Floor
data,,799.6,799.4,0.2,799.4,Time=2.9s | BaseRaw=799.6 | CurrentRaw=799.4 | Change=0.2 => Floor
data,,799.6,799.4,0.2,799.4,Time=3.0s | BaseRaw=799.6 | CurrentRaw=799.4 | Change=0.2 => Floor
data,,799.6,799.6,0.0,799.6,Time=3.1s | BaseRaw=799.6 | CurrentRaw=799.6 | Change=0.0 => Floor
data,,799.6,799.6,0.0,799.6,Time=3.2s | BaseRaw=799.6 | CurrentRaw=799.6 | Change=0.0 => Floor
data,,799.6,799.6,0.0,799.6,Time=3.3s | BaseRaw=799.6 | CurrentRaw=799.6 | Change=0.0 => Floor
data,,799.6,799.6,0.0,799.6,Time=3.4s | BaseRaw=799.6 | CurrentRaw=799.6 | Change=0.0 => Floor
data,,799.6,799.8,0.2,799.8,Time=3.5s | BaseRaw=799.6 | CurrentRaw=799.8 | Change=0.2 => Floor
data,,799.6,799.8,0.2,799.8,Time=3.6s | BaseRaw=799.6 | CurrentRaw=799.8 | Change=0.2 => Floor
data,,799.6,799.8,0.2,799.8,Time=3.7s | BaseRaw=799.6 | CurrentRaw=799.8 | Change=0.2 => Floor
data,,799.6,800.0,0.4,800.0,Time=3.8s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,800.0,0.4,800.0,Time=3.9s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,800.0,0.4,800.0,Time=4.0s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,799.8,0.2,799.8,Time=4.1s | BaseRaw=799.6 | CurrentRaw=799.8 | Change=0.2 => Floor
data,,799.6,799.8,0.2,799.8,Time=4.2s | BaseRaw=799.6 | CurrentRaw=799.8 | Change=0.2 => Floor
data,,799.6,799.8,0.2,799.8,Time=4.3s | BaseRaw=799.6 | CurrentRaw=799.8 | Change=0.2 => Floor
data,,799.6,799.8,0.2,799.8,Time=4.4s | BaseRaw=799.6 | CurrentRaw=799.8 | Change=0.2 => Floor
data,,799.6,799.8,0.2,799.8,Time=4.5s | BaseRaw=799.6 | CurrentRaw=799.8 | Change=0.2 => Floor
data,,799.6,800.0,0.4,800.0,Time=4.6s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,800.0,0.4,800.0,Time=4.7s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,800.0,0.4,800.0,Time=4.8s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,800.0,0.4,800.0,Time=4.9s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,800.0,0.4,800.0,Time=5.0s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,800.0,0.4,800.0,Time=5.1s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,800.0,0.4,800.0,Time=5.2s | BaseRaw=799.6 | CurrentRaw=800.0 | Change=0.4 => Floor
data,,799.6,800.2,0.6,800.2,Time=5.3s | BaseRaw=799.6 | CurrentRaw=800.2 | Change=0.6 => Floor
data,,799.6,800.4,0.8,800.4,Time=5.4s | BaseRaw=799.6 | CurrentRaw=800.4 | Change=0.8 => Floor
data,,799.6,798.8,0.8,798.8,Time=5.5s | BaseRaw=799.6 | CurrentRaw=798.8 | Change=0.8 => Floor
data,,799.6,796.6,3.0,796.6,Time=5.6s | BaseRaw=799.6 | CurrentRaw=796.6 | Change=3.0 => Floor
data,,799.6,794.2,5.4,794.2,Time=5.7s | BaseRaw=799.6 | CurrentRaw=794.2 | Change=5.4 => Floor
data,,799.6,791.0,8.6,791.0,Time=5.8s | BaseRaw=799.6 | CurrentRaw=791.0 | Change=8.6 => Floor
data,,799.6,787.6,12.0,787.6,Time=5.9s | BaseRaw=799.6 | CurrentRaw=787.6 | Change=12.0 => Liquid
data,,799.6,785.8,13.8,785.8,Time=6.0s | BaseRaw=799.6 | CurrentRaw=785.8 | Change=13.8 => Liquid
data,,799.6,784.4,15.2,784.4,Time=6.1s | BaseRaw=799.6 | CurrentRaw=784.4 | Change=15.2 => Liquid
data,,799.6,783.2,16.4,783.2,Time=6.2s | BaseRaw=799.6 | CurrentRaw=783.2 | Change=16.4 => Liquid
data,,799.6,782.6,17.0,782.6,Time=6.3s | BaseRaw=799.6 | CurrentRaw=782.6 | Change=17.0 => Liquid
data,,799.6,782.4,17.2,782.4,Time=6.4s | BaseRaw=799.6 | CurrentRaw=782.4 | Change=17.2 => Liquid
data,,799.6,782.2,17.4,782.2,Time=6.5s | BaseRaw=799.6 | CurrentRaw=782.2 | Change=17.4 => Liquid
