record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,779.80,,,,779.80,Collecting baseline... RawAvg=779.80
baseline,780.20,,,,780.20,Collecting baseline... RawAvg=780.20
baseline,780.20,,,,780.20,Collecting baseline... RawAvg=780.20
baseline,780.20,,,,780.20,Collecting baseline... RawAvg=780.20
baseline,780.20,,,,780.20,Collecting baseline... RawAvg=780.20
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,780.20,,,,780.20,Collecting baseline... RawAvg=780.20
baseline,780.60,,,,780.60,Collecting baseline... RawAvg=780.60
baseline,781.20,,,,781.20,Collecting baseline... RawAvg=781.20
baseline,781.60,,,,781.60,Collecting baseline... RawAvg=781.60
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,781.60,,,,781.60,Collecting baseline... RawAvg=781.60
baseline,781.20,,,,781.20,Collecting baseline... RawAvg=781.20
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,780.00,,,,780.00,Collecting baseline... RawAvg=780.00
baseline,780.00,,,,780.00,Collecting baseline... RawAvg=780.00
baseline,780.60,,,,780.60,Collecting baseline... RawAvg=780.60
baseline,781.20,,,,781.20,Collecting baseline... RawAvg=781.20
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,781.40,,,,781.40,Collecting baseline... RawAvg=781.40
baseline,780.80,,,,780.80,Collecting baseline... RawAvg=780.80
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,780.60,,,,780.60,Collecting baseline... RawAvg=780.60
baseline,781.00,,,,781.00,Collecting baseline... RawAvg=781.00
baseline,781.60,,,,781.60,Collecting baseline... RawAvg=781.60
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,781.60,,,,781.60,Collecting baseline... RawAvg=781.60
baseline,781.20,,,,781.20,Collecting baseline... RawAvg=781.20
baseline,780.60,,,,780.60,Collecting baseline... RawAvg=780.60
baseline,780.20,,,,780.20,Collecting baseline... RawAvg=780.20
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,781.00,,,,781.00,Collecting baseline... RawAvg=781.00
baseline,781.40,,,,781.40,Collecting baseline... RawAvg=781.40
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,781.60,,,,781.60,Collecting baseline... RawAvg=781.60
baseline,780.80,,,,780.80,Collecting baseline... RawAvg=780.80
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,780.00,,,,780.00,Collecting baseline... RawAvg=780.00
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,781.00,,,,781.00,Collecting baseline... RawAvg=781.00
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,782.20,,,,782.20,Collecting baseline... RawAvg=782.20
baseline,782.40,,,,782.40,Collecting baseline... RawAvg=782.40
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,781.00,,,,781.00,Collecting baseline... RawAvg=781.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,781.00,,,781.00,Final Base Raw Average = 781.00
info,,,,,,--------------------------------------------------------------------------
data,,781.0,780.0,1.0,780.0,Time=0.1s | BaseRaw=781.0 | CurrentRaw=780.0 | Change=1.0 => Floor
data,,781.0,780.4,0.6,780.4,Time=0.2s | BaseRaw=781.0 | CurrentRaw=780.4 | Change=0.6 => Floor
data,,781.0,780.4,0.6,780.4,Time=0.3s | BaseRaw=781.0 | CurrentRaw=780.4 | Change=0.6 => Floor
data,,781.0,781.0,0.0,781.0,Time=0.4s | BaseRaw=781.0 | CurrentRaw=781.0 | Change=0.0 => Floor
data,,781.0,781.2,0.2,781.2,Time=0.5s | BaseRaw=781.0 | CurrentRaw=781.2 | Change=0.2 => Floor
data,,781.0,781.2,0.2,781.2,Time=0.6s | BaseRaw=781.0 | CurrentRaw=781.2 | Change=0.2 => Floor
data,,781.0,781.0,0.0,781.0,Time=0.7s | BaseRaw=781.0 | CurrentRaw=781.0 | Change=0.0 => Floor
data,,781.0,780.8,0.2,780.8,Time=0.8s | BaseRaw=781.0 | CurrentRaw=780.8 | Change=0.2 => Floor
data,,781.0,780.8,0.2,780.8,Time=0.9s | BaseRaw=781.0 | CurrentRaw=780.8 | Change=0.2 => Floor
data,,781.0,780.6,0.4,780.6,Time=1.0s | BaseRaw=781.0 | CurrentRaw=780.6 | Change=0.4 => Floor
data,,781.0,780.8,0.2,780.8,Time=1.1s | BaseRaw=781.0 | CurrentRaw=780.8 | Change=0.2 => Floor
data,,781.0,780.8,0.2,780.8,Time=1.2s | BaseRaw=781.0 | CurrentRaw=780.8 | Change=0.2 => Floor
data,,781.0,780.8,0.2,780.8,Time=1.3s | BaseRaw=781.0 | CurrentRaw=780.8 | Change=0.2 => Floor
data,,781.0,781.0,0.0,781.0,Time=1.4s | BaseRaw=781.0 | CurrentRaw=781.0 | Change=0.0 => Floor
data,,781.0,781.2,0.2,781.2,Time=1.5s | BaseRaw=781.0 | CurrentRaw=781.2 | Change=0.2 => Floor
data,,781.0,781.4,0.4,781.4,Time=1.6s | BaseRaw=781.0 | CurrentRaw=781.4 | Change=0.4 => Floor
data,,781.0,781.4,0.4,781.4,Time=1.7s | BaseRaw=781.0 | CurrentRaw=781.4 | Change=0.4 => Floor
data,,781.0,781.6,0.6,781.6,Time=1.8s | BaseRaw=781.0 | CurrentRaw=781.6 | Change=0.6 => Floor
data,,781.0,781.6,0.6,781.6,Time=1.9s | BaseRaw=781.0 | CurrentRaw=781.6 | Change=0.6 => Floor
data,,781.0,781.4,0.4,781.4,Time=2.0s | BaseRaw=781.0 | CurrentRaw=781.4 | Change=0.4 => Floor
data,,781.0,781.4,0.4,781.4,Time=2.1s | BaseRaw=781.0 | CurrentRaw=781.4 | Change=0.4 => Floor
data,,781.0,781.2,0.2,781.2,Time=2.2s | BaseRaw=781.0 | CurrentRaw=781.2 | Change=0.2 => Floor
data,,781.0,781.2,0.2,781.2,Time=2.3s | BaseRaw=781.0 | CurrentRaw=781.2 | Change=0.2 => Floor
data,,781.0,781.2,0.2,781.2,Time=2.4s | BaseRaw=781.0 | CurrentRaw=781.2 | Change=0.2 => Floor
data,,781.0,781.0,0.0,781.0,Time=2.5s | BaseRaw=781.0 | CurrentRaw=781.0 | Change=0.0 => Floor
data,,781.0,781.0,0.0,781.0,Time=2.6s | BaseRaw=781.0 | CurrentRaw=781.0 | Change=0.0 => Floor
data,,781.0,781.0,0.0,781.0,Time=2.7s | BaseRaw=781.0 | CurrentRaw=781.0 | Change=0.0 => Floor
data,,781.0,781.4,0.4,781.4,Time=2.8s | BaseRaw=781.0 | CurrentRaw=781.4 | Change=0.4 => Floor
data,,781.0,781.4,0.4,781.4,Time=2.9s | BaseRaw=781.0 | CurrentRaw=781.4 | Change=0.4 => Floor
data,,781.0,781.6,0.6,781.6,Time=3.0s | BaseRaw=781.0 | CurrentRaw=781.6 | Change=0.6 => Floor
data,,781.0,781.8,0.8,781.8,Time=3.1s | BaseRaw=781.0 | CurrentRaw=781.8 | Change=0.8 => Floor
data,,781.0,781.6,0.6,781.6,Time=3.2s | BaseRaw=781.0 | CurrentRaw=781.6 | Change=0.6 => Floor
data,,781.0,781.6,0.6,781.6,Time=3.3s | BaseRaw=781.0 | CurrentRaw=781.6 | Change=0.6 => Floor
data,,781.0,781.4,0.4,781.4,Time=3.4s | BaseRaw=781.0 | CurrentRaw=781.4 | Change=0.4 => Floor
data,,781.0,781.4,0.4,781.4,Time=3.5s | BaseRaw=781.0 | CurrentRaw=781.4 | Change=0.4 => Floor
data,,781.0,781.2,0.2,781.2,Time=3.6s | BaseRaw=781.0 | CurrentRaw=781.2 | Change=0.2 => Floor
data,,781.0,781.0,0.0,781.0,Time=3.7s | BaseRaw=781.0 | CurrentRaw=781.0 | Change=0.0 => Floor
data,,781.0,780.8,0.2,780.8,Time=3.8s | BaseRaw=781.0 | CurrentRaw=780.8 | Change=0.2 => Floor
data,,781.0,780.6,0.4,780.6,Time=3.9s | BaseRaw=781.0 | CurrentRaw=780.6 | Change=0.4 => Floor
data,,781.0,780.6,0.4,780.6,Time=4.0s | BaseRaw=781.0 | CurrentRaw=780.6 | Change=0.4 => Floor
data,,781.0,780.8,0.2,780.8,Time=4.1s | BaseRaw=781.0 | CurrentRaw=780.8 | Change=0.2 => Floor
data,,781.0,780.4,0.6,780.4,Time=4.2s | BaseRaw=781.0 | CurrentRaw=780.4 | Change=0.6 => Floor
data,,781.0,780.4,0.6,780.4,Time=4.3s | BaseRaw=781.0 | CurrentRaw=780.4 | Change=0.6 => Floor
data,,781.0,782.6,1.6,782.6,Time=4.4s | BaseRaw=781.0 | CurrentRaw=782.6 | Change=1.6 => Floor
data,,781.0,786.2,5.2,786.2,Time=4.5s | BaseRaw=781.0 | CurrentRaw=786.2 | Change=5.2 => Floor
data,,781.0,789.8,8.8,789.8,Time=4.6s | BaseRaw=781.0 | CurrentRaw=789.8 | Change=8.8 => Floor
data,,781.0,794.4,13.4,794.4,Time=4.7s | BaseRaw=781.0 | CurrentRaw=794.4 | Change=13.4 => Liquid
data,,781.0,798.8,17.8,798.8,Time=4.8s | BaseRaw=781.0 | CurrentRaw=798.8 | Change=17.8 => Liquid
data,,781.0,801.0,20.0,801.0,Time=4.9s | BaseRaw=781.0 | CurrentRaw=801.0 | Change=20.0 => Liquid
data,,781.0,801.6,20.6,801.6,Time=5.0s | BaseRaw=781.0 | CurrentRaw=801.6 | Change=20.6 => Liquid
data,,781.0,802.0,21.0,802.0,Time=5.1s | BaseRaw=781.0 | CurrentRaw=802.0 | Change=21.0 => Liquid
data,,781.0,802.6,21.6,802.6,Time=5.2s | BaseRaw=781.0 | CurrentRaw=802.6 | Change=21.6 => Liquid
data,,781.0,802.2,21.2,802.2,Time=5.3s | BaseRaw=781.0 | CurrentRaw=802.2 | Change=21.2 => Liquid
data,,781.0,802.2,21.2,802.2,Time=5.4s | BaseRaw=781.0 | CurrentRaw=802.2 | Change=21.2 => Liquid
data,,781.0,802.4,21.4,802.4,Time=5.5s | BaseRaw=781.0 | CurrentRaw=802.4 | Change=21.4 => Liquid
data,,781.0,802.0,21.0,802.0,Time=5.6s | BaseRaw=781.0 | CurrentRaw=802.0 | Change=21.0 => Liquid
data,,781.0,802.2,21.2,802.2,Time=5.7s | BaseRaw=781.0 | CurrentRaw=802.2 | Change=21.2 => Liquid
data,,781.0,802.6,21.6,802.6,Time=5.8s | BaseRaw=781.0 | CurrentRaw=802.6 | Change=21.6 => Liquid
data,,781.0,802.6,21.6,802.6,Time=5.9s | BaseRaw=781.0 | CurrentRaw=802.6 | Change=21.6 => Liquid
data,,781.0,803.2,22.2,803.2,Time=6.0s | BaseRaw=781.0 | CurrentRaw=803.2 | Change=22.2 => Liquid
data,,781.0,803.6,22.6,803.6,Time=6.1s | BaseRaw=781.0 | CurrentRaw=803.6 | Change=22.6 => Liquid
data,,781.0,803.4,22.4,803.4,Time=6.2s | BaseRaw=781.0 | CurrentRaw=803.4 | Change=22.4 => Liquid
data,,781.0,804.2,23.2,804.2,Time=6.3s | BaseRaw=781.0 | CurrentRaw=804.2 | Change=23.2 => Liquid
data,,781.0,804.4,23.4,804.4,Time=6.4s | BaseRaw=781.0 | CurrentRaw=804.4 | Change=23.4 => Liquid
data,,781.0,804.0,23.0,804.0,Time=6.5s | BaseRaw=781.0 | CurrentRaw=804.0 | Change=23.0 => Liquid
