record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,726.40,,,,726.40,Collecting baseline... RawAvg=726.40
baseline,726.20,,,,726.20,Collecting baseline... RawAvg=726.20
baseline,725.80,,,,725.80,Collecting baseline... RawAvg=725.80
baseline,725.60,,,,725.60,Collecting baseline... RawAvg=725.60
baseline,725.40,,,,725.40,Collecting baseline... RawAvg=725.40
baseline,725.00,,,,725.00,Collecting baseline... RawAvg=725.00
baseline,725.20,,,,725.20,Collecting baseline... RawAvg=725.20
baseline,725.60,,,,725.60,Collecting baseline... RawAvg=725.60
baseline,725.80,,,,725.80,Collecting baseline... RawAvg=725.80
baseline,726.60,,,,726.60,Collecting baseline... RawAvg=726.60
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,728.60,,,,728.60,Collecting baseline... RawAvg=728.60
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,728.60,,,,728.60,Collecting baseline... RawAvg=728.60
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
baseline,727.80,,,,727.80,Collecting baseline... RawAvg=727.80
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,726.40,,,,726.40,Collecting baseline... RawAvg=726.40
baseline,726.00,,,,726.00,Collecting baseline... RawAvg=726.00
baseline,725.80,,,,725.80,Collecting baseline... RawAvg=725.80
baseline,726.00,,,,726.00,Collecting baseline... RawAvg=726.00
baseline,726.20,,,,726.20,Collecting baseline... RawAvg=726.20
baseline,726.80,,,,726.80,Collecting baseline... RawAvg=726.80
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
baseline,728.60,,,,728.60,Collecting baseline... RawAvg=728.60
baseline,728.40,,,,728.40,Collecting baseline... RawAvg=728.40
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,726.20,,,,726.20,Collecting baseline... RawAvg=726.20
baseline,725.60,,,,725.60,Collecting baseline... RawAvg=725.60
baseline,725.00,,,,725.00,Collecting baseline... RawAvg=725.00
baseline,724.80,,,,724.80,Collecting baseline... RawAvg=724.80
baseline,724.60,,,,724.60,Collecting baseline... RawAvg=724.60
baseline,724.80,,,,724.80,Collecting baseline... RawAvg=724.80
baseline,725.40,,,,725.40,Collecting baseline... RawAvg=725.40
baseline,726.00,,,,726.00,Collecting baseline... RawAvg=726.00
baseline,726.60,,,,726.60,Collecting baseline... RawAvg=726.60
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.80,,,,727.80,Collecting baseline... RawAvg=727.80
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
baseline,728.40,,,,728.40,Collecting baseline... RawAvg=728.40
baseline,728.60,,,,728.60,Collecting baseline... RawAvg=728.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,726.87,,,726.87,Final Base Raw Average = 726.87
info,,,,,,--------------------------------------------------------------------------
data,,726.9,728.0,1.1,728.0,Time=0.1s | BaseRaw=726.9 | CurrentRaw=728.0 | Change=1.1 => Floor
data,,726.9,727.2,0.3,727.2,Time=0.2s | BaseRaw=726.9 | CurrentRaw=727.2 | Change=0.3 => Floor
data,,726.9,726.6,0.3,726.6,Time=0.3s | BaseRaw=726.9 | CurrentRaw=726.6 | Change=0.3 => Floor
data,,726.9,726.2,0.7,726.2,Time=0.4s | BaseRaw=726.9 | CurrentRaw=726.2 | Change=0.7 => Floor
data,,726.9,726.6,0.3,726.6,Time=0.5s | BaseRaw=726.9 | CurrentRaw=726.6 | Change=0.3 => Floor
data,,726.9,726.6,0.3,726.6,Time=0.6s | BaseRaw=726.9 | CurrentRaw=726.6 | Change=0.3 => Floor
data,,726.9,726.6,0.3,726.6,Time=0.7s | BaseRaw=726.9 | CurrentRaw=726.6 | Change=0.3 => Floor
data,,726.9,726.6,0.3,726.6,Time=0.8s | BaseRaw=726.9 | CurrentRaw=726.6 | Change=0.3 => Floor
data,,726.9,726.8,0.1,726.8,Time=0.9s | BaseRaw=726.9 | CurrentRaw=726.8 | Change=0.1 => Floor
data,,726.9,726.6,0.3,726.6,Time=1.0s | BaseRaw=726.9 | CurrentRaw=726.6 | Change=0.3 => Floor
data,,726.9,726.6,0.3,726.6,Time=1.1s | BaseRaw=726.9 | CurrentRaw=726.6 | Change=0.3 => Floor
data,,726.9,726.6,0.3,726.6,Time=1.2s | BaseRaw=726.9 | CurrentRaw=726.6 | Change=0.3 => Floor
data,,726.9,726.8,0.1,726.8,Time=1.3s | BaseRaw=726.9 | CurrentRaw=726.8 | Change=0.1 => Floor
data,,726.9,726.8,0.1,726.8,Time=1.4s | BaseRaw=726.9 | CurrentRaw=726.8 | Change=0.1 => Floor
data,,726.9,727.0,0.1,727.0,Time=1.5s | BaseRaw=726.9 | CurrentRaw=727.0 | Change=0.1 => Floor
data,,726.9,727.0,0.1,727.0,Time=1.6s | BaseRaw=726.9 | CurrentRaw=727.0 | Change=0.1 => Floor
data,,726.9,727.0,0.1,727.0,Time=1.7s | BaseRaw=726.9 | CurrentRaw=727.0 | Change=0.1 => Floor
data,,726.9,727.0,0.1,727.0,Time=1.8s | BaseRaw=726.9 | CurrentRaw=727.0 | Change=0.1 => Floor
data,,726.9,727.2,0.3,727.2,Time=1.9s | BaseRaw=726.9 | CurrentRaw=727.2 | Change=0.3 => Floor
data,,726.9,727.0,0.1,727.0,Time=2.0s | BaseRaw=726.9 | CurrentRaw=727.0 | Change=0.1 => Floor
data,,726.9,726.8,0.1,726.8,Time=2.1s | BaseRaw=726.9 | CurrentRaw=726.8 | Change=0.1 => Floor
data,,726.9,726.8,0.1,726.8,Time=2.2s | BaseRaw=726.9 | CurrentRaw=726.8 | Change=0.1 => Floor
data,,726.9,727.0,0.1,727.0,Time=2.3s | BaseRaw=726.9 | CurrentRaw=727.0 | Change=0.1 => Floor
data,,726.9,727.0,0.1,727.0,Time=2.4s | BaseRaw=726.9 | CurrentRaw=727.0 | Change=0.1 => Floor
data,,726.9,727.0,0.1,727.0,Time=2.5s | BaseRaw=726.9 | CurrentRaw=727.0 | Change=0.1 => Floor
data,,726.9,727.0,0.1,727.0,Time=2.6s | BaseRaw=726.9 | CurrentRaw=727.0 | Change=0.1 => Floor
data,,726.9,727.0,0.1,727.0,Time=2.7s | BaseRaw=726.9 | CurrentRaw=727.0 | Change=0.1 => Floor
data,,726.9,727.2,0.3,727.2,Time=2.8s | BaseRaw=726.9 | CurrentRaw=727.2 | Change=0.3 => Floor
data,,726.9,727.2,0.3,727.2,Time=2.9s | BaseRaw=726.9 | CurrentRaw=727.2 | Change=0.3 => Floor
data,,726.9,727.2,0.3,727.2,Time=3.0s | BaseRaw=726.9 | CurrentRaw=727.2 | Change=0.3 => Floor
data,,726.9,726.8,0.1,726.8,Time=3.1s | BaseRaw=726.9 | CurrentRaw=726.8 | Change=0.1 => Floor
data,,726.9,726.8,0.1,726.8,Time=3.2s | BaseRaw=726.9 | CurrentRaw=726.8 | Change=0.1 => Floor
data,,726.9,726.6,0.3,726.6,Time=3.3s | BaseRaw=726.9 | CurrentRaw=726.6 | Change=0.3 => Floor
data,,726.9,726.6,0.3,726.6,Time=3.4s | BaseRaw=726.9 | CurrentRaw=726.6 | Change=0.3 => Floor
data,,726.9,726.4,0.5,726.4,Time=3.5s | BaseRaw=726.9 | CurrentRaw=726.4 | Change=0.5 => Floor
data,,726.9,726.6,0.3,726.6,Time=3.6s | BaseRaw=726.9 | CurrentRaw=726.6 | Change=0.3 => Floor
data,,726.9,726.8,0.1,726.8,Time=3.7s | BaseRaw=726.9 | CurrentRaw=726.8 | Change=0.1 => Floor
data,,726.9,727.0,0.1,727.0,Time=3.8s | BaseRaw=726.9 | CurrentRaw=727.0 | Change=0.1 => Floor
data,,726.9,727.0,0.1,727.0,Time=3.9s | BaseRaw=726.9 | CurrentRaw=727.0 | Change=0.1 => Floor
data,,726.9,727.2,0.3,727.2,Time=4.0s | BaseRaw=726.9 | CurrentRaw=727.2 | Change=0.3 => Floor
data,,726.9,727.2,0.3,727.2,Time=4.1s | BaseRaw=726.9 | CurrentRaw=727.2 | Change=0.3 => Floor
data,,726.9,727.4,0.5,727.4,Time=4.2s | BaseRaw=726.9 | CurrentRaw=727.4 | Change=0.5 => Floor
data,,726.9,727.6,0.7,727.6,Time=4.3s | BaseRaw=726.9 | CurrentRaw=727.6 | Change=0.7 => Floor
data,,726.9,727.6,0.7,727.6,Time=4.4s | BaseRaw=726.9 | CurrentRaw=727.6 | Change=0.7 => Floor
data,,726.9,727.4,0.5,727.4,Time=4.5s | BaseRaw=726.9 | CurrentRaw=727.4 | Change=0.5 => Floor
data,,726.9,727.6,0.7,727.6,Time=4.6s | BaseRaw=726.9 | CurrentRaw=727.6 | Change=0.7 => Floor
data,,726.9,727.8,0.9,727.8,Time=4.7s | BaseRaw=726.9 | CurrentRaw=727.8 | Change=0.9 => Floor
data,,726.9,728.2,1.3,728.2,Time=4.8s | BaseRaw=726.9 | CurrentRaw=728.2 | Change=1.3 => Floor
data,,726.9,728.6,1.7,728.6,Time=4.9s | BaseRaw=726.9 | CurrentRaw=728.6 | Change=1.7 => Floor
data,,726.9,728.8,1.9,728.8,Time=5.0s | BaseRaw=726.9 | CurrentRaw=728.8 | Change=1.9 => Floor
data,,726.9,729.2,2.3,729.2,Time=5.1s | BaseRaw=726.9 | CurrentRaw=729.2 | Change=2.3 => Floor
data,,726.9,729.6,2.7,729.6,Time=5.2s | BaseRaw=726.9 | CurrentRaw=729.6 | Change=2.7 => Floor
data,,726.9,729.6,2.7,729.6,Time=5.3s | BaseRaw=726.9 | CurrentRaw=729.6 | Change=2.7 => Floor
data,,726.9,729.4,2.5,729.4,Time=5.4s | BaseRaw=726.9 | CurrentRaw=729.4 | Change=2.5 => Floor
data,,726.9,729.4,2.5,729.4,Time=5.5s | BaseRaw=726.9 | CurrentRaw=729.4 | Change=2.5 => Floor
data,,726.9,729.4,2.5,729.4,Time=5.6s | BaseRaw=726.9 | CurrentRaw=729.4 | Change=2.5 => Floor
data,,726.9,728.8,1.9,728.8,Time=5.7s | BaseRaw=726.9 | CurrentRaw=728.8 | Change=1.9 => Floor
data,,726.9,728.2,1.3,728.2,Time=5.8s | BaseRaw=726.9 | CurrentRaw=728.2 | Change=1.3 => Floor
data,,726.9,727.2,0.3,727.2,Time=5.9s | BaseRaw=726.9 | CurrentRaw=727.2 | Change=0.3 => Floor
data,,726.9,726.0,0.9,726.0,Time=6.0s | BaseRaw=726.9 | CurrentRaw=726.0 | Change=0.9 => Floor
data,,726.9,725.0,1.9,725.0,Time=6.1s | BaseRaw=726.9 | CurrentRaw=725.0 | Change=1.9 => Floor
data,,726.9,725.0,1.9,725.0,Time=6.2s | BaseRaw=726.9 | CurrentRaw=725.0 | Change=1.9 => Floor
data,,726.9,725.6,1.3,725.6,Time=6.3s | BaseRaw=726.9 | CurrentRaw=725.6 | Change=1.3 => Floor
data,,726.9,727.0,0.1,727.0,Time=6.4s | BaseRaw=726.9 | CurrentRaw=727.0 | Change=0.1 => Floor
data,,726.9,729.4,2.5,729.4,Time=6.5s | BaseRaw=726.9 | CurrentRaw=729.4 | Change=2.5 => Floor
