record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,770.20,,,,770.20,Collecting baseline... RawAvg=770.20
baseline,770.20,,,,770.20,Collecting baseline... RawAvg=770.20
baseline,770.20,,,,770.20,Collecting baseline... RawAvg=770.20
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.80,,,,770.80,Collecting baseline... RawAvg=770.80
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.80,,,,770.80,Collecting baseline... RawAvg=770.80
baseline,770.80,,,,770.80,Collecting baseline... RawAvg=770.80
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,770.20,,,,770.20,Collecting baseline... RawAvg=770.20
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.80,,,,770.80,Collecting baseline... RawAvg=770.80
baseline,771.00,,,,771.00,Collecting baseline... RawAvg=771.00
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.80,,,,770.80,Collecting baseline... RawAvg=770.80
baseline,770.80,,,,770.80,Collecting baseline... RawAvg=770.80
baseline,770.80,,,,770.80,Collecting baseline... RawAvg=770.80
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.80,,,,770.80,Collecting baseline... RawAvg=770.80
baseline,770.80,,,,770.80,Collecting baseline... RawAvg=770.80
baseline,770.80,,,,770.80,Collecting baseline... RawAvg=770.80
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,770.20,,,,770.20,Collecting baseline... RawAvg=770.20
baseline,770.20,,,,770.20,Collecting baseline... RawAvg=770.20
baseline,770.20,,,,770.20,Collecting baseline... RawAvg=770.20
baseline,770.40,,,,770.40,Collecting baseline... RawAvg=770.40
baseline,770.60,,,,770.60,Collecting baseline... RawAvg=770.60
baseline,770.80,,,,770.80,Collecting baseline... RawAvg=770.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,770.54,,,770.54,Final Base Raw Average = 770.54
info,,,,,,--------------------------------------------------------------------------
data,,770.5,770.6,0.1,770.6,Time=0.1s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.6,0.1,770.6,Time=0.2s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.6,0.1,770.6,Time=0.3s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.6,0.1,770.6,Time=0.4s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.8,0.3,770.8,Time=0.5s | BaseRaw=770.5 | CurrentRaw=770.8 | Change=0.3 => Floor
data,,770.5,771.0,0.5,771.0,Time=0.6s | BaseRaw=770.5 | CurrentRaw=771.0 | Change=0.5 => Floor
data,,770.5,771.0,0.5,771.0,Time=0.7s | BaseRaw=770.5 | CurrentRaw=771.0 | Change=0.5 => Floor
data,,770.5,770.8,0.3,770.8,Time=0.8s | BaseRaw=770.5 | CurrentRaw=770.8 | Change=0.3 => Floor
data,,770.5,770.6,0.1,770.6,Time=0.9s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.4,0.1,770.4,Time=1.0s | BaseRaw=770.5 | CurrentRaw=770.4 | Change=0.1 => Floor
data,,770.5,770.4,0.1,770.4,Time=1.1s | BaseRaw=770.5 | CurrentRaw=770.4 | Change=0.1 => Floor
data,,770.5,770.4,0.1,770.4,Time=1.2s | BaseRaw=770.5 | CurrentRaw=770.4 | Change=0.1 => Floor
data,,770.5,770.6,0.1,770.6,Time=1.3s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.6,0.1,770.6,Time=1.4s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.6,0.1,770.6,Time=1.5s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.6,0.1,770.6,Time=1.6s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.6,0.1,770.6,Time=1.7s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.6,0.1,770.6,Time=1.8s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.8,0.3,770.8,Time=1.9s | BaseRaw=770.5 | CurrentRaw=770.8 | Change=0.3 => Floor
data,,770.5,770.8,0.3,770.8,Time=2.0s | BaseRaw=770.5 | CurrentRaw=770.8 | Change=0.3 => Floor
data,,770.5,771.0,0.5,771.0,Time=2.1s | BaseRaw=770.5 | CurrentRaw=771.0 | Change=0.5 => Floor
data,,770.5,770.8,0.3,770.8,Time=2.2s | BaseRaw=770.5 | CurrentRaw=770.8 | Change=0.3 => Floor
data,,770.5,770.8,0.3,770.8,Time=2.3s | BaseRaw=770.5 | CurrentRaw=770.8 | Change=0.3 => Floor
data,,770.5,770.8,0.3,770.8,Time=2.4s | BaseRaw=770.5 | CurrentRaw=770.8 | Change=0.3 => Floor
data,,770.5,770.8,0.3,770.8,Time=2.5s | BaseRaw=770.5 | CurrentRaw=770.8 | Change=0.3 => Floor
data,,770.5,770.4,0.1,770.4,Time=2.6s | BaseRaw=770.5 | CurrentRaw=770.4 | Change=0.1 => Floor
data,,770.5,770.4,0.1,770.4,Time=2.7s | BaseRaw=770.5 | CurrentRaw=770.4 | Change=0.1 => Floor
data,,770.5,770.2,0.3,770.2,Time=2.8s | BaseRaw=770.5 | CurrentRaw=770.2 | Change=0.3 => Floor
data,,770.5,770.0,0.5,770.0,Time=2.9s | BaseRaw=770.5 | CurrentRaw=770.0 | Change=0.5 => Floor
data,,770.5,770.0,0.5,770.0,Time=3.0s | BaseRaw=770.5 | CurrentRaw=770.0 | Change=0.5 => Floor
data,,770.5,770.2,0.3,770.2,Time=3.1s | BaseRaw=770.5 | CurrentRaw=770.2 | Change=0.3 => Floor
data,,770.5,770.4,0.1,770.4,Time=3.2s | BaseRaw=770.5 | CurrentRaw=770.4 | Change=0.1 => Floor
data,,770.5,770.6,0.1,770.6,Time=3.3s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.8,0.3,770.8,Time=3.4s | BaseRaw=770.5 | CurrentRaw=770.8 | Change=0.3 => Floor
data,,770.5,771.0,0.5,771.0,Time=3.5s | BaseRaw=770.5 | CurrentRaw=771.0 | Change=0.5 => Floor
data,,770.5,771.0,0.5,771.0,Time=3.6s | BaseRaw=770.5 | CurrentRaw=771.0 | Change=0.5 => Floor
data,,770.5,771.0,0.5,771.0,Time=3.7s | BaseRaw=770.5 | CurrentRaw=771.0 | Change=0.5 => Floor
data,,770.5,770.8,0.3,770.8,Time=3.8s | BaseRaw=770.5 | CurrentRaw=770.8 | Change=0.3 => Floor
data,,770.5,770.6,0.1,770.6,Time=3.9s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.6,0.1,770.6,Time=4.0s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.6,0.1,770.6,Time=4.1s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.4,0.1,770.4,Time=4.2s | BaseRaw=770.5 | CurrentRaw=770.4 | Change=0.1 => Floor
data,,770.5,770.6,0.1,770.6,Time=4.3s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.8,0.3,770.8,Time=4.4s | BaseRaw=770.5 | CurrentRaw=770.8 | Change=0.3 => Floor
data,,770.5,770.6,0.1,770.6,Time=4.5s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.6,0.1,770.6,Time=4.6s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.8,0.3,770.8,Time=4.7s | BaseRaw=770.5 | CurrentRaw=770.8 | Change=0.3 => Floor
data,,770.5,770.6,0.1,770.6,Time=4.8s | BaseRaw=770.5 | CurrentRaw=770.6 | Change=0.1 => Floor
data,,770.5,770.4,0.1,770.4,Time=4.9s | BaseRaw=770.5 | CurrentRaw=770.4 | Change=0.1 => Floor
data,,770.5,770.4,0.1,770.4,Time=5.0s | BaseRaw=770.5 | CurrentRaw=770.4 | Change=0.1 => Floor
data,,770.5,770.4,0.1,770.4,Time=5.1s | BaseRaw=770.5 | CurrentRaw=770.4 | Change=0.1 => Floor
data,,770.5,770.0,0.5,770.0,Time=5.2s | BaseRaw=770.5 | CurrentRaw=770.0 | Change=0.5 => Floor
data,,770.5,769.2,1.3,769.2,Time=5.3s | BaseRaw=770.5 | CurrentRaw=769.2 | Change=1.3 => Floor
data,,770.5,769.4,1.1,769.4,Time=5.4s | BaseRaw=770.5 | CurrentRaw=769.4 | Change=1.1 => Floor
data,,770.5,770.2,0.3,770.2,Time=5.5s | BaseRaw=770.5 | CurrentRaw=770.2 | Change=0.3 => Floor
data,,770.5,769.6,0.9,769.6,Time=5.6s | BaseRaw=770.5 | CurrentRaw=769.6 | Change=0.9 => Floor
data,,770.5,769.2,1.3,769.2,Time=5.7s | BaseRaw=770.5 | CurrentRaw=769.2 | Change=1.3 => Floor
data,,770.5,768.4,2.1,768.4,Time=5.8s | BaseRaw=770.5 | CurrentRaw=768.4 | Change=2.1 => Floor
data,,770.5,766.2,4.3,766.2,Time=5.9s | BaseRaw=770.5 | CurrentRaw=766.2 | Change=4.3 => Floor
data,,770.5,763.2,7.3,763.2,Time=6.0s | BaseRaw=770.5 | CurrentRaw=763.2 | Change=7.3 => Floor
data,,770.5,761.6,8.9,761.6,Time=6.1s | BaseRaw=770.5 | CurrentRaw=761.6 | Change=8.9 => Floor
data,,770.5,760.2,10.3,760.2,Time=6.2s | BaseRaw=770.5 | CurrentRaw=760.2 | Change=10.3 => Liquid
data,,770.5,759.6,10.9,759.6,Time=6.3s | BaseRaw=770.5 | CurrentRaw=759.6 | Change=10.9 => Liquid
data,,770.5,759.4,11.1,759.4,Time=6.4s | BaseRaw=770.5 | CurrentRaw=759.4 | Change=11.1 => Liquid
data,,770.5,759.6,10.9,759.6,Time=6.5s | BaseRaw=770.5 | CurrentRaw=759.6 | Change=10.9 => Liquid
