record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,774.40,,,,774.40,Collecting baseline... RawAvg=774.40
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,774.60,,,,774.60,Collecting baseline... RawAvg=774.60
baseline,775.00,,,,775.00,Collecting baseline... RawAvg=775.00
baseline,775.40,,,,775.40,Collecting baseline... RawAvg=775.40
baseline,775.20,,,,775.20,Collecting baseline... RawAvg=775.20
baseline,775.00,,,,775.00,Collecting baseline... RawAvg=775.00
baseline,774.40,,,,774.40,Collecting baseline... RawAvg=774.40
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,773.60,,,,773.60,Collecting baseline... RawAvg=773.60
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,774.60,,,,774.60,Collecting baseline... RawAvg=774.60
baseline,775.00,,,,775.00,Collecting baseline... RawAvg=775.00
baseline,775.00,,,,775.00,Collecting baseline... RawAvg=775.00
baseline,774.60,,,,774.60,Collecting baseline... RawAvg=774.60
baseline,774.00,,,,774.00,Collecting baseline... RawAvg=774.00
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,774.80,,,,774.80,Collecting baseline... RawAvg=774.80
baseline,775.40,,,,775.40,Collecting baseline... RawAvg=775.40
baseline,775.40,,,,775.40,Collecting baseline... RawAvg=775.40
baseline,775.00,,,,775.00,Collecting baseline... RawAvg=775.00
baseline,774.60,,,,774.60,Collecting baseline... RawAvg=774.60
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,774.00,,,,774.00,Collecting baseline... RawAvg=774.00
baseline,774.40,,,,774.40,Collecting baseline... RawAvg=774.40
baseline,775.00,,,,775.00,Collecting baseline... RawAvg=775.00
baseline,775.40,,,,775.40,Collecting baseline... RawAvg=775.40
baseline,775.60,,,,775.60,Collecting baseline... RawAvg=775.60
baseline,775.40,,,,775.40,Collecting baseline... RawAvg=775.40
baseline,775.00,,,,775.00,Collecting baseline... RawAvg=775.00
baseline,774.60,,,,774.60,Collecting baseline... RawAvg=774.60
baseline,774.40,,,,774.40,Collecting baseline... RawAvg=774.40
baseline,774.60,,,,774.60,Collecting baseline... RawAvg=774.60
baseline,775.20,,,,775.20,Collecting baseline... RawAvg=775.20
baseline,775.60,,,,775.60,Collecting baseline... RawAvg=775.60
baseline,775.80,,,,775.80,Collecting baseline... RawAvg=775.80
baseline,775.60,,,,775.60,Collecting baseline... RawAvg=775.60
baseline,775.00,,,,775.00,Collecting baseline... RawAvg=775.00
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,774.60,,,774.60,Final Base Raw Average = 774.60
info,,,,,,--------------------------------------------------------------------------
data,,774.6,775.6,1.0,775.6,Time=0.1s | BaseRaw=774.6 | CurrentRaw=775.6 | Change=1.0 => Floor
data,,774.6,775.6,1.0,775.6,Time=0.2s | BaseRaw=774.6 | CurrentRaw=775.6 | Change=1.0 => Floor
data,,774.6,775.8,1.2,775.8,Time=0.3s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.6,1.0,775.6,Time=0.4s | BaseRaw=774.6 | CurrentRaw=775.6 | Change=1.0 => Floor
data,,774.6,775.0,0.4,775.0,Time=0.5s | BaseRaw=774.6 | CurrentRaw=775.0 | Change=0.4 => Floor
data,,774.6,775.0,0.4,775.0,Time=0.6s | BaseRaw=774.6 | CurrentRaw=775.0 | Change=0.4 => Floor
data,,774.6,775.0,0.4,775.0,Time=0.7s | BaseRaw=774.6 | CurrentRaw=775.0 | Change=0.4 => Floor
data,,774.6,775.2,0.6,775.2,Time=0.8s | BaseRaw=774.6 | CurrentRaw=775.2 | Change=0.6 => Floor
data,,774.6,775.2,0.6,775.2,Time=0.9s | BaseRaw=774.6 | CurrentRaw=775.2 | Change=0.6 => Floor
data,,774.6,775.6,1.0,775.6,Time=1.0s | BaseRaw=774.6 | CurrentRaw=775.6 | Change=1.0 => Floor
data,,774.6,775.6,1.0,775.6,Time=1.1s | BaseRaw=774.6 | CurrentRaw=775.6 | Change=1.0 => Floor
data,,774.6,775.6,1.0,775.6,Time=1.2s | BaseRaw=774.6 | CurrentRaw=775.6 | Change=1.0 => Floor
data,,774.6,775.8,1.2,775.8,Time=1.3s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.8,1.2,775.8,Time=1.4s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,776.0,1.4,776.0,Time=1.5s | BaseRaw=774.6 | CurrentRaw=776.0 | Change=1.4 => Floor
data,,774.6,775.8,1.2,775.8,Time=1.6s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,776.0,1.4,776.0,Time=1.7s | BaseRaw=774.6 | CurrentRaw=776.0 | Change=1.4 => Floor
data,,774.6,775.8,1.2,775.8,Time=1.8s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.8,1.2,775.8,Time=1.9s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.8,1.2,775.8,Time=2.0s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.8,1.2,775.8,Time=2.1s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,776.0,1.4,776.0,Time=2.2s | BaseRaw=774.6 | CurrentRaw=776.0 | Change=1.4 => Floor
data,,774.6,775.8,1.2,775.8,Time=2.3s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.8,1.2,775.8,Time=2.4s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.8,1.2,775.8,Time=2.5s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.8,1.2,775.8,Time=2.6s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,776.0,1.4,776.0,Time=2.7s | BaseRaw=774.6 | CurrentRaw=776.0 | Change=1.4 => Floor
data,,774.6,776.0,1.4,776.0,Time=2.8s | BaseRaw=774.6 | CurrentRaw=776.0 | Change=1.4 => Floor
data,,774.6,776.0,1.4,776.0,Time=2.9s | BaseRaw=774.6 | CurrentRaw=776.0 | Change=1.4 => Floor
data,,774.6,776.0,1.4,776.0,Time=3.0s | BaseRaw=774.6 | CurrentRaw=776.0 | Change=1.4 => Floor
data,,774.6,775.8,1.2,775.8,Time=3.1s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.8,1.2,775.8,Time=3.2s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.6,1.0,775.6,Time=3.3s | BaseRaw=774.6 | CurrentRaw=775.6 | Change=1.0 => Floor
data,,774.6,775.8,1.2,775.8,Time=3.4s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.8,1.2,775.8,Time=3.5s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.8,1.2,775.8,Time=3.6s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.8,1.2,775.8,Time=3.7s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.8,1.2,775.8,Time=3.8s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,776.0,1.4,776.0,Time=3.9s | BaseRaw=774.6 | CurrentRaw=776.0 | Change=1.4 => Floor
data,,774.6,775.8,1.2,775.8,Time=4.0s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,776.0,1.4,776.0,Time=4.1s | BaseRaw=774.6 | CurrentRaw=776.0 | Change=1.4 => Floor
data,,774.6,776.0,1.4,776.0,Time=4.2s | BaseRaw=774.6 | CurrentRaw=776.0 | Change=1.4 => Floor
data,,774.6,775.8,1.2,775.8,Time=4.3s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.8,1.2,775.8,Time=4.4s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,775.8,1.2,775.8,Time=4.5s | BaseRaw=774.6 | CurrentRaw=775.8 | Change=1.2 => Floor
data,,774.6,776.2,1.6,776.2,Time=4.6s | BaseRaw=774.6 | CurrentRaw=776.2 | Change=1.6 => Floor
data,,774.6,776.4,1.8,776.4,Time=4.7s | BaseRaw=774.6 | CurrentRaw=776.4 | Change=1.8 => Floor
data,,774.6,776.8,2.2,776.8,Time=4.8s | BaseRaw=774.6 | CurrentRaw=776.8 | Change=2.2 => Floor
data,,774.6,777.2,2.6,777.2,Time=4.9s | BaseRaw=774.6 | CurrentRaw=777.2 | Change=2.6 => Floor
data,,774.6,777.2,2.6,777.2,Time=5.0s | BaseRaw=774.6 | CurrentRaw=777.2 | Change=2.6 => Floor
data,,774.6,777.4,2.8,777.4,Time=5.1s | BaseRaw=774.6 | CurrentRaw=777.4 | Change=2.8 => Floor
data,,774.6,777.2,2.6,777.2,Time=5.2s | BaseRaw=774.6 | CurrentRaw=777.2 | Change=2.6 => Floor
data,,774.6,777.2,2.6,777.2,Time=5.3s | BaseRaw=774.6 | CurrentRaw=777.2 | Change=2.6 => Floor
data,,774.6,777.2,2.6,777.2,Time=5.4s | BaseRaw=774.6 | CurrentRaw=777.2 | Change=2.6 => Floor
data,,774.6,775.4,0.8,775.4,Time=5.5s | BaseRaw=774.6 | CurrentRaw=775.4 | Change=0.8 => Floor
data,,774.6,773.0,1.6,773.0,Time=5.6s | BaseRaw=774.6 | CurrentRaw=773.0 | Change=1.6 => Floor
data,,774.6,770.2,4.4,770.2,Time=5.7s | BaseRaw=774.6 | CurrentRaw=770.2 | Change=4.4 => Floor
data,,774.6,767.4,7.2,767.4,Time=5.8s | BaseRaw=774.6 | CurrentRaw=767.4 | Change=7.2 => Floor
data,,774.6,764.2,10.4,764.2,Time=5.9s | BaseRaw=774.6 | CurrentRaw=764.2 | Change=10.4 => Liquid
data,,774.6,763.2,11.4,763.2,Time=6.0s | BaseRaw=774.6 | CurrentRaw=763.2 | Change=11.4 => Liquid
data,,774.6,761.8,12.8,761.8,Time=6.1s | BaseRaw=774.6 | CurrentRaw=761.8 | Change=12.8 => Liquid
data,,774.6,761.4,13.2,761.4,Time=6.2s | BaseRaw=774.6 | CurrentRaw=761.4 | Change=13.2 => Liquid
data,,774.6,761.0,13.6,761.0,Time=6.3s | BaseRaw=774.6 | CurrentRaw=761.0 | Change=13.6 => Liquid
data,,774.6,760.2,14.4,760.2,Time=6.4s | BaseRaw=774.6 | CurrentRaw=760.2 | Change=14.4 => Liquid
data,,774.6,760.0,14.6,760.0,Time=6.5s | BaseRaw=774.6 | CurrentRaw=760.0 | Change=14.6 => Liquid
