record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,742.20,,,,742.20,Collecting baseline... RawAvg=742.20
baseline,741.80,,,,741.80,Collecting baseline... RawAvg=741.80
baseline,741.40,,,,741.40,Collecting baseline... RawAvg=741.40
baseline,741.20,,,,741.20,Collecting baseline... RawAvg=741.20
baseline,741.20,,,,741.20,Collecting baseline... RawAvg=741.20
baseline,741.20,,,,741.20,Collecting baseline... RawAvg=741.20
baseline,741.80,,,,741.80,Collecting baseline... RawAvg=741.80
baseline,742.40,,,,742.40,Collecting baseline... RawAvg=742.40
baseline,742.60,,,,742.60,Collecting baseline... RawAvg=742.60
baseline,742.80,,,,742.80,Collecting baseline... RawAvg=742.80
baseline,743.00,,,,743.00,Collecting baseline... RawAvg=743.00
baseline,742.80,,,,742.80,Collecting baseline... RawAvg=742.80
baseline,742.60,,,,742.60,Collecting baseline... RawAvg=742.60
baseline,742.20,,,,742.20,Collecting baseline... RawAvg=742.20
baseline,741.80,,,,741.80,Collecting baseline... RawAvg=741.80
baseline,741.00,,,,741.00,Collecting baseline... RawAvg=741.00
baseline,740.60,,,,740.60,Collecting baseline... RawAvg=740.60
baseline,740.20,,,,740.20,Collecting baseline... RawAvg=740.20
baseline,740.00,,,,740.00,Collecting baseline... RawAvg=740.00
baseline,740.00,,,,740.00,Collecting baseline... RawAvg=740.00
baseline,740.40,,,,740.40,Collecting baseline... RawAvg=740.40
baseline,740.80,,,,740.80,Collecting baseline... RawAvg=740.80
baseline,741.20,,,,741.20,Collecting baseline... RawAvg=741.20
baseline,741.80,,,,741.80,Collecting baseline... RawAvg=741.80
baseline,742.40,,,,742.40,Collecting baseline... RawAvg=742.40
baseline,743.00,,,,743.00,Collecting baseline... RawAvg=743.00
baseline,743.20,,,,743.20,Collecting baseline... RawAvg=743.20
baseline,743.40,,,,743.40,Collecting baseline... RawAvg=743.40
baseline,743.00,,,,743.00,Collecting baseline... RawAvg=743.00
baseline,742.60,,,,742.60,Collecting baseline... RawAvg=742.60
baseline,742.00,,,,742.00,Collecting baseline... RawAvg=742.00
baseline,741.60,,,,741.60,Collecting baseline... RawAvg=741.60
baseline,740.80,,,,740.80,Collecting baseline... RawAvg=740.80
baseline,740.40,,,,740.40,Collecting baseline... RawAvg=740.40
baseline,740.00,,,,740.00,Collecting baseline... RawAvg=740.00
baseline,739.60,,,,739.60,Collecting baseline... RawAvg=739.60
baseline,739.40,,,,739.40,Collecting baseline... RawAvg=739.40
baseline,739.80,,,,739.80,Collecting baseline... RawAvg=739.80
baseline,740.20,,,,740.20,Collecting baseline... RawAvg=740.20
baseline,740.60,,,,740.60,Collecting baseline... RawAvg=740.60
baseline,741.40,,,,741.40,Collecting baseline... RawAvg=741.40
baseline,742.00,,,,742.00,Collecting baseline... RawAvg=742.00
baseline,742.40,,,,742.40,Collecting baseline... RawAvg=742.40
baseline,742.80,,,,742.80,Collecting baseline... RawAvg=742.80
baseline,742.80,,,,742.80,Collecting baseline... RawAvg=742.80
baseline,742.60,,,,742.60,Collecting baseline... RawAvg=742.60
baseline,742.20,,,,742.20,Collecting baseline... RawAvg=742.20
baseline,741.80,,,,741.80,Collecting baseline... RawAvg=741.80
baseline,741.00,,,,741.00,Collecting baseline... RawAvg=741.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,741.59,,,741.59,Final Base Raw Average = 741.59
info,,,,,,--------------------------------------------------------------------------
data,,741.6,740.0,1.6,740.0,Time=0.1s | BaseRaw=741.6 | CurrentRaw=740.0 | Change=1.6 => Floor
data,,741.6,739.8,1.8,739.8,Time=0.2s | BaseRaw=741.6 | CurrentRaw=739.8 | Change=1.8 => Floor
data,,741.6,740.2,1.4,740.2,Time=0.3s | BaseRaw=741.6 | CurrentRaw=740.2 | Change=1.4 => Floor
data,,741.6,741.0,0.6,741.0,Time=0.4s | BaseRaw=741.6 | CurrentRaw=741.0 | Change=0.6 => Floor
data,,741.6,741.4,0.2,741.4,Time=0.5s | BaseRaw=741.6 | CurrentRaw=741.4 | Change=0.2 => Floor
data,,741.6,741.2,0.4,741.2,Time=0.6s | BaseRaw=741.6 | CurrentRaw=741.2 | Change=0.4 => Floor
data,,741.6,741.2,0.4,741.2,Time=0.7s | BaseRaw=741.6 | CurrentRaw=741.2 | Change=0.4 => Floor
data,,741.6,741.2,0.4,741.2,Time=0.8s | BaseRaw=741.6 | CurrentRaw=741.2 | Change=0.4 => Floor
data,,741.6,741.2,0.4,741.2,Time=0.9s | BaseRaw=741.6 | CurrentRaw=741.2 | Change=0.4 => Floor
data,,741.6,741.2,0.4,741.2,Time=1.0s | BaseRaw=741.6 | CurrentRaw=741.2 | Change=0.4 => Floor
data,,741.6,741.2,0.4,741.2,Time=1.1s | BaseRaw=741.6 | CurrentRaw=741.2 | Change=0.4 => Floor
data,,741.6,741.4,0.2,741.4,Time=1.2s | BaseRaw=741.6 | CurrentRaw=741.4 | Change=0.2 => Floor
data,,741.6,741.4,0.2,741.4,Time=1.3s | BaseRaw=741.6 | CurrentRaw=741.4 | Change=0.2 => Floor
data,,741.6,741.2,0.4,741.2,Time=1.4s | BaseRaw=741.6 | CurrentRaw=741.2 | Change=0.4 => Floor
data,,741.6,740.8,0.8,740.8,Time=1.5s | BaseRaw=741.6 | CurrentRaw=740.8 | Change=0.8 => Floor
data,,741.6,740.8,0.8,740.8,Time=1.6s | BaseRaw=741.6 | CurrentRaw=740.8 | Change=0.8 => Floor
data,,741.6,741.0,0.6,741.0,Time=1.7s | BaseRaw=741.6 | CurrentRaw=741.0 | Change=0.6 => Floor
data,,741.6,741.0,0.6,741.0,Time=1.8s | BaseRaw=741.6 | CurrentRaw=741.0 | Change=0.6 => Floor
data,,741.6,740.8,0.8,740.8,Time=1.9s | BaseRaw=741.6 | CurrentRaw=740.8 | Change=0.8 => Floor
data,,741.6,740.8,0.8,740.8,Time=2.0s | BaseRaw=741.6 | CurrentRaw=740.8 | Change=0.8 => Floor
data,,741.6,741.0,0.6,741.0,Time=2.1s | BaseRaw=741.6 | CurrentRaw=741.0 | Change=0.6 => Floor
data,,741.6,741.2,0.4,741.2,Time=2.2s | BaseRaw=741.6 | CurrentRaw=741.2 | Change=0.4 => Floor
data,,741.6,741.2,0.4,741.2,Time=2.3s | BaseRaw=741.6 | CurrentRaw=741.2 | Change=0.4 => Floor
data,,741.6,741.2,0.4,741.2,Time=2.4s | BaseRaw=741.6 | CurrentRaw=741.2 | Change=0.4 => Floor
data,,741.6,741.2,0.4,741.2,Time=2.5s | BaseRaw=741.6 | CurrentRaw=741.2 | Change=0.4 => Floor
data,,741.6,741.4,0.2,741.4,Time=2.6s | BaseRaw=741.6 | CurrentRaw=741.4 | Change=0.2 => Floor
data,,741.6,741.4,0.2,741.4,Time=2.7s | BaseRaw=741.6 | CurrentRaw=741.4 | Change=0.2 => Floor
data,,741.6,741.4,0.2,741.4,Time=2.8s | BaseRaw=741.6 | CurrentRaw=741.4 | Change=0.2 => Floor
data,,741.6,741.4,0.2,741.4,Time=2.9s | BaseRaw=741.6 | CurrentRaw=741.4 | Change=0.2 => Floor
data,,741.6,741.8,0.2,741.8,Time=3.0s | BaseRaw=741.6 | CurrentRaw=741.8 | Change=0.2 => Floor
data,,741.6,742.2,0.6,742.2,Time=3.1s | BaseRaw=741.6 | CurrentRaw=742.2 | Change=0.6 => Floor
data,,741.6,742.6,1.0,742.6,Time=3.2s | BaseRaw=741.6 | CurrentRaw=742.6 | Change=1.0 => Floor
data,,741.6,742.8,1.2,742.8,Time=3.3s | BaseRaw=741.6 | CurrentRaw=742.8 | Change=1.2 => Floor
data,,741.6,743.0,1.4,743.0,Time=3.4s | BaseRaw=741.6 | CurrentRaw=743.0 | Change=1.4 => Floor
data,,741.6,743.2,1.6,743.2,Time=3.5s | BaseRaw=741.6 | CurrentRaw=743.2 | Change=1.6 => Floor
data,,741.6,743.4,1.8,743.4,Time=3.6s | BaseRaw=741.6 | CurrentRaw=743.4 | Change=1.8 => Floor
data,,741.6,743.6,2.0,743.6,Time=3.7s | BaseRaw=741.6 | CurrentRaw=743.6 | Change=2.0 => Floor
data,,741.6,743.8,2.2,743.8,Time=3.8s | BaseRaw=741.6 | CurrentRaw=743.8 | Change=2.2 => Floor
data,,741.6,743.6,2.0,743.6,Time=3.9s | BaseRaw=741.6 | CurrentRaw=743.6 | Change=2.0 => Floor
data,,741.6,743.6,2.0,743.6,Time=4.0s | BaseRaw=741.6 | CurrentRaw=743.6 | Change=2.0 => Floor
data,,741.6,743.6,2.0,743.6,Time=4.1s | BaseRaw=741.6 | CurrentRaw=743.6 | Change=2.0 => Floor
data,,741.6,743.2,1.6,743.2,Time=4.2s | BaseRaw=741.6 | CurrentRaw=743.2 | Change=1.6 => Floor
data,,741.6,742.6,1.0,742.6,Time=4.3s | BaseRaw=741.6 | CurrentRaw=742.6 | Change=1.0 => Floor
data,,741.6,742.2,0.6,742.2,Time=4.4s | BaseRaw=741.6 | CurrentRaw=742.2 | Change=0.6 => Floor
data,,741.6,742.0,0.4,742.0,Time=4.5s | BaseRaw=741.6 | CurrentRaw=742.0 | Change=0.4 => Floor
data,,741.6,742.0,0.4,742.0,Time=4.6s | BaseRaw=741.6 | CurrentRaw=742.0 | Change=0.4 => Floor
data,,741.6,742.0,0.4,742.0,Time=4.7s | BaseRaw=741.6 | CurrentRaw=742.0 | Change=0.4 => Floor
data,,741.6,741.8,0.2,741.8,Time=4.8s | BaseRaw=741.6 | CurrentRaw=741.8 | Change=0.2 => Floor
data,,741.6,742.2,0.6,742.2,Time=4.9s | BaseRaw=741.6 | CurrentRaw=742.2 | Change=0.6 => Floor
data,,741.6,742.0,0.4,742.0,Time=5.0s | BaseRaw=741.6 | CurrentRaw=742.0 | Change=0.4 => Floor
data,,741.6,741.4,0.2,741.4,Time=5.1s | BaseRaw=741.6 | CurrentRaw=741.4 | Change=0.2 => Floor
data,,741.6,740.2,1.4,740.2,Time=5.2s | BaseRaw=741.6 | CurrentRaw=740.2 | Change=1.4 => Floor
data,,741.6,738.2,3.4,738.2,Time=5.3s | BaseRaw=741.6 | CurrentRaw=738.2 | Change=3.4 => Floor
data,,741.6,735.0,6.6,735.0,Time=5.4s | BaseRaw=741.6 | CurrentRaw=735.0 | Change=6.6 => Floor
data,,741.6,731.8,9.8,731.8,Time=5.5s | BaseRaw=741.6 | CurrentRaw=731.8 | Change=9.8 => Floor
data,,741.6,729.2,12.4,729.2,Time=5.6s | BaseRaw=741.6 | CurrentRaw=729.2 | Change=12.4 => Liquid
data,,741.6,727.2,14.4,727.2,Time=5.7s | BaseRaw=741.6 | CurrentRaw=727.2 | Change=14.4 => Liquid
data,,741.6,726.8,14.8,726.8,Time=5.8s | BaseRaw=741.6 | CurrentRaw=726.8 | Change=14.8 => Liquid
data,,741.6,728.4,13.2,728.4,Time=5.9s | BaseRaw=741.6 | CurrentRaw=728.4 | Change=13.2 => Liquid
data,,741.6,730.0,11.6,730.0,Time=6.0s | BaseRaw=741.6 | CurrentRaw=730.0 | Change=11.6 => Liquid
data,,741.6,730.8,10.8,730.8,Time=6.1s | BaseRaw=741.6 | CurrentRaw=730.8 | Change=10.8 => Liquid
data,,741.6,732.2,9.4,732.2,Time=6.2s | BaseRaw=741.6 | CurrentRaw=732.2 | Change=9.4 => Floor
data,,741.6,733.0,8.6,733.0,Time=6.3s | BaseRaw=741.6 | CurrentRaw=733.0 | Change=8.6 => Floor
data,,741.6,732.6,9.0,732.6,Time=6.4s | BaseRaw=741.6 | CurrentRaw=732.6 | Change=9.0 => Floor
data,,741.6,732.4,9.2,732.4,Time=6.5s | BaseRaw=741.6 | CurrentRaw=732.4 | Change=9.2 => Floor
