record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,578.40,,,,578.40,Collecting baseline... RawAvg=578.40
baseline,591.80,,,,591.80,Collecting baseline... RawAvg=591.80
baseline,602.80,,,,602.80,Collecting baseline... RawAvg=602.80
baseline,609.60,,,,609.60,Collecting baseline... RawAvg=609.60
baseline,612.80,,,,612.80,Collecting baseline... RawAvg=612.80
baseline,607.00,,,,607.00,Collecting baseline... RawAvg=607.00
baseline,592.20,,,,592.20,Collecting baseline... RawAvg=592.20
baseline,582.00,,,,582.00,Collecting baseline... RawAvg=582.00
baseline,581.00,,,,581.00,Collecting baseline... RawAvg=581.00
baseline,589.40,,,,589.40,Collecting baseline... RawAvg=589.40
baseline,601.80,,,,601.80,Collecting baseline... RawAvg=601.80
baseline,612.80,,,,612.80,Collecting baseline... RawAvg=612.80
baseline,617.80,,,,617.80,Collecting baseline... RawAvg=617.80
baseline,614.40,,,,614.40,Collecting baseline... RawAvg=614.40
baseline,603.00,,,,603.00,Collecting baseline... RawAvg=603.00
baseline,590.40,,,,590.40,Collecting baseline... RawAvg=590.40
baseline,583.00,,,,583.00,Collecting baseline... RawAvg=583.00
baseline,584.80,,,,584.80,Collecting baseline... RawAvg=584.80
baseline,595.00,,,,595.00,Collecting baseline... RawAvg=595.00
baseline,608.20,,,,608.20,Collecting baseline... RawAvg=608.20
baseline,617.80,,,,617.80,Collecting baseline... RawAvg=617.80
baseline,620.60,,,,620.60,Collecting baseline... RawAvg=620.60
baseline,614.40,,,,614.40,Collecting baseline... RawAvg=614.40
baseline,601.20,,,,601.20,Collecting baseline... RawAvg=601.20
baseline,587.40,,,,587.40,Collecting baseline... RawAvg=587.40
baseline,580.40,,,,580.40,Collecting baseline... RawAvg=580.40
baseline,582.60,,,,582.60,Collecting baseline... RawAvg=582.60
baseline,593.20,,,,593.20,Collecting baseline... RawAvg=593.20
baseline,606.20,,,,606.20,Collecting baseline... RawAvg=606.20
baseline,615.60,,,,615.60,Collecting baseline... RawAvg=615.60
baseline,617.60,,,,617.60,Collecting baseline... RawAvg=617.60
baseline,611.40,,,,611.40,Collecting baseline... RawAvg=611.40
baseline,598.80,,,,598.80,Collecting baseline... RawAvg=598.80
baseline,586.80,,,,586.80,Collecting baseline... RawAvg=586.80
baseline,582.00,,,,582.00,Collecting baseline... RawAvg=582.00
baseline,586.60,,,,586.60,Collecting baseline... RawAvg=586.60
baseline,598.60,,,,598.60,Collecting baseline... RawAvg=598.60
baseline,611.80,,,,611.80,Collecting baseline... RawAvg=611.80
baseline,620.00,,,,620.00,Collecting baseline... RawAvg=620.00
baseline,620.80,,,,620.80,Collecting baseline... RawAvg=620.80
baseline,612.80,,,,612.80,Collecting baseline... RawAvg=612.80
baseline,598.20,,,,598.20,Collecting baseline... RawAvg=598.20
baseline,585.20,,,,585.20,Collecting baseline... RawAvg=585.20
baseline,579.80,,,,579.80,Collecting baseline... RawAvg=579.80
baseline,583.80,,,,583.80,Collecting baseline... RawAvg=583.80
baseline,595.20,,,,595.20,Collecting baseline... RawAvg=595.20
baseline,608.00,,,,608.00,Collecting baseline... RawAvg=608.00
baseline,616.20,,,,616.20,Collecting baseline... RawAvg=616.20
baseline,617.00,,,,617.00,Collecting baseline... RawAvg=617.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,600.17,,,600.17,Final Base Raw Average = 600.17
info,,,,,,--------------------------------------------------------------------------
data,,600.2,597.4,2.8,597.4,Time=0.1s | BaseRaw=600.2 | CurrentRaw=597.4 | Change=2.8 => Floor
data,,600.2,595.6,4.6,595.6,Time=0.2s | BaseRaw=600.2 | CurrentRaw=595.6 | Change=4.6 => Floor
data,,600.2,593.2,7.0,593.2,Time=0.3s | BaseRaw=600.2 | CurrentRaw=593.2 | Change=7.0 => Floor
data,,600.2,590.0,10.2,590.0,Time=0.4s | BaseRaw=600.2 | CurrentRaw=590.0 | Change=10.2 => Liquid
data,,600.2,592.2,8.0,592.2,Time=0.5s | BaseRaw=600.2 | CurrentRaw=592.2 | Change=8.0 => Floor
data,,600.2,596.0,4.2,596.0,Time=0.6s | BaseRaw=600.2 | CurrentRaw=596.0 | Change=4.2 => Floor
data,,600.2,595.6,4.6,595.6,Time=0.7s | BaseRaw=600.2 | CurrentRaw=595.6 | Change=4.6 => Floor
data,,600.2,589.0,11.2,589.0,Time=0.8s | BaseRaw=600.2 | CurrentRaw=589.0 | Change=11.2 => Liquid
data,,600.2,594.6,5.6,594.6,Time=0.9s | BaseRaw=600.2 | CurrentRaw=594.6 | Change=5.6 => Floor
data,,600.2,592.4,7.8,592.4,Time=1.0s | BaseRaw=600.2 | CurrentRaw=592.4 | Change=7.8 => Floor
data,,600.2,600.8,0.6,600.8,Time=1.1s | BaseRaw=600.2 | CurrentRaw=600.8 | Change=0.6 => Floor
data,,600.2,591.2,9.0,591.2,Time=1.2s | BaseRaw=600.2 | CurrentRaw=591.2 | Change=9.0 => Floor
data,,600.2,602.6,2.4,602.6,Time=1.3s | BaseRaw=600.2 | CurrentRaw=602.6 | Change=2.4 => Floor
data,,600.2,600.6,0.4,600.6,Time=1.4s | BaseRaw=600.2 | CurrentRaw=600.6 | Change=0.4 => Floor
data,,600.2,602.6,2.4,602.6,Time=1.5s | BaseRaw=600.2 | CurrentRaw=602.6 | Change=2.4 => Floor
data,,600.2,600.4,0.2,600.4,Time=1.6s | BaseRaw=600.2 | CurrentRaw=600.4 | Change=0.2 => Floor
data,,600.2,599.2,1.0,599.2,Time=1.7s | BaseRaw=600.2 | CurrentRaw=599.2 | Change=1.0 => Floor
data,,600.2,601.4,1.2,601.4,Time=1.8s | BaseRaw=600.2 | CurrentRaw=601.4 | Change=1.2 => Floor
data,,600.2,599.4,0.8,599.4,Time=1.9s | BaseRaw=600.2 | CurrentRaw=599.4 | Change=0.8 => Floor
data,,600.2,602.4,2.2,602.4,Time=2.0s | BaseRaw=600.2 | CurrentRaw=602.4 | Change=2.2 => Floor
data,,600.2,599.8,0.4,599.8,Time=2.1s | BaseRaw=600.2 | CurrentRaw=599.8 | Change=0.4 => Floor
data,,600.2,600.6,0.4,600.6,Time=2.2s | BaseRaw=600.2 | CurrentRaw=600.6 | Change=0.4 => Floor
data,,600.2,600.6,0.4,600.6,Time=2.3s | BaseRaw=600.2 | CurrentRaw=600.6 | Change=0.4 => Floor
data,,600.2,599.0,1.2,599.0,Time=2.4s | BaseRaw=600.2 | CurrentRaw=599.0 | Change=1.2 => Floor
data,,600.2,602.6,2.4,602.6,Time=2.5s | BaseRaw=600.2 | CurrentRaw=602.6 | Change=2.4 => Floor
data,,600.2,600.2,0.0,600.2,Time=2.6s | BaseRaw=600.2 | CurrentRaw=600.2 | Change=0.0 => Floor
data,,600.2,601.6,1.4,601.6,Time=2.7s | BaseRaw=600.2 | CurrentRaw=601.6 | Change=1.4 => Floor
data,,600.2,600.4,0.2,600.4,Time=2.8s | BaseRaw=600.2 | CurrentRaw=600.4 | Change=0.2 => Floor
data,,600.2,599.2,1.0,599.2,Time=2.9s | BaseRaw=600.2 | CurrentRaw=599.2 | Change=1.0 => Floor
data,,600.2,602.0,1.8,602.0,Time=3.0s | BaseRaw=600.2 | CurrentRaw=602.0 | Change=1.8 => Floor
data,,600.2,599.6,0.6,599.6,Time=3.1s | BaseRaw=600.2 | CurrentRaw=599.6 | Change=0.6 => Floor
data,,600.2,602.0,1.8,602.0,Time=3.2s | BaseRaw=600.2 | CurrentRaw=602.0 | Change=1.8 => Floor
data,,600.2,600.0,0.2,600.0,Time=3.3s | BaseRaw=600.2 | CurrentRaw=600.0 | Change=0.2 => Floor
data,,600.2,600.0,0.2,600.0,Time=3.4s | BaseRaw=600.2 | CurrentRaw=600.0 | Change=0.2 => Floor
data,,600.2,601.4,1.2,601.4,Time=3.5s | BaseRaw=600.2 | CurrentRaw=601.4 | Change=1.2 => Floor
data,,600.2,599.4,0.8,599.4,Time=3.6s | BaseRaw=600.2 | CurrentRaw=599.4 | Change=0.8 => Floor
data,,600.2,603.0,2.8,603.0,Time=3.7s | BaseRaw=600.2 | CurrentRaw=603.0 | Change=2.8 => Floor
data,,600.2,600.2,0.0,600.2,Time=3.8s | BaseRaw=600.2 | CurrentRaw=600.2 | Change=0.0 => Floor
data,,600.2,601.6,1.4,601.6,Time=3.9s | BaseRaw=600.2 | CurrentRaw=601.6 | Change=1.4 => Floor
data,,600.2,600.6,0.4,600.6,Time=4.0s | BaseRaw=600.2 | CurrentRaw=600.6 | Change=0.4 => Floor
data,,600.2,599.0,1.2,599.0,Time=4.1s | BaseRaw=600.2 | CurrentRaw=599.0 | Change=1.2 => Floor
data,,600.2,602.8,2.6,602.8,Time=4.2s | BaseRaw=600.2 | CurrentRaw=602.8 | Change=2.6 => Floor
data,,600.2,600.2,0.0,600.2,Time=4.3s | BaseRaw=600.2 | CurrentRaw=600.2 | Change=0.0 => Floor
data,,600.2,602.8,2.6,602.8,Time=4.4s | BaseRaw=600.2 | CurrentRaw=602.8 | Change=2.6 => Floor
data,,600.2,600.0,0.2,600.0,Time=4.5s | BaseRaw=600.2 | CurrentRaw=600.0 | Change=0.2 => Floor
data,,600.2,599.0,1.2,599.0,Time=4.6s | BaseRaw=600.2 | CurrentRaw=599.0 | Change=1.2 => Floor
data,,600.2,601.2,1.0,601.2,Time=4.7s | BaseRaw=600.2 | CurrentRaw=601.2 | Change=1.0 => Floor
data,,600.2,599.0,1.2,599.0,Time=4.8s | BaseRaw=600.2 | CurrentRaw=599.0 | Change=1.2 => Floor
data,,600.2,602.6,2.4,602.6,Time=4.9s | BaseRaw=600.2 | CurrentRaw=602.6 | Change=2.4 => Floor
data,,600.2,599.8,0.4,599.8,Time=5.0s | BaseRaw=600.2 | CurrentRaw=599.8 | Change=0.4 => Floor
data,,600.2,600.6,0.4,600.6,Time=5.1s | BaseRaw=600.2 | CurrentRaw=600.6 | Change=0.4 => Floor
data,,600.2,600.4,0.2,600.4,Time=5.2s | BaseRaw=600.2 | CurrentRaw=600.4 | Change=0.2 => Floor
data,,600.2,598.8,1.4,598.8,Time=5.3s | BaseRaw=600.2 | CurrentRaw=598.8 | Change=1.4 => Floor
data,,600.2,602.6,2.4,602.6,Time=5.4s | BaseRaw=600.2 | CurrentRaw=602.6 | Change=2.4 => Floor
data,,600.2,600.0,0.2,600.0,Time=5.5s | BaseRaw=600.2 | CurrentRaw=600.0 | Change=0.2 => Floor
data,,600.2,602.8,2.6,602.8,Time=5.6s | BaseRaw=600.2 | CurrentRaw=602.8 | Change=2.6 => Floor
data,,600.2,600.8,0.6,600.8,Time=5.7s | BaseRaw=600.2 | CurrentRaw=600.8 | Change=0.6 => Floor
data,,600.2,601.0,0.8,601.0,Time=5.8s | BaseRaw=600.2 | CurrentRaw=601.0 | Change=0.8 => Floor
data,,600.2,603.8,3.6,603.8,Time=5.9s | BaseRaw=600.2 | CurrentRaw=603.8 | Change=3.6 => Floor
data,,600.2,601.4,1.2,601.4,Time=6.0s | BaseRaw=600.2 | CurrentRaw=601.4 | Change=1.2 => Floor
data,,600.2,604.8,4.6,604.8,Time=6.1s | BaseRaw=600.2 | CurrentRaw=604.8 | Change=4.6 => Floor
data,,600.2,603.4,3.2,603.4,Time=6.2s | BaseRaw=600.2 | CurrentRaw=603.4 | Change=3.2 => Floor
data,,600.2,606.2,6.0,606.2,Time=6.3s | BaseRaw=600.2 | CurrentRaw=606.2 | Change=6.0 => Floor
data,,600.2,609.2,9.0,609.2,Time=6.4s | BaseRaw=600.2 | CurrentRaw=609.2 | Change=9.0 => Floor
data,,600.2,609.6,9.4,609.6,Time=6.5s | BaseRaw=600.2 | CurrentRaw=609.6 | Change=9.4 => Floor
