record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,532.40,,,,532.40,Collecting baseline... RawAvg=532.40
baseline,529.00,,,,529.00,Collecting baseline... RawAvg=529.00
baseline,521.60,,,,521.60,Collecting baseline... RawAvg=521.60
baseline,513.00,,,,513.00,Collecting baseline... RawAvg=513.00
baseline,507.00,,,,507.00,Collecting baseline... RawAvg=507.00
baseline,515.60,,,,515.60,Collecting baseline... RawAvg=515.60
baseline,527.20,,,,527.20,Collecting baseline... RawAvg=527.20
baseline,541.80,,,,541.80,Collecting baseline... RawAvg=541.80
baseline,552.40,,,,552.40,Collecting baseline... RawAvg=552.40
baseline,555.00,,,,555.00,Collecting baseline... RawAvg=555.00
baseline,547.40,,,,547.40,Collecting baseline... RawAvg=547.40
baseline,532.20,,,,532.20,Collecting baseline... RawAvg=532.20
baseline,519.20,,,,519.20,Collecting baseline... RawAvg=519.20
baseline,515.60,,,,515.60,Collecting baseline... RawAvg=515.60
baseline,523.40,,,,523.40,Collecting baseline... RawAvg=523.40
baseline,538.20,,,,538.20,Collecting baseline... RawAvg=538.20
baseline,551.80,,,,551.80,Collecting baseline... RawAvg=551.80
baseline,558.40,,,,558.40,Collecting baseline... RawAvg=558.40
baseline,555.40,,,,555.40,Collecting baseline... RawAvg=555.40
baseline,542.60,,,,542.60,Collecting baseline... RawAvg=542.60
baseline,526.40,,,,526.40,Collecting baseline... RawAvg=526.40
baseline,516.20,,,,516.20,Collecting baseline... RawAvg=516.20
baseline,517.00,,,,517.00,Collecting baseline... RawAvg=517.00
baseline,528.40,,,,528.40,Collecting baseline... RawAvg=528.40
baseline,543.00,,,,543.00,Collecting baseline... RawAvg=543.00
baseline,553.80,,,,553.80,Collecting baseline... RawAvg=553.80
baseline,556.80,,,,556.80,Collecting baseline... RawAvg=556.80
baseline,550.00,,,,550.00,Collecting baseline... RawAvg=550.00
baseline,535.20,,,,535.20,Collecting baseline... RawAvg=535.20
baseline,521.80,,,,521.80,Collecting baseline... RawAvg=521.80
baseline,517.60,,,,517.60,Collecting baseline... RawAvg=517.60
baseline,524.40,,,,524.40,Collecting baseline... RawAvg=524.40
baseline,538.60,,,,538.60,Collecting baseline... RawAvg=538.60
baseline,552.40,,,,552.40,Collecting baseline... RawAvg=552.40
baseline,559.60,,,,559.60,Collecting baseline... RawAvg=559.60
baseline,557.20,,,,557.20,Collecting baseline... RawAvg=557.20
baseline,545.20,,,,545.20,Collecting baseline... RawAvg=545.20
baseline,528.60,,,,528.60,Collecting baseline... RawAvg=528.60
baseline,517.00,,,,517.00,Collecting baseline... RawAvg=517.00
baseline,516.60,,,,516.60,Collecting baseline... RawAvg=516.60
baseline,527.00,,,,527.00,Collecting baseline... RawAvg=527.00
baseline,541.60,,,,541.60,Collecting baseline... RawAvg=541.60
baseline,553.00,,,,553.00,Collecting baseline... RawAvg=553.00
baseline,557.20,,,,557.20,Collecting baseline... RawAvg=557.20
baseline,551.40,,,,551.40,Collecting baseline... RawAvg=551.40
baseline,536.80,,,,536.80,Collecting baseline... RawAvg=536.80
baseline,522.60,,,,522.60,Collecting baseline... RawAvg=522.60
baseline,517.20,,,,517.20,Collecting baseline... RawAvg=517.20
baseline,523.00,,,,523.00,Collecting baseline... RawAvg=523.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,535.00,,,535.00,Final Base Raw Average = 535.00
info,,,,,,--------------------------------------------------------------------------
data,,535.0,553.2,18.2,553.2,Time=0.1s | BaseRaw=535.0 | CurrentRaw=553.2 | Change=18.2 => Liquid
data,,535.0,554.0,19.0,554.0,Time=0.2s | BaseRaw=535.0 | CurrentRaw=554.0 | Change=19.0 => Liquid
data,,535.0,552.0,17.0,552.0,Time=0.3s | BaseRaw=535.0 | CurrentRaw=552.0 | Change=17.0 => Liquid
data,,535.0,555.8,20.8,555.8,Time=0.4s | BaseRaw=535.0 | CurrentRaw=555.8 | Change=20.8 => Liquid
data,,535.0,541.4,6.4,541.4,Time=0.5s | BaseRaw=535.0 | CurrentRaw=541.4 | Change=6.4 => Floor
data,,535.0,538.6,3.6,538.6,Time=0.6s | BaseRaw=535.0 | CurrentRaw=538.6 | Change=3.6 => Floor
data,,535.0,536.8,1.8,536.8,Time=0.7s | BaseRaw=535.0 | CurrentRaw=536.8 | Change=1.8 => Floor
data,,535.0,548.4,13.4,548.4,Time=0.8s | BaseRaw=535.0 | CurrentRaw=548.4 | Change=13.4 => Liquid
data,,535.0,532.4,2.6,532.4,Time=0.9s | BaseRaw=535.0 | CurrentRaw=532.4 | Change=2.6 => Floor
data,,535.0,545.8,10.8,545.8,Time=1.0s | BaseRaw=535.0 | CurrentRaw=545.8 | Change=10.8 => Liquid
data,,535.0,535.6,0.6,535.6,Time=1.1s | BaseRaw=535.0 | CurrentRaw=535.6 | Change=0.6 => Floor
data,,535.0,549.2,14.2,549.2,Time=1.2s | BaseRaw=535.0 | CurrentRaw=549.2 | Change=14.2 => Liquid
data,,535.0,540.0,5.0,540.0,Time=1.3s | BaseRaw=535.0 | CurrentRaw=540.0 | Change=5.0 => Floor
data,,535.0,549.6,14.6,549.6,Time=1.4s | BaseRaw=535.0 | CurrentRaw=549.6 | Change=14.6 => Liquid
data,,535.0,546.4,11.4,546.4,Time=1.5s | BaseRaw=535.0 | CurrentRaw=546.4 | Change=11.4 => Liquid
data,,535.0,542.4,7.4,542.4,Time=1.6s | BaseRaw=535.0 | CurrentRaw=542.4 | Change=7.4 => Floor
data,,535.0,543.8,8.8,543.8,Time=1.7s | BaseRaw=535.0 | CurrentRaw=543.8 | Change=8.8 => Floor
data,,535.0,540.8,5.8,540.8,Time=1.8s | BaseRaw=535.0 | CurrentRaw=540.8 | Change=5.8 => Floor
data,,535.0,539.2,4.2,539.2,Time=1.9s | BaseRaw=535.0 | CurrentRaw=539.2 | Change=4.2 => Floor
data,,535.0,536.6,1.6,536.6,Time=2.0s | BaseRaw=535.0 | CurrentRaw=536.6 | Change=1.6 => Floor
data,,535.0,537.6,2.6,537.6,Time=2.1s | BaseRaw=535.0 | CurrentRaw=537.6 | Change=2.6 => Floor
data,,535.0,537.6,2.6,537.6,Time=2.2s | BaseRaw=535.0 | CurrentRaw=537.6 | Change=2.6 => Floor
data,,535.0,535.2,0.2,535.2,Time=2.3s | BaseRaw=535.0 | CurrentRaw=535.2 | Change=0.2 => Floor
data,,535.0,540.2,5.2,540.2,Time=2.4s | BaseRaw=535.0 | CurrentRaw=540.2 | Change=5.2 => Floor
data,,535.0,536.0,1.0,536.0,Time=2.5s | BaseRaw=535.0 | CurrentRaw=536.0 | Change=1.0 => Floor
data,,535.0,539.4,4.4,539.4,Time=2.6s | BaseRaw=535.0 | CurrentRaw=539.4 | Change=4.4 => Floor
data,,535.0,536.0,1.0,536.0,Time=2.7s | BaseRaw=535.0 | CurrentRaw=536.0 | Change=1.0 => Floor
data,,535.0,535.6,0.6,535.6,Time=2.8s | BaseRaw=535.0 | CurrentRaw=535.6 | Change=0.6 => Floor
data,,535.0,538.8,3.8,538.8,Time=2.9s | BaseRaw=535.0 | CurrentRaw=538.8 | Change=3.8 => Floor
data,,535.0,535.4,0.4,535.4,Time=3.0s | BaseRaw=535.0 | CurrentRaw=535.4 | Change=0.4 => Floor
data,,535.0,540.6,5.6,540.6,Time=3.1s | BaseRaw=535.0 | CurrentRaw=540.6 | Change=5.6 => Floor
data,,535.0,536.6,1.6,536.6,Time=3.2s | BaseRaw=535.0 | CurrentRaw=536.6 | Change=1.6 => Floor
data,,535.0,538.4,3.4,538.4,Time=3.3s | BaseRaw=535.0 | CurrentRaw=538.4 | Change=3.4 => Floor
data,,535.0,537.0,2.0,537.0,Time=3.4s | BaseRaw=535.0 | CurrentRaw=537.0 | Change=2.0 => Floor
data,,535.0,535.0,0.0,535.0,Time=3.5s | BaseRaw=535.0 | CurrentRaw=535.0 | Change=0.0 => Floor
data,,535.0,540.0,5.0,540.0,Time=3.6s | BaseRaw=535.0 | CurrentRaw=540.0 | Change=5.0 => Floor
data,,535.0,536.6,1.6,536.6,Time=3.7s | BaseRaw=535.0 | CurrentRaw=536.6 | Change=1.6 => Floor
data,,535.0,541.0,6.0,541.0,Time=3.8s | BaseRaw=535.0 | CurrentRaw=541.0 | Change=6.0 => Floor
data,,535.0,536.8,1.8,536.8,Time=3.9s | BaseRaw=535.0 | CurrentRaw=536.8 | Change=1.8 => Floor
data,,535.0,536.6,1.6,536.6,Time=4.0s | BaseRaw=535.0 | CurrentRaw=536.6 | Change=1.6 => Floor
data,,535.0,538.2,3.2,538.2,Time=4.1s | BaseRaw=535.0 | CurrentRaw=538.2 | Change=3.2 => Floor
data,,535.0,535.2,0.2,535.2,Time=4.2s | BaseRaw=535.0 | CurrentRaw=535.2 | Change=0.2 => Floor
data,,535.0,540.8,5.8,540.8,Time=4.3s | BaseRaw=535.0 | CurrentRaw=540.8 | Change=5.8 => Floor
data,,535.0,536.6,1.6,536.6,Time=4.4s | BaseRaw=535.0 | CurrentRaw=536.6 | Change=1.6 => Floor
data,,535.0,539.6,4.6,539.6,Time=4.5s | BaseRaw=535.0 | CurrentRaw=539.6 | Change=4.6 => Floor
data,,535.0,537.4,2.4,537.4,Time=4.6s | BaseRaw=535.0 | CurrentRaw=537.4 | Change=2.4 => Floor
data,,535.0,536.8,1.8,536.8,Time=4.7s | BaseRaw=535.0 | CurrentRaw=536.8 | Change=1.8 => Floor
data,,535.0,541.0,6.0,541.0,Time=4.8s | BaseRaw=535.0 | CurrentRaw=541.0 | Change=6.0 => Floor
data,,535.0,538.0,3.0,538.0,Time=4.9s | BaseRaw=535.0 | CurrentRaw=538.0 | Change=3.0 => Floor
data,,535.0,543.2,8.2,543.2,Time=5.0s | BaseRaw=535.0 | CurrentRaw=543.2 | Change=8.2 => Floor
data,,535.0,540.0,5.0,540.0,Time=5.1s | BaseRaw=535.0 | CurrentRaw=540.0 | Change=5.0 => Floor
data,,535.0,543.2,8.2,543.2,Time=5.2s | BaseRaw=535.0 | CurrentRaw=543.2 | Change=8.2 => Floor
data,,535.0,545.2,10.2,545.2,Time=5.3s | BaseRaw=535.0 | CurrentRaw=545.2 | Change=10.2 => Liquid
data,,535.0,548.2,13.2,548.2,Time=5.4s | BaseRaw=535.0 | CurrentRaw=548.2 | Change=13.2 => Liquid
data,,535.0,547.4,12.4,547.4,Time=5.5s | BaseRaw=535.0 | CurrentRaw=547.4 | Change=12.4 => Liquid
data,,535.0,561.0,26.0,561.0,Time=5.6s | BaseRaw=535.0 | CurrentRaw=561.0 | Change=26.0 => Liquid
data,,535.0,575.4,40.4,575.4,Time=5.7s | BaseRaw=535.0 | CurrentRaw=575.4 | Change=40.4 => Liquid
data,,535.0,575.4,40.4,575.4,Time=5.8s | BaseRaw=535.0 | CurrentRaw=575.4 | Change=40.4 => Liquid
data,,535.0,599.2,64.2,599.2,Time=5.9s | BaseRaw=535.0 | CurrentRaw=599.2 | Change=64.2 => Liquid
data,,535.0,612.2,77.2,612.2,Time=6.0s | BaseRaw=535.0 | CurrentRaw=612.2 | Change=77.2 => Liquid
data,,535.0,607.6,72.6,607.6,Time=6.1s | BaseRaw=535.0 | CurrentRaw=607.6 | Change=72.6 => Liquid
data,,535.0,620.0,85.0,620.0,Time=6.2s | BaseRaw=535.0 | CurrentRaw=620.0 | Change=85.0 => Liquid
data,,535.0,622.8,87.8,622.8,Time=6.3s | BaseRaw=535.0 | CurrentRaw=622.8 | Change=87.8 => Liquid
data,,535.0,611.0,76.0,611.0,Time=6.4s | BaseRaw=535.0 | CurrentRaw=611.0 | Change=76.0 => Liquid
data,,535.0,621.4,86.4,621.4,Time=6.5s | BaseRaw=535.0 | CurrentRaw=621.4 | Change=86.4 => Liquid
