record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,546.20,,,,546.20,Collecting baseline... RawAvg=546.20
baseline,561.40,,,,561.40,Collecting baseline... RawAvg=561.40
baseline,573.20,,,,573.20,Collecting baseline... RawAvg=573.20
baseline,580.40,,,,580.40,Collecting baseline... RawAvg=580.40
baseline,583.60,,,,583.60,Collecting baseline... RawAvg=583.60
baseline,578.20,,,,578.20,Collecting baseline... RawAvg=578.20
baseline,562.60,,,,562.60,Collecting baseline... RawAvg=562.60
baseline,553.60,,,,553.60,Collecting baseline... RawAvg=553.60
baseline,555.20,,,,555.20,Collecting baseline... RawAvg=555.20
baseline,566.40,,,,566.40,Collecting baseline... RawAvg=566.40
baseline,581.00,,,,581.00,Collecting baseline... RawAvg=581.00
baseline,592.40,,,,592.40,Collecting baseline... RawAvg=592.40
baseline,596.40,,,,596.40,Collecting baseline... RawAvg=596.40
baseline,590.80,,,,590.80,Collecting baseline... RawAvg=590.80
baseline,577.20,,,,577.20,Collecting baseline... RawAvg=577.20
baseline,562.80,,,,562.80,Collecting baseline... RawAvg=562.80
baseline,555.20,,,,555.20,Collecting baseline... RawAvg=555.20
baseline,557.80,,,,557.80,Collecting baseline... RawAvg=557.80
baseline,569.40,,,,569.40,Collecting baseline... RawAvg=569.40
baseline,584.40,,,,584.40,Collecting baseline... RawAvg=584.40
baseline,595.80,,,,595.80,Collecting baseline... RawAvg=595.80
baseline,599.00,,,,599.00,Collecting baseline... RawAvg=599.00
baseline,592.40,,,,592.40,Collecting baseline... RawAvg=592.40
baseline,578.00,,,,578.00,Collecting baseline... RawAvg=578.00
baseline,562.20,,,,562.20,Collecting baseline... RawAvg=562.20
baseline,553.00,,,,553.00,Collecting baseline... RawAvg=553.00
baseline,554.20,,,,554.20,Collecting baseline... RawAvg=554.20
baseline,565.00,,,,565.00,Collecting baseline... RawAvg=565.00
baseline,579.80,,,,579.80,Collecting baseline... RawAvg=579.80
baseline,591.80,,,,591.80,Collecting baseline... RawAvg=591.80
baseline,596.60,,,,596.60,Collecting baseline... RawAvg=596.60
baseline,592.00,,,,592.00,Collecting baseline... RawAvg=592.00
baseline,578.80,,,,578.80,Collecting baseline... RawAvg=578.80
baseline,564.00,,,,564.00,Collecting baseline... RawAvg=564.00
baseline,555.40,,,,555.40,Collecting baseline... RawAvg=555.40
baseline,556.20,,,,556.20,Collecting baseline... RawAvg=556.20
baseline,566.80,,,,566.80,Collecting baseline... RawAvg=566.80
baseline,582.20,,,,582.20,Collecting baseline... RawAvg=582.20
baseline,594.40,,,,594.40,Collecting baseline... RawAvg=594.40
baseline,599.20,,,,599.20,Collecting baseline... RawAvg=599.20
baseline,594.40,,,,594.40,Collecting baseline... RawAvg=594.40
baseline,581.00,,,,581.00,Collecting baseline... RawAvg=581.00
baseline,564.60,,,,564.60,Collecting baseline... RawAvg=564.60
baseline,553.80,,,,553.80,Collecting baseline... RawAvg=553.80
baseline,552.40,,,,552.40,Collecting baseline... RawAvg=552.40
baseline,561.60,,,,561.60,Collecting baseline... RawAvg=561.60
baseline,576.00,,,,576.00,Collecting baseline... RawAvg=576.00
baseline,589.20,,,,589.20,Collecting baseline... RawAvg=589.20
baseline,596.20,,,,596.20,Collecting baseline... RawAvg=596.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,574.58,,,574.58,Final Base Raw Average = 574.58
info,,,,,,--------------------------------------------------------------------------
data,,574.6,585.0,10.4,585.0,Time=0.1s | BaseRaw=574.6 | CurrentRaw=585.0 | Change=10.4 => Liquid
data,,574.6,585.8,11.2,585.8,Time=0.2s | BaseRaw=574.6 | CurrentRaw=585.8 | Change=11.2 => Liquid
data,,574.6,574.4,0.2,574.4,Time=0.3s | BaseRaw=574.6 | CurrentRaw=574.4 | Change=0.2 => Floor
data,,574.6,579.8,5.2,579.8,Time=0.4s | BaseRaw=574.6 | CurrentRaw=579.8 | Change=5.2 => Floor
data,,574.6,576.4,1.8,576.4,Time=0.5s | BaseRaw=574.6 | CurrentRaw=576.4 | Change=1.8 => Floor
data,,574.6,585.8,11.2,585.8,Time=0.6s | BaseRaw=574.6 | CurrentRaw=585.8 | Change=11.2 => Liquid
data,,574.6,569.2,5.4,569.2,Time=0.7s | BaseRaw=574.6 | CurrentRaw=569.2 | Change=5.4 => Floor
data,,574.6,582.8,8.2,582.8,Time=0.8s | BaseRaw=574.6 | CurrentRaw=582.8 | Change=8.2 => Floor
data,,574.6,571.8,2.8,571.8,Time=0.9s | BaseRaw=574.6 | CurrentRaw=571.8 | Change=2.8 => Floor
data,,574.6,578.6,4.0,578.6,Time=1.0s | BaseRaw=574.6 | CurrentRaw=578.6 | Change=4.0 => Floor
data,,574.6,575.2,0.6,575.2,Time=1.1s | BaseRaw=574.6 | CurrentRaw=575.2 | Change=0.6 => Floor
data,,574.6,575.8,1.2,575.8,Time=1.2s | BaseRaw=574.6 | CurrentRaw=575.8 | Change=1.2 => Floor
data,,574.6,576.0,1.4,576.0,Time=1.3s | BaseRaw=574.6 | CurrentRaw=576.0 | Change=1.4 => Floor
data,,574.6,574.8,0.2,574.8,Time=1.4s | BaseRaw=574.6 | CurrentRaw=574.8 | Change=0.2 => Floor
data,,574.6,577.6,3.0,577.6,Time=1.5s | BaseRaw=574.6 | CurrentRaw=577.6 | Change=3.0 => Floor
data,,574.6,575.4,0.8,575.4,Time=1.6s | BaseRaw=574.6 | CurrentRaw=575.4 | Change=0.8 => Floor
data,,574.6,576.6,2.0,576.6,Time=1.7s | BaseRaw=574.6 | CurrentRaw=576.6 | Change=2.0 => Floor
data,,574.6,576.0,1.4,576.0,Time=1.8s | BaseRaw=574.6 | CurrentRaw=576.0 | Change=1.4 => Floor
data,,574.6,574.8,0.2,574.8,Time=1.9s | BaseRaw=574.6 | CurrentRaw=574.8 | Change=0.2 => Floor
data,,574.6,577.4,2.8,577.4,Time=2.0s | BaseRaw=574.6 | CurrentRaw=577.4 | Change=2.8 => Floor
data,,574.6,575.8,1.2,575.8,Time=2.1s | BaseRaw=574.6 | CurrentRaw=575.8 | Change=1.2 => Floor
data,,574.6,577.0,2.4,577.0,Time=2.2s | BaseRaw=574.6 | CurrentRaw=577.0 | Change=2.4 => Floor
data,,574.6,575.4,0.8,575.4,Time=2.3s | BaseRaw=574.6 | CurrentRaw=575.4 | Change=0.8 => Floor
data,,574.6,574.8,0.2,574.8,Time=2.4s | BaseRaw=574.6 | CurrentRaw=574.8 | Change=0.2 => Floor
data,,574.6,576.8,2.2,576.8,Time=2.5s | BaseRaw=574.6 | CurrentRaw=576.8 | Change=2.2 => Floor
data,,574.6,574.8,0.2,574.8,Time=2.6s | BaseRaw=574.6 | CurrentRaw=574.8 | Change=0.2 => Floor
data,,574.6,577.2,2.6,577.2,Time=2.7s | BaseRaw=574.6 | CurrentRaw=577.2 | Change=2.6 => Floor
data,,574.6,575.4,0.8,575.4,Time=2.8s | BaseRaw=574.6 | CurrentRaw=575.4 | Change=0.8 => Floor
data,,574.6,575.6,1.0,575.6,Time=2.9s | BaseRaw=574.6 | CurrentRaw=575.6 | Change=1.0 => Floor
data,,574.6,576.6,2.0,576.6,Time=3.0s | BaseRaw=574.6 | CurrentRaw=576.6 | Change=2.0 => Floor
data,,574.6,575.0,0.4,575.0,Time=3.1s | BaseRaw=574.6 | CurrentRaw=575.0 | Change=0.4 => Floor
data,,574.6,577.4,2.8,577.4,Time=3.2s | BaseRaw=574.6 | CurrentRaw=577.4 | Change=2.8 => Floor
data,,574.6,575.8,1.2,575.8,Time=3.3s | BaseRaw=574.6 | CurrentRaw=575.8 | Change=1.2 => Floor
data,,574.6,576.4,1.8,576.4,Time=3.4s | BaseRaw=574.6 | CurrentRaw=576.4 | Change=1.8 => Floor
data,,574.6,576.4,1.8,576.4,Time=3.5s | BaseRaw=574.6 | CurrentRaw=576.4 | Change=1.8 => Floor
data,,574.6,575.4,0.8,575.4,Time=3.6s | BaseRaw=574.6 | CurrentRaw=575.4 | Change=0.8 => Floor
data,,574.6,578.0,3.4,578.0,Time=3.7s | BaseRaw=574.6 | CurrentRaw=578.0 | Change=3.4 => Floor
data,,574.6,576.4,1.8,576.4,Time=3.8s | BaseRaw=574.6 | CurrentRaw=576.4 | Change=1.8 => Floor
data,,574.6,578.0,3.4,578.0,Time=3.9s | BaseRaw=574.6 | CurrentRaw=578.0 | Change=3.4 => Floor
data,,574.6,577.6,3.0,577.6,Time=4.0s | BaseRaw=574.6 | CurrentRaw=577.6 | Change=3.0 => Floor
data,,574.6,577.0,2.4,577.0,Time=4.1s | BaseRaw=574.6 | CurrentRaw=577.0 | Change=2.4 => Floor
data,,574.6,579.6,5.0,579.6,Time=4.2s | BaseRaw=574.6 | CurrentRaw=579.6 | Change=5.0 => Floor
data,,574.6,577.6,3.0,577.6,Time=4.3s | BaseRaw=574.6 | CurrentRaw=577.6 | Change=3.0 => Floor
data,,574.6,579.0,4.4,579.0,Time=4.4s | BaseRaw=574.6 | CurrentRaw=579.0 | Change=4.4 => Floor
data,,574.6,577.0,2.4,577.0,Time=4.5s | BaseRaw=574.6 | CurrentRaw=577.0 | Change=2.4 => Floor
data,,574.6,576.2,1.6,576.2,Time=4.6s | BaseRaw=574.6 | CurrentRaw=576.2 | Change=1.6 => Floor
data,,574.6,578.2,3.6,578.2,Time=4.7s | BaseRaw=574.6 | CurrentRaw=578.2 | Change=3.6 => Floor
data,,574.6,576.8,2.2,576.8,Time=4.8s | BaseRaw=574.6 | CurrentRaw=576.8 | Change=2.2 => Floor
data,,574.6,579.2,4.6,579.2,Time=4.9s | BaseRaw=574.6 | CurrentRaw=579.2 | Change=4.6 => Floor
data,,574.6,577.8,3.2,577.8,Time=5.0s | BaseRaw=574.6 | CurrentRaw=577.8 | Change=3.2 => Floor
data,,574.6,577.4,2.8,577.4,Time=5.1s | BaseRaw=574.6 | CurrentRaw=577.4 | Change=2.8 => Floor
data,,574.6,579.0,4.4,579.0,Time=5.2s | BaseRaw=574.6 | CurrentRaw=579.0 | Change=4.4 => Floor
data,,574.6,578.8,4.2,578.8,Time=5.3s | BaseRaw=574.6 | CurrentRaw=578.8 | Change=4.2 => Floor
data,,574.6,581.6,7.0,581.6,Time=5.4s | BaseRaw=574.6 | CurrentRaw=581.6 | Change=7.0 => Floor
data,,574.6,580.4,5.8,580.4,Time=5.5s | BaseRaw=574.6 | CurrentRaw=580.4 | Change=5.8 => Floor
data,,574.6,581.6,7.0,581.6,Time=5.6s | BaseRaw=574.6 | CurrentRaw=581.6 | Change=7.0 => Floor
data,,574.6,579.8,5.2,579.8,Time=5.7s | BaseRaw=574.6 | CurrentRaw=579.8 | Change=5.2 => Floor
data,,574.6,575.6,1.0,575.6,Time=5.8s | BaseRaw=574.6 | CurrentRaw=575.6 | Change=1.0 => Floor
data,,574.6,574.2,0.4,574.2,Time=5.9s | BaseRaw=574.6 | CurrentRaw=574.2 | Change=0.4 => Floor
data,,574.6,568.8,5.8,568.8,Time=6.0s | BaseRaw=574.6 | CurrentRaw=568.8 | Change=5.8 => Floor
data,,574.6,567.8,6.8,567.8,Time=6.1s | BaseRaw=574.6 | CurrentRaw=567.8 | Change=6.8 => Floor
data,,574.6,566.6,8.0,566.6,Time=6.2s | BaseRaw=574.6 | CurrentRaw=566.6 | Change=8.0 => Floor
data,,574.6,566.8,7.8,566.8,Time=6.3s | BaseRaw=574.6 | CurrentRaw=566.8 | Change=7.8 => Floor
data,,574.6,571.0,3.6,571.0,Time=6.4s | BaseRaw=574.6 | CurrentRaw=571.0 | Change=3.6 => Floor
data,,574.6,570.0,4.6,570.0,Time=6.5s | BaseRaw=574.6 | CurrentRaw=570.0 | Change=4.6 => Floor
