record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,747.20,,,,747.20,Collecting baseline... RawAvg=747.20
baseline,747.80,,,,747.80,Collecting baseline... RawAvg=747.80
baseline,748.00,,,,748.00,Collecting baseline... RawAvg=748.00
baseline,748.20,,,,748.20,Collecting baseline... RawAvg=748.20
baseline,748.20,,,,748.20,Collecting baseline... RawAvg=748.20
baseline,747.40,,,,747.40,Collecting baseline... RawAvg=747.40
baseline,747.20,,,,747.20,Collecting baseline... RawAvg=747.20
baseline,747.20,,,,747.20,Collecting baseline... RawAvg=747.20
baseline,747.60,,,,747.60,Collecting baseline... RawAvg=747.60
baseline,748.20,,,,748.20,Collecting baseline... RawAvg=748.20
baseline,748.80,,,,748.80,Collecting baseline... RawAvg=748.80
baseline,749.40,,,,749.40,Collecting baseline... RawAvg=749.40
baseline,750.00,,,,750.00,Collecting baseline... RawAvg=750.00
baseline,750.40,,,,750.40,Collecting baseline... RawAvg=750.40
baseline,750.80,,,,750.80,Collecting baseline... RawAvg=750.80
baseline,751.00,,,,751.00,Collecting baseline... RawAvg=751.00
baseline,750.60,,,,750.60,Collecting baseline... RawAvg=750.60
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,749.80,,,,749.80,Collecting baseline... RawAvg=749.80
baseline,749.00,,,,749.00,Collecting baseline... RawAvg=749.00
baseline,748.00,,,,748.00,Collecting baseline... RawAvg=748.00
baseline,747.40,,,,747.40,Collecting baseline... RawAvg=747.40
baseline,747.00,,,,747.00,Collecting baseline... RawAvg=747.00
baseline,746.60,,,,746.60,Collecting baseline... RawAvg=746.60
baseline,746.80,,,,746.80,Collecting baseline... RawAvg=746.80
baseline,747.20,,,,747.20,Collecting baseline... RawAvg=747.20
baseline,747.60,,,,747.60,Collecting baseline... RawAvg=747.60
baseline,748.20,,,,748.20,Collecting baseline... RawAvg=748.20
baseline,749.00,,,,749.00,Collecting baseline... RawAvg=749.00
baseline,749.60,,,,749.60,Collecting baseline... RawAvg=749.60
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,750.80,,,,750.80,Collecting baseline... RawAvg=750.80
baseline,750.80,,,,750.80,Collecting baseline... RawAvg=750.80
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,749.60,,,,749.60,Collecting baseline... RawAvg=749.60
baseline,749.00,,,,749.00,Collecting baseline... RawAvg=749.00
baseline,748.20,,,,748.20,Collecting baseline... RawAvg=748.20
baseline,747.40,,,,747.40,Collecting baseline... RawAvg=747.40
baseline,746.80,,,,746.80,Collecting baseline... RawAvg=746.80
baseline,746.40,,,,746.40,Collecting baseline... RawAvg=746.40
baseline,746.20,,,,746.20,Collecting baseline... RawAvg=746.20
baseline,746.20,,,,746.20,Collecting baseline... RawAvg=746.20
baseline,746.60,,,,746.60,Collecting baseline... RawAvg=746.60
baseline,747.20,,,,747.20,Collecting baseline... RawAvg=747.20
baseline,748.00,,,,748.00,Collecting baseline... RawAvg=748.00
baseline,748.80,,,,748.80,Collecting baseline... RawAvg=748.80
baseline,749.60,,,,749.60,Collecting baseline... RawAvg=749.60
baseline,749.80,,,,749.80,Collecting baseline... RawAvg=749.80
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,748.50,,,748.50,Final Base Raw Average = 748.50
info,,,,,,--------------------------------------------------------------------------
data,,748.5,749.8,1.3,749.8,Time=0.1s | BaseRaw=748.5 | CurrentRaw=749.8 | Change=1.3 => Floor
data,,748.5,748.8,0.3,748.8,Time=0.2s | BaseRaw=748.5 | CurrentRaw=748.8 | Change=0.3 => Floor
data,,748.5,748.4,0.1,748.4,Time=0.3s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.0,0.5,748.0,Time=0.4s | BaseRaw=748.5 | CurrentRaw=748.0 | Change=0.5 => Floor
data,,748.5,748.4,0.1,748.4,Time=0.5s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.2,0.3,748.2,Time=0.6s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.2,0.3,748.2,Time=0.7s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.2,0.3,748.2,Time=0.8s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.4,0.1,748.4,Time=0.9s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.4,0.1,748.4,Time=1.0s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.4,0.1,748.4,Time=1.1s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.4,0.1,748.4,Time=1.2s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.8,0.3,748.8,Time=1.3s | BaseRaw=748.5 | CurrentRaw=748.8 | Change=0.3 => Floor
data,,748.5,749.2,0.7,749.2,Time=1.4s | BaseRaw=748.5 | CurrentRaw=749.2 | Change=0.7 => Floor
data,,748.5,749.2,0.7,749.2,Time=1.5s | BaseRaw=748.5 | CurrentRaw=749.2 | Change=0.7 => Floor
data,,748.5,749.0,0.5,749.0,Time=1.6s | BaseRaw=748.5 | CurrentRaw=749.0 | Change=0.5 => Floor
data,,748.5,749.0,0.5,749.0,Time=1.7s | BaseRaw=748.5 | CurrentRaw=749.0 | Change=0.5 => Floor
data,,748.5,748.8,0.3,748.8,Time=1.8s | BaseRaw=748.5 | CurrentRaw=748.8 | Change=0.3 => Floor
data,,748.5,749.0,0.5,749.0,Time=1.9s | BaseRaw=748.5 | CurrentRaw=749.0 | Change=0.5 => Floor
data,,748.5,748.6,0.1,748.6,Time=2.0s | BaseRaw=748.5 | CurrentRaw=748.6 | Change=0.1 => Floor
data,,748.5,748.4,0.1,748.4,Time=2.1s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.4,0.1,748.4,Time=2.2s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.6,0.1,748.6,Time=2.3s | BaseRaw=748.5 | CurrentRaw=748.6 | Change=0.1 => Floor
data,,748.5,748.4,0.1,748.4,Time=2.4s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.4,0.1,748.4,Time=2.5s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.2,0.3,748.2,Time=2.6s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.4,0.1,748.4,Time=2.7s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.4,0.1,748.4,Time=2.8s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.2,0.3,748.2,Time=2.9s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.2,0.3,748.2,Time=3.0s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.2,0.3,748.2,Time=3.1s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.4,0.1,748.4,Time=3.2s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.8,0.3,748.8,Time=3.3s | BaseRaw=748.5 | CurrentRaw=748.8 | Change=0.3 => Floor
data,,748.5,748.8,0.3,748.8,Time=3.4s | BaseRaw=748.5 | CurrentRaw=748.8 | Change=0.3 => Floor
data,,748.5,748.8,0.3,748.8,Time=3.5s | BaseRaw=748.5 | CurrentRaw=748.8 | Change=0.3 => Floor
data,,748.5,748.8,0.3,748.8,Time=3.6s | BaseRaw=748.5 | CurrentRaw=748.8 | Change=0.3 => Floor
data,,748.5,748.8,0.3,748.8,Time=3.7s | BaseRaw=748.5 | CurrentRaw=748.8 | Change=0.3 => Floor
data,,748.5,748.8,0.3,748.8,Time=3.8s | BaseRaw=748.5 | CurrentRaw=748.8 | Change=0.3 => Floor
data,,748.5,749.0,0.5,749.0,Time=3.9s | BaseRaw=748.5 | CurrentRaw=749.0 | Change=0.5 => Floor
data,,748.5,748.8,0.3,748.8,Time=4.0s | BaseRaw=748.5 | CurrentRaw=748.8 | Change=0.3 => Floor
data,,748.5,749.0,0.5,749.0,Time=4.1s | BaseRaw=748.5 | CurrentRaw=749.0 | Change=0.5 => Floor
data,,748.5,749.0,0.5,749.0,Time=4.2s | BaseRaw=748.5 | CurrentRaw=749.0 | Change=0.5 => Floor
data,,748.5,749.0,0.5,749.0,Time=4.3s | BaseRaw=748.5 | CurrentRaw=749.0 | Change=0.5 => Floor
data,,748.5,748.6,0.1,748.6,Time=4.4s | BaseRaw=748.5 | CurrentRaw=748.6 | Change=0.1 => Floor
data,,748.5,748.2,0.3,748.2,Time=4.5s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.0,0.5,748.0,Time=4.6s | BaseRaw=748.5 | CurrentRaw=748.0 | Change=0.5 => Floor
data,,748.5,748.2,0.3,748.2,Time=4.7s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.2,0.3,748.2,Time=4.8s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.2,0.3,748.2,Time=4.9s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.2,0.3,748.2,Time=5.0s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.4,0.1,748.4,Time=5.1s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,748.6,0.1,748.6,Time=5.2s | BaseRaw=748.5 | CurrentRaw=748.6 | Change=0.1 => Floor
data,,748.5,748.6,0.1,748.6,Time=5.3s | BaseRaw=748.5 | CurrentRaw=748.6 | Change=0.1 => Floor
data,,748.5,748.2,0.3,748.2,Time=5.4s | BaseRaw=748.5 | CurrentRaw=748.2 | Change=0.3 => Floor
data,,748.5,748.0,0.5,748.0,Time=5.5s | BaseRaw=748.5 | CurrentRaw=748.0 | Change=0.5 => Floor
data,,748.5,748.6,0.1,748.6,Time=5.6s | BaseRaw=748.5 | CurrentRaw=748.6 | Change=0.1 => Floor
data,,748.5,748.4,0.1,748.4,Time=5.7s | BaseRaw=748.5 | CurrentRaw=748.4 | Change=0.1 => Floor
data,,748.5,747.0,1.5,747.0,Time=5.8s | BaseRaw=748.5 | CurrentRaw=747.0 | Change=1.5 => Floor
data,,748.5,744.6,3.9,744.6,Time=5.9s | BaseRaw=748.5 | CurrentRaw=744.6 | Change=3.9 => Floor
data,,748.5,741.2,7.3,741.2,Time=6.0s | BaseRaw=748.5 | CurrentRaw=741.2 | Change=7.3 => Floor
data,,748.5,735.0,13.5,735.0,Time=6.1s | BaseRaw=748.5 | CurrentRaw=735.0 | Change=13.5 => Liquid
data,,748.5,729.0,19.5,729.0,Time=6.2s | BaseRaw=748.5 | CurrentRaw=729.0 | Change=19.5 => Liquid
data,,748.5,723.6,24.9,723.6,Time=6.3s | BaseRaw=748.5 | CurrentRaw=723.6 | Change=24.9 => Liquid
data,,748.5,720.6,27.9,720.6,Time=6.4s | BaseRaw=748.5 | CurrentRaw=720.6 | Change=27.9 => Liquid
data,,748.5,719.6,28.9,719.6,Time=6.5s | BaseRaw=748.5 | CurrentRaw=719.6 | Change=28.9 => Liquid
