record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,629.20,,,,629.20,Collecting baseline... RawAvg=629.20
baseline,638.60,,,,638.60,Collecting baseline... RawAvg=638.60
baseline,648.60,,,,648.60,Collecting baseline... RawAvg=648.60
baseline,655.20,,,,655.20,Collecting baseline... RawAvg=655.20
baseline,658.20,,,,658.20,Collecting baseline... RawAvg=658.20
baseline,651.20,,,,651.20,Collecting baseline... RawAvg=651.20
baseline,638.80,,,,638.80,Collecting baseline... RawAvg=638.80
baseline,627.40,,,,627.40,Collecting baseline... RawAvg=627.40
baseline,623.60,,,,623.60,Collecting baseline... RawAvg=623.60
baseline,629.20,,,,629.20,Collecting baseline... RawAvg=629.20
baseline,640.60,,,,640.60,Collecting baseline... RawAvg=640.60
baseline,650.80,,,,650.80,Collecting baseline... RawAvg=650.80
baseline,656.00,,,,656.00,Collecting baseline... RawAvg=656.00
baseline,654.40,,,,654.40,Collecting baseline... RawAvg=654.40
baseline,645.00,,,,645.00,Collecting baseline... RawAvg=645.00
baseline,634.00,,,,634.00,Collecting baseline... RawAvg=634.00
baseline,629.40,,,,629.40,Collecting baseline... RawAvg=629.40
baseline,633.60,,,,633.60,Collecting baseline... RawAvg=633.60
baseline,644.40,,,,644.40,Collecting baseline... RawAvg=644.40
baseline,655.60,,,,655.60,Collecting baseline... RawAvg=655.60
baseline,661.60,,,,661.60,Collecting baseline... RawAvg=661.60
baseline,661.20,,,,661.20,Collecting baseline... RawAvg=661.20
baseline,652.40,,,,652.40,Collecting baseline... RawAvg=652.40
baseline,639.00,,,,639.00,Collecting baseline... RawAvg=639.00
baseline,629.60,,,,629.60,Collecting baseline... RawAvg=629.60
baseline,629.40,,,,629.40,Collecting baseline... RawAvg=629.40
baseline,636.80,,,,636.80,Collecting baseline... RawAvg=636.80
baseline,647.40,,,,647.40,Collecting baseline... RawAvg=647.40
baseline,655.60,,,,655.60,Collecting baseline... RawAvg=655.60
baseline,657.60,,,,657.60,Collecting baseline... RawAvg=657.60
baseline,652.20,,,,652.20,Collecting baseline... RawAvg=652.20
baseline,641.00,,,,641.00,Collecting baseline... RawAvg=641.00
baseline,631.20,,,,631.20,Collecting baseline... RawAvg=631.20
baseline,629.20,,,,629.20,Collecting baseline... RawAvg=629.20
baseline,636.00,,,,636.00,Collecting baseline... RawAvg=636.00
baseline,647.00,,,,647.00,Collecting baseline... RawAvg=647.00
baseline,656.80,,,,656.80,Collecting baseline... RawAvg=656.80
baseline,661.00,,,,661.00,Collecting baseline... RawAvg=661.00
baseline,657.20,,,,657.20,Collecting baseline... RawAvg=657.20
baseline,646.40,,,,646.40,Collecting baseline... RawAvg=646.40
baseline,634.20,,,,634.20,Collecting baseline... RawAvg=634.20
baseline,627.00,,,,627.00,Collecting baseline... RawAvg=627.00
baseline,629.40,,,,629.40,Collecting baseline... RawAvg=629.40
baseline,639.00,,,,639.00,Collecting baseline... RawAvg=639.00
baseline,649.80,,,,649.80,Collecting baseline... RawAvg=649.80
baseline,657.00,,,,657.00,Collecting baseline... RawAvg=657.00
baseline,657.80,,,,657.80,Collecting baseline... RawAvg=657.80
baseline,650.60,,,,650.60,Collecting baseline... RawAvg=650.60
baseline,639.20,,,,639.20,Collecting baseline... RawAvg=639.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,644.01,,,644.01,Final Base Raw Average = 644.01
info,,,,,,--------------------------------------------------------------------------
data,,644.0,626.4,17.6,626.4,Time=0.1s | BaseRaw=644.0 | CurrentRaw=626.4 | Change=17.6 => Liquid
data,,644.0,624.8,19.2,624.8,Time=0.2s | BaseRaw=644.0 | CurrentRaw=624.8 | Change=19.2 => Liquid
data,,644.0,635.4,8.6,635.4,Time=0.3s | BaseRaw=644.0 | CurrentRaw=635.4 | Change=8.6 => Floor
data,,644.0,635.6,8.4,635.6,Time=0.4s | BaseRaw=644.0 | CurrentRaw=635.6 | Change=8.4 => Floor
data,,644.0,643.8,0.2,643.8,Time=0.5s | BaseRaw=644.0 | CurrentRaw=643.8 | Change=0.2 => Floor
data,,644.0,645.0,1.0,645.0,Time=0.6s | BaseRaw=644.0 | CurrentRaw=645.0 | Change=1.0 => Floor
data,,644.0,645.6,1.6,645.6,Time=0.7s | BaseRaw=644.0 | CurrentRaw=645.6 | Change=1.6 => Floor
data,,644.0,643.4,0.6,643.4,Time=0.8s | BaseRaw=644.0 | CurrentRaw=643.4 | Change=0.6 => Floor
data,,644.0,643.2,0.8,643.2,Time=0.9s | BaseRaw=644.0 | CurrentRaw=643.2 | Change=0.8 => Floor
data,,644.0,645.6,1.6,645.6,Time=1.0s | BaseRaw=644.0 | CurrentRaw=645.6 | Change=1.6 => Floor
data,,644.0,643.0,1.0,643.0,Time=1.1s | BaseRaw=644.0 | CurrentRaw=643.0 | Change=1.0 => Floor
data,,644.0,646.4,2.4,646.4,Time=1.2s | BaseRaw=644.0 | CurrentRaw=646.4 | Change=2.4 => Floor
data,,644.0,643.8,0.2,643.8,Time=1.3s | BaseRaw=644.0 | CurrentRaw=643.8 | Change=0.2 => Floor
data,,644.0,644.6,0.6,644.6,Time=1.4s | BaseRaw=644.0 | CurrentRaw=644.6 | Change=0.6 => Floor
data,,644.0,644.0,0.0,644.0,Time=1.5s | BaseRaw=644.0 | CurrentRaw=644.0 | Change=0.0 => Floor
data,,644.0,642.6,1.4,642.6,Time=1.6s | BaseRaw=644.0 | CurrentRaw=642.6 | Change=1.4 => Floor
data,,644.0,646.6,2.6,646.6,Time=1.7s | BaseRaw=644.0 | CurrentRaw=646.6 | Change=2.6 => Floor
data,,644.0,643.8,0.2,643.8,Time=1.8s | BaseRaw=644.0 | CurrentRaw=643.8 | Change=0.2 => Floor
data,,644.0,646.4,2.4,646.4,Time=1.9s | BaseRaw=644.0 | CurrentRaw=646.4 | Change=2.4 => Floor
data,,644.0,643.6,0.4,643.6,Time=2.0s | BaseRaw=644.0 | CurrentRaw=643.6 | Change=0.4 => Floor
data,,644.0,642.8,1.2,642.8,Time=2.1s | BaseRaw=644.0 | CurrentRaw=642.8 | Change=1.2 => Floor
data,,644.0,644.6,0.6,644.6,Time=2.2s | BaseRaw=644.0 | CurrentRaw=644.6 | Change=0.6 => Floor
data,,644.0,642.4,1.6,642.4,Time=2.3s | BaseRaw=644.0 | CurrentRaw=642.4 | Change=1.6 => Floor
data,,644.0,646.2,2.2,646.2,Time=2.4s | BaseRaw=644.0 | CurrentRaw=646.2 | Change=2.2 => Floor
data,,644.0,643.4,0.6,643.4,Time=2.5s | BaseRaw=644.0 | CurrentRaw=643.4 | Change=0.6 => Floor
data,,644.0,644.2,0.2,644.2,Time=2.6s | BaseRaw=644.0 | CurrentRaw=644.2 | Change=0.2 => Floor
data,,644.0,643.8,0.2,643.8,Time=2.7s | BaseRaw=644.0 | CurrentRaw=643.8 | Change=0.2 => Floor
data,,644.0,642.4,1.6,642.4,Time=2.8s | BaseRaw=644.0 | CurrentRaw=642.4 | Change=1.6 => Floor
data,,644.0,645.6,1.6,645.6,Time=2.9s | BaseRaw=644.0 | CurrentRaw=645.6 | Change=1.6 => Floor
data,,644.0,643.2,0.8,643.2,Time=3.0s | BaseRaw=644.0 | CurrentRaw=643.2 | Change=0.8 => Floor
data,,644.0,645.6,1.6,645.6,Time=3.1s | BaseRaw=644.0 | CurrentRaw=645.6 | Change=1.6 => Floor
data,,644.0,643.2,0.8,643.2,Time=3.2s | BaseRaw=644.0 | CurrentRaw=643.2 | Change=0.8 => Floor
data,,644.0,643.0,1.0,643.0,Time=3.3s | BaseRaw=644.0 | CurrentRaw=643.0 | Change=1.0 => Floor
data,,644.0,645.0,1.0,645.0,Time=3.4s | BaseRaw=644.0 | CurrentRaw=645.0 | Change=1.0 => Floor
data,,644.0,642.4,1.6,642.4,Time=3.5s | BaseRaw=644.0 | CurrentRaw=642.4 | Change=1.6 => Floor
data,,644.0,646.2,2.2,646.2,Time=3.6s | BaseRaw=644.0 | CurrentRaw=646.2 | Change=2.2 => Floor
data,,644.0,643.6,0.4,643.6,Time=3.7s | BaseRaw=644.0 | CurrentRaw=643.6 | Change=0.4 => Floor
data,,644.0,645.0,1.0,645.0,Time=3.8s | BaseRaw=644.0 | CurrentRaw=645.0 | Change=1.0 => Floor
data,,644.0,644.4,0.4,644.4,Time=3.9s | BaseRaw=644.0 | CurrentRaw=644.4 | Change=0.4 => Floor
data,,644.0,643.0,1.0,643.0,Time=4.0s | BaseRaw=644.0 | CurrentRaw=643.0 | Change=1.0 => Floor
data,,644.0,646.8,2.8,646.8,Time=4.1s | BaseRaw=644.0 | CurrentRaw=646.8 | Change=2.8 => Floor
data,,644.0,644.2,0.2,644.2,Time=4.2s | BaseRaw=644.0 | CurrentRaw=644.2 | Change=0.2 => Floor
data,,644.0,646.8,2.8,646.8,Time=4.3s | BaseRaw=644.0 | CurrentRaw=646.8 | Change=2.8 => Floor
data,,644.0,643.8,0.2,643.8,Time=4.4s | BaseRaw=644.0 | CurrentRaw=643.8 | Change=0.2 => Floor
data,,644.0,643.2,0.8,643.2,Time=4.5s | BaseRaw=644.0 | CurrentRaw=643.2 | Change=0.8 => Floor
data,,644.0,644.8,0.8,644.8,Time=4.6s | BaseRaw=644.0 | CurrentRaw=644.8 | Change=0.8 => Floor
data,,644.0,642.6,1.4,642.6,Time=4.7s | BaseRaw=644.0 | CurrentRaw=642.6 | Change=1.4 => Floor
data,,644.0,646.4,2.4,646.4,Time=4.8s | BaseRaw=644.0 | CurrentRaw=646.4 | Change=2.4 => Floor
data,,644.0,643.4,0.6,643.4,Time=4.9s | BaseRaw=644.0 | CurrentRaw=643.4 | Change=0.6 => Floor
data,,644.0,644.6,0.6,644.6,Time=5.0s | BaseRaw=644.0 | CurrentRaw=644.6 | Change=0.6 => Floor
data,,644.0,643.8,0.2,643.8,Time=5.1s | BaseRaw=644.0 | CurrentRaw=643.8 | Change=0.2 => Floor
data,,644.0,642.8,1.2,642.8,Time=5.2s | BaseRaw=644.0 | CurrentRaw=642.8 | Change=1.2 => Floor
data,,644.0,646.2,2.2,646.2,Time=5.3s | BaseRaw=644.0 | CurrentRaw=646.2 | Change=2.2 => Floor
data,,644.0,643.8,0.2,643.8,Time=5.4s | BaseRaw=644.0 | CurrentRaw=643.8 | Change=0.2 => Floor
data,,644.0,646.4,2.4,646.4,Time=5.5s | BaseRaw=644.0 | CurrentRaw=646.4 | Change=2.4 => Floor
data,,644.0,644.0,0.0,644.0,Time=5.6s | BaseRaw=644.0 | CurrentRaw=644.0 | Change=0.0 => Floor
data,,644.0,643.8,0.2,643.8,Time=5.7s | BaseRaw=644.0 | CurrentRaw=643.8 | Change=0.2 => Floor
data,,644.0,645.8,1.8,645.8,Time=5.8s | BaseRaw=644.0 | CurrentRaw=645.8 | Change=1.8 => Floor
data,,644.0,645.0,1.0,645.0,Time=5.9s | BaseRaw=644.0 | CurrentRaw=645.0 | Change=1.0 => Floor
data,,644.0,648.8,4.8,648.8,Time=6.0s | BaseRaw=644.0 | CurrentRaw=648.8 | Change=4.8 => Floor
data,,644.0,646.4,2.4,646.4,Time=6.1s | BaseRaw=644.0 | CurrentRaw=646.4 | Change=2.4 => Floor
data,,644.0,647.0,3.0,647.0,Time=6.2s | BaseRaw=644.0 | CurrentRaw=647.0 | Change=3.0 => Floor
data,,644.0,644.4,0.4,644.4,Time=6.3s | BaseRaw=644.0 | CurrentRaw=644.4 | Change=0.4 => Floor
data,,644.0,640.2,3.8,640.2,Time=6.4s | BaseRaw=644.0 | CurrentRaw=640.2 | Change=3.8 => Floor
data,,644.0,640.0,4.0,640.0,Time=6.5s | BaseRaw=644.0 | CurrentRaw=640.0 | Change=4.0 => Floor
