record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,759.00,,,,759.00,Collecting baseline... RawAvg=759.00
baseline,759.60,,,,759.60,Collecting baseline... RawAvg=759.60
baseline,760.00,,,,760.00,Collecting baseline... RawAvg=760.00
baseline,760.40,,,,760.40,Collecting baseline... RawAvg=760.40
baseline,760.60,,,,760.60,Collecting baseline... RawAvg=760.60
baseline,760.60,,,,760.60,Collecting baseline... RawAvg=760.60
baseline,759.80,,,,759.80,Collecting baseline... RawAvg=759.80
baseline,759.00,,,,759.00,Collecting baseline... RawAvg=759.00
baseline,758.20,,,,758.20,Collecting baseline... RawAvg=758.20
baseline,757.80,,,,757.80,Collecting baseline... RawAvg=757.80
baseline,757.60,,,,757.60,Collecting baseline... RawAvg=757.60
baseline,757.80,,,,757.80,Collecting baseline... RawAvg=757.80
baseline,758.20,,,,758.20,Collecting baseline... RawAvg=758.20
baseline,758.80,,,,758.80,Collecting baseline... RawAvg=758.80
baseline,759.20,,,,759.20,Collecting baseline... RawAvg=759.20
baseline,759.80,,,,759.80,Collecting baseline... RawAvg=759.80
baseline,760.40,,,,760.40,Collecting baseline... RawAvg=760.40
baseline,761.00,,,,761.00,Collecting baseline... RawAvg=761.00
baseline,761.20,,,,761.20,Collecting baseline... RawAvg=761.20
baseline,761.60,,,,761.60,Collecting baseline... RawAvg=761.60
baseline,761.60,,,,761.60,Collecting baseline... RawAvg=761.60
baseline,761.20,,,,761.20,Collecting baseline... RawAvg=761.20
baseline,760.80,,,,760.80,Collecting baseline... RawAvg=760.80
baseline,760.60,,,,760.60,Collecting baseline... RawAvg=760.60
baseline,760.20,,,,760.20,Collecting baseline... RawAvg=760.20
baseline,759.60,,,,759.60,Collecting baseline... RawAvg=759.60
baseline,759.20,,,,759.20,Collecting baseline... RawAvg=759.20
baseline,759.00,,,,759.00,Collecting baseline... RawAvg=759.00
baseline,758.60,,,,758.60,Collecting baseline... RawAvg=758.60
baseline,758.20,,,,758.20,Collecting baseline... RawAvg=758.20
baseline,758.40,,,,758.40,Collecting baseline... RawAvg=758.40
baseline,758.80,,,,758.80,Collecting baseline... RawAvg=758.80
baseline,759.00,,,,759.00,Collecting baseline... RawAvg=759.00
baseline,759.40,,,,759.40,Collecting baseline... RawAvg=759.40
baseline,760.20,,,,760.20,Collecting baseline... RawAvg=760.20
baseline,760.80,,,,760.80,Collecting baseline... RawAvg=760.80
baseline,761.20,,,,761.20,Collecting baseline... RawAvg=761.20
baseline,761.60,,,,761.60,Collecting baseline... RawAvg=761.60
baseline,761.80,,,,761.80,Collecting baseline... RawAvg=761.80
baseline,761.40,,,,761.40,Collecting baseline... RawAvg=761.40
baseline,761.00,,,,761.00,Collecting baseline... RawAvg=761.00
baseline,760.60,,,,760.60,Collecting baseline... RawAvg=760.60
baseline,760.00,,,,760.00,Collecting baseline... RawAvg=760.00
baseline,759.20,,,,759.20,Collecting baseline... RawAvg=759.20
baseline,758.80,,,,758.80,Collecting baseline... RawAvg=758.80
baseline,758.40,,,,758.40,Collecting baseline... RawAvg=758.40
baseline,758.00,,,,758.00,Collecting baseline... RawAvg=758.00
baseline,757.80,,,,757.80,Collecting baseline... RawAvg=757.80
baseline,758.20,,,,758.20,Collecting baseline... RawAvg=758.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,759.68,,,759.68,Final Base Raw Average = 759.68
info,,,,,,--------------------------------------------------------------------------
data,,759.7,758.8,0.9,758.8,Time=0.1s | BaseRaw=759.7 | CurrentRaw=758.8 | Change=0.9 => Floor
data,,759.7,759.6,0.1,759.6,Time=0.2s | BaseRaw=759.7 | CurrentRaw=759.6 | Change=0.1 => Floor
data,,759.7,760.2,0.5,760.2,Time=0.3s | BaseRaw=759.7 | CurrentRaw=760.2 | Change=0.5 => Floor
data,,759.7,760.2,0.5,760.2,Time=0.4s | BaseRaw=759.7 | CurrentRaw=760.2 | Change=0.5 => Floor
data,,759.7,760.2,0.5,760.2,Time=0.5s | BaseRaw=759.7 | CurrentRaw=760.2 | Change=0.5 => Floor
data,,759.7,760.2,0.5,760.2,Time=0.6s | BaseRaw=759.7 | CurrentRaw=760.2 | Change=0.5 => Floor
data,,759.7,760.2,0.5,760.2,Time=0.7s | BaseRaw=759.7 | CurrentRaw=760.2 | Change=0.5 => Floor
data,,759.7,760.0,0.3,760.0,Time=0.8s | BaseRaw=759.7 | CurrentRaw=760.0 | Change=0.3 => Floor
data,,759.7,759.8,0.1,759.8,Time=0.9s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,759.6,0.1,759.6,Time=1.0s | BaseRaw=759.7 | CurrentRaw=759.6 | Change=0.1 => Floor
data,,759.7,759.6,0.1,759.6,Time=1.1s | BaseRaw=759.7 | CurrentRaw=759.6 | Change=0.1 => Floor
data,,759.7,759.6,0.1,759.6,Time=1.2s | BaseRaw=759.7 | CurrentRaw=759.6 | Change=0.1 => Floor
data,,759.7,759.6,0.1,759.6,Time=1.3s | BaseRaw=759.7 | CurrentRaw=759.6 | Change=0.1 => Floor
data,,759.7,759.6,0.1,759.6,Time=1.4s | BaseRaw=759.7 | CurrentRaw=759.6 | Change=0.1 => Floor
data,,759.7,759.6,0.1,759.6,Time=1.5s | BaseRaw=759.7 | CurrentRaw=759.6 | Change=0.1 => Floor
data,,759.7,759.6,0.1,759.6,Time=1.6s | BaseRaw=759.7 | CurrentRaw=759.6 | Change=0.1 => Floor
data,,759.7,759.6,0.1,759.6,Time=1.7s | BaseRaw=759.7 | CurrentRaw=759.6 | Change=0.1 => Floor
data,,759.7,759.8,0.1,759.8,Time=1.8s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,759.8,0.1,759.8,Time=1.9s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,759.8,0.1,759.8,Time=2.0s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,759.8,0.1,759.8,Time=2.1s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,759.8,0.1,759.8,Time=2.2s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,759.6,0.1,759.6,Time=2.3s | BaseRaw=759.7 | CurrentRaw=759.6 | Change=0.1 => Floor
data,,759.7,759.6,0.1,759.6,Time=2.4s | BaseRaw=759.7 | CurrentRaw=759.6 | Change=0.1 => Floor
data,,759.7,759.8,0.1,759.8,Time=2.5s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,759.8,0.1,759.8,Time=2.6s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,759.8,0.1,759.8,Time=2.7s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,759.8,0.1,759.8,Time=2.8s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,759.8,0.1,759.8,Time=2.9s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,759.8,0.1,759.8,Time=3.0s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,760.0,0.3,760.0,Time=3.1s | BaseRaw=759.7 | CurrentRaw=760.0 | Change=0.3 => Floor
data,,759.7,760.0,0.3,760.0,Time=3.2s | BaseRaw=759.7 | CurrentRaw=760.0 | Change=0.3 => Floor
data,,759.7,760.0,0.3,760.0,Time=3.3s | BaseRaw=759.7 | CurrentRaw=760.0 | Change=0.3 => Floor
data,,759.7,760.0,0.3,760.0,Time=3.4s | BaseRaw=759.7 | CurrentRaw=760.0 | Change=0.3 => Floor
data,,759.7,760.2,0.5,760.2,Time=3.5s | BaseRaw=759.7 | CurrentRaw=760.2 | Change=0.5 => Floor
data,,759.7,760.4,0.7,760.4,Time=3.6s | BaseRaw=759.7 | CurrentRaw=760.4 | Change=0.7 => Floor
data,,759.7,760.4,0.7,760.4,Time=3.7s | BaseRaw=759.7 | CurrentRaw=760.4 | Change=0.7 => Floor
data,,759.7,760.4,0.7,760.4,Time=3.8s | BaseRaw=759.7 | CurrentRaw=760.4 | Change=0.7 => Floor
data,,759.7,760.4,0.7,760.4,Time=3.9s | BaseRaw=759.7 | CurrentRaw=760.4 | Change=0.7 => Floor
data,,759.7,760.2,0.5,760.2,Time=4.0s | BaseRaw=759.7 | CurrentRaw=760.2 | Change=0.5 => Floor
data,,759.7,760.2,0.5,760.2,Time=4.1s | BaseRaw=759.7 | CurrentRaw=760.2 | Change=0.5 => Floor
data,,759.7,760.0,0.3,760.0,Time=4.2s | BaseRaw=759.7 | CurrentRaw=760.0 | Change=0.3 => Floor
data,,759.7,759.8,0.1,759.8,Time=4.3s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,759.8,0.1,759.8,Time=4.4s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,760.0,0.3,760.0,Time=4.5s | BaseRaw=759.7 | CurrentRaw=760.0 | Change=0.3 => Floor
data,,759.7,760.0,0.3,760.0,Time=4.6s | BaseRaw=759.7 | CurrentRaw=760.0 | Change=0.3 => Floor
data,,759.7,760.0,0.3,760.0,Time=4.7s | BaseRaw=759.7 | CurrentRaw=760.0 | Change=0.3 => Floor
data,,759.7,760.0,0.3,760.0,Time=4.8s | BaseRaw=759.7 | CurrentRaw=760.0 | Change=0.3 => Floor
data,,759.7,760.0,0.3,760.0,Time=4.9s | BaseRaw=759.7 | CurrentRaw=760.0 | Change=0.3 => Floor
data,,759.7,760.0,0.3,760.0,Time=5.0s | BaseRaw=759.7 | CurrentRaw=760.0 | Change=0.3 => Floor
data,,759.7,760.0,0.3,760.0,Time=5.1s | BaseRaw=759.7 | CurrentRaw=760.0 | Change=0.3 => Floor
data,,759.7,759.8,0.1,759.8,Time=5.2s | BaseRaw=759.7 | CurrentRaw=759.8 | Change=0.1 => Floor
data,,759.7,759.4,0.3,759.4,Time=5.3s | BaseRaw=759.7 | CurrentRaw=759.4 | Change=0.3 => Floor
data,,759.7,759.2,0.5,759.2,Time=5.4s | BaseRaw=759.7 | CurrentRaw=759.2 | Change=0.5 => Floor
data,,759.7,759.0,0.7,759.0,Time=5.5s | BaseRaw=759.7 | CurrentRaw=759.0 | Change=0.7 => Floor
data,,759.7,759.0,0.7,759.0,Time=5.6s | BaseRaw=759.7 | CurrentRaw=759.0 | Change=0.7 => Floor
data,,759.7,759.0,0.7,759.0,Time=5.7s | BaseRaw=759.7 | CurrentRaw=759.0 | Change=0.7 => Floor
data,,759.7,759.0,0.7,759.0,Time=5.8s | BaseRaw=759.7 | CurrentRaw=759.0 | Change=0.7 => Floor
data,,759.7,759.0,0.7,759.0,Time=5.9s | BaseRaw=759.7 | CurrentRaw=759.0 | Change=0.7 => Floor
data,,759.7,758.8,0.9,758.8,Time=6.0s | BaseRaw=759.7 | CurrentRaw=758.8 | Change=0.9 => Floor
data,,759.7,758.2,1.5,758.2,Time=6.1s | BaseRaw=759.7 | CurrentRaw=758.2 | Change=1.5 => Floor
data,,759.7,757.8,1.9,757.8,Time=6.2s | BaseRaw=759.7 | CurrentRaw=757.8 | Change=1.9 => Floor
data,,759.7,757.4,2.3,757.4,Time=6.3s | BaseRaw=759.7 | CurrentRaw=757.4 | Change=2.3 => Floor
data,,759.7,756.8,2.9,756.8,Time=6.4s | BaseRaw=759.7 | CurrentRaw=756.8 | Change=2.9 => Floor
data,,759.7,755.2,4.5,755.2,Time=6.5s | BaseRaw=759.7 | CurrentRaw=755.2 | Change=4.5 => Floor
